variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
GH37	2.86E-02	3.11E-13	6.99E-21	1.66E+05	1.76E+04	1.42E-01	
GH129	4.15E-02	4.91E-43	1.41E-19	1.77E+05	1.95E+04	1.37E-01	
GH175	2.58E-02	1.92E-08	1.84E-11	1.26E+05	1.87E+04	1.02E-01	
GH64	2.43E-01	2.10E-246	9.83E-10	7.64E+04	1.25E+04	9.26E-02	
PL6_2	4.61E-02	1.93E-41	1.14E-09	1.10E+05	1.81E+04	9.23E-02	
CE2	7.93E-02	5.52E-31	2.45E-09	8.50E+04	1.42E+04	9.04E-02	
PL31	1.40E-01	4.89E-77	5.53E-09	6.03E+04	1.03E+04	8.84E-02	
PL6	4.59E-02	4.94E-42	8.36E-09	1.06E+05	1.83E+04	8.73E-02	
PL1_11	2.01E-01	5.60E-151	1.90E-08	6.41E+04	1.14E+04	8.52E-02	
GH75	1.31E-01	3.91E-195	1.94E-08	1.06E+05	1.89E+04	8.52E-02	
GH5_55	1.60E-01	6.65E-115	2.58E-08	7.24E+04	1.30E+04	8.44E-02	
PL6_1	4.54E-02	3.71E-41	3.31E-08	1.02E+05	1.84E+04	8.38E-02	
GH5_43	1.27E-01	8.76E-93	3.58E-08	6.58E+04	1.19E+04	8.35E-02	
CBM20	1.57E-01	1.56E-108	4.42E-08	6.50E+04	1.18E+04	8.30E-02	
GH84	1.97E-01	2.84E-121	4.80E-08	6.46E+04	1.18E+04	8.28E-02	
CBM16	2.27E-01	5.20E-282	5.09E-08	7.79E+04	1.43E+04	8.26E-02	
GH99	3.41E-02	1.38E-34	5.11E-08	9.63E+04	1.77E+04	8.26E-02	
GH114	3.96E-01	6.27E-121	5.88E-08	5.21E+04	9.60E+03	8.22E-02	
GH30_8	2.15E-01	2.02E-89	6.79E-08	5.20E+04	9.62E+03	8.18E-02	
PL7	7.45E-02	5.22E-76	7.23E-08	7.54E+04	1.40E+04	8.17E-02	
CE3	2.79E-01	1.95E-269	7.82E-08	7.85E+04	1.46E+04	8.14E-02	
PL7_1	7.31E-02	3.13E-74	9.14E-08	7.54E+04	1.41E+04	8.10E-02	
PL8_3	2.02E-01	1.52E-151	1.06E-07	6.18E+04	1.16E+04	8.06E-02	
GH30_3	2.37E-01	8.17E-93	1.18E-07	5.12E+04	9.65E+03	8.03E-02	
CBM2	3.46E-01	0.00E+00	1.38E-07	8.31E+04	1.57E+04	7.99E-02	
GH12	1.94E-01	1.27E-186	1.61E-07	6.54E+04	1.25E+04	7.95E-02	
PL8	2.10E-01	5.55E-153	1.86E-07	6.15E+04	1.18E+04	7.90E-02	
PL7_3	7.38E-02	6.10E-75	2.44E-07	7.30E+04	1.41E+04	7.83E-02	
GH33	3.05E-01	6.04E-71	2.80E-07	4.36E+04	8.47E+03	7.79E-02	
PL9_3	1.40E-01	9.00E-100	3.72E-07	5.62E+04	1.10E+04	7.71E-02	
GH30_4	1.88E-01	1.31E-75	4.14E-07	4.90E+04	9.67E+03	7.68E-02	
AA10	3.31E-01	0.00E+00	4.74E-07	8.95E+04	1.77E+04	7.64E-02	
PL9_1	1.36E-01	1.09E-98	5.20E-07	5.67E+04	1.13E+04	7.61E-02	
GH5_20	1.47E-01	3.50E-61	6.58E-07	5.85E+04	1.17E+04	7.54E-02	
PL41	1.28E-01	2.29E-67	8.20E-07	5.22E+04	1.06E+04	7.48E-02	
GH19_2	2.25E-01	2.75E-280	8.22E-07	6.19E+04	1.25E+04	7.48E-02	
PL1_4	1.34E-01	8.18E-104	8.72E-07	5.61E+04	1.14E+04	7.46E-02	
PL6_3	4.31E-02	5.92E-39	9.24E-07	9.12E+04	1.85E+04	7.44E-02	
GH30_5	1.93E-01	1.03E-60	9.25E-07	4.58E+04	9.33E+03	7.44E-02	
GH9	2.15E-01	1.48E-144	9.62E-07	5.75E+04	1.17E+04	7.43E-02	
GH30_6	2.13E-01	1.19E-102	1.21E-06	4.85E+04	9.98E+03	7.36E-02	
PL1_13	1.01E-01	7.58E-74	1.29E-06	6.01E+04	1.24E+04	7.34E-02	
GH5_28	2.07E-01	2.18E-145	1.33E-06	5.37E+04	1.11E+04	7.33E-02	
PL11_1	1.98E-01	4.30E-48	1.43E-06	5.08E+04	1.05E+04	7.31E-02	
GH28	1.15E-01	6.15E-21	1.50E-06	4.80E+04	9.96E+03	7.30E-02	
PL11	1.98E-01	3.12E-48	1.54E-06	5.06E+04	1.05E+04	7.29E-02	
PL11_2	1.98E-01	1.38E-48	1.57E-06	5.04E+04	1.05E+04	7.28E-02	
PL1_3	1.83E-01	5.12E-135	1.95E-06	5.46E+04	1.15E+04	7.22E-02	
GH30_1	2.20E-01	8.30E-80	2.07E-06	4.54E+04	9.55E+03	7.20E-02	
GH27	2.89E-01	9.12E-145	2.23E-06	4.51E+04	9.53E+03	7.18E-02	
GH30	2.98E-01	1.19E-79	2.82E-06	4.20E+04	8.95E+03	7.10E-02	
CBM46	7.42E-02	1.47E-41	4.71E-06	6.37E+04	1.39E+04	6.94E-02	
GH183	2.70E-01	3.66E-56	5.11E-06	4.95E+04	1.08E+04	6.92E-02	
GH5_29	2.10E-01	6.76E-138	6.26E-06	4.88E+04	1.08E+04	6.85E-02	
AA6	3.32E-01	1.60E-266	6.53E-06	4.19E+04	9.28E+03	6.84E-02	
GH30_10	2.35E-01	3.53E-114	7.00E-06	4.56E+04	1.01E+04	6.82E-02	
GH89	1.10E-01	1.11E-87	7.61E-06	6.01E+04	1.34E+04	6.79E-02	
PL9	1.66E-01	4.70E-113	1.02E-05	4.44E+04	1.01E+04	6.69E-02	
GH30_7	2.31E-01	2.25E-92	1.13E-05	4.34E+04	9.88E+03	6.66E-02	
GH19	2.56E-01	6.65E-290	1.31E-05	4.74E+04	1.09E+04	6.61E-02	
CBM4	1.60E-01	2.10E-112	1.51E-05	5.98E+04	1.38E+04	6.56E-02	
GH5_8	2.72E-01	5.19E-145	1.79E-05	4.59E+04	1.07E+04	6.51E-02	
GH19_1	2.48E-01	6.17E-290	1.87E-05	4.70E+04	1.10E+04	6.49E-02	
GH5_24	2.11E-01	5.69E-135	2.63E-05	4.37E+04	1.04E+04	6.38E-02	
PL1_2	1.80E-02	9.14E-07	2.67E-05	9.45E+04	2.25E+04	6.37E-02	
GH43_1	1.67E-01	5.17E-29	2.79E-05	4.46E+04	1.06E+04	6.36E-02	
GH5_51	2.11E-01	2.12E-135	3.13E-05	4.34E+04	1.04E+04	6.32E-02	
GH5_4	1.10E-01	1.54E-59	3.16E-05	4.73E+04	1.14E+04	6.31E-02	
PL1_8	4.38E-02	2.57E-47	3.42E-05	6.47E+04	1.56E+04	6.29E-02	
GH5_1	2.22E-01	1.22E-129	4.32E-05	4.07E+04	9.95E+03	6.21E-02	
CBM9	1.01E-01	3.52E-04	6.10E-05	5.62E+04	1.40E+04	6.08E-02	
PL8_1	1.83E-01	2.64E-143	6.16E-05	4.77E+04	1.19E+04	6.08E-02	
GH76	3.72E-01	9.04E-36	7.42E-05	4.91E+04	1.24E+04	6.01E-02	
GH88	1.06E-01	5.84E-33	7.92E-05	4.21E+04	1.07E+04	5.99E-02	
PL22	4.03E-02	2.22E-24	9.58E-05	6.45E+04	1.65E+04	5.92E-02	
