variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
AA10	7.90E-02	4.88E-39	5.81E-35	7.05E+04	5.67E+03	1.88E-01	
GH48	5.13E-02	2.25E-36	1.56E-34	1.05E+05	8.51E+03	1.86E-01	
CBM3	7.01E-02	1.11E-43	1.91E-29	8.14E+04	7.17E+03	1.72E-01	
GH14	1.95E-02	5.39E-15	2.35E-29	1.09E+05	9.66E+03	1.71E-01	
GH5_20	6.00E-02	4.00E-15	4.98E-27	8.82E+04	8.14E+03	1.64E-01	
GH5_24	5.97E-02	4.20E-15	2.62E-26	8.64E+04	8.09E+03	1.62E-01	
GH19_2	1.55E-02	2.96E-16	8.61E-23	1.07E+05	1.08E+04	1.50E-01	
GH5_53	2.70E-02	9.55E-14	2.00E-22	1.04E+05	1.06E+04	1.49E-01	
GT17	3.25E-02	1.94E-04	1.10E-21	1.16E+05	1.21E+04	1.46E-01	
PL3	2.92E-02	6.65E-29	1.00E-20	9.73E+04	1.04E+04	1.42E-01	
PL3_1	2.92E-02	6.65E-29	1.00E-20	9.73E+04	1.04E+04	1.42E-01	
GH6	1.58E-02	1.28E-20	1.05E-19	1.20E+05	1.32E+04	1.39E-01	
PL3_2	2.89E-02	1.60E-28	8.78E-19	9.07E+04	1.02E+04	1.35E-01	
PL3_4	2.89E-02	1.60E-28	8.78E-19	9.07E+04	1.02E+04	1.35E-01	
PL3_5	2.89E-02	1.60E-28	8.78E-19	9.07E+04	1.02E+04	1.35E-01	
CBM20	6.04E-02	3.58E-29	1.87E-18	4.79E+04	5.44E+03	1.34E-01	
CBM25	5.67E-02	2.75E-20	2.25E-18	6.96E+04	7.92E+03	1.34E-01	
GT1	2.00E-01	1.70E-74	4.13E-18	3.06E+04	3.51E+03	1.32E-01	
CBM63	2.45E-02	2.23E-21	7.42E-17	9.65E+04	1.15E+04	1.27E-01	
CBM26	5.55E-02	1.00E-20	8.68E-16	5.02E+04	6.22E+03	1.23E-01	
GH19	2.16E-02	6.39E-17	1.02E-14	6.42E+04	8.27E+03	1.18E-01	
GH5_51	5.27E-02	5.05E-13	1.22E-14	5.98E+04	7.72E+03	1.18E-01	
PL31	2.33E-02	5.73E-16	5.79E-14	7.00E+04	9.28E+03	1.15E-01	
GH13_42	3.32E-02	1.11E-10	8.39E-14	5.92E+04	7.91E+03	1.14E-01	
GH5_11	4.14E-02	4.40E-10	1.23E-13	6.33E+04	8.51E+03	1.13E-01	
CBM2	5.15E-02	1.17E-07	2.45E-13	4.63E+04	6.30E+03	1.12E-01	
CBM96	4.40E-02	8.99E-29	1.16E-12	4.43E+04	6.21E+03	1.09E-01	
CBM21	1.06E-02	2.11E-09	1.46E-12	8.70E+04	1.23E+04	1.08E-01	
GH46	2.52E-02	1.71E-14	3.79E-11	5.20E+04	7.84E+03	1.01E-01	
CBM59	1.79E-02	1.17E-13	7.93E-10	5.47E+04	8.89E+03	9.41E-02	
PL9_1	1.18E-01	3.50E-40	1.12E-09	2.73E+04	4.48E+03	9.32E-02	
GH11	7.53E-02	9.14E-45	3.75E-09	3.73E+04	6.31E+03	9.02E-02	
CBM36	7.31E-02	3.09E-46	6.66E-09	3.19E+04	5.49E+03	8.88E-02	
PL35	4.09E-02	9.89E-07	7.67E-09	-3.75E+04	6.48E+03	8.84E-02	
GH110	6.07E-02	1.69E-05	8.28E-09	-3.33E+04	5.76E+03	8.82E-02	
CBM5	6.04E-02	1.45E-25	8.62E-09	3.41E+04	5.91E+03	8.81E-02	
GH57	6.19E-02	7.98E-09	1.01E-08	6.49E+04	1.13E+04	8.77E-02	
GH16_18	6.91E-02	3.98E-27	1.07E-08	3.46E+04	6.03E+03	8.76E-02	
