variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
GH18	2.13E-01	1.97E-53	1.27E-44	4.56E+04	3.24E+03	1.52E-01	
AA10	1.35E-01	2.38E-96	2.05E-25	3.65E+04	3.50E+03	1.13E-01	
CE9	5.08E-01	5.41E-153	2.35E-20	3.31E+04	3.57E+03	1.00E-01	
CE13	3.30E-02	1.29E-03	1.32E-16	5.81E+04	7.01E+03	8.98E-02	
GH19_2	9.29E-02	6.28E-65	1.01E-15	3.22E+04	4.01E+03	8.71E-02	
GH20	2.63E-01	8.72E-19	1.21E-15	2.92E+04	3.64E+03	8.69E-02	
GT1	2.40E-01	3.15E-119	2.19E-15	1.96E+04	2.46E+03	8.61E-02	
PL3_1	1.96E-02	2.55E-30	2.25E-14	5.44E+04	7.11E+03	8.29E-02	
GH129	3.54E-02	1.51E-36	2.44E-14	3.89E+04	5.10E+03	8.28E-02	
PL3	2.34E-02	1.29E-29	2.81E-14	5.54E+04	7.28E+03	8.26E-02	
PL3_2	2.31E-02	2.14E-29	6.97E-14	5.51E+04	7.35E+03	8.13E-02	
CE16	9.59E-02	3.23E-11	1.72E-13	3.07E+04	4.16E+03	8.00E-02	
CBM5	6.47E-02	1.73E-18	2.83E-13	3.62E+04	4.96E+03	7.93E-02	
GH64	1.50E-02	9.30E-19	1.29E-12	5.84E+04	8.22E+03	7.70E-02	
GT107	2.05E-01	2.40E-07	1.78E-12	2.14E+04	3.04E+03	7.66E-02	
PL3_4	2.12E-02	3.65E-28	2.67E-12	5.51E+04	7.87E+03	7.60E-02	
CBM63	1.30E-02	6.40E-13	1.60E-11	7.70E+04	1.14E+04	7.32E-02	
PL3_5	1.80E-02	1.57E-23	3.80E-11	5.59E+04	8.44E+03	7.18E-02	
CBM13	6.56E-02	7.16E-21	1.30E-10	2.54E+04	3.94E+03	6.98E-02	
CBM20	2.60E-02	1.02E-19	1.68E-09	3.29E+04	5.45E+03	6.55E-02	
AA3_3	7.70E-01	6.06E-120	2.80E-09	1.96E+04	3.30E+03	6.46E-02	
GH37	1.78E-01	2.25E-36	2.85E-09	2.15E+04	3.61E+03	6.45E-02	
GH19	2.50E-01	1.65E-150	3.80E-09	1.35E+04	2.28E+03	6.40E-02	
GT2_Chitin_synth_2	3.19E-02	1.98E-72	5.50E-09	3.24E+04	5.55E+03	6.34E-02	
GH109	5.96E-01	3.63E-181	1.04E-08	1.38E+04	2.41E+03	6.22E-02	
GH12	2.35E-02	2.96E-21	1.27E-08	3.64E+04	6.39E+03	6.18E-02	
GH92	9.94E-02	7.72E-06	1.60E-08	2.56E+04	4.52E+03	6.14E-02	
CE1	8.40E-01	0.00E+00	1.82E-08	2.73E+04	4.84E+03	6.12E-02	
AA5_1	2.51E-02	3.00E-12	2.76E-08	3.34E+04	6.01E+03	6.04E-02	
GH179	5.94E-01	1.01E-155	3.20E-08	1.33E+04	2.40E+03	6.01E-02	
GH13_1	5.86E-01	3.41E-142	3.22E-08	1.58E+04	2.86E+03	6.01E-02	
GH5_55	1.03E-02	5.14E-05	5.95E-08	6.72E+04	1.24E+04	5.89E-02	
GH13_20	6.48E-01	3.91E-248	6.00E-08	1.67E+04	3.09E+03	5.89E-02	
GH13_44	6.20E-01	2.57E-269	7.48E-08	1.62E+04	3.01E+03	5.85E-02	
GH6	1.58E-02	1.81E-12	7.71E-08	4.20E+04	7.81E+03	5.84E-02	
GH13_35	6.24E-01	1.49E-265	7.96E-08	1.61E+04	3.00E+03	5.83E-02	
GH13_2	6.33E-01	4.94E-258	7.97E-08	1.65E+04	3.07E+03	5.83E-02	
GH5_53	1.56E-02	6.41E-11	9.74E-08	5.20E+04	9.74E+03	5.79E-02	
GH128	1.54E-02	1.45E-08	1.32E-07	4.25E+04	8.05E+03	5.73E-02	
GH13_40	6.31E-01	6.96E-258	1.52E-07	1.58E+04	3.01E+03	5.71E-02	
