relaxed_bgcome_size	Cyanobacteriota_multicellularity_genes	Cyanobacteriota_sporulation_genes
554539.0	11	5
43449.0	1	2
63404.99999999999	1	1
857980.0	10	5
229939.00000000003	10	5
53533.0	1	2
310249.0	3	3
63405.0	1	1
56076.0	1	1
63404.99999999999	1	1
171153.00000000003	1	1
63330.0	1	2
41405.0	1	1
267352.0	10	5
75763.0	1	2
576420.0	11	5
61428.99999999999	1	1
316197.0	11	5
473909.99999999994	11	5
83321.0	1	1
54889.0	1	1
0.0	1	2
43527.0	1	2
16719.0	1	1
57995.99999999999	0	1
221659.00000000003	10	5
81854.0	1	1
430692.00000000006	4	4
39798.0	1	1
80189.0	1	1
407978.0	3	3
82244.0	1	1
42136.0	1	1
494543.99999999994	11	5
596208.0	11	5
61608.99999999999	1	2
23702.0	1	2
930703.0	11	5
0.0	1	2
40409.00000000001	1	1
621131.0	11	5
61408.0	1	1
0.0	1	2
41331.0	1	2
43526.0	1	2
1958314.0	11	4
61052.0	1	1
0.0	0	2
613316.0	11	5
0.0	1	2
32043.999999999996	0	2
29905.0	1	2
626139.0	11	5
42136.0	1	1
813212.0	11	5
624691.0	11	5
526008.0	11	5
61352.0	2	2
83041.0	1	1
929618.0	11	5
75781.0	1	1
0.0	1	2
466838.0	2	3
104107.0	1	1
61937.0	3	1
27980.0	1	2
922185.0	11	5
529750.0	11	5
38793.0	1	2
20474.0	1	2
63399.00000000001	1	1
151708.0	3	2
824006.0	11	5
43481.0	1	2
41887.0	0	1
43569.0	1	2
42184.0	1	1
61783.0	1	1
0.0	1	2
466652.0	11	5
42496.0	1	1
62863.0	1	2
63405.0	1	1
229963.0	3	3
134323.0	3	2
42136.0	1	2
62243.0	1	2
83071.99999999999	1	1
981534.0	11	4
62937.0	1	1
126326.99999999999	1	1
54006.99999999999	1	1
42151.0	1	1
292863.0	11	5
357579.0	3	3
994402.0	10	5
511457.99999999994	10	4
83285.0	2	1
268918.0	11	5
371315.0	11	4
0.0	0	2
748602.0	11	5
81915.0	1	1
256347.0	9	5
42272.0	1	2
66233.0	1	1
1005302.9999999999	11	5
619855.0	11	5
1031750.9999999999	11	5
139893.0	11	5
84970.0	1	2
1227169.0	11	5
249039.99999999997	11	5
32196.999999999996	1	1
103181.0	1	1
42226.0	1	1
20471.0	1	2
75378.0	3	3
63404.99999999999	1	1
284311.0	10	5
61593.0	1	1
37754.0	1	2
0.0	0	2
41147.0	1	3
61712.99999999999	1	1
54738.0	0	2
43487.0	1	2
41274.0	1	3
0.0	1	2
712885.0	11	5
0.0	1	2
43970.0	1	2
63405.00000000001	1	1
76231.0	1	1
62529.0	1	1
614350.0	11	5
46714.0	1	1
121075.0	8	4
43643.0	1	2
76092.0	1	2
631867.0	11	5
20879.0	2	3
460347.99999999994	3	3
52911.00000000001	1	1
461725.99999999994	11	5
410545.0	10	5
99178.0	11	4
0.0	0	2
43510.0	1	2
684520.0	11	5
104358.99999999999	11	4
148228.0	1	2
309986.0	10	4
0.0	1	2
0.0	1	2
82091.0	1	1
322550.0	11	5
129857.99999999999	4	3
