relaxed_bgcome_size	Myxococcota_social_genes	Myxococcota_sporulation_genes	social_count_bin	order
389372.0	126	0	< 150	1
1619445.0	232	2	200-249	3
1126466.0	239	3	200-249	3
901895.0	196	1	150-199	2
341153.99999999994	182	0	150-199	2
1457725.0	302	1	> 249	4
167602.0	204	0	200-249	3
244393.99999999997	103	0	< 150	1
1404800.0	284	3	> 249	4
309858.0	104	0	< 150	1
214395.0	184	0	150-199	2
1640748.0	267	3	> 249	4
1536656.0	289	2	> 249	4
1163113.0	247	3	200-249	3
1129669.0	239	2	200-249	3
324554.0	136	0	< 150	1
1306820.0	248	2	200-249	3
1742075.0	268	3	> 249	4
222691.0	218	1	200-249	3
1930996.9999999998	304	3	> 249	4
1764692.0	305	2	> 249	4
200634.0	147	0	< 150	1
432194.0	175	0	150-199	2
1509054.0	304	3	> 249	4
209767.0	143	0	< 150	1
1571754.0	257	2	> 249	4
1218041.0	217	0	200-249	3
1185188.0	278	3	> 249	4
1072534.0	245	3	200-249	3
1668379.0	275	3	> 249	4
178878.0	159	0	150-199	2
1849149.0	249	2	200-249	3
1522140.0	235	1	200-249	3
415696.0	123	0	< 150	1
371855.0	147	0	< 150	1
239611.0	110	0	< 150	1
1847398.0000000002	237	0	200-249	3
291388.0	175	0	150-199	2
304197.0	152	0	150-199	2
1582064.0	272	3	> 249	4
110993.0	121	0	< 150	1
113216.0	152	0	150-199	2
1457416.0	233	2	200-249	3
1815297.0	252	3	> 249	4
1557999.0	247	2	200-249	3
345067.0	180	1	150-199	2
369890.0	169	1	150-199	2
1555424.0	273	3	> 249	4
1543244.0	237	2	200-249	3
1781911.0000000002	278	2	> 249	4
136882.0	96	0	< 150	1
730373.0	181	1	150-199	2
422251.0	176	0	150-199	2
313129.0	224	1	200-249	3
257904.0	112	0	< 150	1
221303.0	154	0	150-199	2
510039.0	114	0	< 150	1
1305725.0	242	3	200-249	3
1857927.0	285	2	> 249	4
222654.0	228	1	200-249	3
54526.0	109	0	< 150	1
541979.0	165	0	150-199	2
1557693.0	255	2	> 249	4
1573787.0	259	2	> 249	4
755348.0	264	2	> 249	4
348880.0	160	0	150-199	2
260412.0	138	0	< 150	1
1654274.0	295	3	> 249	4
644488.0	142	0	< 150	1
1555347.0	278	3	> 249	4
634120.9999999999	114	0	< 150	1
1150496.0	263	3	> 249	4
243592.0	103	0	< 150	1
1827277.0	264	2	> 249	4
1222816.0	226	1	200-249	3
174564.0	102	0	< 150	1
348013.0	138	0	< 150	1
152134.0	164	0	150-199	2
395928.0	146	1	< 150	1
772659.0	256	2	> 249	4
1984200.0000000002	287	2	> 249	4
278577.0	164	0	150-199	2
1913334.0	293	2	> 249	4
455809.00000000006	191	0	150-199	2
