Family	ClassGroup	Class	InPhylo	WithOrWithout	Proportion	ProportionWith	TotalGenomes
Coriobacteriaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	7With	0.0	0.0	1266
Coriobacteriaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	6Without	1.0	0.0	1266
Coriobacteriaceae	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1266
Atopobiaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	7With	0.0017513134851138354	0.0017513134851138354	571
Atopobiaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	6Without	0.9982486865148862	0.0017513134851138354	571
Atopobiaceae	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0017513134851138354	571
Eggerthellaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	7With	0.0	0.0	589
Eggerthellaceae	5Other Actinomycetota	Coriobacteriia	In_Phylogeny	6Without	1.0	0.0	589
Eggerthellaceae	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	589
Solirubrobacteraceae	5Other Actinomycetota	Thermoleophilia	In_Phylogeny	7With	0.0	0.0	174
Solirubrobacteraceae	5Other Actinomycetota	Thermoleophilia	In_Phylogeny	6Without	1.0	0.0	174
Solirubrobacteraceae	5Other Actinomycetota	Thermoleophilia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	174
Rubrobacteraceae	5Other Actinomycetota	Rubrobacteria	In_Phylogeny	7With	0.0851063829787234	0.0851063829787234	47
Rubrobacteraceae	5Other Actinomycetota	Rubrobacteria	In_Phylogeny	6Without	0.9148936170212766	0.0851063829787234	47
Rubrobacteraceae	5Other Actinomycetota	Rubrobacteria	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0851063829787234	47
Ilumatobacteraceae	5Other Actinomycetota	Acidimicrobiia	In_Phylogeny	7With	0.0	0.0	343
Ilumatobacteraceae	5Other Actinomycetota	Acidimicrobiia	In_Phylogeny	6Without	1.0	0.0	343
Ilumatobacteraceae	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	343
Microtrichaceae	5Other Actinomycetota	Acidimicrobiia	In_Phylogeny	7With	0.0	0.0	109
Microtrichaceae	5Other Actinomycetota	Acidimicrobiia	In_Phylogeny	6Without	1.0	0.0	109
