gca	taxonomy	annotation_method	version_info	ncbi_annot_avail	funannotate_annot_avail	fasta_file	gff_file
GCA_025765595	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Obelidium;Obelidium mucronatum	NCBI GenBank	GCA_025765595.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_025765595.1_Obemuc1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025765595.1_Obemuc1_genomic.gff
GCA_000151295	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces macrogynus;Allomyces macrogynus ATCC 38327	funannotate	GCA_000151295.1	True	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151295/GCA_000151295.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151295/gene_prediction_results/predict_results/GCA_000151295.gff3
GCA_003705835	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Kockiozyma;Kockiozyma suomiensis	funannotate	GCA_003705835.2	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705835/GCA_003705835.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705835/gene_prediction_results/predict_results/GCA_003705835.gff3
GCA_000812075	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Microascales;Microascaceae;Scedosporium;Scedosporium aurantiacum	funannotate	GCA_000812075.1	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000812075/GCA_000812075.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000812075/gene_prediction_results/predict_results/GCA_000812075.gff3
GCA_027597005	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium;Phlyctochytrium bullatum	NCBI GenBank	GCA_027597005.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_027597005.1_ASM2759700v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027597005.1_ASM2759700v1_genomic.gff
GCA_027604105	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces hyalinus	NCBI GenBank	GCA_027604105.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_027604105.1_ASM2760410v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604105.1_ASM2760410v1_genomic.gff
GCA_900465125	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Leptosphaeriaceae;Plenodomus;Plenodomus lingam/Leptosphaeria maculans species complex;Plenodomus biglobosus;Plenodomus biglobosus/Leptosphaeria biglobosa 'brassicae' group	funannotate	GCA_900465125.1	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900465125/GCA_900465125.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900465125/gene_prediction_results/predict_results/GCA_900465125.gff3
GCA_900618795	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Ostropales;Stictidaceae;Cyanodermella;Cyanodermella asteris	funannotate	GCA_900618795.1	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900618795/GCA_900618795.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_900618795/gene_prediction_results/predict_results/GCA_900618795.gff3
GCA_027596175	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rhizoclosmatium;Rhizoclosmatium hyalinum	NCBI GenBank	GCA_027596175.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_027596175.1_ASM2759617v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027596175.1_ASM2759617v1_genomic.gff
GCA_004216415	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Aeminiaceae;Aeminium;Aeminium ludgeri	funannotate	GCA_004216415.1	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004216415/GCA_004216415.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004216415/gene_prediction_results/predict_results/GCA_004216415.gff3
GCA_002105155	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mortierellomycotina;Mortierellomycetes;Mortierellales;Mortierellaceae;Lobosporangium;Lobosporangium transversale	NCBI RefSeq	GCF_002105155.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_002105155.1_Lobtra1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_002105155.1_Lobtra1_genomic.gff
GCA_900120095	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum;Microbotryum silenes-dioicae	NCBI GenBank	GCA_900120095.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_900120095.1_MsdSdi1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_900120095.1_MsdSdi1_genomic.gff
GCA_002157105	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces;unclassified Piromyces;Piromyces sp. E2	NCBI GenBank	GCA_002157105.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_002157105.1_PirspE2_v1.0_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002157105.1_PirspE2_v1.0_genomic.gff
GCA_002105025	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Lindgomycetaceae;Clohesyomyces;Clohesyomyces aquaticus	NCBI GenBank	GCA_002105025.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_002105025.1_Cloaq1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002105025.1_Cloaq1_genomic.gff
GCA_000836295	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Venturiales;Sympoventuriaceae;Verruconis;Verruconis gallopava	funannotate	GCF_000836295.1	True	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000836295/GCA_000836295.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000836295/gene_prediction_results/predict_results/GCA_000836295.gff3
GCA_001557505	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Reticulascaceae;Reticulascus;Reticulascus tulasneorum	funannotate	GCA_001557505.1	False	True	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001557505/GCA_001557505.cleaned.sorted.masked.fa	/researchdrive_files/Personal/Rauf/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001557505/gene_prediction_results/predict_results/GCA_001557505.gff3
GCA_027603645	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;unclassified Gaertneriomyces;Gaertneriomyces sp. JEL0708	NCBI GenBank	GCA_027603645.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_027603645.1_ASM2760364v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027603645.1_ASM2760364v1_genomic.gff
GCA_001619985	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Xylonomycetes;Xylonales;Xylonaceae;Xylona;Xylona heveae;Xylona heveae TC161	NCBI RefSeq	GCF_001619985.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.gff
GCA_002261195	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Endogonomycetes;Endogonales;Endogonales incertae sedis;Bifiguratus;Bifiguratus adelaidae	NCBI GenBank	GCA_002261195.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes/GCA_002261195.1_ASM226119v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002261195.1_ASM226119v1_genomic.gff
GCA_000400465	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Wallemiomycotina;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia ichthyophaga;Wallemia ichthyophaga EXF-994	NCBI RefSeq	GCF_000400465.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.gff
