homolog_group	empirical_pvalue	lean	clade1_proportion_with_og	clade2_proportion_with_og	clade1_median_copy_count	clade2_median_copy_count
OG0000010	1.999980000199998e-05	Focal	0.8	0.15384615384615385	29.5	43.5
OG0000021	1.999980000199998e-05	Focal	0.7565217391304347	0.09615384615384616	9	8
OG0000031	1.999980000199998e-05	Focal	0.7217391304347827	0.038461538461538464	19	14.0
OG0000041	1.999980000199998e-05	Focal	0.7565217391304347	0.1346153846153846	11	13
OG0000049	1.999980000199998e-05	Focal	0.7652173913043478	0.07692307692307693	11.0	1.0
OG0000080	1.999980000199998e-05	Focal	0.8695652173913043	0.19230769230769232	10.5	2.0
OG0000084	1.999980000199998e-05	Focal	0.8434782608695652	0.21153846153846154	5	3
OG0000103	1.999980000199998e-05	Focal	0.9130434782608695	0.28846153846153844	5	5
OG0000111	1.999980000199998e-05	Focal	0.9217391304347826	0.17307692307692307	9.0	2
OG0000132	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	8.0	1
OG0000159	1.999980000199998e-05	Focal	0.9304347826086956	0.28846153846153844	7	2
OG0000165	1.999980000199998e-05	Focal	0.9478260869565217	0.25	6	3
OG0000185	1.999980000199998e-05	Focal	0.9739130434782609	0.2692307692307692	6.0	2.0
OG0000263	1.999980000199998e-05	Focal	0.782608695652174	0.11538461538461539	3.0	4.0
OG0000321	1.999980000199998e-05	Focal	0.7130434782608696	0.09615384615384616	4.0	3
OG0000351	1.999980000199998e-05	Focal	0.8347826086956521	0.11538461538461539	6.0	2.0
OG0000373	1.999980000199998e-05	Focal	0.7478260869565218	0.2692307692307692	5.0	2.0
OG0000389	1.999980000199998e-05	Focal	0.7391304347826086	0.21153846153846154	5	1
OG0000419	1.999980000199998e-05	Focal	0.9217391304347826	0.19230769230769232	4.5	2.0
OG0000431	1.999980000199998e-05	Focal	0.8434782608695652	0.21153846153846154	3	1
OG0000487	1.999980000199998e-05	Focal	0.9304347826086956	0.25	4	1
OG0000512	1.999980000199998e-05	Focal	0.782608695652174	0.057692307692307696	4.5	2
OG0000530	1.999980000199998e-05	Focal	0.7565217391304347	0.11538461538461539	5	3.5
OG0000563	1.999980000199998e-05	Focal	0.9130434782608695	0.28846153846153844	3	2
OG0000594	1.999980000199998e-05	Focal	1.0	0.23076923076923078	3	2.0
OG0000720	1.999980000199998e-05	Focal	0.8782608695652174	0.2692307692307692	2	1.0
OG0000760	1.999980000199998e-05	Focal	0.9739130434782609	0.25	3.0	1
OG0000779	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	3.0	3
OG0000807	1.999980000199998e-05	Focal	0.8173913043478261	0.25	3.0	1
OG0000880	1.999980000199998e-05	Focal	0.8869565217391304	0.17307692307692307	2.0	1
OG0001010	1.999980000199998e-05	Focal	0.7652173913043478	0.11538461538461539	4.0	1.5
OG0001032	1.999980000199998e-05	Focal	0.7565217391304347	0.11538461538461539	3	3.0
OG0001114	1.999980000199998e-05	Focal	0.9739130434782609	0.25	1.0	1
OG0001178	1.999980000199998e-05	Focal	0.8608695652173913	0.15384615384615385	3	1.5
OG0001192	1.999980000199998e-05	Focal	0.8	0.11538461538461539	2.0	1.0
OG0001213	1.999980000199998e-05	Focal	0.9739130434782609	0.1346153846153846	2.0	1
OG0001215	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	2.0	1
OG0001317	1.999980000199998e-05	Focal	0.8956521739130435	0.21153846153846154	2	1
OG0001365	1.999980000199998e-05	Focal	0.7304347826086957	0.23076923076923078	3.0	1.0
OG0001424	1.999980000199998e-05	Focal	0.7913043478260869	0.23076923076923078	2	1.0
OG0001473	1.999980000199998e-05	Focal	0.7565217391304347	0.21153846153846154	2	2
OG0001555	1.999980000199998e-05	Focal	0.782608695652174	0.23076923076923078	1.0	1.0
OG0001575	1.999980000199998e-05	Focal	0.8521739130434782	0.28846153846153844	1.0	1
OG0001608	1.999980000199998e-05	Focal	0.8347826086956521	0.15384615384615385	2.0	1.0
OG0001677	1.999980000199998e-05	Focal	0.9304347826086956	0.25	1	1
OG0001767	1.999980000199998e-05	Focal	0.7739130434782608	0.28846153846153844	1	1
