HOG	AF	LRT_Pvalue	Annotation_Category
HOG0025450	5.23E-01	4.00E-08	Carbohydrate utilization
HOG0027759	3.79E-01	1.48E-07	Carbohydrate utilization
HOG0026856	3.33E-01	4.01E-07	Carbohydrate utilization
HOG0032800	3.18E-01	4.54E-07	Carbohydrate utilization
HOG0015676	1.06E-01	6.70E-07	Carbohydrate utilization
HOG0038060	1.21E-01	8.33E-07	Carbohydrate utilization
HOG0036861	1.52E-01	9.16E-07	Carbohydrate utilization
HOG0012222	9.09E-02	2.60E-06	Carbohydrate utilization
HOG0032889	3.18E-01	2.73E-06	Carbohydrate utilization
HOG0029393	3.41E-01	3.23E-06	Carbohydrate utilization
HOG0031129	3.56E-01	4.02E-06	Carbohydrate utilization
HOG0033403	1.67E-01	4.17E-06	Carbohydrate utilization
HOG0029940	2.50E-01	4.17E-06	Carbohydrate utilization
HOG0001200	2.20E-01	3.18E-08	Cytochrome
HOG0007539	5.23E-01	3.93E-07	Cytochrome
HOG0025711	4.47E-01	2.04E-06	Cytochrome
HOG0001359	4.32E-01	2.51E-08	Het
HOG0001363	4.32E-01	6.03E-07	Het
HOG0024212	4.32E-01	9.98E-07	Het
HOG0028069	3.48E-01	2.18E-10	Hypothetical / other
HOG0041348	6.06E-02	2.93E-10	Hypothetical / other
HOG0027334	3.48E-01	4.20E-10	Hypothetical / other
HOG0040539	9.09E-02	5.05E-10	Hypothetical / other
HOG0031919	2.35E-01	2.00E-09	Hypothetical / other
HOG0024285	3.86E-01	2.92E-09	Hypothetical / other
HOG0029548	1.74E-01	3.04E-09	Hypothetical / other
HOG0027491	3.56E-01	3.12E-09	Hypothetical / other
HOG0038526	1.21E-01	3.45E-09	Hypothetical / other
HOG0028599	3.03E-01	4.54E-09	Hypothetical / other
HOG0028739	6.36E-01	5.45E-09	Hypothetical / other
HOG0030979	2.80E-01	5.71E-09	Hypothetical / other
HOG0040372	6.82E-02	7.37E-09	Hypothetical / other
HOG0032359	3.03E-01	9.19E-09	Hypothetical / other
HOG0031177	3.11E-01	2.25E-08	Hypothetical / other
HOG0036531	1.06E-01	2.78E-08	Hypothetical / other
HOG0019774	4.47E-01	3.00E-08	Hypothetical / other
HOG0030636	2.35E-01	3.13E-08	Hypothetical / other
HOG0036711	1.36E-01	3.64E-08	Hypothetical / other
HOG0028454	3.79E-01	5.23E-08	Hypothetical / other
HOG0029375	2.12E-01	6.66E-08	Hypothetical / other
HOG0044406	7.58E-02	1.02E-07	Hypothetical / other
HOG0027152	4.02E-01	1.04E-07	Hypothetical / other
HOG0035508	9.85E-02	1.15E-07	Hypothetical / other
HOG0042266	6.06E-02	1.18E-07	Hypothetical / other
HOG0022984	5.68E-01	1.23E-07	Hypothetical / other
HOG0031752	2.65E-01	1.31E-07	Hypothetical / other
HOG0034416	1.36E-01	1.58E-07	Hypothetical / other
HOG0026258	4.02E-01	1.62E-07	Hypothetical / other
HOG0032300	2.12E-01	1.64E-07	Hypothetical / other
HOG0032892	2.27E-01	1.79E-07	Hypothetical / other
HOG0032461	1.97E-01	2.38E-07	Hypothetical / other
HOG0042792	6.06E-02	2.42E-07	Hypothetical / other
HOG0048189	6.06E-02	2.52E-07	Hypothetical / other
HOG0033958	2.50E-01	2.99E-07	Hypothetical / other
HOG0024955	5.45E-01	3.23E-07	Hypothetical / other
HOG0031282	3.48E-01	3.34E-07	Hypothetical / other
HOG0030235	2.27E-01	3.59E-07	Hypothetical / other
HOG0039120	8.33E-02	3.96E-07	Hypothetical / other
HOG0034649	1.74E-01	4.06E-07	Hypothetical / other
HOG0027901	3.71E-01	4.24E-07	Hypothetical / other
HOG0030675	3.41E-01	4.66E-07	Hypothetical / other
HOG0029501	3.64E-01	4.72E-07	Hypothetical / other
HOG0031378	4.09E-01	4.91E-07	Hypothetical / other
HOG0031713	3.03E-01	5.17E-07	Hypothetical / other
HOG0031070	4.47E-01	5.82E-07	Hypothetical / other
HOG0033600	1.67E-01	6.42E-07	Hypothetical / other
HOG0029206	3.03E-01	6.83E-07	Hypothetical / other
HOG0034099	2.05E-01	6.85E-07	Hypothetical / other
HOG0032049	2.35E-01	6.95E-07	Hypothetical / other
HOG0042065	6.82E-02	8.02E-07	Hypothetical / other
HOG0032346	2.42E-01	8.10E-07	Hypothetical / other
HOG0035747	1.82E-01	8.39E-07	Hypothetical / other
HOG0027261	3.11E-01	8.45E-07	Hypothetical / other
HOG0026116	5.15E-01	8.97E-07	Hypothetical / other
HOG0043177	6.06E-02	9.32E-07	OTHER
HOG0038053	6.06E-02	1.09E-06	Hypothetical / other
HOG0029768	3.11E-01	1.17E-06	Hypothetical / other
HOG0036253	1.14E-01	1.19E-06	Hypothetical / other
HOG0047727	5.30E-02	1.21E-06	Hypothetical / other
HOG0029432	3.48E-01	1.23E-06	Hypothetical / other
HOG0030674	3.71E-01	1.27E-06	Hypothetical / other
HOG0025846	5.30E-01	1.40E-06	Hypothetical / other
HOG0037613	1.29E-01	1.45E-06	Hypothetical / other
HOG0043459	7.58E-02	1.50E-06	Hypothetical / other
HOG0036859	1.52E-01	1.52E-06	Hypothetical / other
HOG0029715	4.09E-01	1.52E-06	Hypothetical / other
HOG0030020	2.88E-01	1.55E-06	Hypothetical / other
HOG0029264	5.61E-01	1.71E-06	Hypothetical / other
HOG0032574	2.73E-01	1.73E-06	Hypothetical / other
HOG0036737	1.59E-01	1.85E-06	Hypothetical / other
HOG0036300	1.21E-01	1.90E-06	Hypothetical / other
HOG0028913	3.26E-01	1.96E-06	Hypothetical / other
HOG0026988	4.77E-01	2.06E-06	Hypothetical / other
HOG0029945	4.47E-01	2.09E-06	Hypothetical / other
HOG0031374	4.47E-01	2.09E-06	Hypothetical / other
HOG0027200	4.77E-01	2.15E-06	Hypothetical / other
HOG0031874	2.65E-01	2.20E-06	Hypothetical / other
HOG0035755	1.52E-01	2.33E-06	Hypothetical / other
HOG0038602	1.29E-01	2.40E-06	Hypothetical / other
HOG0030788	3.03E-01	2.47E-06	Hypothetical / other
HOG0000615	2.73E-01	2.50E-06	Hypothetical / other
HOG0042109	9.09E-02	2.67E-06	Hypothetical / other
HOG0028452	3.56E-01	2.75E-06	Hypothetical / other
HOG0026338	4.62E-01	2.89E-06	Hypothetical / other
HOG0004075	3.94E-01	2.90E-06	Hypothetical / other
HOG0030122	5.68E-01	2.91E-06	Hypothetical / other
HOG0040946	9.09E-02	3.32E-06	Hypothetical / other
HOG0029383	3.11E-01	3.49E-06	Hypothetical / other
HOG0031139	2.20E-01	3.53E-06	Hypothetical / other
HOG0004348	5.53E-01	3.77E-06	Hypothetical / other
HOG0033894	2.20E-01	3.79E-06	Hypothetical / other
HOG0037504	1.44E-01	4.00E-06	Hypothetical / other
HOG0033896	2.12E-01	4.09E-06	Hypothetical / other
HOG0042105	6.82E-02	4.11E-06	Hypothetical / other
HOG0033825	2.58E-01	4.11E-06	Hypothetical / other
HOG0027060	4.77E-01	2.74E-07	Methyltransferase
HOG0004590	1.21E-01	2.62E-06	Methyltransferase
HOG0001502	5.91E-01	3.43E-06	Methyltransferase
HOG0011221	3.11E-01	4.20E-06	Methyltransferase
HOG0026187	4.62E-01	5.16E-08	Hypothetical / other
HOG0006190	4.17E-01	5.61E-08	Hypothetical / other
HOG0026808	6.29E-01	2.65E-07	Hypothetical / other
HOG0032191	2.58E-01	7.54E-07	Hypothetical / other
HOG0035492	1.82E-01	2.52E-06	Hypothetical / other
HOG0009094	2.05E-01	1.71E-08	Peptidase / protease
HOG0034357	1.44E-01	8.26E-08	Peptidase / protease
HOG0038617	1.21E-01	1.26E-07	Peptidase / protease
HOG0037617	1.44E-01	5.37E-07	Peptidase / protease
HOG0035767	1.36E-01	1.34E-06	Peptidase / protease
HOG0031796	3.56E-01	1.46E-06	Peptidase / protease
HOG0007702	2.95E-01	1.54E-06	Peptidase / protease
HOG0027542	3.86E-01	1.63E-06	Peptidase / protease
HOG0032801	2.50E-01	3.09E-06	Peptidase / protease
HOG0036238	1.36E-01	3.25E-06	Peptidase / protease
HOG0003392	3.26E-01	1.26E-08	PKS
HOG0007950	4.32E-01	1.35E-07	PKS
HOG0003388	2.05E-01	7.32E-07	PKS
HOG0003159	6.82E-02	2.53E-06	PKS
HOG0002513	3.26E-01	5.22E-14	Redox
HOG0031756	2.42E-01	4.16E-10	Redox
HOG0006779	4.02E-01	2.22E-09	Redox
HOG0031457	2.27E-01	1.47E-08	Redox
HOG0002043	1.97E-01	1.91E-08	Redox
HOG0003838	3.41E-01	2.23E-08	Redox
HOG0003844	4.02E-01	5.90E-08	Redox
HOG0004212	2.12E-01	6.39E-08	Redox
HOG0027897	3.64E-01	8.10E-08	Redox
HOG0035751	1.67E-01	1.67E-07	Redox
HOG0031014	3.94E-01	1.88E-07	Redox
HOG0001464	1.52E-01	2.47E-07	Redox
HOG0004945	5.53E-01	2.81E-07	Redox
HOG0013354	1.36E-01	4.10E-07	Redox
HOG0016226	5.98E-01	4.10E-07	Redox
HOG0002392	2.58E-01	7.79E-07	Redox
HOG0026779	4.02E-01	1.22E-06	Redox
HOG0009688	2.35E-01	1.28E-06	Redox
HOG0003065	5.76E-01	1.32E-06	Redox
HOG0000412	4.62E-01	1.64E-06	Redox
HOG0009395	5.15E-01	1.95E-06	Redox
HOG0010862	4.62E-01	3.54E-06	Redox
HOG0025535	2.88E-01	3.94E-06	Redox
HOG0035202	1.52E-01	1.11E-08	Regulatory
HOG0025642	4.39E-01	8.88E-08	Regulatory
HOG0033713	2.05E-01	1.04E-07	Regulatory
HOG0030835	4.70E-01	4.60E-07	Regulatory
HOG0035483	1.74E-01	1.46E-06	Regulatory
HOG0031180	2.20E-01	1.86E-06	Regulatory
HOG0031220	3.56E-01	2.41E-06	Regulatory
HOG0008607	1.74E-01	2.56E-06	Regulatory
HOG0029632	3.94E-01	2.86E-06	Regulatory
HOG0025036	5.15E-01	3.22E-06	Regulatory
HOG0019140	6.29E-01	3.35E-06	Regulatory
HOG0025756	4.39E-01	3.46E-06	Regulatory
HOG0040500	7.58E-02	4.22E-06	Regulatory
HOG0032322	1.97E-01	2.25E-10	Terpene synthase
HOG0029427	3.41E-01	1.94E-08	Terpene synthase
HOG0028373	3.64E-01	7.42E-07	Terpene synthase
HOG0029657	3.64E-01	7.90E-07	Terpene synthase
HOG0010242	2.95E-01	7.00E-07	Transport
HOG0007362	3.26E-01	8.09E-07	Transport
HOG0035985	9.85E-02	1.05E-06	Transport
HOG0001893	3.41E-01	3.24E-06	Transport
HOG0006886	5.23E-01	3.40E-06	Transport
