group	bgc_category	full_count	strict_count	median_length
BGC_Enriched_Pezizomycotina	Metallophore	55.65086840844116	55.65086840844116	83692.5
BGC_Enriched_Pezizomycotina	NRPS	1138.5759699017833	669.87685290764	65911.0
BGC_Enriched_Pezizomycotina	PKS	1266.4487961264526	1266.4487961264526	67566.5
BGC_Enriched_Pezizomycotina	Terpene	441.5417789015033	441.5417789015033	31541.0
BGC_Enriched_Pezizomycotina	Other	694.2019896551153	109.19266383531914	90769.5
Agaricomycetes	Metallophore	18.88568848957301	18.88568848957301	19108.5
Agaricomycetes	NRPS	407.0272180749157	97.2106978485389	64318.0
Agaricomycetes	PKS	121.83875052300108	121.83875052300108	68277.0
Agaricomycetes	Terpene	523.0471251458899	523.0471251458899	31268.5
Agaricomycetes	Other	178.39287837748563	28.234634780119357	90822.0
Cyanobacteriota	Metallophore	60.0	60.0	78515.0
Cyanobacteriota	NRPS	499.13642979452055	399.76511130136987	50372.0
Cyanobacteriota	PKS	290.7885273972603	289.7885273972603	54754.0
Cyanobacteriota	Terpene	264.41404109589035	264.41404109589035	20930.0
Cyanobacteriota	Other	529.9777825342464	466.857234589041	23360.0
Myxococcota	Metallophore	8.583382654222627	8.583382654222627	63928.0
Myxococcota	NRPS	141.7597086273617	114.69410425677214	56737.0
Myxococcota	PKS	114.0	111.0	54302.0
Myxococcota	Terpene	61.217482358297296	61.217482358297296	21041.0
Myxococcota	Other	156.4607329842932	112.83059412702026	21965.0
Actinomycetota	Metallophore	277.3127955801105	275.3127955801105	26309.0
Actinomycetota	NRPS	981.6723093922651	870.9838232044198	57231.0
Actinomycetota	PKS	917.9057237569061	903.9057237569061	56986.0
Actinomycetota	Terpene	603.6794696132595	603.6794696132595	21041.0
Actinomycetota	Other	1351.644375690608	1187.3512486187847	22625.0
