DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	ResFams
COLOR	#000000
FIELD_LABELS	RF0002	RF0003	RF0004	RF0005	RF0006	RF0007	RF0027	RF0029	RF0030	RF0033	RF0034	RF0042	RF0043	RF0047	RF0049	RF0050	RF0051	RF0052	RF0053	RF0054	RF0055	RF0056	RF0057	RF0059	RF0065	RF0066	RF0067	RF0068	RF0070	RF0071	RF0072	RF0080	RF0083	RF0084	RF0089	RF0090	RF0098	RF0099	RF0100	RF0104	RF0105	RF0107	RF0111	RF0113	RF0115	RF0121	RF0123	RF0124	RF0125	RF0126	RF0127	RF0128	RF0133	RF0134	RF0135	RF0136	RF0150	RF0153	RF0154	RF0155	RF0158	RF0159	RF0166	RF0172	RF0173	RF0174
DATA
Mycobacteriaceae	0.006339259691052171	0.0001457301078402798	0.0002185951617604197	0.0002185951617604197	7.28650539201399e-05	2.0680559603614106	0.001967356455843777	0	0.002477411833284757	0.9105945788399883	0.010419702710580006	0	0	0	0	0.1176041970271058	0.19352958321189156	0	0.8834159137277762	0.2759399591955698	0.0136986301369863	0.002185951617604197	7.28650539201399e-05	0	7.28650539201399e-05	7.28650539201399e-05	0.061133780238997376	0.011075488195861264	7.28650539201399e-05	0.0001457301078402798	0.010711162926260566	7.28650539201399e-05	0	0.008452346254736228	0	0	0	0	0	0.011877003788982803	0.013771495190906442	0.6952054794520548	0	0	0	7.28650539201399e-05	0.8925969105217137	0.02389973768580589	0.010419702710580006	0.0020402215097639173	0.0003643252696006995	7.28650539201399e-05	0.008015155931215389	0.0410958904109589	0.00757796560769455	0	0	0	0.012168464004663364	0.016977557563392597	0.5175604779947537	7.28650539201399e-05	0.003133197318566016	0.17116001165840863	0.016030311862430778	0.000728650539201399
Dermatophilaceae	0.005763688760806916	0	0	0	0	2.38328530259366	0	0	0	0.011527377521613832	0	0	0	0	0	0.011527377521613832	0.040345821325648415	0	0.25360230547550433	0.3976945244956772	0	0	0	0	0	0	0.04899135446685879	0	0	0	0	0	0	0	0	0	0	0	0	0.15273775216138327	0	0.023054755043227664	0	0	0	0	0.42939481268011526	0.1642651296829971	0	0	0	0	0	0.15273775216138327	0	0	0	0	0.01440922190201729	0.07780979827089338	0	0	0	0.011527377521613832	0	0
Micrococcaceae	0.010526315789473684	0.017813765182186234	0	0.0008097165991902834	0.0008097165991902834	2.471255060728745	0.02186234817813765	0.004048582995951417	0.0016194331983805667	0.11093117408906883	0.011336032388663968	0	0	0	0	0.004048582995951417	0.0825910931174089	0	0.31902834008097164	0.5862348178137652	0	0	0	0	0	0	0.08016194331983806	0.005668016194331984	0	0	0	0	0	0	0.0008097165991902834	0	0	0	0	0.02186234817813765	0.004048582995951417	0.015384615384615385	0	0	0	0	0.8178137651821862	0.2194331983805668	0	0.004858299595141701	0.0016194331983805667	0	0.042105263157894736	0.03076923076923077	0.04129554655870445	0	0	0	0.004858299595141701	0.016194331983805668	0.006477732793522267	0	0.026720647773279354	0.013765182186234818	0.008097165991902834	0
Coriobacteriaceae	0.07109004739336493	0	0	0	0	6.388625592417061	0.0039494470774091624	0	0	0.0071090047393364926	0.001579778830963665	0	0	0.0007898894154818325	0.0007898894154818325	0.0007898894154818325	0.0007898894154818325	0	0.07345971563981042	0.44549763033175355	0	0	0	0	0	0	0.02448657187993681	0	0.02527646129541864	0	0	0	0	0	0	0	0	0.0007898894154818325	0	0.004739336492890996	0	0.22195892575039494	0	0.0007898894154818325	0	0	0.002369668246445498	0.002369668246445498	0.009478672985781991	0	0.004739336492890996	0	0.09004739336492891	0.005529225908372828	0.08135860979462875	0	0	0	0.9036334913112164	0.9494470774091627	0	0.02132701421800948	0.0039494470774091624	0.002369668246445498	0.001579778830963665	0
Cellulomonadaceae	0.13649851632047477	0.005934718100890208	0	0	0	2.4183976261127595	0.002967359050445104	0	0.002967359050445104	0.7655786350148368	0	0	0	0	0	0.09198813056379822	0.11275964391691394	0	0.28486646884273	0.10089020771513353	0	0	0	0	0	0	0.0771513353115727	0	0	0	0	0	0	0	0.002967359050445104	0	0.002967359050445104	0	0	0.06231454005934718	0.05341246290801187	0.002967359050445104	0	0	0	0	0.10089020771513353	0.002967359050445104	0	0.002967359050445104	0	0	0.002967359050445104	0.06231454005934718	0.002967359050445104	0.002967359050445104	0	0	0.026706231454005934	0.11275964391691394	0.01483679525222552	0	0.002967359050445104	0.09495548961424333	0.002967359050445104	0
Pseudonocardiaceae	0.20662768031189083	0	0	0	0	3.978557504873294	0	0	0.009746588693957114	0.31968810916179335	0	0	0	0	0	0.005847953216374269	0.6374269005847953	0	2.3430799220272904	0.8693957115009746	0	0.003898635477582846	0	0	0	0	0.2807017543859649	0.06042884990253411	0	0	0.22612085769980506	0	0	0	0	0	0	0	0	0.005847953216374269	0.5282651072124757	1.0467836257309941	0	0	0	0	2.9044834307992202	1.152046783625731	0	0	0.003898635477582846	0	0	0.015594541910331383	0	0	0	0	0.3391812865497076	0.5653021442495126	0.39571150097465885	0	0	0.0935672514619883	0.01364522417153996	0.02729044834307992
Microbacteriaceae	0.0077632217370208634	0.002911208151382824	0	0	0	2.4070839398350317	0.004366812227074236	0	0.0009704027171276079	0.4255215914604561	0	0	0	0	0	0.1567200388161087	0.06744298884036876	0	0.45754488112566716	0.11741872877244056	0	0.00048520135856380397	0	0.00048520135856380397	0	0	0.10043668122270742	0.001455604075691412	0	0	0	0	0	0	0	0	0.00048520135856380397	0	0	0.20281416787967008	0.09364386220281416	0.026200873362445413	0	0	0.00048520135856380397	0	0.11693352741387676	0.009218825812712276	0	0.0009704027171276079	0.07569141193595343	0	0	0.22852983988355166	0	0	0	0	0.09801067442988841	0.19796215429403202	0.028626880155264434	0.00048520135856380397	0.004366812227074236	0.008248423095584668	0.0009704027171276079	0
Nocardioidaceae	0.005	0.0025	0	0	0	2.8175	0	0	0	0.08	0	0	0	0	0	0.0175	0.0675	0	0.445	0.89	0	0	0	0	0	0	0.09	0	0	0	0.02	0	0	0	0	0	0	0	0	0.245	0.0975	0.0225	0	0	0	0	0.93	0.3075	0.0025	0.0025	0	0	0	0.2525	0	0	0	0	0.1125	0.19	0.0525	0	0	0.0175	0	0
Bifidobacteriaceae	0.03398259428097804	0	0	0	0	3.563613758806465	0	0.00870285951098218	0.003315375051802735	0.17944467467882305	0.0008288437629506838	0	0	0	0	0.0008288437629506838	0.0004144218814753419	0	0.15706589307915458	0.014090343970161625	0	0	0	0	0	0	0.08578532946539577	0	0.0004144218814753419	0	0	0	0	0	0	0	0	0	0	0.002900953170327393	0	0.4658101947782843	0	0.0008288437629506838	0	0	0.036883547451305426	0	0	0.0024865312888520514	0.0012432656444260257	0	0.19229175300455864	0.0037297969332780773	0.1732283464566929	0	0	0	0.009531703273932863	0.011603812681309573	0	0.08454206382096975	0.009117281392457521	0.0012432656444260257	0.00870285951098218	0
