Order	Other_BGC	NP_BGC
Chlorobiales	2	0
Ignavibacteriales	3	0
Flavobacteriales	2	0
Bacteroidales	2	0
Sphingobacteriales	2	1
Cytophagales	3	1
Rhodothermales	3	1
Balneolales	3	1
Gemmatimonadales	3	0
Borreliales	0	0
Treponematales	2	0
Leptospirales	1	0
Victivallales	2	0
Verrucomicrobiales	3	1
Chlamydiales	0	2
HIMB59	0	0
Pelagibacterales	1	0
Rickettsiales	0	0
Rs-D84	1	0
Acetobacterales	4	1
Rhodospirillales_A	4	0
Rhodobacterales	4	1
Rhizobiales	4	1
Caulobacterales	2	0
Sphingomonadales	2	1
Burkholderiales	4	0
Legionellales	2	3
Enterobacterales	3	1
Enterobacterales_A	3	1
Pseudomonadales	3	1
Francisellales	2	2
PS1	0	0
Methylococcales	4	2
Xanthomonadales	2	0
Campylobacterales	1	0
Desulfobacterales	5	2
Myxococcales	9	5
Desulfovibrionales	3	1
Nitrospirales	6	1
Actinomycetales	3	1
Propionibacteriales	2	1
Streptosporangiales	11	11
Streptomycetales	12	11
Mycobacteriales	9	8
Coriobacteriales	0	0
Clostridiales	3	0
Peptostreptococcales	2	0
Oscillospirales	2	0
TANB77	1	1
Lachnospirales	2	0
Tissierellales	2	0
Acholeplasmatales	1	0
Erysipelotrichales	1	0
Mycoplasmatales	0	0
Bacillales	3	1
Exiguobacterales	1	0
Bacillales_D	2	1
Staphylococcales	0	0
Lactobacillales	1	1
Paenibacillales	6	3
Veillonellales	1	0
Selenomonadales	2	0
PCC-6307	3	0
Cyanobacteriales	7	5
Vampirovibrionales	0	0
Deinococcales	1	1
Micrarchaeales	0	0
Sulfolobales	1	0
Methanobacteriales	2	1
Methanomassiliicoccales	1	0
Thermoplasmatales	0	0
Methanomicrobiales	3	0
Methanosarcinales	1	0
Halobacteriales	3	0
