order	median_genome_size	median_bgc_size	median_terpene_count	median_nrps_count	median_pks_count	median_oxy_count	median_cazy_count
Chlorobiales	2848671.0	56906.0	1.0	0.0	0.0	26.5	46.0
Ignavibacteriales	4192753.5	77157.0	2.0	0.0	0.0	35.0	71.5
Flavobacteriales	3340619.0	62019.0	1.0	0.0	0.0	21.0	53.0
Bacteroidales	3149227	47593.0	0.0	0.0	0.0	19.0	71.0
Sphingobacteriales	4791521	61949.99999999999	1.0	0.0	1.0	34.0	122.0
Cytophagales	5361527.0	109184.0	2.0	0.0	1.0	32.0	101.5
Rhodothermales	4092632.0	97735.5	2.0	0.0	1.0	35.0	66.5
Balneolales	3747171	94756.0	2.0	0.0	1.0	33.0	62.0
Gemmatimonadales	3794422.5	62137.5	1.0	0.0	0.0	35.0	64.0
Borreliales	1407357.5	0.0	0.0	0.0	0.0	4.0	27.5
Treponematales	3093697	41816.0	0.0	0.0	0.0	10.0	54.0
Leptospirales	4569184.5	36164.5	0.0	0.0	0.0	30.0	55.5
Victivallales	3533848	79035.0	0.0	0.0	0.0	6.0	75.0
Verrucomicrobiales	5321988	147962.0	2.0	0.0	1.0	31.0	86.0
Chlamydiales	1824478	74552.0	0.0	1.0	1.0	13.0	38.0
HIMB59	1506059	0.0	0.0	0.0	0.0	35.0	37.0
Pelagibacterales	1151222.5	21906.0	1.0	0.0	0.0	37.0	37.0
Rickettsiales	1524382.5	0.0	0.0	0.0	0.0	36.5	32.0
Rs-D84	874588	20795.0	0.0	0.0	0.0	1.0	26.0
Acetobacterales	3661230.5	128890.0	2.0	0.0	1.0	47.0	62.0
Rhodospirillales_A	3795985	112896.0	2.0	0.0	0.0	52.0	57.0
Rhodobacterales	4066668.0	123443.5	1.0	1.0	1.0	49.0	60.0
Rhizobiales	4632210.0	137333.5	1.0	0.0	0.0	51.0	63.0
Caulobacterales	3412615.0	68319.0	1.0	0.0	0.0	47.0	59.0
Sphingomonadales	3284759.5	92933.5	1.0	0.0	1.0	49.0	57.0
Burkholderiales	3942086	118918.0	1.0	0.0	0.0	44.0	56.0
Legionellales	2693432	191869.0	0.0	2.0	1.0	41.0	47.0
Enterobacterales	4317505	123682.0	0.0	1.0	0.0	39.0	68.0
Enterobacterales_A	3929165	61883.0	0.0	0.0	0.0	30.0	60.0
Pseudomonadales	4127484.5	107173.0	0.0	0.0	0.0	32.0	56.0
Francisellales	2298556	133494.0	0.0	1.0	0.0	32.0	50.0
PS1	1527313.0	0.0	0.0	0.0	0.0	32.0	37.0
Methylococcales	4558902	193674.0	1.0	2.0	0.0	30.0	60.0
Xanthomonadales	3854931.0	98274.0	0.0	0.0	0.0	45.0	69.0
Campylobacterales	2187002	21883.0	0.0	0.0	0.0	30.0	38.0
Desulfobacterales	5157696	222720.0	0.0	0.0	1.0	19.0	55.0
Myxococcales	6987298	327001.0	2.0	2.0	2.0	33.0	73.0
Desulfovibrionales	3720107	112208.0	0.0	0.0	0.0	21.0	50.0
Nitrospirales	3656130.0	164300.0	3.0	1.0	0.0	30.0	54.0
Actinomycetales	3481762.0	112239.5	1.0	0.0	1.0	25.0	63.0
Propionibacteriales	3889688.0	79266.5	0.0	0.0	0.0	37.0	66.5
Streptosporangiales	7798420.0	785163.5	4.0	5.0	6.0	38.0	92.0
Streptomycetales	8343587	1002089.0	5.0	6.0	6.0	40.0	105.0
Mycobacteriales	6514894	677422.0	3.0	5.0	3.0	38.0	80.0
Coriobacteriales	2279555.0	0.0	0.0	0.0	0.0	11.0	36.0
Clostridiales	4041404.0	75292.0	0.0	0.0	0.0	20.0	52.0
Peptostreptococcales	3122071	55079.0	0.0	0.0	0.0	12.0	44.0
Oscillospirales	2302061	41997.0	0.0	0.0	0.0	11.0	47.0
TANB77	1440023	64994.0	0.0	1.0	0.0	3.0	30.0
Lachnospirales	3168046.5	64522.0	0.0	0.0	0.0	12.0	60.0
Tissierellales	2347970.0	47024.5	0.0	0.0	0.0	11.0	39.5
Acholeplasmatales	1592722.5	20598.5	0.0	0.0	0.0	9.0	44.0
Erysipelotrichales	2506243	20261.0	0.0	0.0	0.0	17.0	45.0
Mycoplasmatales	887257.5	0.0	0.0	0.0	0.0	5.0	8.0
Bacillales	4289048	121316.0	1.0	0.0	1.0	35.0	57.0
Exiguobacterales	3202234.5	36307.5	1.5	0.0	0.0	23.5	61.5
Bacillales_D	3728451	93422.0	1.0	0.0	1.0	28.0	59.0
Staphylococcales	2329944.5	20585.0	0.0	0.0	0.0	24.0	42.0
Lactobacillales	2509470	41164.0	0.0	0.0	1.0	13.0	50.0
