Species
Chara braunii
Riccia fluitans
Klebsormidium nitens
Physcomitrium patens
Cephalotus follicularis
Riccia sorocarpa
Orobanche minor
Carica papaya
Phalaenopsis equestris
Zostera marina
Platanthera guangdongensis
Orobanche gracilis
Apostasia shenzhenica
Marchantia polymorpha subsp. ruderalis
Nicotiana attenuata
Ceratopteris richardii
Sphagnum fallax
Nepenthes gracilis
Arctium lappa
Platanthera zijinensis
Victoria cruziana
Marchantia paleacea
Dendrobium chrysotoxum
Orobanche hederae
Prunus avium
Drosera capensis
Cucumis melo
Cuscuta australis
Prunus armeniaca
Momordica charantia
Taraxacum kok-saghyz
Sphagnum compactum
Adiantum capillus-veneris
Benincasa hispida
Dendrobium nobile
Dendrobium thyrsiflorum
Dendrobium catenatum
Sphagnum troendelagicum
Sphagnum magellanicum
Spirodela intermedia
Centaurea solstitialis
Alnus glutinosa
Dorcoceras hygrometricum
Sphagnum jensenii
Asparagus officinalis
Elaeis guineensis
Gossypium australe
Macleaya cordata
Cucumis sativus
Sphagnum tenellum
Corylus avellana
Ulmus minor
Sarracenia purpurea var. burkii
Gossypium armourianum
Arabis nemorensis
Quercus lobata
Argentina anserina
Malania oleifera
Diphasiastrum complanatum
Gastrolobium bilobum
Castanea sativa
Canna indica
Carnegiea gigantea
Trapa natans
Ensete ventricosum
Phaseolus vulgaris
Lactuca sativa
Gypsophila vaccaria
Acorus gramineus
Saponaria officinalis
Ceratodon purpureus
Amborella trichopoda
Prunus persica
Nelumbo nucifera
Nymphaea thermarum
Nymphaea colorata
Lactuca serriola
Silene latifolia
Lathyrus oleraceus
Olea europaea var. sylvestris
Spinacia oleracea
Gossypium arboreum
Rhodiola kirilowii
Tasmannia lanceolata
Cornus florida
Erythranthe guttata
Arabidopsis halleri
Prunus dulcis
Striga asiatica
Rhododendron vialii
Ananas comosus
Rumex salicifolius
Zizania palustris
Theobroma cacao
Calypogeia fissa
Vigna angularis
Magnolia sinica
Helianthus annuus
Gossypium gossypioides
Juglans microcarpa x Juglans regia
Phoenix dactylifera
Quercus robur
Capsella rubella
Eutrema salsugineum
Persea americana
Vigna unguiculata
Rutidosis leptorrhynchoides
Fragaria vesca subsp. vesca
Turnera subulata
Amaranthus tricolor
Iris pallida
Rosa chinensis
Prunus mume
Curcuma longa
Erythranthe tilingii
Asimina triloba
Xanthoceras sorbifolium
Dioscorea cayenensis subsp. rotundata
Henckelia pumila
Cicer arietinum
Typha angustifolia
Lupinus angustifolius
Morus notabilis
Musa textilis
Prunus speciosa
Cannabis sativa
Juglans regia
Aristolochia fimbriata
Impatiens glandulifera
Sphagnum balticum
Liquidambar formosana
Vigna mungo
Beta vulgaris subsp. vulgaris
Diospyros lotus
Cynara cardunculus var. scolymus
Arabidopsis lyrata subsp. lyrata
Erythroxylum novogranatense
Rosa rugosa
Typha latifolia
Gossypium laxum
Herrania umbratica
Gossypium aridum
Salvia miltiorrhiza
Lathyrus sativus
Citrus x clementina
Quercus suber
Phtheirospermum japonicum
Salix koriyanagi
Protea cynaroides
Juncus effusus
Euphorbia lathyris
Prunus brigantina
Humulus lupulus
Arachis stenosperma
Gossypium trilobum
Dipteronia sinensis
Stephania cephalantha
Primulina tabacum
Bienertia sinuspersici
Salix suchowensis
Gossypium lobatum
Jatropha curcas
Parasponia andersonii
Stephania yunnanensis
Cardamine amara subsp. amara
Dioscorea sansibarensis
Gossypium davidsonii
Prunus campanulata
Gossypium harknessii
Musa banksii
Psophocarpus tetragonolobus
Phaseolus coccineus
Vitis riparia
Mikania cordata
Erythranthe nasuta
Manihot esculenta
Lupinus luteus
Lotus japonicus
Ricinus communis
Morella rubra
Cichorium intybus
Rhododendron molle
Carex littledalei
Salix udensis
Vitis vinifera
Salvia divinorum
Kingdonia uniflora
Aristolochia californica
Actinidia eriantha
Striga hermonthica
Carya illinoinensis
Primulina huaijiensis
Cucurbita moschata
Cajanus cajan
Lupinus albus
Pyrus x bretschneideri
Thlaspi arvense
Dipteronia dyeriana
Cucurbita maxima
Gossypium klotzschianum
Syzygium oleosum
Lithocarpus litseifolius
Rubus argutus
Taxus chinensis
Phlomoides rotata
Deinandra increscens subsp. villosa
Populus euphratica
Crotalaria pallida
Arachis duranensis
Gossypium raimondii
Cucurbita pepo subsp. pepo
Bertholletia excelsa
Musa balbisiana
Solanum lycopersicum
Rhodamnia argentea
Punica granatum
Vicia faba
Ipomoea nil
Arachis ipaensis
Tarenaya hassleriana
Flemingia macrophylla
Cucurbita argyrosperma subsp. sororia
Abeliophyllum distichum
Lycium barbarum
Ziziphus jujuba
Stephania japonica
Bidens hawaiensis
Gossypium schwendimanii
Zea mays
Primulina eburnea
Mercurialis annua
Dovyalis caffra
Mangifera indica
Rhododendron griersonianum
Gossypium stocksii
Brassica cretica
Canavalia gladiata
Pistacia vera
Rhododendron williamsianum
Castanea dentata
Arabidopsis thaliana
Ilex paraguariensis
Lithospermum erythrorhizon
Prosopis cineraria
Brassica oleracea var. oleracea
Musa troglodytarum
Pyrus communis
Acacia crassicarpa
Solanum dulcamara
Erigeron canadensis
Vicia villosa
Malus sylvestris
Ipomoea triloba
Malus domestica
Ranunculus cassubicifolius
Arabidopsis arenosa
Carpinus fangiana
Solanum pennellii
Brachypodium distachyon
Oryza brachyantha
Quercus rubra
Rhynchospora tenuis
Camellia sinensis var. sinensis
Eruca vesicaria subsp. sativa
Andrographis paniculata
Gentiana straminea
Trema orientale
Acer negundo
Acer saccharum
Salvia hispanica
Pyrus ussuriensis x Pyrus communis
Mikania micrantha
Eucalyptus globulus
Vigna radiata var. radiata
Senna tora
Microthlaspi erraticum
Sesamum indicum
Citrus sinensis
Catharanthus roseus
Solanum tuberosum
Melia azedarach
Sesbania bispinosa
Trifolium pratense
Neltuma alba
Oryza glaberrima
Lolium perenne
Pistacia atlantica
Abrus precatorius
Datura stramonium
Capsicum annuum
Sorghum bicolor
Oryza sativa Japonica Group
Heracleum sosnowskyi
Hevea brasiliensis
Gelsemium sempervirens
Setaria italica
Rubroshorea leprosula
Cinnamomum micranthum f. kanehirae
Acer yangbiense
Castilleja foliolosa
Sesamum alatum
Sesamum latifolium
Nyssa sinensis
Papaver atlanticum
Populus nigra
Durio zibethinus
Populus trichocarpa
Spatholobus suberectus
Panicum hallii
Tetracentron sinense
Buddleja alternifolia
Sphenostylis stenocarpa
Tagetes erecta
Vaccinium darrowii
Euphorbia peplus
Lycium ferocissimum
Lolium multiflorum
Camellia fascicularis
Aquilegia coerulea
Phragmites australis
Citrus x changshan-huyou
Setaria viridis
Dioscorea zingiberensis
Solanum pinnatisectum
Linum perenne
Zingiber officinale
Withania somnifera
Eucalyptus grandis
Tripterygium wilfordii
Raphanus sativus
Papaver bracteatum
Sinapis alba
Populus alba x Populus x berolinensis
Sesamum angustifolium
Solanum verrucosum
Melastoma candidum
Corymbia citriodora subsp. variegata
Populus alba
Daucus carota subsp. sativus
Helianthus anomalus
Diplodiscus trichospermus
Solanum bulbocastanum
Reevesia pubescens
Rhynchospora breviuscula
Acacia pycnantha
Syzygium grande
Anisodus tanguticus
Pistacia integerrima
Penstemon smallii
Sesamum angolense
Brassica rapa
Aristida adscensionis
Medicago truncatula
Rhamnella rubrinervis
Avena longiglumis
Escallonia rubra
Cryptomeria japonica
Chenopodium quinoa
Penstemon davidsonii
Linum trigynum
Dillenia turbinata
Selaginella moellendorffii
Coptis chinensis
Telopea speciosissima
Quillaja saponaria
Hibiscus trionum
Triticum urartu
Anisodus acutangulus
Solanum stenotomum
Pterospermum kingtungense
Oldenlandia corymbosa var. corymbosa
Sesamum calycinum
Cinchona calisaya
Glycine max
Citrus x aurantiifolia
Glycine soja
Forsythia ovata
Escallonia herrerae
Salvia splendens
Hibiscus syriacus
Coffea eugenioides
Alopecurus aequalis
Camellia lanceoleosa
Solanum stoloniferum
Avena strigosa
Hordeum vulgare subsp. vulgare
Arabidopsis suecica
Aegilops tauschii subsp. strangulata
Bauhinia variegata
Acorus calamus
Avena atlantica
Rehmannia glutinosa
Arabidopsis thaliana x Arabidopsis arenosa
Papaver somniferum
Avena eriantha
Macadamia integrifolia
Hibiscus cannabinus
Papaver californicum
Gossypium hirsutum
Arachis hypogaea
Miscanthus floridulus
Trifolium repens
Helianthus debilis subsp. tardiflorus
Papaver armeniacum
Festuca glaucescens
