phylum	species		median_relative_abundance	proportion_host_associated	total_metagenome_count	host_metagenome_count	environment_metagenome_count
Firmi_SpeciesLevel_Data	s__Paenibacillus_E sp021513275	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Bulleidia sp017510405	eukaryotic-host-associated	0.02	1.0	55	55	0
Firmi_SpeciesLevel_Data	s__Pristimantibacillus sp022180385	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Lachnoclostridium_B faecipullorum	eukaryotic-host-associated	0.125	0.9925373134328358	1206	1197	9
Firmi_SpeciesLevel_Data	s__UBA6857 sp934561055	eukaryotic-host-associated	0.08	1.0	41	41	0
Firmi_SpeciesLevel_Data	s__Sedimentibacter acidaminivorans	environmental	0.07500000000000001	0.038461538461538464	26	1	25
Firmi_SpeciesLevel_Data	s__Fournierella excrementavium	eukaryotic-host-associated	0.1	0.9606848446417248	1577	1515	62
Firmi_SpeciesLevel_Data	s__Paenibacillus odorifer	environmental	0.5700000000000001	0.08620689655172414	58	5	53
Firmi_SpeciesLevel_Data	s__Finegoldia magna_F	eukaryotic-host-associated	0.31	0.9877675840978594	654	646	8
Firmi_SpeciesLevel_Data	s__Streptococcus oralis_BS	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Saccharofermentans sp015069205	eukaryotic-host-associated	0.06	0.9118589743589743	624	569	55
Firmi_SpeciesLevel_Data	s__CAG-269 sp900553985	eukaryotic-host-associated	0.24	0.9951159951159951	819	815	4
Firmi_SpeciesLevel_Data	s__Vescimonas sp900313295	eukaryotic-host-associated	0.18	0.9522546419098143	1131	1077	54
Firmi_SpeciesLevel_Data	s__Streptococcus sp903645285	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Eubacterium_R sp023665085	eukaryotic-host-associated	0.5449999999999999	1.0	10	10	0
Firmi_SpeciesLevel_Data	s__Lentilactobacillus laojiaonis	environmental	7.025	0.0	2	0	2
Firmi_SpeciesLevel_Data	s__CAG-194 sp017482005	eukaryotic-host-associated	0.09	1.0	3	3	0
Firmi_SpeciesLevel_Data	s__Phascolarctobacterium_A sp934190775	eukaryotic-host-associated	0.13	0.971542025148908	1511	1468	43
Firmi_SpeciesLevel_Data	s__Coprovivens sp910584655	eukaryotic-host-associated	0.07	0.9399141630901288	233	219	14
Firmi_SpeciesLevel_Data	s__Lachnoanaerobaculum sp916439105	eukaryotic-host-associated	0.09	1.0	83	83	0
Firmi_SpeciesLevel_Data	s__Butyricicoccus sp900604335	eukaryotic-host-associated	0.05	0.9806201550387597	258	253	5
Firmi_SpeciesLevel_Data	s__Paenibacillus azoreducens	both	0.11	0.3333333333333333	6	2	4
Firmi_SpeciesLevel_Data	s__Veillonella denticariosi	eukaryotic-host-associated	0.135	0.9761904761904762	42	41	1
Firmi_SpeciesLevel_Data	s__Lachnoanaerobaculum sp000209465	eukaryotic-host-associated	0.13	0.9964912280701754	285	284	1
Firmi_SpeciesLevel_Data	s__CAG-353 sp018110985	eukaryotic-host-associated	0.04	1.0	32	32	0
Firmi_SpeciesLevel_Data	s__Paenibacillus peoriae	environmental	1.17	0.0	1	0	1
Firmi_SpeciesLevel_Data	s__Streptococcus sp905221295	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Coproplasma sp910586035	eukaryotic-host-associated	0.19	1.0	1431	1431	0
Firmi_SpeciesLevel_Data	s__Moorella thermoacetica_A	environmental	0.35000000000000003	0.0	2	0	2
Firmi_SpeciesLevel_Data	s__Vescimonas sp934591705	eukaryotic-host-associated	0.26	1.0	53	53	0
Firmi_SpeciesLevel_Data	s__Paenibacillus stellifer	both	0.185	0.4166666666666667	12	5	7
Firmi_SpeciesLevel_Data	s__Lactobacillus melliventris	eukaryotic-host-associated	4.13	0.987012987012987	308	304	4
Firmi_SpeciesLevel_Data	s__Clostridium saccharobutylicum	both	0.135	0.5	14	7	7
Firmi_SpeciesLevel_Data	s__Scatomorpha stercoravium	eukaryotic-host-associated	0.06	0.9649122807017544	57	55	2
Firmi_SpeciesLevel_Data	s__UMGS1865 sp015063325	eukaryotic-host-associated	0.035	1.0	60	60	0
Firmi_SpeciesLevel_Data	s__QALR01 sp003150035	eukaryotic-host-associated	0.04	0.8541666666666666	96	82	14
Firmi_SpeciesLevel_Data	s__CAG-1000 sp934096235	eukaryotic-host-associated	0.18	0.9921875	384	381	3
Firmi_SpeciesLevel_Data	s__Virgibacillus jordanicus	environmental	1.57	0.13793103448275862	29	4	25
Firmi_SpeciesLevel_Data	s__Limadaptatus sp900545885	eukaryotic-host-associated	0.54	1.0	285	285	0
Firmi_SpeciesLevel_Data	s__UBA737 sp017403065	eukaryotic-host-associated	0.05	0.891566265060241	83	74	9
Firmi_SpeciesLevel_Data	s__Eisenbergiella sp900539715	eukaryotic-host-associated	0.43	0.9938359412043622	2109	2096	13
Firmi_SpeciesLevel_Data	s__UBA636 sp017431825	eukaryotic-host-associated	0.05	0.9705882352941176	34	33	1
Firmi_SpeciesLevel_Data	s__Staphylococcus pseudoxylosus	eukaryotic-host-associated	0.25	0.8055555555555556	72	58	14
Firmi_SpeciesLevel_Data	s__Coprosoma sp934183155	eukaryotic-host-associated	0.08499999999999999	0.9850746268656716	134	132	2
Firmi_SpeciesLevel_Data	s__Liquorilactobacillus cacaonum	environmental	7.535	0.0	20	0	20
Firmi_SpeciesLevel_Data	s__Gemmiger sp900540595	eukaryotic-host-associated	0.28	0.9788199697428139	7271	7117	154
Firmi_SpeciesLevel_Data	s__Priestia megaterium_B	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Enterococcus quebecensis	eukaryotic-host-associated	0.95	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Caldicellulosiruptor acetigenus	environmental	0.54	0.0	16	0	16
Firmi_SpeciesLevel_Data	s__Borkfalkia sp944368775	eukaryotic-host-associated	0.13	0.9259259259259259	108	100	8
Firmi_SpeciesLevel_Data	s__Streptococcus mitis_O	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Ruminococcus flavefaciens_C	eukaryotic-host-associated	0.065	0.75	64	48	16
Firmi_SpeciesLevel_Data	s__UBA3282 sp910575245	eukaryotic-host-associated	0.12	1.0	1107	1107	0
Firmi_SpeciesLevel_Data	s__PeH17 sp001940845	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__UBA2450 sp017447165	eukaryotic-host-associated	0.05	1.0	304	304	0
Firmi_SpeciesLevel_Data	s__Selenomonas_A sp008271295	eukaryotic-host-associated	0.045	0.98	50	49	1
Firmi_SpeciesLevel_Data	s__Gallimonas sp944376295	eukaryotic-host-associated	0.3	0.9783393501805054	277	271	6
Firmi_SpeciesLevel_Data	s__CAG-590 sp900544905	eukaryotic-host-associated	0.27	0.9945054945054945	182	181	1
Firmi_SpeciesLevel_Data	s__Aphodocola sp944329425	eukaryotic-host-associated	0.07	0.7723577235772358	246	190	56
Firmi_SpeciesLevel_Data	s__F23-B02 sp004556755	eukaryotic-host-associated	0.31	0.9209466263846928	1986	1829	157
Firmi_SpeciesLevel_Data	s__Sporosarcina sp022346605	environmental	0.09	0.16666666666666666	6	1	5
Firmi_SpeciesLevel_Data	s__Terrisporobacter sp902363255	eukaryotic-host-associated	0.06	0.9727030625832224	1502	1461	41
Firmi_SpeciesLevel_Data	s__Faecalibacterium avium	eukaryotic-host-associated	0.15	0.9288461538461539	520	483	37
Firmi_SpeciesLevel_Data	s__Onthovivens sp017477255	eukaryotic-host-associated	0.01	1.0	31	31	0
Firmi_SpeciesLevel_Data	s__Tetragenococcus koreensis	environmental	1.49	0.0	3	0	3
Firmi_SpeciesLevel_Data	s__Exiguobacterium_A acetylicum_B	both	0.4	0.25925925925925924	27	7	20
Firmi_SpeciesLevel_Data	s__Weissella hellenica	both	0.33	0.5925925925925926	27	16	11
Firmi_SpeciesLevel_Data	s__Ruminococcus_E bromii_B	eukaryotic-host-associated	1.29	0.9478054227388554	34927	33104	1823
Firmi_SpeciesLevel_Data	s__Weissella paramesenteroides	both	0.25	0.4444444444444444	396	176	220
Firmi_SpeciesLevel_Data	s__CAG-510 sp900551115	eukaryotic-host-associated	0.02	0.8636363636363636	22	19	3
Firmi_SpeciesLevel_Data	s__Terrisporobacter petrolearius	both	0.22	0.6346153846153846	104	66	38
Firmi_SpeciesLevel_Data	s__Streptococcus cristatus_E	eukaryotic-host-associated	3.28	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__F23-B02 sp900545805	eukaryotic-host-associated	0.21	0.9805825242718447	618	606	12
Firmi_SpeciesLevel_Data	s__Gemmiger sp900545545	eukaryotic-host-associated	0.67	0.9817518248175182	822	807	15
Firmi_SpeciesLevel_Data	s__Lactococcus_A reticulitermitis	both	0.15	0.6842105263157895	19	13	6
Firmi_SpeciesLevel_Data	s__Streptococcus cristatus_D	eukaryotic-host-associated	0.14	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__CAG-41 sp010206265	eukaryotic-host-associated	0.08	0.9863013698630136	438	432	6
Firmi_SpeciesLevel_Data	s__UBA10281 sp000437515	eukaryotic-host-associated	0.3	0.9971284996410624	1393	1389	4
Firmi_SpeciesLevel_Data	s__Sellimonas caecigallum	eukaryotic-host-associated	0.09	0.971830985915493	284	276	8
Firmi_SpeciesLevel_Data	s__Streptococcus oralis_BC	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Streptococcus mitis_BL	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Lactiplantibacillus songbeiensis	environmental	0.06	0.09090909090909091	11	1	10
Firmi_SpeciesLevel_Data	s__Ruminiclostridium_E sp934454635	eukaryotic-host-associated	0.12	1.0	123	123	0
Firmi_SpeciesLevel_Data	s__Eubacterium_R sp900539425	eukaryotic-host-associated	0.735	0.9464285714285714	392	371	21
Firmi_SpeciesLevel_Data	s__UBA3282 sp014804485	eukaryotic-host-associated	0.36	1.0	24	24	0
Firmi_SpeciesLevel_Data	s__Porcincola sp902800805	eukaryotic-host-associated	0.09	0.9445214979195562	721	681	40
Firmi_SpeciesLevel_Data	s__Gemmiger sp934561205	eukaryotic-host-associated	0.11	0.9943396226415094	530	527	3
Firmi_SpeciesLevel_Data	s__1XD42-69 sp014287635	eukaryotic-host-associated	0.06	0.9995145631067961	2060	2059	1
Firmi_SpeciesLevel_Data	s__Faecousia sp020025595	eukaryotic-host-associated	0.15	1.0	19	19	0
Firmi_SpeciesLevel_Data	s__Vescimonas sp900554275	eukaryotic-host-associated	0.34	0.9826370048833424	1843	1811	32
Firmi_SpeciesLevel_Data	s__Brevibacillus sp013284355	eukaryotic-host-associated	4.39	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Pediococcus damnosus	both	58.24	0.3333333333333333	3	1	2
Firmi_SpeciesLevel_Data	s__Lacticaseibacillus chiayiensis	both	0.135	0.5	4	2	2
Firmi_SpeciesLevel_Data	s__Fournierella pullicola	eukaryotic-host-associated	0.11	0.9724950884086444	509	495	14
Firmi_SpeciesLevel_Data	s__UBA629 sp005465875	eukaryotic-host-associated	4.62	0.9528301886792453	106	101	5
Firmi_SpeciesLevel_Data	s__Clostridium cagae	both	0.24	0.36363636363636365	11	4	7
Firmi_SpeciesLevel_Data	s__Aphodocola sp910580185	eukaryotic-host-associated	0.07	1.0	66	66	0
Firmi_SpeciesLevel_Data	s__Vagococcus fluvialis_A	both	0.09	0.7058823529411765	17	12	5
Firmi_SpeciesLevel_Data	s__Gemella haemolysans	eukaryotic-host-associated	0.32	0.9831223628691983	711	699	12
Firmi_SpeciesLevel_Data	s__Mycoplasmopsis_A sp019720735	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Oceanobacillus sojae_A	environmental	0.305	0.08333333333333333	12	1	11
Firmi_SpeciesLevel_Data	s__Acidaminococcus sp000437815	eukaryotic-host-associated	0.23	0.9772727272727273	440	430	10
Firmi_SpeciesLevel_Data	s__Sarcina massiliamazoniense	eukaryotic-host-associated	0.1	1.0	225	225	0
Firmi_SpeciesLevel_Data	s__Cytobacillus horneckiae	both	0.1	0.4117647058823529	17	7	10
Firmi_SpeciesLevel_Data	s__ER4 sp000765235	eukaryotic-host-associated	0.52	0.9750048014925783	36447	35536	911
Firmi_SpeciesLevel_Data	s__Ruminiclostridium herbifermentans	environmental	0.32	0.16666666666666666	6	1	5
Firmi_SpeciesLevel_Data	s__Halobacillus litoralis	both	0.04	0.3333333333333333	3	1	2
Firmi_SpeciesLevel_Data	s__Planococcus maritimus_C	environmental	0.26	0.0	11	0	11
Firmi_SpeciesLevel_Data	s__Planococcus donghaensis	both	0.11	0.6	5	3	2
Firmi_SpeciesLevel_Data	s__Levilactobacillus huananensis	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Limosilactobacillus intestinigallinarum	eukaryotic-host-associated	0.165	0.775	40	31	9
Firmi_SpeciesLevel_Data	s__Caccovicinus excrementipullorum	eukaryotic-host-associated	0.05	0.9212827988338192	343	316	27
Firmi_SpeciesLevel_Data	s__Quinella sp017527075	eukaryotic-host-associated	0.09	0.9900990099009901	101	100	1
Firmi_SpeciesLevel_Data	s__UBA10281 sp900764105	eukaryotic-host-associated	0.1	0.9873737373737373	1188	1173	15
Firmi_SpeciesLevel_Data	s__Caecibacter sp900549385	eukaryotic-host-associated	1.27	0.98989898989899	297	294	3
Firmi_SpeciesLevel_Data	s__Aneurinibacillus thermoaerophilus	environmental	0.16	0.15384615384615385	13	2	11
Firmi_SpeciesLevel_Data	s__Psychrobacillus psychrodurans	both	0.1	0.5135135135135135	37	19	18
Firmi_SpeciesLevel_Data	s__Thermoanaerobacter ethanolicus	environmental	2.395	0.0	12	0	12
Firmi_SpeciesLevel_Data	s__Virgibacillus halodenitrificans	eukaryotic-host-associated	0.03	1.0	4	4	0
Firmi_SpeciesLevel_Data	s__CAG-170 sp934646005	eukaryotic-host-associated	0.06	0.9985029940119761	668	667	1
