GCA	Phylum_or_Clade	Complete_BGC_Count	BGCome_Size	Strict_NRPS_or_PKSome_Size	Color	Grid
GCA_000392275	1. Pezizomycotina	19.0	1.469578	0.649291	haploid-dominant	1 Pez
GCA_003016335	1. Pezizomycotina	56.0	4.436637	2.508726	haploid-dominant	1 Pez
GCA_025602915	8. Other Zoosporic and Basal Fungi	4.0	0.174597	0.0	polyploid-dominant	2 other
GCA_001600175	2. Non-Yeast Basidimycota	5.0	0.217595	0.0	polyploid-dominant	2 other
GCA_003086735	5. Zoopagomycota	0.0	0.088475	0.0	polyploid-dominant	2 other
GCA_025765595	8. Other Zoosporic and Basal Fungi	7.0	0.51207	0.288691	polyploid-dominant	2 other
GCA_025602895	8. Other Zoosporic and Basal Fungi	61.0	4.288817	0.245708	polyploid-dominant	2 other
GCA_002162545	1. Pezizomycotina	41.0	3.179834	1.930214	haploid-dominant	1 Pez
GCA_000328475	3. Yeast Dikarya	9.0	0.715389	0.248757	yeast	2 other
GCA_003988945	1. Pezizomycotina	7.0	1.929239	1.237315	haploid-dominant	1 Pez
GCA_001574975	8. Other Zoosporic and Basal Fungi	5.0	0.196268	0.0	polyploid-dominant	2 other
GCA_002368545	1. Pezizomycotina	27.0	2.20774	1.274752	haploid-dominant	1 Pez
GCA_000760515	8. Other Zoosporic and Basal Fungi	0.0	0.0	0.0	polyploid-dominant	2 other
GCA_003385255	1. Pezizomycotina	15.0	2.142944	1.521628	haploid-dominant	1 Pez
GCA_001619985	1. Pezizomycotina	24.0	1.62267	0.996325	haploid-dominant	1 Pez
GCA_000354255	1. Pezizomycotina	40.0	3.835495	2.126181	haploid-dominant	1 Pez
GCA_002572855	1. Pezizomycotina	10.0	1.097976	0.30884	haploid-dominant	1 Pez
GCA_002105135	4. Mucoromycota	12.0	0.539213	0.0	haploid-dominant	2 other
GCA_001692915	1. Pezizomycotina	3.0	1.768264	1.133382	haploid-dominant	1 Pez
GCA_026937265	8. Other Zoosporic and Basal Fungi	0.0	0.013589	0.0	polyploid-dominant	2 other
GCA_001600815	3. Yeast Dikarya	4.0	0.275433	0.0	yeast	2 other
GCA_000836295	1. Pezizomycotina	15.0	1.292979	0.449668	haploid-dominant	1 Pez
GCA_000708205	2. Non-Yeast Basidimycota	9.0	0.414063	0.064279	polyploid-dominant	2 other
GCA_900290415	1. Pezizomycotina	34.0	2.496526	1.77992	haploid-dominant	1 Pez
GCA_000235945	8. Other Zoosporic and Basal Fungi	2.0	0.120061	0.0	polyploid-dominant	2 other
GCA_000349385	1. Pezizomycotina	19.0	3.267375	2.113989	haploid-dominant	1 Pez
GCA_025558095	8. Other Zoosporic and Basal Fungi	5.0	0.243785	0.0	polyploid-dominant	2 other
GCA_000721755	1. Pezizomycotina	24.0	1.936074	0.807297	haploid-dominant	1 Pez
GCA_900073065	1. Pezizomycotina	68.0	5.505573	2.234234	haploid-dominant	1 Pez
GCA_004335205	1. Pezizomycotina	9.0	2.115583	1.243556	haploid-dominant	1 Pez
GCA_027604685	8. Other Zoosporic and Basal Fungi	0.0	0.209071	0.059559	polyploid-dominant	2 other
GCA_027600665	8. Other Zoosporic and Basal Fungi	0.0	0.360067	0.245252	polyploid-dominant	2 other
GCA_002778095	1. Pezizomycotina	23.0	1.597277	0.82556	haploid-dominant	1 Pez
GCA_001661345	3. Yeast Dikarya	1.0	0.071698	0.0	yeast	2 other
GCA_002916505	1. Pezizomycotina	8.0	1.758394	1.154963	haploid-dominant	1 Pez
