Protein	Chrom	Position	Type
GCA_002865625|CDS_592	KZ613464.1	1744019.0	Other
GCA_002865625|CDS_1240	KZ613466.1	90640.0	Other
GCA_002865625|CDS_5544	KZ613475.1	836416.0	Other
GCA_002865625|CDS_1854	KZ613467.1	305220.0	Other
GCA_002865625|CDS_1975	KZ613467.1	715880.5	HET
GCA_002865625|CDS_5749	KZ613476.1	425059.0	HET
GCA_002865625|CDS_1044	KZ613465.1	1054903.0	HET
GCA_002865625|CDS_3487	KZ613470.1	1259756.5	HET
GCA_002865625|CDS_6085	KZ613477.1	341836.5	HET
GCA_002865625|CDS_1021	KZ613465.1	1005875.5	HET
GCA_002865625|CDS_483	KZ613464.1	1336748.5	HET
GCA_002865625|CDS_4782	KZ613474.1	68857.0	HET
GCA_002865625|CDS_124	KZ613464.1	325958.0	HET
GCA_002865625|CDS_466	KZ613464.1	1286991.5	HET
GCA_002865625|CDS_384	KZ613464.1	1017860.5	HET
GCA_002865625|CDS_6081	KZ613477.1	329285.5	HET
GCA_002865625|CDS_432	KZ613464.1	1164205.5	HET
GCA_002865625|CDS_6075	KZ613477.1	300825.0	HET
GCA_002865625|CDS_3052	KZ613469.1	1094652.0	HET
GCA_002865625|CDS_1286	KZ613466.1	245991.5	HET
GCA_002865625|CDS_398	KZ613464.1	1069195.5	HET
GCA_002865625|CDS_3640	KZ613471.1	349411.5	HET
GCA_002865625|CDS_2714	KZ613469.1	130150.5	HET
GCA_002865625|CDS_2544	KZ613468.1	893461.0	HET
GCA_002865625|CDS_3347	KZ613470.1	695864.5	HET
GCA_002865625|CDS_5603	KZ613475.1	1026402.5	HET
GCA_002865625|CDS_1244	KZ613466.1	102810.0	HET
GCA_002865625|CDS_5533	KZ613475.1	808653.5	HET
GCA_002865625|CDS_2308	KZ613468.1	224643.5	HET
GCA_002865625|CDS_1121	KZ613465.1	1290389.0	HET
GCA_002865625|CDS_2619	KZ613468.1	1138676.0	HET
GCA_002865625|CDS_3310	KZ613470.1	506005.0	HET
GCA_002865625|CDS_3319	KZ613470.1	530833.0	HET
GCA_002865625|CDS_1365	KZ613466.1	547442.5	HET
GCA_002865625|CDS_2537	KZ613468.1	863600.5	HET
GCA_002865625|CDS_4062	KZ613472.1	387799.0	HET
GCA_002865625|CDS_1989	KZ613467.1	751200.5	HET
GCA_002865625|CDS_1927	KZ613467.1	525782.5	HET
GCA_002865625|CDS_5723	KZ613476.1	370890.0	HET
GCA_002865625|CDS_2594	KZ613468.1	1052267.0	HET
GCA_002865625|CDS_2062	KZ613467.1	955642.0	HET
GCA_002865625|CDS_2407	KZ613468.1	480904.0	HET
GCA_002865625|CDS_5748	KZ613476.1	422542.0	HET
GCA_002865625|CDS_1167	KZ613465.1	1439461.0	HET
GCA_002865625|CDS_6149	KZ613477.1	579984.5	HET
GCA_002865625|CDS_3313	KZ613470.1	516370.5	HET
GCA_002865625|CDS_1165	KZ613465.1	1421343.0	HET
GCA_002865625|CDS_1274	KZ613466.1	198301.0	HET
GCA_002865625|CDS_3500	KZ613470.1	1301949.5	HET
GCA_002865625|CDS_3070	KZ613469.1	1163902.0	HET
GCA_002865625|CDS_3375	KZ613470.1	850764.0	HET
GCA_002865625|CDS_4699	KZ613473.1	1112955.0	HET
GCA_002865625|CDS_2980	KZ613469.1	832872.5	HET
GCA_002865625|CDS_5020	KZ613474.1	659824.0	HET
GCA_002865625|CDS_5677	KZ613476.1	192875.5	HET
GCA_002865625|CDS_1344	KZ613466.1	407537.0	HET
GCA_002865625|CDS_458	KZ613464.1	1244418.5	HET
GCA_002865625|CDS_2148	KZ613467.1	1168185.5	HET
GCA_002865625|CDS_621	KZ613464.1	1823566.5	HET
GCA_002865625|CDS_3989	KZ613472.1	57200.5	HET
GCA_002865625|CDS_4829	KZ613474.1	186313.0	HET
GCA_002865625|CDS_5921	KZ613476.1	913849.0	HET
GCA_002865625|CDS_5132	KZ613474.1	937641.0	HET
GCA_002865625|CDS_4246	KZ613472.1	922724.0	HET
GCA_002865625|CDS_2380	KZ613468.1	412278.5	HET
GCA_002865625|CDS_412	KZ613464.1	1098769.0	HET
GCA_002865625|CDS_4091	KZ613472.1	447881.0	HET
GCA_002865625|CDS_6102	KZ613477.1	415238.5	HET
GCA_002865625|CDS_2891	KZ613469.1	599112.0	HET
GCA_002865625|CDS_4017	KZ613472.1	162063.5	HET
GCA_002865625|CDS_2562	KZ613468.1	956513.0	HET
GCA_002865625|CDS_4015	KZ613472.1	157457.5	HET
GCA_002865625|CDS_6060	KZ613477.1	255124.5	HET
GCA_002865625|CDS_1844	KZ613467.1	276546.5	HET
GCA_002865625|CDS_4111	KZ613472.1	508860.5	HET
GCA_002865625|CDS_5582	KZ613475.1	938139.0	HET
GCA_002865625|CDS_2126	KZ613467.1	1117749.5	HET
GCA_002865625|CDS_3516	KZ613471.1	32664.5	HET
GCA_002865625|CDS_970	KZ613465.1	869675.0	HET
GCA_002865625|CDS_6164	KZ613477.1	641930.5	HET
GCA_002865625|CDS_1356	KZ613466.1	490192.5	HET
GCA_002865625|CDS_4770	KZ613474.1	27408.0	HET
GCA_002865625|CDS_5403	KZ613475.1	497466.5	HET
GCA_002865625|CDS_3336	KZ613470.1	606583.5	HET
GCA_002865625|CDS_531	KZ613464.1	1517921.5	HET
GCA_002865625|CDS_581	KZ613464.1	1699631.5	HET
GCA_002865625|CDS_2110	KZ613467.1	1073590.5	HET
GCA_002865625|CDS_3026	KZ613469.1	1016028.5	HET
GCA_002865625|CDS_2042	KZ613467.1	912455.5	HET
GCA_002865625|CDS_1272	KZ613466.1	163458.5	HET
GCA_002865625|CDS_2595	KZ613468.1	1055447.0	HET
GCA_002865625|CDS_3445	KZ613470.1	1118559.5	HET
GCA_002865625|CDS_494	KZ613464.1	1376616.5	HET
GCA_002865625|CDS_3498	KZ613470.1	1295489.0	HET
GCA_002865625|CDS_5604	KZ613475.1	1030291.0	HET
GCA_002865625|CDS_514	KZ613464.1	1454681.5	HET
GCA_002865625|CDS_1350	KZ613466.1	472550.0	HET
GCA_002865625|CDS_952	KZ613465.1	813799.0	HET
GCA_002865625|CDS_2946	KZ613469.1	748114.5	HET
GCA_002865625|CDS_1996	KZ613467.1	767231.5	HET
GCA_002865625|CDS_2228	KZ613467.1	1446001.0	HET
GCA_002865625|CDS_643	KZ613464.1	1915742.5	HET
GCA_002865625|CDS_135	KZ613464.1	355000.5	HET
GCA_002865625|CDS_4735	KZ613473.1	1191775.0	HET
GCA_002865625|CDS_5569	KZ613475.1	903563.5	HET
GCA_002865625|CDS_343	KZ613464.1	912556.5	HET
GCA_002865625|CDS_478	KZ613464.1	1323121.0	HET
GCA_002865625|CDS_4604	KZ613473.1	820642.0	HET
GCA_002865625|CDS_2226	KZ613467.1	1438576.0	HET
GCA_002865625|CDS_2350	KZ613468.1	336628.0	HET
GCA_002865625|CDS_563	KZ613464.1	1644318.5	HET
GCA_002865625|CDS_6072	KZ613477.1	290620.0	HET
GCA_002865625|CDS_600	KZ613464.1	1762408.5	HET
GCA_002865625|CDS_430	KZ613464.1	1161176.5	HET
GCA_002865625|CDS_4055	KZ613472.1	344598.0	HET
GCA_002865625|CDS_2212	KZ613467.1	1395274.5	HET
GCA_002865625|CDS_6094	KZ613477.1	375769.0	HET
GCA_002865625|CDS_5926	KZ613476.1	925105.0	HET
GCA_002865625|CDS_6116	KZ613477.1	472844.0	HET
GCA_002865625|CDS_2638	KZ613468.1	1183653.5	HET
GCA_002865625|CDS_6044	KZ613477.1	191484.0	HET
GCA_002865625|CDS_6144	KZ613477.1	564181.0	HET
GCA_002865625|CDS_2982	KZ613469.1	838278.0	HET
GCA_002865625|CDS_1413	KZ613466.1	692486.5	HET
GCA_002865625|CDS_3654	KZ613471.1	376636.0	HET
GCA_002865625|CDS_6039	KZ613477.1	175786.0	HET
GCA_002865625|CDS_1096	KZ613465.1	1203134.5	Other
GCA_002865625|CDS_1064	KZ613465.1	1113013.5	HET
GCA_002865625|CDS_5834	KZ613476.1	694911.5	Other
GCA_002865625|CDS_1361	KZ613466.1	527522.0	HET
GCA_002865625|CDS_4645	KZ613473.1	954527.0	HET
GCA_002865625|CDS_4810	KZ613474.1	146969.5	HET
GCA_002865625|CDS_2637	KZ613468.1	1181625.0	HET
GCA_002865625|CDS_4205	KZ613472.1	782150.5	HET
GCA_002865625|CDS_3240	KZ613470.1	326382.0	HET
GCA_002865625|CDS_1217	KZ613465.1	1582038.5	HET
GCA_002865625|CDS_25	KZ613464.1	65981.5	Other
GCA_002865625|CDS_2665	KZ613468.1	1273052.5	HET
GCA_002865625|CDS_2609	KZ613468.1	1104107.5	HET
GCA_002865625|CDS_5620	KZ613475.1	1081194.5	HET
GCA_002865625|CDS_5570	KZ613475.1	910001.0	HET
GCA_002865625|CDS_6277	KZ613477.1	921710.0	Other
GCA_002865625|CDS_2697	KZ613469.1	73592.5	Other
GCA_002865625|CDS_2781	KZ613469.1	294741.5	Other
GCA_002865625|CDS_4191	KZ613472.1	735389.0	Other
GCA_002865625|CDS_2905	KZ613469.1	631902.0	Other
GCA_002865625|CDS_1369	KZ613466.1	565148.5	Other
GCA_002865625|CDS_1540	KZ613466.1	991466.5	Other
