Assembly_ID	Phylum	Genus	BGC_Count	Genome_Size	BGC_Genome_Prop	Metallophore_Genome_Prop	NRPS_Genome_Prop	PKS_Genome_Prop	NRPS_or_PKS_Prop
GCA_934835295.1	Bacillota	CAG-103	0	1904606	0.0	0.0	0.0	0.0	NA
GCA_000196255.1	Pseudomondota	Photobacterium	7	6403280	0.04955757049512125	0.018498800614684972	0.02481134668482403	0.0096470871178521	0.42857142857142855
GCA_003989665.1	Pseudomondota	Azospirillum	10	6983976	0.052444338296695175	0.0074649454694575125	0.025904012270374355	0.011779536470342968	0.3
GCA_016787725.1	Bacteroidota	ELB16-189	2	4214678	0.01469720818529909	0.0	0.0	0.00975258370864868	0.5
GCA_014822185.1	Pseudomondota	Aromatoleum	8	5384128	0.034403528296504095	0.0	0.007797920108882998	0.0	0.125
GCA_015234155.1	Bacteroidota	Dysgonomonas	1	5976840	0.0079505223496028	0.0	0.0	0.0	0.0
GCA_902364385.1	Bacillota	Lachnoclostridium_B	1	2951344	0.007343434042253292	0.0	0.0	0.0	0.0
GCA_928721405.1	Bacillota	F23-B02	0	1601018	0.0	0.0	0.0	0.0	NA
GCA_014698305.1	Cyanobacteriota	Anabaena	15	6059416	0.09151690525951676	0.013642898919631859	0.03658916964935235	0.039486973662148296	0.4
GCA_000828855.1	Bacillota	Metamycoplasma	0	693241	0.0	0.0	0.0	0.0	NA
GCA_014203705.1	Actinomycetota	Kitasatospora	27	8296669	0.11332777045824052	0.004627640321676085	0.037878575124546975	0.04474554788192707	0.3333333333333333
GCA_900467615.1	Pseudomondota	Rhizobium	8	6362572	0.025862497115946192	0.0024345500530288697	0.0	0.005549956841352836	0.125
GCA_000706625.1	Pseudomondota	Bartonella	1	1747106	0.011940317301869492	0.0	0.0	0.0	0.0
GCA_900119795.1	Bacteroidota	Tenacibaculum	2	3435971	0.01038280008766081	0.004316683697272183	0.0	0.0	0.0
GCA_016772475.1	Bacillota	Paenibacillus	9	7782254	0.05875688457354386	0.0	0.04260269582565668	0.04260269582565668	0.3333333333333333
GCA_001653515.1	Actinomycetota	Streptomyces	34	7101832	0.13773784003902093	0.022077965234885873	0.041801608373726665	0.0709937942773076	0.4411764705882353
GCA_020736845.1	Bacillota	Paenibacillus	17	4935382	0.09499994124061724	0.0036530100405601836	0.047682428634703455	0.0	0.35294117647058826
GCA_018617535.1	Bacillota	Exiguobacterium	2	2856986	0.016159337147609403	0.0	0.0	0.0	0.0
GCA_023074075.1	Pseudomondota	Bradyrhizobium	14	7784522	0.02850117194093613	0.0	0.011416629049285235	0.0	0.5
GCA_021729865.1	Pseudomondota	Hydrogenophaga	6	5433040	0.03876871880199667	0.002186253000161972	0.011306377276810036	0.011306377276810036	0.16666666666666666
GCA_014931645.1	Actinomycetota	Trueperella	0	2373092	0.0	0.0	0.0	0.0	NA
GCA_018314255.1	Bacillota	Lentilactobacillus	3	2537205	0.024394166021271438	0.0	0.0	0.016225334570915635	0.3333333333333333
GCA_944326665.1	Cyanobacteriota	Stercorousia	1	2063046	0.021060606501260758	0.0	0.0	0.0	0.0
GCA_003946045.1	Bacillota	Levilactobacillus	2	3110930	0.016731009698064566	0.0	0.0	0.013233984692680324	0.5
GCA_004310345.1	Pseudomondota	Paracoccus	5	3183584	0.03413511313035874	0.0	0.0	0.0	0.0
GCA_001680825.1	Pseudomondota	Gluconobacter_A	5	3606417	0.03271280054414118	0.0	0.0	0.01284904102881059	0.2
GCA_910583605.1	Bacillota	CAG-603	5	3031113	0.03125980456683733	0.0	0.0	0.0	0.0
GCA_023392615.1	Bacillota	Mobilitalea	4	4294103	0.020181397605041146	0.0	0.0	0.0	0.0
GCA_001571005.1	Actinomycetota	Herbiconiux	5	3849246	0.035931452549408376	0.0	0.005921159624508281	0.010693263044242951	0.4
GCA_021732485.1	Pseudomondota	Hyphomicrobium_B	2	2391221	0.03417835490738832	0.0	0.0	0.0	0.0
GCA_902557775.1	Pseudomondota	Pelagibacter_A	2	957653	0.04111301275096512	0.0	0.0	0.0	0.0
GCA_014648275.1	Pseudomondota	Pseudomonas_E	6	5126348	0.029402217719124803	0.0	0.013096847892495789	0.0	0.3333333333333333
GCA_014852585.1	Pseudomondota	Pseudomonas	6	6415288	0.0251059656246142	0.009671116869577796	0.009671116869577796	0.0	0.16666666666666666
GCA_014284125.1	Pseudomondota	Undibacterium	7	6439507	0.04611999024148898	0.010993698741223513	0.01918345612482446	0.01918345612482446	0.2857142857142857
GCA_011493005.1	Pseudomondota	Caballeronia	9	8848153	0.023041418926639266	0.0	0.0	0.0	0.0
GCA_003957745.1	Pseudomondota	Shewanella	4	4858998	0.03221034460191175	0.0	0.0	0.0	0.0
GCA_017509275.1	Bacteroidota	Sodaliphilus	1	2539243	0.013931711143833025	0.0	0.013931711143833025	0.0	1.0
GCA_900541645.1	Actinomycetota	Collinsella	0	2085046	0.0	0.0	0.0	0.0	NA
GCA_002915175.1	Pseudomondota	Agrobacterium	8	5462626	0.03984951559927405	0.0028363647813341056	0.0	0.008689410550896217	0.125
GCA_014174195.1	Pseudomondota	Gluconacetobacter	6	4685934	0.029167717684457358	0.0	0.0	0.010034925801345046	0.16666666666666666
GCA_022009975.1	Bacteroidota	Parabacteroides	0	2679094	0.0	0.0	0.0	0.0	NA
GCA_018130825.1	Pseudomondota	Bradyrhizobium	7	8076746	0.021162235385389114	0.0	0.005749964156357028	0.0	0.14285714285714285
GCA_024236215.1	Pseudomondota	Novosphingobium	2	3083015	0.023994369148382346	0.0	0.01743261061006839	0.0	0.5
GCA_004551485.1	Pseudomondota	Halomonas	7	4511582	0.04202317501931695	0.014476961739806568	0.011184325143597079	0.012959755580193378	0.2857142857142857
GCA_000758725.1	Bacillota	Paenibacillus	7	6812473	0.02350658857657124	0.0	0.006362153655508066	0.0	0.14285714285714285
GCA_003210285.1	Cyanobacteriota	Prochlorococcus_A	3	1577724	0.04018763738144314	0.0	0.0	0.0	0.0
GCA_022869225.1	Bacteroidota	Chryseobacterium	8	4875107	0.051814247359083604	0.003187417219765638	0.0	0.01053023041340426	0.125
GCA_017616015.1	Pseudomondota	UBA11549	1	2094258	0.010374557480501447	0.0	0.0	0.0	0.0
GCA_944354125.1	Bacillota	Coproplasma	1	1773071	0.012161949521479963	0.0	0.0	0.0	0.0
GCA_018262705.1	Pseudomondota	Thermomonas	1	2490595	0.010527203338961172	0.0	0.0	0.0	0.0
GCA_021401345.1	Pseudomondota	Hydrogenophaga	4	5175655	0.0192957219907432	0.0	0.0	0.0	0.0
GCA_024296865.1	Bacteroidota	Sphingobacterium	5	4590970	0.026953127552565143	0.0	0.0	0.0	0.0
GCA_000550785.1	Actinomycetota	Corynebacterium	3	3132213	0.04165202047242637	0.0	0.0	0.014335551254017528	0.3333333333333333
GCA_014217545.1	Actinomycetota	Arthrobacter	5	4060736	0.038137175132783814	0.0029243467194124415	0.010472485775977557	0.01014151129253416	0.4
GCA_000828085.3	Cyanobacteriota	Brasilonema	25	7893269	0.1086976764633259	0.010389738396094191	0.0503705118880403	0.034998807211562157	0.36
GCA_017307275.1	Pseudomondota	Reyranella	7	5322918	0.04208575071041861	0.0	0.017064512359574204	0.015111448269539376	0.42857142857142855
GCA_905210765.1	Bacillota	CAG-632	3	2487784	0.03347637897823927	0.0	0.01726154682239294	0.0	0.3333333333333333
GCA_902613185.1	Pseudomondota	HIMB59	1	1350150	0.0162559715587157	0.0	0.0	0.0	0.0
GCA_014836615.1	Bacillota	Sporosarcina	3	3575010	0.023150424754056632	0.0	0.0	0.011490876948595947	0.3333333333333333
GCA_934424145.1	Bacillota	Oliverpabstia	1	2819691	0.007689140405810424	0.0	0.0	0.0	0.0
GCA_014636435.1	Pseudomondota	Marinobacter	8	4110028	0.03466424073023347	0.0	0.0	0.0	0.0
GCA_023716665.1	Pseudomondota	Vibrio	3	4979307	0.013486816538928007	0.002904821895898365	0.0	0.0	0.0
GCA_900541275.1	Bacteroidota	Porphyromonas_A	0	1992577	0.0	0.0	0.0	0.0	NA
GCA_900110255.1	Actinomycetota	Streptomyces	23	9005705	0.08917169727411679	0.010119585307313531	0.01816959360760762	0.03871956720767558	0.30434782608695654
GCA_016900015.1	Bacteroidota	Phocaeicola_A	2	3737291	0.010852245650659797	0.0	0.0	0.0	0.0
GCA_016907135.1	Bacteroidota	Chryseobacterium	3	4666815	0.022025514189013277	0.002661558257612526	0.0	0.0	0.0
GCA_002002885.1	Pseudomondota	Janthinobacterium	7	6288464	0.04554530327278648	0.0	0.027584478499042057	0.0	0.2857142857142857
GCA_003651245.1	Pseudomondota	Roseovarius	8	4053554	0.04765719168907087	0.0	0.012810240100415586	0.012810240100415586	0.125
GCA_002002925.1	Pseudomondota	Sphingomonas	1	4155514	0.005814924459405022	0.0	0.0	0.0	0.0
GCA_004101865.1	Bacillota	Halobacillus	9	4280777	0.04498669283637059	0.006552782357034716	0.0	0.0095767660870912	0.1111111111111111
GCA_022815645.1	Actinomycetota	Curtobacterium	10	3732476	0.07417837381941639	0.0033262102690010597	0.01777640365269596	0.02205077808939696	0.4
GCA_000373245.1	Bacteroidota	Echinicola	3	5442202	0.021018330447859158	0.0	0.017188446882346522	0.009329679420205277	0.6666666666666666
GCA_000958465.1	Actinomycetota	Clavibacter	10	3408062	0.10233616641950763	0.020189186699068266	0.0554059755955144	0.012075777964133281	0.5
GCA_019977355.1	Actinomycetota	Arthrobacter	6	5171632	0.03744678662364221	0.0	0.007854967252116934	0.007978139202479992	0.3333333333333333
GCA_900101025.1	Actinomycetota	Klenkia	6	4219224	0.030317423298691894	0.0027910345599095948	0.0	0.009724300013462191	0.16666666666666666
GCA_017601095.1	Bacillota	Streptococcus	2	2101815	0.024479794843980083	0.0	0.0	0.019580695732022084	0.5
GCA_007109225.1	Bacteroidota	Flavobacterium	6	3063563	0.06525114711203915	0.0	0.0	0.01341411944197002	0.16666666666666666
GCA_001590835.1	Bacillota	Bacillus_A	24	5613458	0.09523933375826452	0.012037856166377302	0.07229394074027097	0.006927815261109997	0.7083333333333334
GCA_001428025.1	Actinomycetota	Pedococcus	2	3974301	0.02103590040110198	0.0	0.01070326580699348	0.010332634594108499	1.0
GCA_910588715.1	Bacillota	Clostridium	3	2594574	0.017565889429247344	0.0	0.0	0.0	0.0
GCA_001417865.2	Pseudomondota	Serratia	10	5594892	0.07785637327762537	0.015428537315823075	0.060630660967182205	0.010880281513923772	0.6
GCA_000743575.1	Pseudomondota	Devosia	7	5008572	0.02861634014645292	0.0	0.0	0.0	0.0
GCA_934728255.1	Bacteroidota	RF16	0	2467880	0.0	0.0	0.0	0.0	NA
GCA_017983445.1	Pseudomondota	Halomonas	6	3900197	0.040326937331627094	0.0	0.0	0.022673213686385585	0.3333333333333333
GCA_001803165.1	Bacteroidota	XYB12-FULL-38-5	2	4405326	0.007334530974552167	0.0	0.0	0.0	0.0
GCA_001429725.1	Pseudomondota	Rhizobium	6	6292121	0.030406916840918983	0.0	0.008172125106939298	0.020320175025241884	0.5
GCA_016599245.1	Actinomycetota	Tomitella	11	4707740	0.06909111378283422	0.0	0.024736497767506277	0.009556390115002103	0.2727272727272727
GCA_020165615.1	Pseudomondota	Mesorhizobium	7	7068446	0.020845458817963666	0.0	0.0	0.0	0.0
GCA_013009345.1	Pseudomondota	Acinetobacter	6	3786130	0.03998383573728319	0.0183910747914097	0.014052079564093151	0.0	0.16666666666666666
GCA_000015125.1	Bacteroidota	Chlorobium	5	3133902	0.04496917899793931	0.0	0.01482369263620879	0.013163781126531717	0.4
GCA_002346645.1	Chloroflexota	UBA2991	2	1873976	0.023953882013430267	0.0	0.0	0.0	0.0
GCA_001700895.1	Pseudomondota	Buchnera	0	636266	0.0	0.0	0.0	0.0	NA
GCA_913776195.1	Pseudomondota	Caulobacter	1	3266341	0.00633338650189922	0.0	0.0	0.0	0.0
GCA_019957155.1	Bacillota	Anaerococcus	1	2249959	0.009626842089122513	0.0	0.0	0.0	0.0
GCA_024519465.1	Pseudomondota	Stenotrophomonas	3	4305534	0.02443158038004113	0.011249707934021656	0.011249707934021656	0.0	0.3333333333333333
GCA_000753795.1	Pseudomondota	Shewanella	3	4206970	0.023739888803580723	0.0	0.0	0.0	0.0
GCA_018266675.1	Bacteroidota	CW01	0	2811033	0.0	0.0	0.0	0.0	NA
GCA_934617065.1	Actinomycetota	Anaerotardibacter	3	1357342	0.06251261656973703	0.0	0.0	0.0	0.0
GCA_008693185.1	Pseudomondota	Acinetobacter	3	3148805	0.04142555667943871	0.015597663240499174	0.015597663240499174	0.0	0.3333333333333333
GCA_018334155.1	Pseudomondota	Devosia	5	3743297	0.038290843606585315	0.0	0.0	0.0	0.0
GCA_000835165.1	Actinomycetota	Corynebacterium	3	2729219	0.03651704022286229	0.0	0.0	0.016435837505161734	0.3333333333333333
GCA_003386205.1	Bacillota	Cohnella	6	6342800	0.022371192533266065	0.0	0.008022797502680205	0.0	0.16666666666666666
GCA_001049855.1	Actinomycetota	Streptomyces	35	8228099	0.17442971942850954	0.003008592871816443	0.04986327947682691	0.10580499821404676	0.5142857142857142
GCA_900129045.1	Actinomycetota	Bifidobacterium	0	2274683	0.0	0.0	0.0	0.0	NA
GCA_005503055.1	Pseudomondota	Lysobacter	4	4018481	0.03943156630577574	0.0	0.013282630924471212	0.013282630924471212	0.25
GCA_002335235.1	Pseudomondota	Methylophaga	7	3089125	0.042897260551126935	0.004742443248492696	0.013675069801319144	0.0	0.14285714285714285
GCA_009811635.1	Actinomycetota	Streptomyces	30	7928609	0.14417131680979603	0.004827959103545149	0.03887075273859513	0.07313943719509942	0.36666666666666664
GCA_018613675.1	Actinomycetota	Arthrobacter	3	4526431	0.01561053289004074	0.0	0.0	0.0	0.0
GCA_900143285.1	Bacillota	Desulfitobacterium	4	5606984	0.021125082575587872	0.009409336641588419	0.009409336641588419	0.0	0.25
GCA_002966815.1	Pseudomondota	Stenotrophomonas	2	4694453	0.019591419916228793	0.010301945721897738	0.010301945721897738	0.0	0.5
GCA_934454405.1	Bacillota	UBA644	6	1944232	0.07148169560011357	0.0	0.01639207666574771	0.0	0.16666666666666666
GCA_002328085.1	Pseudomondota	Thiobacillus	6	3189340	0.06305630632042994	0.0	0.0	0.0	0.0
GCA_902763505.1	Bacillota	Lentihominibacter	1	2285431	0.015164754481758583	0.0	0.0	0.0	0.0
GCA_024637015.1	Bacteroidota	Aequorivita	3	3220656	0.036429845348276875	0.0	0.0	0.013347901793920244	0.3333333333333333
GCA_023336735.1	Pseudomondota	Moraxella	1	1994206	0.003070896386832654	0.0	0.0	0.0	0.0
GCA_018882085.1	Pseudomondota	Polynucleobacter	2	2177305	0.01601291504864959	0.0	0.0	0.0	0.0
GCA_002157465.1	Bacillota	Butyricicoccus_A	4	2896918	0.02790344773307356	0.0	0.0	0.0	0.0
GCA_025149125.1	Bacillota	Enterocloster	1	6353279	0.0034111519421703342	0.0	0.0	0.0	0.0
GCA_020024285.1	Bacillota	Negativibacillus	1	1966748	0.011020222214538924	0.0	0.0	0.0	0.0
GCA_910587045.1	Bacillota	CAG-632	6	2758769	0.05295514049925891	0.0	0.015573612723645946	0.0	0.16666666666666666
GCA_000612845.1	Bacillota	Clostridium_J	4	4422868	0.0267082354707398	0.0	0.011071549049169	0.0	0.25
GCA_000943805.1	Pseudomondota	Sphingobium	8	5427419	0.033186308261809155	0.0	0.0	0.007566211490212935	0.125
GCA_001650905.1	Bacteroidota	Balneola	3	3624230	0.02054615739067333	0.0	0.0	0.008920791450873702	0.3333333333333333
GCA_900044055.2	Pseudomondota	Caballeronia	19	9554938	0.04201220353287483	0.006203179968305394	0.018202106596610045	0.0	0.42105263157894735
