Assembly_ID	Order	Genus	BGC_Count	BGCome_Size	Genome_Size	BGC_Genome_Prop	Metallophore_Size	NRPS_Size	PKS_Size	NRPS_or_PKS_Size
GCA_000196255.1	Enterobacterales_A	Photobacterium	6	276910	6403280	0.043245024424982195	118453	118453	61773	118453
GCA_019056575.1	Cyanobacteriales	FACHB-800	13	475178	5729487	0.08293552284872974	80158	80158	177422	177422
GCA_017516745.1	Oscillospirales	UBA8612	2	43618	2886497	0.015111049829603148	0	0	0	0
GCA_003543215.1	Erysipelotrichales	UBA2212	0	0	1177939	0.0	0	0	0	0
GCA_002843565.1	Mycoplasmatales	Tullyiplasma	0	0	908214	0.0	0	0	0	0
GCA_001680825.1	Acetobacterales	Gluconobacter_A	4	107175	3606417	0.02971786124566294	0	0	46339	46339
GCA_900660485.1	Mycoplasmatales	Mesomycoplasma_A	0	0	1040908	0.0	0	0	0	0
GCA_900102235.1	Lachnospirales	XBB2008	1	20560	3521027	0.005839205436368423	0	0	0	0
GCA_015056735.1	Lachnospirales	VSOB01	3	91918	2725344	0.03372711848485916	0	91918	0	91918
GCA_014656415.1	Rhodobacterales	Seohaeicola	2	52321	5504092	0.009505836748368305	0	0	0	0
GCA_004103715.1	Tissierellales	PP17-6a	4	122157	3743723	0.032629817964630395	0	44473	0	44473
GCA_003400305.1	Rhizobiales	4M-Z18	5	171741	5003122	0.034326766367080395	0	49470	49470	49470
GCA_019923565.1	Enterobacterales	Schneideria	0	0	572184	0.0	0	0	0	0
GCA_001803165.1	Ignavibacteriales	XYB12-FULL-38-5	2	32311	4405326	0.007334530974552167	0	0	0	0
GCA_902506655.1	Cytophagales	Marinoscillum	2	60139	5210585	0.011541698292993972	0	0	39302	39302
GCA_003075035.1	Enterobacterales_A	Zobellella_A	2	25004	3929165	0.006363693049286553	14596	0	0	0
GCA_003590775.1	Sphingomonadales	Sphingobium_A	4	113346	4244097	0.026706741151297907	0	0	41083	41083
GCA_000015125.1	Chlorobiales	Chlorobium	5	140929	3133902	0.04496917899793931	0	46456	41254	87710
GCA_017161365.1	Streptosporangiales	Thermobispora	5	121197	4386836	0.02762742897158681	23501	0	41053	41053
GCA_021535045.1	Actinomycetales	Ornithinimicrobium_A	0	0	2805475	0.0	0	0	0	0
GCA_910587045.1	Lachnospirales	CAG-632	4	81621	2758769	0.029586021881498597	0	0	0	0
GCA_905171695.1	Methanosarcinales	EX4572-44	1	42519	1922745	0.022113696824071834	0	0	0	0
GCA_011440395.1	Pseudomonadales	Pseudomaricurvus	3	126517	5427463	0.023310522798589323	0	50795	98286	98286
GCA_022842495.1	Burkholderiales	Ga0074130	2	55595	2354061	0.02361663525286728	0	0	0	0
GCA_003550175.1	Rhizobiales	Dichotomicrobium	4	113116	2988045	0.037856190251485504	0	0	42197	42197
GCA_017134815.1	Victivallales	Zth2	1	41221	3198720	0.01288671718687475	0	0	0	0
GCA_000198515.1	Pseudomonadales	HdN1	6	323944	4587455	0.07061518859585543	0	269912	118919	269912
GCA_002074155.1	Clostridiales	Clostridium_J	5	139029	4803058	0.028945934027863083	0	54228	0	54228
GCA_003935895.2	Enterobacterales	Scandinavium	3	124604	4713964	0.026432955364105455	54704	54704	0	54704
GCA_014270035.1	Enterobacterales_A	Neptunicella	2	41548	4137666	0.010041409818965572	0	0	0	0
GCA_025055395.1	Cyanobacteriales	DVEF01	3	62789	2853488	0.022004297897870957	0	0	0	0
