genome	clade	large_clade	ploidy_status	morphology	DUF3435_counts
GCA_000392275	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_003016335	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3
GCA_001600175	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	0
GCA_003086735	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	0
GCA_000836135	Taphrinomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	0
GCA_025765595	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_002162545	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2
GCA_000328475	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	0
GCA_003988945	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_002368545	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_003385255	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_001619985	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2
GCA_000354255	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4
GCA_002572855	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	6
GCA_002105135	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	0
GCA_001692915	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4
GCA_001600815	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	0
GCA_000836295	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3
GCA_000708205	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	0
GCA_900290415	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4
GCA_000235945	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_000349385	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_000721755	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_900073065	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	12
GCA_004335205	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_027600665	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_002778095	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_001661345	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	0
GCA_002916505	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_002591845	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2
GCA_000151645	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_000182565	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	0
GCA_003795315	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_003833135	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	0
GCA_002865625	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3
GCA_000149305	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	0
GCA_025399235	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	0
GCA_003706495	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	0
GCA_002261195	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	0
GCA_027604305	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_000812075	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_027596945	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_003264845	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4
GCA_002104985	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_003788565	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_000149865	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_002081935	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_027604665	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	0
GCA_025558075	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	0
GCA_001563115	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5
GCA_000385595	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	0
GCA_001557505	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1
GCA_001270325	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2
