og	og_order	med_length
OG_99	1	0.417
OG_75	2	0.651
OG_36	3	0.555
OG_37	4	0.384
OG_43	5	1.173
OG_45	6	0.753
OG_52	7	0.837
OG_59	8	1.326
OG_66	9	1.029
OG_67	10	0.987
OG_68	11	1.185
OG_69	12	1.173
OG_149	13	0.144
OG_126	14	0.498
OG_120	15	0.435
OG_106	16	0.402
OG_38	17	1.266
OG_39	18	0.576
OG_40	19	1.038
OG_134	20	0.255
OG_135	21	0.453
OG_136	22	0.474
OG_137	23	0.927
OG_138	24	0.711
OG_41	25	1.245
OG_20	26	0.987
OG_19	27	0.957
OG_28	28	0.564
OG_128	29	0.591
OG_129	30	1.176
OG_42	31	0.216
OG_27	32	1.245
OG_71	33	0.627
OG_18	34	1.194
OG_80	35	2.247
OG_115	36	1.416
OG_17	37	14.6805
OG_73	38	3.759
OG_139	39	4.941
OG_16	40	10.845
OG_109	41	2.382
OG_110	42	4.908
OG_111	43	3.651
OG_105	44	3.663
OG_15	45	5.292
OG_87	46	5.454
OG_119	47	1.644
OG_118	48	3.492
OG_104	49	3.222
OG_14	50	5.364
OG_70	51	4.299
OG_113	52	0.591
OG_13	53	10.347
OG_103	54	0.54
OG_107	55	0.495
OG_108	56	3.0
OG_117	57	3.3
OG_12	58	0.777
OG_77	59	0.171
OG_26	60	1.344
OG_44	61	0.189
OG_11	62	1.062
OG_10	63	1.32
OG_9	64	0.813
OG_122	65	0.201
OG_8	66	1.167
OG_7	67	1.077
OG_6	68	0.699
OG_5	69	0.903
OG_82	70	0.5925
OG_83	71	1.4655
OG_81	72	0.354
OG_46	73	0.768
OG_47	74	0.933
OG_48	75	1.509
OG_49	76	0.729
OG_50	77	0.501
OG_4	78	0.885
OG_57	79	1.071
OG_148	80	1.566
OG_147	81	0.396
OG_146	82	1.035
OG_58	83	1.422
OG_84	84	1.167
OG_121	85	0.819
OG_85	86	1.335
OG_86	87	0.5475
OG_3	88	1.593
OG_25	89	0.195
OG_116	90	0.315
OG_130	91	1.173
OG_2	92	1.212
OG_30	93	0.768
OG_29	94	1.341
OG_112	95	0.12
OG_131	96	0.918
OG_24	97	1.212
OG_88	98	3.159
OG_89	99	0.762
OG_90	100	1.065
OG_91	101	0.768
OG_92	102	0.978
OG_114	103	0.489
OG_51	104	1.308
OG_53	105	1.212
OG_54	106	0.645
OG_55	107	1.305
OG_56	108	0.993
OG_76	109	0.7335
OG_78	110	0.36
OG_23	111	1.266
OG_93	112	1.596
OG_94	113	1.992
OG_95	114	1.77
OG_96	115	1.785
OG_31	116	0.804
OG_22	117	1.068
OG_60	118	0.819
OG_79	119	0.387
OG_61	120	0.693
OG_62	121	0.912
OG_140	122	0.9
OG_141	123	0.834
OG_142	124	0.291
OG_143	125	0.894
OG_132	126	0.48
OG_63	127	1.263
OG_1	128	0.456
OG_97	129	0.108
OG_74	130	0.798
OG_72	131	0.732
OG_33	132	1.434
OG_34	133	1.536
OG_35	134	0.666
OG_133	135	0.693
OG_124	136	0.282
OG_102	137	0.771
OG_101	138	0.258
OG_100	139	0.162
OG_125	140	0.675
OG_32	141	0.84
OG_21	142	1.266
OG_98	143	0.741
OG_144	144	0.84
OG_127	145	1.611
OG_64	146	3.504
OG_65	147	3.912
OG_145	148	0.456
OG_123	149	0.537
