FluG	OG0004121	N0.HOG0026219	GCA_003574815|CDS_1100
FlbA	OG0002222	N0.HOG0020771	GCA_003574815|CDS_3103
FlbB	OG0000186	N0.HOG0006459	GCA_001270325|CDS_7310
FlbC	OG0000091	N0.HOG0004288	GCA_003574815|CDS_2972
FlbD	OG0000178	N0.HOG0006304	GCA_003574815|CDS_7227
FlbE	OG0006236	N0.HOG0029711	GCA_003574815|CDS_3745
BrlA	OG0014838	N0.HOG0039120	GCA_003012165|CDS_10266
AbaA	OG0003396	N0.HOG0024462	GCA_003574815|CDS_2469
WetA	OG0005362	N0.HOG0028528	GCA_003574815|CDS_2951
