n	n:500	L50	min	N75	N50	N25	E-size	max	sum	name
452	371	3	500	3063004	3739060	4149929	3875780	6393220	28.44e6	Genomes/GCA_000001985.1_JCVI-PMFA1-2.0_genomic.fna
53	48	3	570	4487659	6601398	7969204	6249886	8316866	40.95e6	Genomes/GCA_000002495.2_MG8_genomic.fna
6	6	3	1062590	1715462	1753957	2234072	1932375	2602197	10.69e6	Genomes/GCA_000002515.1_ASM251v1_genomic.fna
6	6	3	2302840	3066374	3633025	4003260	3535312	4223703	20.5e6	Genomes/GCA_000002525.1_ASM252v1_genomic.fna
13	13	5	491328	927101	1100349	1302831	1061380	1455689	12.32e6	Genomes/GCA_000002545.2_ASM254v2_genomic.fna
8	8	4	1804324	3583205	3889341	4821963	3919967	4875879	28.81e6	Genomes/GCA_000002655.1_ASM265v1_genomic.fna
143	143	5	1002	1198048	2493240	2722046	2347284	4487798	27.85e6	Genomes/GCA_000002715.1_ASM271v1_genomic.fna
19	19	6	96465	1732389	2521439	2921758	2392601	3621560	33.93e6	Genomes/GCA_000002855.2_ASM285v2_genomic.fna
4	4	2	19431	4539604	4539604	5579033	4586674	5579033	12.59e6	Genomes/GCA_000002945.2_ASM294v2_genomic.fna
820	650	4	504	2878540	4359548	4608890	3837271	5632838	35.5e6	Genomes/GCA_000003125.1_JCVI-TSTA1-3.0_genomic.fna
45	43	2	869	3895307	5187875	7823300	5255532	7823300	22.17e6	Genomes/GCA_000003515.2_ASM351v2_genomic.fna
27	27	5	2055	3464754	5513703	8432535	6036800	10.24e6	66.27e6	Genomes/GCA_000003525.2_BD_ER3_V1_genomic.fna
9	9	3	18942	1448457	1863598	2208562	1764744	2420770	12.08e6	Genomes/GCA_000003835.1_ASM383v1_genomic.fna
103	103	8	2098	1398502	2395537	6370799	3545578	8093198	74.39e6	Genomes/GCA_000003855.2_BD_SLH14081_V1_genomic.fna
30	30	3	521	1023902	1384985	1787638	1599952	2871894	11.52e6	Genomes/GCA_000004155.2_SCY4_genomic.fna
24	24	4	4896	1253155	1650340	2301991	1679897	2466465	14.58e6	Genomes/GCA_000006335.3_ASM633v3_genomic.fna
7	7	3	1249840	1587442	2007415	2050850	1812161	2305636	12.15e6	Genomes/GCA_000006445.2_ASM644v2_genomic.fna
7	7	3	880377	1388208	1496342	1554288	1456748	1865392	9763366	Genomes/GCA_000026365.1_ASM2636v1_genomic.fna
8	8	3	1022435	1641709	2267510	2289089	2095414	3214061	14.62e6	Genomes/GCA_000026945.1_ASM2694v1_genomic.fna
4	4	2	1778196	2244567	2394159	2798474	2361647	2798474	9215396	Genomes/GCA_000027005.1_ASM2700v1_genomic.fna
8	8	3	23564	907494	1519140	1800949	1440979	1836693	9119312	Genomes/GCA_000091025.4_ASM9102v4_genomic.fna
14	14	6	762278	1178683	1438677	1783081	1511006	2300370	19.05e6	Genomes/GCA_000091045.1_ASM9104v1_genomic.fna
8	8	4	687718	1421179	1513537	1632914	1397626	1720065	10.39e6	Genomes/GCA_000142805.1_ASM14280v1_genomic.fna
289	288	6	501	1107787	1970955	3077414	2113831	4360630	29.13e6	Genomes/GCA_000143105.2_Sanger-454-IlluminaPA_2.0_genomic.fna
37	37	4	1194	3819468	4652003	4946272	4641306	6523708	34.34e6	Genomes/GCA_000143365.1_ASM14336v1_genomic.fna
18	18	7	208766	2352958	2617329	3226611	2717460	4109373	42.63e6	Genomes/GCA_000143535.4_ASM14353v4_genomic.fna
665	665	18	1015	423559	825229	1917507	1208716	3475061	58.68e6	Genomes/GCA_000143565.1_V1.0_genomic.fna
517	517	3	502	2846622	6293398	7194760	4849830	7473605	40.98e6	Genomes/GCA_000145635.1_Gae_graminis_V2_genomic.fna
16	16	6	230218	666816	924431	1090940	910428	1531933	12.07e6	Genomes/GCA_000146045.2_R64_genomic.fna
108	108	13	2005	551250	1043366	1475987	1106680	2518965	37.05e6	Genomes/GCA_000146915.2_ASM14691v2_genomic.fna
37	37	9	15843	1113995	1608426	2323197	1645200	2760312	38.13e6	Genomes/GCA_000146945.2_ASM14694v2_genomic.fna
654	654	26	2000	297481	578747	1046081	678337	1821908	50.91e6	Genomes/GCA_000149035.1_C_graminicola_M1_001_V1_genomic.fna
91	91	5	2259	1427887	2456154	3834542	2450871	4289962	30.1e6	Genomes/GCA_000149205.2_ASM14920v2_genomic.fna
32	32	4	3904	1252433	1295560	1737261	1508112	2312305	11.51e6	Genomes/GCA_000149225.1_ASM14922v1_genomic.fna
83	83	6	4433	1711699	3008036	3361726	2905834	5667501	45.32e6	Genomes/GCA_000149305.1_RO3_genomic.fna
7	7	3	68094	3952524	4323845	8482223	5443497	8482223	29.02e6	Genomes/GCA_000149335.2_ASM14933v2_genomic.fna
9	9	3	23890	1212641	1696313	1956507	1525711	2090639	10.57e6	Genomes/GCA_000149425.1_ASM14942v1_genomic.fna
24	24	5	18211	2850057	4231259	4680613	4030229	6209371	41.79e6	Genomes/GCA_000149555.1_ASM14955v1_genomic.fna
280	280	4	620	1511573	2760473	3367221	3212679	6807154	30.65e6	Genomes/GCA_000149585.1_ASM14958v1_genomic.fna
27	27	7	12095	1533036	1899489	2472996	1879213	2741212	29.23e6	Genomes/GCA_000149615.1_ASM14961v1_genomic.fna
28	28	3	4566	1240207	1996820	2552866	2004202	3539673	15.46e6	Genomes/GCA_000149685.1_ASM14968v1_genomic.fna
32	32	2	2319	2915653	3695880	4128306	3522332	4128306	11.14e6	Genomes/GCA_000149845.2_SJ5_genomic.fna
393	393	29	2878	387411	911286	1441606	1008892	2999745	81.6e6	Genomes/GCA_000149925.1_ASM14992v1_genomic.fna
88	88	6	900	2864510	4412639	5351642	4152326	6721659	60.01e6	Genomes/GCA_000149955.2_ASM14995v2_genomic.fna
48	48	6	5496	1527577	1969229	3299272	2782007	6693485	37.36e6	Genomes/GCA_000149985.1_ASM14998v1_genomic.fna
281	281	38	2065	56632	126422	203878	141498	496459	14.66e6	Genomes/GCA_000150035.1_ASM15003v1_genomic.fna
5	5	2	2617	2981481	3743327	4497381	3829326	4497381	11.26e6	Genomes/GCA_000150505.2_SO6_genomic.fna
55	55	9	3093	806781	1176556	1958855	1340185	2583448	32.97e6	Genomes/GCA_000150675.2_ASM15067v2_genomic.fna
110	110	12	2769	511002	1020787	1322972	999117	2204088	32.63e6	Genomes/GCA_000150705.2_Paracocci_br_Pb01_V2_genomic.fna
57	57	5	2271	1170696	2133577	3717022	2350588	3883172	29.47e6	Genomes/GCA_000150735.2_Paracocci_br_Pb18_V2_genomic.fna
27	27	6	3466	1202312	2161526	2766861	2250295	4350155	30.33e6	Genomes/GCA_000150825.1_ASM15082v1_genomic.fna
19	19	3	2855	1804880	3212698	3701945	3150433	5335537	23.12e6	Genomes/GCA_000150975.2_MS_CBS118893_genomic.fna
68	68	10	3770	442984	644460	1272939	905309	2108575	22.22e6	Genomes/GCA_000151125.2_ASM15112v2_genomic.fna
17	17	4	7026	2722846	2904407	3627878	2887343	3807593	23.14e6	Genomes/GCA_000151145.1_ASM15114v1_genomic.fna
125	125	22	1977	176633	384505	483802	404682	1193408	23.48e6	Genomes/GCA_000151175.1_ASM15117v1_genomic.fna
101	101	16	1515	679920	1103875	1678120	1227543	3045279	52.62e6	Genomes/GCA_000151295.1_A_macrogynus_V3_genomic.fna
55	55	4	2002	1303367	2376830	4385429	2853040	5398309	27.01e6	Genomes/GCA_000151335.1_JCVI-cpa1-1.0_genomic.fna
209	209	10	865	487054	1255602	3286733	1890493	4937060	51.23e6	Genomes/GCA_000151355.1_v2.0_genomic.fna
36	36	4	2584	1196190	2128569	2905281	2213591	4035149	22.13e6	Genomes/GCA_000151425.1_ASM15142v1_genomic.fna
111	111	20	2018	242596	359833	654269	444221	1183059	22.51e6	Genomes/GCA_000151455.1_ASM15145v1_genomic.fna
523	523	94	3503	38821	75556	125468	87501	265845	22.54e6	Genomes/GCA_000151505.1_ASM15150v1_genomic.fna
14818	14818	77	500	18159	360274	702334	496608	2328598	106.6e6	Genomes/GCA_000151525.2_P_triticina_1_1_V2_genomic.fna
398	398	59	3269	324157	635738	1058652	768977	2728641	123.5e6	Genomes/GCA_000151645.1_ASM15164v1_genomic.fna
1648	1640	150	505	7672	20026	38974	28935	138623	11.47e6	Genomes/GCA_000166975.1_ASM16697v1_genomic.fna
586	579	51	507	39192	73455	116276	87063	363585	11.86e6	Genomes/GCA_000167035.1_ASM16703v1_genomic.fna
713	713	50	577	26934	62747	116273	76642	238839	10.91e6	Genomes/GCA_000167115.1_ASM16711v1_genomic.fna
77	77	9	2158	663018	1217523	1824502	1398105	3753597	33.35e6	Genomes/GCA_000167675.2_v2.0_genomic.fna
93	93	8	4407	997232	1836662	2585620	1851197	3456807	39.02e6	Genomes/GCA_000170995.2_TRIVI_v2.0_genomic.fna
29	29	6	3162	1544261	2007903	4122911	2681956	5621775	36.14e6	Genomes/GCA_000171015.2_TRIAT_v2.0_genomic.fna
510	510	83	510	18757	36691	61940	42585	131328	9807744	Genomes/GCA_000179415.1_ASM17941v1_genomic.fna
67	65	5	557	457438	654611	1012602	723552	1406285	8957352	Genomes/GCA_000181695.1_ASM18169v1_genomic.fna
38	38	7	4077	715195	1454186	1873742	1326090	2231298	23.91e6	Genomes/GCA_000182565.2_S_punctatus_V1_genomic.fna
9	9	3	31781	1039767	2091826	2235583	1953137	3023470	13.03e6	Genomes/GCA_000182765.2_ASM18276v2_genomic.fna
1583	613	14	500	314375	743941	1523300	1038972	3243754	38.05e6	Genomes/GCA_000182805.2_ASM18280v2_genomic.fna
68	68	5	2208	2252722	3468138	3623884	3002008	4146986	36.19e6	Genomes/GCA_000182895.1_CC3_genomic.fna
21	21	3	1646	4473083	5996061	6432046	6254796	9788318	41.06e6	Genomes/GCA_000182925.2_NC12_genomic.fna
8	8	3	949353	1602415	2229556	2284906	2069051	3187099	14.27e6	Genomes/GCA_000182965.3_ASM18296v3_genomic.fna
12	12	4	6938	4068006	4785948	6176627	4917456	6396600	37.12e6	Genomes/GCA_000184455.3_ASM18445v3_genomic.fna
7	7	4	955566	1273462	1289628	1514933	1301131	1515570	8870389	Genomes/GCA_000187245.3_Hansenula_2_genomic.fna
241	241	35	520	155240	319271	528310	425605	1754031	38.05e6	Genomes/GCA_000187405.1_MetAcr_May2010_genomic.fna
90	90	4	1177	1866616	4093365	5812380	4044691	7062183	38.96e6	Genomes/GCA_000187425.2_MAA_2.0_genomic.fna
206	206	5	2136	1302197	2952857	4849050	2985484	5437860	34.67e6	Genomes/GCA_000193285.1_Mag_poae_ATCC_64411_V1_genomic.fna
127	127	6	1639	941318	1477754	1832409	1753073	4421377	24.13e6	Genomes/GCA_000203795.1_v1.0_genomic.fna
462	462	27	1091	616588	1111394	1861399	1390705	3940224	97.68e6	Genomes/GCA_000204055.1_v1.0_genomic.fna
35300	35289	6764	500	1458	2877	5283	3903	27369	69.22e6	Genomes/GCA_000208805.1_ASM20880v1_genomic.fna
8	8	3	979380	1725948	1841851	2740984	2242994	3510147	15.44e6	Genomes/GCA_000209165.1_ASM20916v1_genomic.fna
81	81	3	2087	4138347	5591866	9765433	6083709	9765433	38.49e6	Genomes/GCA_000213175.1_v2.0_genomic.fna
46	46	6	1712	1835824	2925928	3260447	2804086	5701910	42.4e6	Genomes/GCA_000218685.1_v1.0_genomic.fna
21	21	6	409213	1682575	2673607	3860111	2956358	6088797	39.68e6	Genomes/GCA_000219625.1_MYCGR_v2.0_genomic.fna
21	21	4	1013	2149628	2848188	3459830	3540189	6908065	28.31e6	Genomes/GCA_000221225.1_CTHT_3.0_genomic.fna
864	864	164	692	38382	66702	109460	80559	305891	35.3e6	Genomes/GCA_000222875.2_PerIpo_1.0_genomic.fna
1621	1307	220	500	30758	56237	89775	66045	230015	39.53e6	Genomes/GCA_000222895.2_NeGans_1.0_genomic.fna
5136	4541	574	500	10110	20998	40067	28738	140194	44.05e6	Genomes/GCA_000222915.1_EpiBra_1.0_genomic.fna
3298	2890	409	503	21550	40562	75087	53459	232217	58.71e6	Genomes/GCA_000222935.2_AciTa_1.0_genomic.fna
6930	6178	662	500	9083	20136	41755	30714	158464	52.33e6	Genomes/GCA_000223055.1_ClFusi_1.0_genomic.fna
2180	1871	218	500	23471	49298	89502	65944	353882	37.96e6	Genomes/GCA_000223075.2_EpiAma_1.0_genomic.fna
2304	2152	315	503	14244	26979	46142	35258	232685	28.92e6	Genomes/GCA_000223175.2_ClPasp_1.0_genomic.fna
25	25	3	2422	1103340	1207643	2114380	1588402	2495716	10.58e6	Genomes/GCA_000223465.1_Candida_tenuis_v1.0_genomic.fna
8	8	3	848681	1648761	2050225	2088229	1853282	2635954	13.08e6	Genomes/GCA_000223485.1_Spathaspora_passalidarum_v2.0_genomic.fna
1069	867	87	500	59260	111022	192213	134181	414378	32.03e6	Genomes/GCA_000223685.2_ASM22368v2_genomic.fna
705	638	60	513	71104	149911	280590	188550	686369	31.11e6	Genomes/GCA_000223765.2_ASM22376v2_genomic.fna
1517	1276	141	500	28276	61125	100474	76261	342035	28.7e6	Genomes/GCA_000223825.2_ASM22382v2_genomic.fna
3076	2376	280	500	22171	44956	85097	62475	267543	46.51e6	Genomes/GCA_000225285.2_EpiGly_1.0_genomic.fna
215	215	8	2008	1359780	2032946	2410620	1933934	3307282	39.97e6	Genomes/GCA_000225545.1_AOL24927_1.0_genomic.fna
32	32	3	1011	3235061	4544390	5414066	4325307	6253536	32.21e6	Genomes/GCA_000225605.1_CmilitarisCM01_v01_genomic.fna
7	7	3	4116359	4342007	5062665	10.93e6	6449700	10.93e6	38.74e6	Genomes/GCA_000226095.1_ASM22609v1_genomic.fna
6	6	2	3570487	4578922	9477512	10.1e6	7255747	10.1e6	36.91e6	Genomes/GCA_000226115.1_ASM22611v1_genomic.fna
49	49	4	1032	3649809	3888243	5621508	4180247	6384758	32.2e6	Genomes/GCA_000226395.1_PenChr_Nov2007_genomic.fna
33	33	6	43015	983796	2410532	3083477	2323608	4614864	34.25e6	Genomes/GCA_000226545.1_ASM22654v1_genomic.fna
501	227	6	508	2004929	2543412	2926907	2670989	4538668	39.43e6	Genomes/GCA_000226655.2_AsojaeNBRC4239_2.0_genomic.fna
11	11	5	695740	1131123	1226914	1563424	1353393	2049093	13.49e6	Genomes/GCA_000227115.2_ASM22711v2_genomic.fna
76	75	10	3630	1395514	1758212	2300191	1966020	4216009	43.99e6	Genomes/GCA_000230375.1_ASM23037v1_genomic.fna
11	11	4	6626	2893654	3623190	4218364	3494384	4244708	26.37e6	Genomes/GCA_000230625.1_Exop_derm_V1_genomic.fna
8	8	4	897456	980088	1193613	1540972	1262213	1601908	9669411	Genomes/GCA_000235365.1_ASM23536v1_genomic.fna
11986	5641	139	500	4616	43769	87604	58318	224401	23.83e6	Genomes/GCA_000235945.1_HOMPOL_1.0_genomic.fna
17	17	6	14880	712451	815111	1095046	863794	1376909	12.1e6	Genomes/GCA_000236905.1_ASM23690v1_genomic.fna
10	10	3	468474	828434	1245273	3019861	1584557	3019861	11.22e6	Genomes/GCA_000237345.1_ASM23734v1_genomic.fna
1163	741	14	500	415310	893364	1468483	917731	2068753	36.76e6	Genomes/GCA_000239835.2_Akaw_assembly01_genomic.fna
21	21	2	2080	7964225	8862171	11.63e6	9252801	11.63e6	36.33e6	Genomes/GCA_000240135.3_ASM24013v3_genomic.fna
1099	1028	70	507	83479	171448	277559	201011	604545	38.02e6	Genomes/GCA_000240685.2_ASM24068v2_genomic.fna
8	8	4	833403	1070321	1217912	1354296	1183778	1417671	9218501	Genomes/GCA_000243375.1_ASM24337v1_genomic.fna
155	155	11	665	473578	968288	1333284	860458	1688224	26.72e6	Genomes/GCA_000261425.2_UM843Vel2.0_genomic.fna
56	56	9	2071	211155	337330	598132	414190	900636	9798415	Genomes/GCA_000263375.1_Wallemia_sebi_v1.0_genomic.fna
159	159	9	2010	1435967	1781964	2710796	2151064	3726271	45.65e6	Genomes/GCA_000264905.1_Stehi1_genomic.fna
195	195	6	2001	1186816	2048194	2768397	2116966	4604672	33.07e6	Genomes/GCA_000264995.1_Punctularia_strigosozonata_v1.0_genomic.fna
1531	1531	43	2002	212607	481768	759500	611140	2110480	69.05e6	Genomes/GCA_000265015.1_Auricularia_subglabra_SS-5_V1.0_genomic.fna
82	82	11	2064	798707	1387690	1936595	1590082	4823741	43.12e6	Genomes/GCA_000271565.1_GanLuc1.0_genomic.fna
283	283	6	2008	2472687	2834592	3702921	2920545	4963567	42.89e6	Genomes/GCA_000271585.1_Trametes_versicolor_v1.0_genomic.fna
1412	1412	6	1998	1551116	3773382	4091198	3592996	8506741	56.77e6	Genomes/GCA_000271605.1_Fomme1_genomic.fna
210	210	7	2003	1592528	2346210	3137141	2381527	4488750	41.86e6	Genomes/GCA_000271625.1_Conpu1_genomic.fna
45	45	5	1662	1103832	1591301	2979878	2372477	5913943	27.99e6	Genomes/GCA_000271645.1_Treme1_genomic.fna
542	542	15	2002	245608	581400	1533347	989462	3339588	39.46e6	Genomes/GCA_000275845.1_Dichomitus_squalens_v1.0_genomic.fna
237	237	13	1004	342724	727766	1464760	921907	2081729	33.6e6	Genomes/GCA_000280675.1_ASM28067v1_genomic.fna
169	169	22	1287	324011	476883	646346	499811	1074616	28.51e6	Genomes/GCA_000281105.1_Coni_apol_CBS100218_V1_genomic.fna
502	502	40	2009	100393	252471	403108	294696	1045742	32.11e6	Genomes/GCA_000291705.1_sPop_v1_genomic.fna
99	99	10	2007	817410	1153285	1545555	1171200	1990707	27.6e6	Genomes/GCA_000292625.1_Dacryopinax_sp._DJM_731_SSP1_v1.0_genomic.fna
35	35	6	2024	638359	865807	1040590	833367	1229296	11.4e6	Genomes/GCA_000292725.1_SacArb1.0_genomic.fna
78	78	6	2040	818018	1634549	2548087	1682254	3196803	24.3e6	Genomes/GCA_000293215.1_Trichosporon_asahii_1_genomic.fna
802	802	37	789	58307	199209	436745	272384	948252	27.92e6	Genomes/GCA_000296255.1_OmpOle_1.0_genomic.fna
89	89	11	1006	1059792	1592349	2464313	1945807	5164391	51.72e6	Genomes/GCA_000298775.1_ASM29877v1_genomic.fna
1137	1137	6	1992	2049174	3314607	3861285	3022681	5304192	43.13e6	Genomes/GCA_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0_genomic.fna
