DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	NRPS_or_PKS_Sum
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	98642
Phaeoacremonium_GCF_000392275.1	900611
Corynespora_GCA_003016335.1	3053262
Paraphysoderma_GCA_025602915.1	64677
Erythrobasidium_GCA_001600175.1	125002
Chytriomyces_GCA_025201725.1	43335
Smittium_GCA_003086735.1	34320
Taphrina_GCA_000836135.1	326120
Obelidium_GCA_025765595.1	417070
Polychytrium_GCF_025602895.1	4031320
Monilinia_GCA_002162545.1	2351166
Ustilago_GCF_000328475.2	651597
Chaetoscypha_GCA_003988945.1	1341464
Gonapodya_GCA_001574975.1	65252
Ramichloridium_GCA_002368545.1	1589521
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	1903845
Xylona_GCF_001619985.1	1250778
Bipolaris_GCF_000354255.1	2413910
Emmonsia_GCA_002572855.1	661329
Syncephalastrum_GCA_002105135.1	334324
Glonium_GCA_001692915.1	1302490
Alloascoidea_GCA_001600815.1	243756
Verruconis_GCA_000836295.1	640551
Mixia_GCF_000708205.1	254610
Podospora_GCA_900290415.1	1900585
Homolaphlyctis_GCA_000235945.1	56970
Eutypa_GCA_000349385.1	2745970
Hyaloraphidium_GCA_025558095.1	116939
Geranomyces_GCA_027600685.1	581267
Aureobasidium_GCF_000721755.1	1291820
Phialocephala_GCA_900073065.1	3194585
Ascochyta_GCA_004335205.1	1512945
Lobulomyces_GCA_027604685.1	120081
Irineochytrium_GCA_027600665.1	317822
Fragosphaeria_GCA_002778095.1	1231016
Ascoidea_GCF_001661345.1	40282
Gaertneriomyces_GCA_027603645.1	241610
Tolypocladium_GCA_002916505.1	1345561
Geranomyces_GCA_027602005.1	578508
Capsaspora_GCA_000151315.2	129883
Epichloe_GCA_002591845.1	1283800
Tuber_GCF_000151645.1	356076
Spizellomyces_GCA_000182565.2	701881
Valsa_GCA_003795315.1	2884522
Gonapodya_GCA_027604505.1	65307
Oehlia_GCA_003833135.1	144681
Hyaloscypha_GCA_002865625.1	1589410
Rhizopus_GCA_000149305.1	435996
Backusella_GCA_025399235.1	321336
Cephaloascus_GCA_003706495.1	39157
Bifiguratus_GCA_002261195.1	172256
Chytridiales_GCA_027604305.1	133128
Scedosporium_GCA_000812075.1	1368662
Clydaea_GCA_027604065.1	37696
Physocladia_GCA_027596945.1	177468
Rhizoclosmatium_GCA_027604365.1	157984
Cryphonectria_GCA_003264845.1	2581777
Rhizoclosmatium_GCA_002104985.1	447361
Allomyces_GCA_027604705.1	64709
Ascobolus_GCA_003788565.2	438137
Batrachochytrium_GCA_000149865.1	197658
Rhizopus_GCA_002083745.1	164707
Ustulina_GCA_002081935.3	3607619
Polyrhizophydium_GCA_027604665.1	59240
Gaertneriomyces_GCA_025558075.1	247464
Colletotrichum_GCA_001563115.1	2587943
Blyttiomyces_GCA_027604625.1	13150
Phlyctochytrium_GCA_025602905.1	275562
Neofusicoccum_GCA_000385595.1	1975218
Reticulascus_GCA_001557505.1	3068951
Rhizophlyctis_GCA_002214945.1	118317
Talaromyces_GCA_001270325.1	2351631
Orbilia_GCF_000225545.1	636398
Verticillium_GCA_000732205.1	1410178
Boothiomyces_GCA_027604245.1	90386
Metschnikowia_GCA_002374405.1	64170
Baudoinia_GCF_000338955.1	659925
Batrachochytrium_GCA_002006685.2	114005
Evernia_GCA_003184365.1	3778600
Schizosaccharomyces_GCA_000002945.2	202211
Martensiomyces_GCA_025201845.1	36300
Chytriomyces_GCA_027604165.1	242731
Yarrowia_GCA_000002525.1	64242
Thermothielavioides_GCF_000226115.1	1295672
Linderina_GCF_002104995.1	64218
Paecilomyces_GCA_003990805.1	1486856
Batrachochytrium_GCA_000203795.1	130281
Neocallimastix_GCA_002104975.1	1974071
Microbotryum_GCA_900120095.1	129729
Piromyces_GCA_002104945.1	594068
Mucor_GCA_000950595.1	189657
Ophiognomonia_GCA_003671545.1	3611305
Terramyces_GCA_027603945.1	201429
Coemansia_GCA_002705745.1	64152
Hanseniaspora_GCA_900119595.1	64098
Fonticula_GCA_000388065.2	65349
Kappamyces_GCA_027604465.1	84782
Aspergillus_GCA_003574815.1	3021646
Pestalotiopsis_GCF_000516985.1	3975389
Geranomyces_GCA_027603065.1	664728
Chytriomyces_GCA_027604085.1	292809
Basidiobolus_GCA_002104905.1	1320107
Rozella_GCA_000442015.1	0
Geranomyces_GCA_027601485.1	643018
Entophlyctis_GCA_027604545.1	76268
Cystobasidiopsis_GCA_001599975.1	322051
Chytridium_GCA_025449115.1	217232
Thoreauomyces_GCA_027596035.1	365473
Elaphomyces_GCA_002240705.1	436869
Cladosporium_GCA_000261425.2	965042
Umbelopsis_GCF_025399195.1	225259
Endocalyx_GCA_001600455.1	4819664
Gorgonomyces_GCA_025526955.1	64109
Clohesyomyces_GCA_002105025.1	2366953
