DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Genome_Size
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	30009547
Phaeoacremonium_GCF_000392275.1	47302611
Corynespora_GCA_003016335.1	44703665
Paraphysoderma_GCA_025602915.1	27876074
Erythrobasidium_GCA_001600175.1	20870985
Chytriomyces_GCA_025201725.1	36029559
Smittium_GCA_003086735.1	40310083
Taphrina_GCA_000836135.1	13010491
Obelidium_GCA_025765595.1	49458483
Polychytrium_GCF_025602895.1	64917104
Monilinia_GCA_002162545.1	43338467
Ustilago_GCF_000328475.2	19641656
Chaetoscypha_GCA_003988945.1	40661501
Gonapodya_GCA_001574975.1	48187626
Ramichloridium_GCA_002368545.1	28121942
Mitosporidium_GCF_000760515.2	5473455
Corinectria_GCA_003385255.1	38830354
Xylona_GCF_001619985.1	24318220
Bipolaris_GCF_000354255.1	32084566
Emmonsia_GCA_002572855.1	33739611
Syncephalastrum_GCA_002105135.1	30744882
Glonium_GCA_001692915.1	40170011
Alloascoidea_GCA_001600815.1	24423196
Verruconis_GCA_000836295.1	31348514
Mixia_GCF_000708205.1	13518494
Podospora_GCA_900290415.1	34157309
Homolaphlyctis_GCA_000235945.1	21725198
Eutypa_GCA_000349385.1	53595975
Hyaloraphidium_GCA_025558095.1	31925225
Geranomyces_GCA_027600685.1	23609958
Aureobasidium_GCF_000721755.1	25790867
Phialocephala_GCA_900073065.1	66853248
Ascochyta_GCA_004335205.1	44570443
Lobulomyces_GCA_027604685.1	24917643
Irineochytrium_GCA_027600665.1	36834433
Fragosphaeria_GCA_002778095.1	34748420
Ascoidea_GCF_001661345.1	17458255
Gaertneriomyces_GCA_027603645.1	20551572
Tolypocladium_GCA_002916505.1	27322323
Geranomyces_GCA_027602005.1	23459521
Capsaspora_GCA_000151315.2	27434513
Epichloe_GCA_002591845.1	24477428
Tuber_GCF_000151645.1	123533734
Spizellomyces_GCA_000182565.2	23906001
Valsa_GCA_003795315.1	38171725
Gonapodya_GCA_027604505.1	35583160
Oehlia_GCA_003833135.1	128979656
Hyaloscypha_GCA_002865625.1	56764259
Rhizopus_GCA_000149305.1	45324238
Backusella_GCA_025399235.1	47082259
Cephaloascus_GCA_003706495.1	16056720
Bifiguratus_GCA_002261195.1	19180058
Chytridiales_GCA_027604305.1	26939298
Scedosporium_GCA_000812075.1	39422603
Clydaea_GCA_027604065.1	24632018
Physocladia_GCA_027596945.1	44073083
Rhizoclosmatium_GCA_027604365.1	30544921
Cryphonectria_GCA_003264845.1	40208438
Rhizoclosmatium_GCA_002104985.1	57017234
Allomyces_GCA_027604705.1	26480077
Ascobolus_GCA_003788565.2	58885632
Batrachochytrium_GCA_000149865.1	23577733
Rhizopus_GCA_002083745.1	24892044
Ustulina_GCA_002081935.3	46510157
Polyrhizophydium_GCA_027604665.1	23299484
Gaertneriomyces_GCA_025558075.1	20918219
Colletotrichum_GCA_001563115.1	49675139
Blyttiomyces_GCA_027604625.1	46231986
Phlyctochytrium_GCA_025602905.1	31548172
Neofusicoccum_GCA_000385595.1	42408988
Reticulascus_GCA_001557505.1	42868360
Rhizophlyctis_GCA_002214945.1	46568862
Talaromyces_GCA_001270325.1	38748549
Orbilia_GCF_000225545.1	39966211
Verticillium_GCA_000732205.1	35973570
Boothiomyces_GCA_027604245.1	12849375
Metschnikowia_GCA_002374405.1	20362124
Baudoinia_GCF_000338955.1	21865565
Batrachochytrium_GCA_002006685.2	73346731
Evernia_GCA_003184365.1	40286858
Schizosaccharomyces_GCA_000002945.2	12590849
Martensiomyces_GCA_025201845.1	19261180
Chytriomyces_GCA_027604165.1	29776287
Yarrowia_GCA_000002525.1	20501810
Thermothielavioides_GCF_000226115.1	36912256
Linderina_GCF_002104995.1	26202545
Paecilomyces_GCA_003990805.1	30833540
Batrachochytrium_GCA_000203795.1	24130314
Neocallimastix_GCA_002104975.1	193030081
Microbotryum_GCA_900120095.1	33586740
Piromyces_GCA_002104945.1	56455805
Mucor_GCA_000950595.1	31788096
Ophiognomonia_GCA_003671545.1	51190975
Terramyces_GCA_027603945.1	15585454
Coemansia_GCA_002705745.1	20641002
Hanseniaspora_GCA_900119595.1	9035520
Fonticula_GCA_000388065.2	25403499
Kappamyces_GCA_027604465.1	11695702
Aspergillus_GCA_003574815.1	31178067
Pestalotiopsis_GCF_000516985.1	51862766
Geranomyces_GCA_027603065.1	24132271
Chytriomyces_GCA_027604085.1	28403704
Basidiobolus_GCA_002104905.1	89489060
Rozella_GCA_000442015.1	11482583
Geranomyces_GCA_027601485.1	23746804
Entophlyctis_GCA_027604545.1	26942938
Cystobasidiopsis_GCA_001599975.1	22128637
Chytridium_GCA_025449115.1	42380874
Thoreauomyces_GCA_027596035.1	26324326
Elaphomyces_GCA_002240705.1	53858501
Cladosporium_GCA_000261425.2	26716808
Umbelopsis_GCF_025399195.1	23060122
