Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	Chromosome	2009-09-24		8
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357		NRRL3357					Annotation submitted by University of Georgia	Chromosome	2020-08-09		8
GCF_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	Chromosome	2005-06-10	AAHF01	8
GCF_000184455.2	ASM18445v3	Aspergillus oryzae RIB40		RIB40					Annotation submitted by National Institute of Technology and Evaluation (NITE), Japan	Chromosome	2011-06-24		11
GCF_000002855.4	ASM285v2	Aspergillus niger							Annotation submitted by DSM, The Netherlands	Scaffold	2007-04-11		19
GCF_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65		CBS 593.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	MRCH01	97
GCF_001890905.1	Aspac1	Aspergillus aculeatus ATCC 16872		ATCC 16872					Annotation submitted by JGI	Scaffold	2016-12-08	MRCK01	660
GCF_001890125.1	Aspve1	Aspergillus versicolor CBS 583.65		CBS 583.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-06	MRBN01	51
GCF_001890805.1	Aspgl1	Aspergillus glaucus CBS 516.65		CBS 516.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LSTL01	82
GCF_009176365.1	Aspalli1	Aspergillus alliaceus		CBS 536.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWAS01	331
GCF_000149645.3	ASM14964v4	Aspergillus fischeri NRRL 181		NRRL 181					Annotation submitted by TIGR	Scaffold	2006-12-14	AAKE03	163
GCF_003184765.1	Aspacu1	Aspergillus aculeatinus CBS 121060		CBS 121060					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTE01	121
GCF_003426965.1	ASM342696v1	Aspergillus tanneri		NIH1004					Annotation submitted by JCVI	Contig	2018-08-24	QUQM01	
GCF_001078395.1	Aud_assembly02	Aspergillus udagawae		IFM 46973					Annotation submitted by Medical Mycology Research Center	Scaffold	2021-03-12	BBXM02	17
GCF_000002715.2	ASM271v1	Aspergillus clavatus NRRL 1		NRRL 1					Annotation submitted by J. Craig Venter Institute	Scaffold	2006-12-14	AAKD03	143
GCF_001889945.1	Aspbr1	Aspergillus brasiliensis CBS 101740		CBS 101740					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LJXV01	103
GCF_003184835.1	Aspcos1	Aspergillus costaricaensis CBS 115574		CBS 115574					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTH01	86
