DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	HIP
COLOR	#000000
DATA
Scedosporium_aurantiacum_GCA_000812075	84
Pseudopyrenochaeta_lycopersici_GCA_003313425	301
Phialocephala_subalpina_GCA_900073065	550
Periconia_macrospinosa_GCA_003073855	180
Bipolaris_maydis_ATCC_48331_GCA_000354255	99
Microdochium_bolleyi_GCA_001566295	125
Beverwykella_pulmonaria_GCA_001599595	180
Lepidopterella_palustris_CBS_459.81_GCA_001692735	305
Proliferodiscus_dingleyae_GCA_003988795	149
Elaphomyces_granulatus_GCA_002240705	76
Neurospora_sublineolata_FGSC_5508_GCA_000604185	31
Paramyrothecium_roridum_GCA_003012165	152
Corynespora_cassiicola_Philippines_GCA_003016335	168
Neurospora_crassa_OR74A_GCA_000182925	37
Hyaloscypha_hepaticicola_GCA_002865625	609
Cladonia_uncialis_GCA_002927785	101
Glonium_stellatum_GCA_001692915	274
Reticulascus_tulasneorum_GCA_001557505	269
Paraphaeosphaeria_sporulosa_GCA_001642045	183
Endocalyx_cinctus_GCA_001600455	122
Pestalotiopsis_fici_W106-1_GCA_000516985	264
Hysterium_pulicare_CBS_123377_GCA_000467715	155
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	21
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	82
Trichoderma_gamsii_GCA_001481775	98
Helminthosporium_solani_B-AC-16A_GCA_000498615	35
Clohesyomyces_aquaticus_GCA_002105025	240
Clonostachys_rosea_GCA_000963775	166
Endocarpon_pusillum_Z07020_GCA_000464535	148
Erysiphe_neolycopersici_GCA_003610855	3
Parastagonospora_nodorum_SN15_GCA_000146915	80
Diaporthe_aspalathi_GCA_001447215	74
Ramichloridium_luteum_GCA_002368545	100
Verruconis_gallopava_GCA_000836295	95
Chlorencoelia_torta_GCA_003988815	47
Lanzia_echinophila_GCA_000812885	99
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	91
Colletotrichum_nymphaeae_SA-01_GCA_001563115	127
Podospora_comata_GCA_900290415	139
Chaetoscypha_palmicola_GCA_003988945	86
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	58
Venturia_pyrina_ICMP_11032_GCA_000738655	73
Ustulina_deusta_GCA_002081935	147
Valsa_malicola_GCA_003795315	74
Hymenoscyphus_occultus_GCA_900536445	108
Evernia_prunastri_GCA_003184365	76
Fragosphaeria_purpurea_GCA_002778095	26
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	36
Amorphotheca_resinae_ATCC_22711_GCA_003019875	21
Verticillium_tricorpus_MUCL_9792_GCA_000732205	40
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	22
Hortaea_werneckii_EXF-2000_GCA_002127715	45
Coniella_lustricola_GCA_003019895	36
Coniochaeta_hoffmannii_GCA_002798055	49
Monilinia_fructicola_GCA_002162545	48
Pseudogymnoascus_verrucosus_GCA_001662655	39
Graphilbum_fragrans_GCA_001513895	26
Pseudomassariella_vexata_GCA_002105095	38
Ophioceras_dolichostomum_GCA_003049485	91
Corinectria_fuckeliana_GCA_003385255	41
Cyanodermella_asteris_GCA_900618795	72
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	47
Eutypa_lata_UCREL1_GCA_000349385	71
Cyphellophora_europaea_CBS_101466_GCA_000365145	71
Neofusicoccum_parvum_UCRNP2_GCA_000385595	40
Cryphonectria_radicalis_GCA_003264845	93
Ramalina_peruviana_GCA_001956345	49
Pseudophaeomoniella_oleicola_GCA_003868215	60
Baudoinia_panamericana_UAMH_10762_GCA_000338955	45
Knufia_petricola_GCA_002319055	36
Ramularia_coccinea_GCA_004155245	36
Ascochyta_viciae-villosae_GCA_004335205	41
Emmonsia_crescens_GCA_002572855	13
Knoxdaviesia_proteae_GCA_001510565	20
Aspergillus_spinulosporus_GCA_003574815	11
Orbilia_oligospora_ATCC_24927_GCA_000225545	9
Phyllosticta_capitalensis_GCA_001604925	26
Arthrobotrys_flagrans_GCA_004000055	7
Bifiguratus_adelaidae_GCA_002261195	3
Cladosporium_sphaerospermum_UM_843_GCA_000261425	13
Elsinoe_australis_GCA_003013795	6
Physocladia_obscura_GCA_027596945	29
Arthonia_radiata_GCA_002989075	18
Epichloe_elymi_GCA_002591845	7
Tolypocladium_paradoxum_GCA_002916505	14
Nowakowskiella_sp._JEL0078_GCA_026955015	45
Leptoxyphium_fumago_GCA_001660795	17
Geranomyces_variabilis_GCA_027601485	4
Trichophyton_mentagrophytes_GCA_003118255	8
Rhizophlyctis_rosea_GCA_027596075	24
Zopfochytrium_polystomum_GCA_025765615	17
Gonapodya_prolifera_JEL478_GCA_001574975	1
Cladochytrium_tenue_GCA_026954515	16
Borealophlyctis_nickersoniae_GCA_027604605	12
Entophlyctis_luteolus_GCA_027604725	17
Entophlyctis_luteolus_GCA_027603655	18
Entophlyctis_sp._JEL0112_GCA_027604545	16
Rhizophlyctis_rosea_GCA_002214945	11
Thielaviopsis_punctulata_GCA_000968615	5
Phlyctochytrium_bullatum_GCA_027597005	20
Cladochytrium_replicatum_GCA_025526935	20
Rhizoclosmatium_globosum_GCA_002104985	8
Quaeritorhiza_haematococci_GCA_027596845	1
Nowakowskiella_sp._JEL0407_GCA_027600645	19
Rhizoclosmatium_sp._JEL0117_GCA_027604365	9
Saksenaea_vasiformis_B4078_GCA_000697055	2
Rhizophlyctis_rosea_GCA_027596135	14
Coemansia_reversa_NRRL_1564_GCA_002705745	1
Siphonaria_sp._JEL0065_GCA_027596065	8
Obelidium_mucronatum_GCA_025765595	3
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	5
Ascobolus_immersus_RN42_GCA_003788565	8
Linderina_pennispora_GCA_002104995	1
Chytriomyces_sp._MP71_GCA_025201725	6
Blyttiomyces_sp._JEL0837_GCA_027604625	4
Aeminium_ludgeri_GCA_004216415	6
Podochytrium_sp._JEL0797_GCA_027596195	8
Chytridiales_sp._JEL_0842_GCA_027604305	3
Umbilicaria_muehlenbergii_GCA_000611775	16
Uncinocarpus_reesii_1704_GCA_000003515	5
Umbelopsis_ramanniana_AG_GCA_025399195	12
Polychytrium_aggregatum_GCA_025602895	1
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	3
Morchella_conica_CCBAS932_GCA_003790465	11
Chytriomyces_hyalinus_GCA_027604105	4
Chytriomyces_hyalinus_GCA_027604745	3
Chytriomyces_hyalinus_GCA_027604165	5
Synchytrium_microbalum_GCA_006535985	1
Paecilomyces_variotii_GCA_003990805	4
Dinochytrium_kinnereticum_GCA_027604005	1
Rhizoclosmatium_hyalinum_GCA_027596175	6
Chytridium_lagenaria_GCA_025449115	1
Chytriomyces_hyalinus_GCA_027604085	5
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	25
Geranomyces_variabilis_GCA_025399175	3
Geranomyces_variabilis_GCA_027603065	3
Chytriomyces_confervae_GCA_006535975	3
Tuber_melanosporum_GCA_000151645	7
Linnemannia_elongata_AG-77_GCA_001651415	1
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	2
Coprinopsis_cinerea_okayama7#130_GCA_000182895	3
Xylona_heveae_TC161_GCA_001619985	4
Talaromyces_purpureogenus_GCA_001270325	9
Ascosphaera_apis_ARSEF_7405_GCA_001636715	2
Ustilago_maydis_521_GCA_000328475	1
Protomyces_lactucae-debilis_GCA_002105105	1
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	2
Yarrowia_lipolytica_CLIB122_GCA_000002525	2
Calocera_viscosa_TUFC12733_GCA_001630345	1
Pseudozyma_flocculosa_PF-1_GCA_000417875	1
Baeospora_myosura_GCA_001179705	2
Microbotryum_silenes-dioicae_GCA_900120095	1
Neolecta_irregularis_DAH-3_GCA_001929475	2
Powellomyces_hirtus_GCA_006536005	1
Powellomyces_hirtus_GCA_025526995	1
Fimicolochytrium_jonesii_GCA_025526975	2
Phlyctochytrium_arcticum_GCA_025602905	1
Gaertneriomyces_semiglobifer_GCA_025558075	2
Gaertneriomyces_sp._JEL0708_GCA_027603645	2
Thoreauomyces_humboldtii_GCA_027596035	1
Mixia_osmundae_IAM_14324_GCA_000708205	1
Clydaea_vesicula_GCA_027604065	1
Spizellomyces_sp._'palustris'_GCA_006535965	1
Geranomyces_variabilis_GCA_027600685	2
Geranomyces_variabilis_GCA_027602705	3
Erythrobasidium_yunnanense_GCA_001600175	2
Geranomyces_michiganensis_GCA_027602005	2
Pseudomicrostroma_glucosiphilum_GCA_003144135	1
Lobulomyces_angularis_GCA_027604685	1
