clade_comparison	clade	genome	bgcome_size
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cladosporium_GCA_000261425.2	1273538.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Diaporthe_GCA_001447215.1	4507020.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Chaetoscypha_GCA_003988945.1	1929239.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Corinectria_GCA_003385255.1	2142944.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Umbilicaria_GCA_000611775.1	1813591.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Pestalotiopsis_GCF_000516985.1	6120631.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Tolypocladium_GCA_002916505.1	1758394.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ramichloridium_GCA_002368545.1	2207740.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Neofusicoccum_GCA_000385595.1	2820706.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Talaromyces_GCA_001270325.1	2749749.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Fonsecaea_GCF_000836435.1	1937094.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ramularia_GCA_004155245.1	2926567.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Aureobasidium_GCF_000721755.1	1936074.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Hortaea_GCA_002127715.1	1828911.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Beverwykella_GCA_001599595.1	4416498.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Hyaloscypha_GCA_002865625.1	3280553.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Venturia_GCA_000738655.1	2340445.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ascosphaera_GCA_001636715.1	750100.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Trichophyton_GCA_003118255.1	2131043.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Aspergillus_GCA_003574815.1	3623676.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Graphilbum_GCA_001513895.1	1351256.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Eutypa_GCA_000349385.1	3267375.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Phyllosticta_GCA_001604925.1	1198186.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Aeminium_GCA_004216415.1	673408.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Pseudopyrenochaeta_GCA_003313425.1	3351049.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Endocalyx_GCA_001600455.1	6754477.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Podospora_GCA_900290415.1	2496526.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Trichoderma_GCF_001481775.2	3137760.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Xylona_GCF_001619985.1	1622670.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Scedosporium_GCA_000812075.1	1721282.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Elaphomyces_GCA_002240705.1	584744.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Paecilomyces_GCA_003990805.1	2187407.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Glonium_GCA_001692915.1	1768264.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Reticulascus_GCA_001557505.1	3957835.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Hymenoscyphus_GCA_900536445.1	4001601.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Clohesyomyces_GCA_002105025.1	4202908.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cyanodermella_GCA_900618795.1	4326105.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Leptoxyphium_GCA_001660795.1	1430559.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ustulina_GCA_002081935.3	5408965.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Pseudogymnoascus_GCF_001662655.1	2232339.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Valsa_GCA_003795315.1	3848048.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Coniella_GCA_003019895.1	2712082.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Thielaviopsis_GCA_000968615.1	527486.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Helminthosporium_GCA_000498615.1	1699501.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Thermothielavioides_GCF_000226115.1	2091629.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Periconia_GCA_003073855.1	6700813.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ramalina_GCA_001956345.1	1929509.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ophiognomonia_GCA_003671545.1	5311010.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Proliferodiscus_GCA_003988795.1	4722183.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Lepidopterella_GCA_001692735.1	1663867.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Chlorencoelia_GCA_003988815.1	2467271.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Neurospora_GCA_000182925.2	1255064.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Pseudomassariella_GCF_002105095.1	4469028.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Paramyrothecium_GCA_003012165.1	3767193.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Baudoinia_GCF_000338955.1	1293462.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Plenodomus_GCA_900465125.1	1912441.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Hysterium_GCA_000467715.1	2834001.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Microdochium_GCA_001566295.1	2814412.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Knoxdaviesia_GCA_001510565.1	626701.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Arthonia_GCA_002989075.1	2021288.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Verruconis_GCA_000836295.1	1292979.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Corynespora_GCA_003016335.1	4436637.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cyphellophora_GCA_000365145.2	1491602.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cordyceps_GCF_001636725.1	3133737.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Monilinia_GCA_002162545.1	3179834.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Coniochaeta_GCA_002798055.1	1484337.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Uncinocarpus_GCA_000003515.2	1514770.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Parastagonospora_GCA_000146915.2	3566149.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Phaeoacremonium_GCF_000392275.1	1469578.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Colletotrichum_GCA_001563115.1	3904645.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Epichloe_GCA_002591845.1	1647281.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Bipolaris_GCF_000354255.1	3835495.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Verticillium_GCA_000732205.1	2088665.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ascochyta_GCA_004335205.1	2115583.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Ophioceras_GCA_003049485.1	1716453.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Paraphaeosphaeria_GCF_001642045.1	5545732.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Clonostachys_GCA_000963775.2	4203312.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cladonia_GCA_002927785.1	2654059.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Fragosphaeria_GCA_002778095.1	1597277.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Emmonsia_GCA_002572855.1	1097976.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Elsinoe_GCA_003013795.1	1562526.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Evernia_GCA_003184365.1	5089503.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Amorphotheca_GCF_003019875.1	1390539.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Endocarpon_GCF_000464535.1	1989075.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Pseudophaeomoniella_GCA_003868215.1	1845198.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Cryphonectria_GCA_003264845.1	3706221.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Gyalolechia_GCA_000442125.1	3087933.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Knufia_GCA_002319055.1	792444.0
0. BGC-enriched Pezizomycotina vs. Other fungi	1. BGC-enriched Pezizomycotina	Phialocephala_GCA_900073065.1	5505573.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Paramicrosporidium_GCA_002794465.1	0.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Dioszegia_GCA_001600615.1	339584.0
