DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Homologs_Distinct
COLOR	#000000
DATA
Phlyctochytrium_planicorne_GCA_027600675	274
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	638
Corynespora_cassiicola_Philippines_GCA_003016335	872
Paraphysoderma_sedebokerense_GCA_025602915	284
Erythrobasidium_yunnanense_GCA_001600175	324
Chytriomyces_sp._MP71_GCA_025201725	372
Smittium_simulii_GCA_003086735	185
Taphrina_wiesneri_JCM_22204_GCA_000836135	307
Obelidium_mucronatum_GCA_025765595	357
Polychytrium_aggregatum_GCA_025602895	323
Monilinia_fructicola_GCA_002162545	634
Ustilago_maydis_521_GCA_000328475	416
Chaetoscypha_palmicola_GCA_003988945	585
Gonapodya_prolifera_JEL478_GCA_001574975	354
Ramichloridium_luteum_GCA_002368545	505
Mitosporidium_daphniae_GCA_000760515	65
Corinectria_fuckeliana_GCA_003385255	671
Xylona_heveae_TC161_GCA_001619985	419
Bipolaris_maydis_ATCC_48331_GCA_000354255	768
Emmonsia_crescens_GCA_002572855	427
Syncephalastrum_racemosum_GCA_002105135	474
Glonium_stellatum_GCA_001692915	702
Coelomomyces_lativittatus_GCA_026937265	132
Alloascoidea_hylecoeti_GCA_001600815	330
Verruconis_gallopava_GCA_000836295	516
Mixia_osmundae_IAM_14324_GCA_000708205	269
Podospora_comata_GCA_900290415	724
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	157
Eutypa_lata_UCREL1_GCA_000349385	751
Hyaloraphidium_curvatum_GCA_025558095	418
Geranomyces_variabilis_GCA_027600685	304
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	653
Phialocephala_subalpina_GCA_900073065	926
Ascochyta_viciae-villosae_GCA_004335205	757
Lobulomyces_angularis_GCA_027604685	235
Irineochytrium_annulatum_GCA_027600665	430
Fragosphaeria_purpurea_GCA_002778095	551
Ascoidea_rubescens_DSM_1968_GCA_001661345	263
Gaertneriomyces_sp._JEL0708_GCA_027603645	267
Tolypocladium_paradoxum_GCA_002916505	497
Geranomyces_michiganensis_GCA_027602005	270
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	228
Epichloe_elymi_GCA_002591845	462
Tuber_melanosporum_GCA_000151645	377
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	264
Valsa_malicola_GCA_003795315	640
Gonapodya_sp._JEL0774_GCA_027604505	199
Oehlia_diaphana_GCA_003833135	308
Hyaloscypha_hepaticicola_GCA_002865625	668
Rhizopus_delemar_RA_99-880_GCA_000149305	440
Backusella_circina_FSU_941_GCA_025399235	570
Cephaloascus_albidus_GCA_003706495	279
Bifiguratus_adelaidae_GCA_002261195	306
Chytridiales_sp._JEL_0842_GCA_027604305	244
Scedosporium_aurantiacum_GCA_000812075	608
Clydaea_vesicula_GCA_027604065	219
Physocladia_obscura_GCA_027596945	358
Rhizoclosmatium_sp._JEL0117_GCA_027604365	305
Cryphonectria_radicalis_GCA_003264845	673
Rhizoclosmatium_globosum_GCA_002104985	359
Allomyces_arbusculus_GCA_027604705	233
Ascobolus_immersus_RN42_GCA_003788565	499
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	207
Rhizopus_microsporus_var._microsporus_GCA_002083745	413
Ustulina_deusta_GCA_002081935	697
Polyrhizophydium_stewartii_GCA_027604665	188
Gaertneriomyces_semiglobifer_GCA_025558075	287
Colletotrichum_nymphaeae_SA-01_GCA_001563115	969
Blyttiomyces_sp._JEL0837_GCA_027604625	263
Phlyctochytrium_arcticum_GCA_025602905	298
Neofusicoccum_parvum_UCRNP2_GCA_000385595	706
Reticulascus_tulasneorum_GCA_001557505	826
Rhizophlyctis_rosea_GCA_002214945	398
Talaromyces_purpureogenus_GCA_001270325	737
Orbilia_oligospora_ATCC_24927_GCA_000225545	646
Verticillium_tricorpus_MUCL_9792_GCA_000732205	799
Boothiomyces_sp._JEL0838_GCA_027604245	172
Metschnikowia_cubensis_GCA_002374405	249
Baudoinia_panamericana_UAMH_10762_GCA_000338955	537
Batrachochytrium_salamandrivorans_GCA_002006685	258
Evernia_prunastri_GCA_003184365	437
Schizosaccharomyces_pombe_GCA_000002945	260
Martensiomyces_pterosporus_GCA_025201845	305
Chytriomyces_hyalinus_GCA_027604165	301
Yarrowia_lipolytica_CLIB122_GCA_000002525	307
Syncephalis_pseudoplumigaleata_GCA_003614755	199
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	662
Linderina_pennispora_GCA_002104995	331
Paecilomyces_variotii_GCA_003990805	514
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	269
Neocallimastix_californiae_GCA_002104975	660
Microbotryum_silenes-dioicae_GCA_900120095	327
Pseudomicrostroma_glucosiphilum_GCA_003144135	289
Piromyces_finnis_GCA_002104945	407
Mucor_ambiguus_GCA_000950595	448
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	794
Terramyces_sp._JEL0728_GCA_027603945	226
Coemansia_reversa_NRRL_1564_GCA_002705745	273
Blyttiomyces_helicus_GCA_003614705	183
Hanseniaspora_guilliermondii_GCA_900119595	170
Fonticula_alba_GCA_000388065	78
Kappamyces_sp._JEL0829_GCA_027604465	219
Aspergillus_spinulosporus_GCA_003574815	776
Pestalotiopsis_fici_W106-1_GCA_000516985	934
Geranomyces_variabilis_GCA_027603065	305
Chytriomyces_hyalinus_GCA_027604085	294
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	537
Basidiobolus_heterosporus_B8920_GCA_000697455	279
Rozella_allomycis_CSF55_GCA_000442015	157
Geranomyces_variabilis_GCA_027601485	299
Entophlyctis_sp._JEL0112_GCA_027604545	328
Cystobasidiopsis_lactophilus_GCA_001599975	318
Chytridium_lagenaria_GCA_025449115	272
Thoreauomyces_humboldtii_GCA_027596035	290
Elaphomyces_granulatus_GCA_002240705	403
Cladosporium_sphaerospermum_UM_843_GCA_000261425	657
Umbelopsis_ramanniana_AG_GCA_025399195	543
Endocalyx_cinctus_GCA_001600455	796
Gorgonomyces_haynaldii_GCA_025526955	291
Clohesyomyces_aquaticus_GCA_002105025	807
Olpidium_bornovanus_GCA_017911155	29
Pseudomassariella_vexata_GCA_002105095	773
Globomyces_sp._JEL0801_GCA_027595885	181
Allomyces_macrogynus_ATCC_38327_GCA_000151295	307
Uncinocarpus_reesii_1704_GCA_000003515	366
Synchytrium_endobioticum_GCA_006535955	227
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	323
Powellomyces_hirtus_GCA_006536005	270
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	428
Microdochium_bolleyi_GCA_001566295	738
Entophlyctis_luteolus_GCA_027603655	296
Monosiga_brevicollis_MX1_GCA_000002865	288
Rhizoclosmatium_hyalinum_GCA_027596175	150
Lepidopterella_palustris_CBS_459.81_GCA_001692735	560
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	280
Coniella_lustricola_GCA_003019895	630
Cladonia_uncialis_GCA_002927785	419
Nowakowskiella_sp._JEL0407_GCA_027600645	296
Trichoderma_gamsii_GCA_001481775	698
Anaeromyces_robustus_GCA_002104895	433
Geranomyces_variabilis_GCA_027602705	273
Zygoascus_ofunaensis_GCA_003707925	312
Ophioceras_dolichostomum_GCA_003049485	652
Protomyces_lactucae-debilis_GCA_002105105	326
Neurospora_crassa_OR74A_GCA_000182925	600
Kockiozyma_suomiensis_GCA_003705835	287
Pseudozyma_flocculosa_PF-1_GCA_000417875	395
Diaporthe_aspalathi_GCA_001447215	846
Paraphaeosphaeria_sporulosa_GCA_001642045	866
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	300
Hesseltinella_vesiculosa_GCA_002104935	427
Helminthosporium_solani_B-AC-16A_GCA_000498615	669
Synchytrium_microbalum_GCA_006535985	308
Arthrobotrys_flagrans_GCA_004000055	578
Leptoxyphium_fumago_GCA_001660795	440
Arthonia_radiata_GCA_002989075	467
Mucor_circinelloides_1006PhL_GCA_000401635	521
Allomyces_javanicus_GCA_027604645	229
Knufia_petricola_GCA_002319055	461
Paramicrosporidium_saccamoebae_GCA_002794465	118
Cyphellophora_europaea_CBS_101466_GCA_000365145	596
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	596
Aeminium_ludgeri_GCA_004216415	508
Entophlyctis_luteolus_GCA_027604725	341
Thielaviopsis_punctulata_GCA_000968615	412
Hortaea_werneckii_EXF-2000_GCA_002127715	860
Chytriomyces_confervae_GCA_006535975	320
Cladochytrium_tenue_GCA_026954515	276
Spizellomyces_sp._'palustris'_GCA_006535965	272
