Protein	Chrom	Position	Type
GCA_002865625|CDS_13537	KZ613515.1	280433.0	HET
GCA_002865625|CDS_14109	KZ613520.1	351571.0	HET
GCA_002865625|CDS_11892	KZ613503.1	278013.5	HET
GCA_002865625|CDS_6327	KZ613478.1	96374.5	HET
GCA_002865625|CDS_15231	KZ613531.1	29822.5	HET
GCA_002865625|CDS_7528	KZ613482.1	337604.5	HET
GCA_002865625|CDS_1975	KZ613467.1	715880.5	HET
GCA_002865625|CDS_4469	KZ613473.1	467472.0	HET
GCA_002865625|CDS_5749	KZ613476.1	425059.0	HET
GCA_002865625|CDS_6807	KZ613479.1	669611.5	HET
GCA_002865625|CDS_12366	KZ613506.1	346803.0	HET
GCA_002865625|CDS_12254	KZ613505.1	385810.5	HET
GCA_002865625|CDS_12801	KZ613509.1	391134.0	HET
GCA_002865625|CDS_1044	KZ613465.1	1054903.0	HET
GCA_002865625|CDS_15618	KZ613536.1	116943.0	HET
GCA_002865625|CDS_7691	KZ613483.1	6896.0	HET
GCA_002865625|CDS_15241	KZ613531.1	69926.5	HET
GCA_002865625|CDS_8530	KZ613486.1	112443.0	HET
GCA_002865625|CDS_11364	KZ613500.1	265721.5	HET
GCA_002865625|CDS_11647	KZ613501.1	534641.0	HET
GCA_002865625|CDS_10831	KZ613497.1	241583.0	HET
GCA_002865625|CDS_3487	KZ613470.1	1259756.5	HET
GCA_002865625|CDS_10730	KZ613496.1	429238.5	HET
GCA_002865625|CDS_12257	KZ613505.1	406788.0	HET
GCA_002865625|CDS_6085	KZ613477.1	341836.5	HET
GCA_002865625|CDS_1021	KZ613465.1	1005875.5	HET
GCA_002865625|CDS_12443	KZ613507.1	28280.0	HET
GCA_002865625|CDS_12980	KZ613511.1	78047.5	HET
GCA_002865625|CDS_483	KZ613464.1	1336748.5	HET
GCA_002865625|CDS_12233	KZ613505.1	299048.0	HET
GCA_002865625|CDS_16057	KZ613545.1	61746.5	HET
GCA_002865625|CDS_11078	KZ613498.1	465171.5	HET
GCA_002865625|CDS_12658	KZ613508.1	358334.5	HET
GCA_002865625|CDS_11835	KZ613503.1	106349.0	HET
GCA_002865625|CDS_11983	KZ613503.1	515139.5	HET
GCA_002865625|CDS_15813	KZ613540.1	28236.5	HET
GCA_002865625|CDS_10034	KZ613493.1	10596.0	HET
GCA_002865625|CDS_4782	KZ613474.1	68857.0	HET
GCA_002865625|CDS_16281	KZ613550.1	20478.0	HET
GCA_002865625|CDS_124	KZ613464.1	325958.0	HET
GCA_002865625|CDS_15167	KZ613530.1	140113.0	HET
GCA_002865625|CDS_466	KZ613464.1	1286991.5	HET
GCA_002865625|CDS_384	KZ613464.1	1017860.5	HET
GCA_002865625|CDS_14935	KZ613527.1	271264.0	HET
GCA_002865625|CDS_6081	KZ613477.1	329285.5	HET
GCA_002865625|CDS_13263	KZ613513.1	190633.5	HET
GCA_002865625|CDS_16341	KZ613552.1	59720.0	HET
GCA_002865625|CDS_6384	KZ613478.1	302547.5	HET
GCA_002865625|CDS_15290	KZ613531.1	235893.5	HET
GCA_002865625|CDS_10912	KZ613497.1	517948.5	HET
GCA_002865625|CDS_432	KZ613464.1	1164205.5	HET
GCA_002865625|CDS_8680	KZ613486.1	737007.5	HET
GCA_002865625|CDS_6075	KZ613477.1	300825.0	HET
GCA_002865625|CDS_3052	KZ613469.1	1094652.0	HET
GCA_002865625|CDS_7000	KZ613480.1	272553.5	HET
GCA_002865625|CDS_13043	KZ613511.1	366984.0	HET
GCA_002865625|CDS_13022	KZ613511.1	296209.0	HET
GCA_002865625|CDS_7381	KZ613481.1	645592.0	HET
GCA_002865625|CDS_10119	KZ613493.1	310859.5	HET
GCA_002865625|CDS_9331	KZ613489.1	517886.5	HET
GCA_002865625|CDS_1286	KZ613466.1	245991.5	HET
GCA_002865625|CDS_398	KZ613464.1	1069195.5	HET
GCA_002865625|CDS_3640	KZ613471.1	349411.5	HET
GCA_002865625|CDS_9477	KZ613490.1	343916.0	HET
GCA_002865625|CDS_15301	KZ613531.1	265545.0	HET
GCA_002865625|CDS_14922	KZ613527.1	230950.5	HET
GCA_002865625|CDS_2714	KZ613469.1	130150.5	HET
GCA_002865625|CDS_10939	KZ613498.1	52237.5	HET
GCA_002865625|CDS_8362	KZ613485.1	339146.0	HET
GCA_002865625|CDS_15154	KZ613530.1	97211.0	HET
GCA_002865625|CDS_7236	KZ613481.1	127548.5	HET
GCA_002865625|CDS_2544	KZ613468.1	893461.0	HET
GCA_002865625|CDS_9324	KZ613489.1	492586.0	HET
GCA_002865625|CDS_13495	KZ613515.1	152385.5	HET
GCA_002865625|CDS_3347	KZ613470.1	695864.5	HET
GCA_002865625|CDS_8745	KZ613487.1	144731.0	HET
GCA_002865625|CDS_10251	KZ613494.1	191253.0	HET
GCA_002865625|CDS_14829	KZ613526.1	215232.5	HET
GCA_002865625|CDS_9509	KZ613490.1	500522.5	HET
GCA_002865625|CDS_11551	KZ613501.1	248755.5	HET
GCA_002865625|CDS_5603	KZ613475.1	1026402.5	HET
GCA_002865625|CDS_9249	KZ613489.1	263881.5	HET
GCA_002865625|CDS_12751	KZ613509.1	235316.0	HET
GCA_002865625|CDS_12991	KZ613511.1	124236.5	HET
GCA_002865625|CDS_7645	KZ613482.1	701168.5	HET
GCA_002865625|CDS_15372	KZ613532.1	241195.0	HET
GCA_002865625|CDS_1244	KZ613466.1	102810.0	HET
GCA_002865625|CDS_7304	KZ613481.1	359099.0	HET
GCA_002865625|CDS_5533	KZ613475.1	808653.5	HET
GCA_002865625|CDS_2308	KZ613468.1	224643.5	HET
GCA_002865625|CDS_12561	KZ613508.1	70335.0	HET
GCA_002865625|CDS_7378	KZ613481.1	635979.5	HET
GCA_002865625|CDS_12336	KZ613506.1	254237.0	HET
GCA_002865625|CDS_10788	KZ613497.1	66308.5	HET
GCA_002865625|CDS_14320	KZ613522.1	204579.0	HET
GCA_002865625|CDS_1121	KZ613465.1	1290389.0	HET
GCA_002865625|CDS_2619	KZ613468.1	1138676.0	HET
GCA_002865625|CDS_14923	KZ613527.1	233872.5	HET
GCA_002865625|CDS_3310	KZ613470.1	506005.0	HET
GCA_002865625|CDS_11085	KZ613498.1	506881.5	HET
GCA_002865625|CDS_8451	KZ613485.1	639838.0	HET
GCA_002865625|CDS_3319	KZ613470.1	530833.0	HET
GCA_002865625|CDS_1365	KZ613466.1	547442.5	HET
GCA_002865625|CDS_10641	KZ613496.1	161587.5	HET
GCA_002865625|CDS_15811	KZ613540.1	22789.5	HET
GCA_002865625|CDS_8423	KZ613485.1	531746.5	HET
GCA_002865625|CDS_14007	KZ613519.1	213861.0	HET
GCA_002865625|CDS_2537	KZ613468.1	863600.5	HET
GCA_002865625|CDS_11851	KZ613503.1	152462.0	HET
GCA_002865625|CDS_10858	KZ613497.1	330458.5	HET
GCA_002865625|CDS_15356	KZ613532.1	203588.0	HET
GCA_002865625|CDS_4062	KZ613472.1	387799.0	HET
GCA_002865625|CDS_10921	KZ613497.1	578705.5	HET
GCA_002865625|CDS_9484	KZ613490.1	428065.0	HET
GCA_002865625|CDS_13132	KZ613512.1	212925.5	HET
GCA_002865625|CDS_1989	KZ613467.1	751200.5	HET
GCA_002865625|CDS_7197	KZ613480.1	833122.0	HET
GCA_002865625|CDS_13117	KZ613512.1	160894.0	HET
GCA_002865625|CDS_16569	KZ613562.1	99926.0	HET
GCA_002865625|CDS_16475	KZ613557.1	107127.0	HET
GCA_002865625|CDS_1927	KZ613467.1	525782.5	HET
GCA_002865625|CDS_7144	KZ613480.1	677554.5	HET
GCA_002865625|CDS_16545	KZ613562.1	25634.0	HET
GCA_002865625|CDS_11850	KZ613503.1	148566.5	HET
GCA_002865625|CDS_15095	KZ613529.1	210405.5	HET
GCA_002865625|CDS_5723	KZ613476.1	370890.0	HET
GCA_002865625|CDS_16069	KZ613545.1	87283.5	HET
GCA_002865625|CDS_2594	KZ613468.1	1052267.0	HET
GCA_002865625|CDS_8099	KZ613484.1	323511.0	HET
GCA_002865625|CDS_15396	KZ613533.1	51746.0	HET
GCA_002865625|CDS_11705	KZ613502.1	278654.0	HET
GCA_002865625|CDS_10287	KZ613494.1	334538.0	HET
