name	domain_evalue	domain_score	meets_ga
GCA_002938385|CDS_1809|297|452	2e-26	100.5	True
GCA_002938385|CDS_1809|1085|1240	3.9e-25	96.2	True
GCA_002938385|CDS_3717|242|397	4.3e-24	92.9	True
GCA_002938385|CDS_3717|1200|1355	6.7e-24	92.3	True
GCA_000812075|CDS_863|126|273	1.2e-17	71.9	True
GCA_000812075|CDS_863|642|788	7.7e-26	98.5	True
GCA_003313425|CDS_5333|24|109	4.8e-05	31.1	True
GCA_003313425|CDS_5333|120|144	8.2	14.1	False
GCA_003313425|CDS_5333|309|394	0.53	18.0	False
GCA_003313425|CDS_5333|407|429	54	11.5	False
GCA_003313425|CDS_5333|581|716	2.5e-30	113.1	True
GCA_900073065|CDS_18943|54|146	2.2e-16	67.9	True
GCA_900073065|CDS_18943|440|589	1.1e-23	91.6	True
GCA_003073855|CDS_8795|21|79	0.025	22.3	False
GCA_003073855|CDS_8795|340|487	7.5e-31	114.8	True
GCA_003073855|CDS_11854|25|113	2.9	15.6	False
GCA_003073855|CDS_11854|178|324	8.1e-34	124.4	True
GCA_900073065|CDS_8955|258|404	5.9e-27	102.2	True
GCA_900073065|CDS_8955|844|915	0.00041	28.1	True
GCA_900073065|CDS_8955|913|935	4.4e+02	8.5	False
GCA_000354255|CDS_3797|50|190	3.6e-37	135.3	True
GCA_001566295|CDS_1521|242|392	5e-27	102.4	True
GCA_001566295|CDS_1521|796|881	4.5e-05	31.2	True
GCA_900073065|CDS_12990|50|183	8.3e-37	134.1	True
GCA_001599595|CDS_3817|25|111	2.3e-07	38.7	True
GCA_001599595|CDS_3817|123|145	23	12.7	False
GCA_001599595|CDS_3817|376|483	3.5e-23	89.9	True
GCA_900073065|CDS_35|50|183	4.4e-36	131.8	True
GCA_900073065|CDS_13935|50|183	3.9e-36	131.9	True
GCA_001692735|CDS_7362|48|187	5.2e-36	131.5	True
GCA_003988795|CDS_65|49|205	1.2e-35	130.4	True
GCA_900073065|CDS_8922|48|197	3.7e-35	128.8	True
GCA_002240705|CDS_5593|52|184	5.6e-35	128.2	True
GCA_000604185|CDS_3844|113|258	4.3e-35	128.6	True
GCA_003073855|CDS_12650|188|321	4.6e-35	128.5	True
GCA_001692735|CDS_7208|78|213	4.6e-35	128.5	True
GCA_002240705|CDS_5635|60|212	2.1e-30	113.4	True
GCA_002240705|CDS_5635|615|653	15	13.3	False
GCA_003012165|CDS_4038|77|224	4.1e-35	128.6	True
GCA_003016335|CDS_15677|221|364	9.2e-35	127.5	True
GCA_003016335|CDS_11635|76|209	8.7e-35	127.6	True
GCA_000182925|CDS_4582|85|234	1.3e-34	127.0	True
GCA_001692735|CDS_141|104|254	1e-34	127.4	True
GCA_900073065|CDS_1620|50|182	1.3e-34	127.0	True
GCA_003988795|CDS_8150|48|203	1.3e-34	127.0	True
GCA_002865625|CDS_13537|36|170	1.2e-34	127.1	True
GCA_002927785|CDS_5252|104|239	1.5e-34	126.8	True
GCA_001692735|CDS_1568|92|224	1.7e-34	126.6	True
GCA_003313425|CDS_13740|61|191	2.1e-34	126.3	True
GCA_001692915|CDS_11638|39|172	1.7e-34	126.6	True
GCA_002865625|CDS_14109|48|181	1.1e-34	127.3	True
GCA_001557505|CDS_5430|97|258	2.8e-34	125.9	True
GCA_002865625|CDS_11892|45|184	2.3e-34	126.2	True
GCA_900073065|CDS_7123|47|203	3e-34	125.8	True
GCA_003016335|CDS_13943|46|203	2.9e-34	125.9	True
GCA_003313425|CDS_12311|50|183	3.8e-34	125.5	True
GCA_001642045|CDS_14091|50|193	3.6e-34	125.6	True
GCA_002865625|CDS_6327|43|180	4e-34	125.4	True
GCA_001600455|CDS_3456|47|212	3.3e-33	122.4	True
GCA_002865625|CDS_15231|60|200	4.6e-34	125.2	True
GCA_003073855|CDS_13464|19|167	5.3e-34	125.0	True
GCA_000516985|CDS_1701|46|160	6.8e-26	98.7	True
GCA_000516985|CDS_1701|191|260	0.0049	24.6	True
GCA_002927785|CDS_9331|51|191	7.9e-34	124.5	True
GCA_000467715|CDS_2493|50|183	1e-33	124.1	True
GCA_001692735|CDS_2130|77|223	8.2e-34	124.4	True
GCA_000354255|CDS_2675|46|197	7.1e-34	124.6	True
GCA_002240705|CDS_7728|70|202	1.2e-33	123.9	True
GCA_002865625|CDS_7528|50|180	7.6e-34	124.5	True
GCA_003073855|CDS_7152|20|158	5.9e-34	124.9	True
GCA_002162485|CDS_11041|48|180	1e-33	124.1	True
GCA_001692735|CDS_12805|49|184	8.3e-34	124.4	True
GCA_000392275|CDS_3928|174|324	1e-33	124.1	True
GCA_000604185|CDS_4532|253|407	1.4e-33	123.7	True
GCA_001692915|CDS_558|8|146	1.4e-33	123.7	True
GCA_003313425|CDS_12644|67|200	1.4e-33	123.7	True
GCA_002162485|CDS_6509|48|200	1.6e-33	123.5	True
GCA_900073065|CDS_2039|48|197	2.1e-33	123.1	True
GCA_900073065|CDS_15180|48|181	1e-33	124.1	True
GCA_001692915|CDS_10069|51|183	2.7e-33	122.7	True
GCA_002865625|CDS_1975|90|226	1.5e-33	123.6	True
GCA_001692735|CDS_10777|28|180	1.6e-33	123.5	True
GCA_003988795|CDS_9680|211|257	0.061	21.0	False
GCA_003988795|CDS_9680|373|523	1.7e-26	100.7	True
GCA_001600455|CDS_11705|43|194	1.8e-33	123.3	True
GCA_003016335|CDS_10440|53|202	2.8e-33	122.7	True
GCA_001599595|CDS_6119|46|208	2.6e-33	122.8	True
GCA_001692735|CDS_3469|16|169	1.9e-33	123.3	True
GCA_000442125|CDS_7618|130|270	3.4e-33	122.4	True
GCA_003313735|CDS_704|213|361	2.6e-33	122.8	True
GCA_001481775|CDS_1050|52|214	3.8e-33	122.3	True
GCA_900073065|CDS_15275|448|602	4.9e-33	121.9	True
GCA_000498615|CDS_5967|329|480	3.1e-33	122.5	True
