homolog_group	empirical_pvalue	lean	clade1_proportion_with_og	clade2_proportion_with_og	clade1_median_copy_count	clade2_median_copy_count	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0000010	1.999980000199998e-05	Focal	0.8	0.15384615384615385	29.5	43.5	OG0000010|GCA_000365145|CDS_10693	293227.XP_008721224.1	0.0	4435.0	COG0666@1|root,KOG4177@2759|Eukaryota,38HDE@33154|Opisthokonta,3P0CZ@4751|Fungi,3QQBJ@4890|Ascomycota,20RYB@147545|Eurotiomycetes,3MU03@451870|Chaetothyriomycetidae	4751|Fungi	M	Ankyrin repeat	-	-	-	-	-	-	-	-	-	-	-	-	Ank,Ank_2,Ank_4
OG0000021	1.999980000199998e-05	Focal	0.7565217391304347	0.09615384615384616	9	8	OG0000021|GCA_000264905|CDS_11949	40492.XP_007309884.1	0.0	3531.0	KOG0266@1|root,KOG0266@2759|Eukaryota	2759|Eukaryota	B	WD repeat-containing protein	-	-	-	ko:K17985	ko04137,ko04140,map04137,map04140	-	-	-	ko00000,ko00001,ko03029,ko04131	-	-	-	C2,WD40,zf-GRF
OG0000031	1.999980000199998e-05	Focal	0.7217391304347827	0.038461538461538464	19	14.0	OG0000031|GCA_000516985|CDS_8343	393283.XP_007835115.1	0.0	4751.0	2AJI0@1|root,2RZ77@2759|Eukaryota,3AI23@33154|Opisthokonta,3PBWW@4751|Fungi,3QWWS@4890|Ascomycota,215CU@147550|Sordariomycetes	4751|Fungi	S	Heterokaryon incompatibility protein (HET)	-	-	-	-	-	-	-	-	-	-	-	-	HET
OG0000041	1.999980000199998e-05	Focal	0.7565217391304347	0.1346153846153846	11	13	OG0000041|GCA_000182895|CDS_4532	5346.XP_002911321.1	0.0	3182.0	2CNNY@1|root,2QX9C@2759|Eukaryota,3AY19@33154|Opisthokonta,3PJ6G@4751|Fungi,3V8GB@5204|Basidiomycota,22D4G@155619|Agaricomycetes,3W96M@5338|Agaricales	4751|Fungi	S	other FunK1 protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase
OG0000049	1.999980000199998e-05	Focal	0.7652173913043478	0.07692307692307693	11.0	1.0	OG0000049|GCA_000225545|CDS_3603	13349.G1X7L9	0.0	3513.0	KOG0266@1|root,KOG0266@2759|Eukaryota	2759|Eukaryota	B	WD repeat-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	NACHT,WD40
OG0000080	1.999980000199998e-05	Focal	0.8695652173913043	0.19230769230769232	10.5	2.0	OG0000080|GCA_000146915|CDS_222	13684.SNOT_00308	0.0	7923.0	COG1020@1|root,COG3321@1|root,KOG1178@2759|Eukaryota,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NWH8@4751|Fungi,3QQ5E@4890|Ascomycota,204MJ@147541|Dothideomycetes,4KGJT@92860|Pleosporales	4751|Fungi	I	Methyltransferase domain	-	-	-	ko:K15394	-	-	-	-	ko00000,ko01008	-	-	-	AMP-binding,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,NAD_binding_4,PP-binding,PS-DH,ketoacyl-synt
OG0000084	1.999980000199998e-05	Focal	0.8434782608695652	0.21153846153846154	5	3	OG0000084|GCA_000149865|CDS_4949	109871.XP_006680198.1	0.0	1579.0	29DZU@1|root,2S31Y@2759|Eukaryota,39YC6@33154|Opisthokonta,3P0K3@4751|Fungi	4751|Fungi	S	Amino acid transporter	-	-	1.14.18.1	ko:K00505	ko00350,ko00950,ko00965,ko01100,ko01110,ko04916,map00350,map00950,map00965,map01100,map01110,map04916	M00042	R00731,R02078,R02363,R02383,R04693,R04884	RC00046,RC00150,RC00180	ko00000,ko00001,ko00002,ko01000	-	-	-	Chitin_bind_1,Tyrosinase
OG0000103	1.999980000199998e-05	Focal	0.9130434782608695	0.28846153846153844	5	5	OG0000103|GCA_000271625|CDS_7230	80637.XP_007769631.1	0.0	2656.0	2BWBX@1|root,2SE9H@2759|Eukaryota,39W4I@33154|Opisthokonta,3P092@4751|Fungi,3V4H9@5204|Basidiomycota,228UR@155619|Agaricomycetes	4751|Fungi	S	Domain of unknown function (DUF4470)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4470,zf-MYND
OG0000111	1.999980000199998e-05	Focal	0.9217391304347826	0.17307692307692307	9.0	2	OG0000111|GCA_000146915|CDS_220	13684.SNOT_00306	0.0	1212.0	COG2124@1|root,KOG0156@2759|Eukaryota,3AJKZ@33154|Opisthokonta,3P0VD@4751|Fungi,3RM2M@4890|Ascomycota,2040X@147541|Dothideomycetes,4KICF@92860|Pleosporales	4751|Fungi	Q	Belongs to the cytochrome P450 family	-	-	-	-	-	-	-	-	-	-	-	-	p450
OG0000132	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	8.0	1	OG0000132|GCA_000265015|CDS_9190	160860.XP_007345383.1	1.53e-267	731.0	2ET4Y@1|root,2SVIZ@2759|Eukaryota,3APRR@33154|Opisthokonta,3PG0A@4751|Fungi,3V6BS@5204|Basidiomycota,22C34@155619|Agaricomycetes,3H7CS@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10,DUF3328
OG0000159	1.999980000199998e-05	Focal	0.9304347826086956	0.28846153846153844	7	2	OG0000159|GCA_000516985|CDS_7564	393283.XP_007834336.1	0.0	3291.0	COG1223@1|root,KOG0742@2759|Eukaryota,39TW4@33154|Opisthokonta,3NVI6@4751|Fungi,3QM79@4890|Ascomycota	4751|Fungi	O	aaa family atpase	-	-	-	-	-	-	-	-	-	-	-	-	AAA
