gca	bgc_sum_norm
GCA_027600675	0.177364
GCA_000392275	1.469578
GCA_003016335	4.436637
GCA_025602915	0.174597
GCA_001600175	0.217595
GCA_025201725	0.20779
GCA_003086735	0.088475
GCA_000836135	0.450313
GCA_025765595	0.51207
GCA_025602895	4.288817
GCA_002162545	3.179834
GCA_000328475	0.715389
GCA_003988945	1.929239
GCA_001574975	0.196268
GCA_002368545	2.20774
GCA_000760515	0.0
GCA_003385255	2.142944
GCA_001619985	1.62267
GCA_000354255	3.835495
GCA_002572855	1.097976
GCA_002105135	0.539213
GCA_001692915	1.768264
GCA_001600815	0.275433
GCA_000836295	1.292979
GCA_000708205	0.414063
GCA_900290415	2.496526
GCA_000235945	0.120061
GCA_000349385	3.267375
GCA_025558095	0.243785
GCA_027600685	0.724331
GCA_000721755	1.936074
GCA_900073065	5.505573
GCA_004335205	2.115583
GCA_027604685	0.209071
GCA_027600665	0.360067
GCA_002778095	1.597277
GCA_001661345	0.071698
GCA_027603645	0.336398
GCA_002916505	1.758394
GCA_027602005	0.718009
GCA_000151315	0.271015
GCA_002591845	1.647281
GCA_000151645	0.451448
GCA_000182565	0.765324
GCA_003795315	3.848048
GCA_027604505	0.189514
GCA_003833135	0.305816
GCA_002865625	3.280553
GCA_000149305	0.669928
GCA_025399235	0.488719
GCA_003706495	0.087212
GCA_002261195	0.322691
GCA_027604305	0.167986
GCA_000812075	1.721282
GCA_027604065	0.109388
GCA_027596945	0.217739
GCA_027604365	0.19357
GCA_003264845	3.706221
GCA_002104985	0.542899
GCA_027604705	0.181548
GCA_003788565	0.864709
GCA_000149865	0.268079
GCA_002083745	0.43957
GCA_002081935	5.408965
GCA_027604665	0.113093
GCA_025558075	0.342256
GCA_001563115	3.904645
GCA_027604625	0.055247
GCA_025602905	0.402159
GCA_000385595	2.820706
GCA_001557505	3.957835
GCA_002214945	0.306334
GCA_001270325	2.749749
GCA_000225545	1.103214
GCA_000732205	2.088665
GCA_027604245	0.170454
GCA_002374405	0.126603
GCA_000338955	1.293462
GCA_002006685	0.175193
GCA_003184365	5.089503
GCA_000002945	0.233594
GCA_025201845	0.147067
GCA_027604165	0.369243
GCA_000002525	0.186198
GCA_000226115	2.091629
GCA_002104995	0.190944
GCA_003990805	2.187407
GCA_000203795	0.192889
GCA_002104975	2.038726
GCA_900120095	0.227782
GCA_002104945	0.626259
GCA_000950595	0.423431
GCA_003671545	5.31101
GCA_027603945	0.293934
GCA_002705745	0.145583
GCA_900119595	0.118542
GCA_000388065	0.113902
GCA_027604465	0.115705
GCA_003574815	3.623676
GCA_000516985	6.120631
GCA_027603065	0.87082
GCA_027604085	0.378624
GCA_002104905	1.584518
GCA_000442015	0.009832
GCA_027601485	0.757557
GCA_027604545	0.20557
GCA_001599975	0.426531
GCA_025449115	0.312706
GCA_027596035	0.414522
GCA_002240705	0.584744
GCA_000261425	1.273538
GCA_025399195	0.433491
GCA_001600455	6.754477
GCA_025526955	0.157542
GCA_002105025	4.202908
GCA_002105095	4.469028
GCA_027595885	0.337391
GCA_000151295	0.329435
GCA_000003515	1.51477
GCA_006535955	0.136332
GCA_025603075	0.203739
GCA_006536005	0.563266
GCA_000442125	3.087933
GCA_001566295	2.814412
GCA_027603655	0.174823
GCA_000002865	0.159926
GCA_001692735	1.663867
GCA_001661425	0.127836
GCA_003019895	2.712082
GCA_002927785	2.654059
GCA_027600645	0.295659
GCA_001481775	3.13776
GCA_002104895	2.189531
GCA_027602705	0.697394
GCA_003707925	0.154971
GCA_003049485	1.716453
GCA_002105105	0.266007
GCA_000182925	1.255064
GCA_003705835	0.278149
GCA_000417875	0.595011
GCA_001447215	4.50702
GCA_001642045	5.545732
GCA_001566745	0.417335
GCA_002104935	0.403269
