5 Phaeoacremonium|GCA_000392275|UCRPA7_1189
11 Corynespora|GCA_003016335|BS50DRAFT_620227
15 Corynespora|GCA_003016335|BS50DRAFT_536013
23 Monilinia|GCA_002162545|FUN_002904
35 Chaetoscypha|GCA_003988945|FUN_008747
36 Chaetoscypha|GCA_003988945|FUN_004305
39 Chaetoscypha|GCA_003988945|FUN_002765
42 Chaetoscypha|GCA_003988945|FUN_001511
47 Ramichloridium|GCA_002368545|FUN_001822
52 Corinectria|GCA_003385255|FUN_001401
65 Xylona|GCA_001619985|L228DRAFT_282560
68 Bipolaris|GCA_000354255|COCC4DRAFT_126875
101 Podospora|GCA_900290415|PODCO_506830
104 Podospora|GCA_900290415|PODCO_105210
105 Eutypa|GCA_000349385|UCREL1_10568
112 Geranomyces|GCA_027600685|HDU89_000462
120 Aureobasidium|GCA_000721755|AUEXF2481DRAFT_704711
124 Phialocephala|GCA_900073065|PAC_02326
125 Phialocephala|GCA_900073065|PAC_08246
140 Ascochyta|GCA_004335205|FUN_001823
144 Irineochytrium|GCA_027600665|HK101_006432
146 Irineochytrium|GCA_027600665|HK101_002999
147 Irineochytrium|GCA_027600665|HK101_006642
149 Irineochytrium|GCA_027600665|HK101_010930
150 Fragosphaeria|GCA_002778095|FUN_004470
155 Gaertneriomyces|GCA_027603645|HDU85_001257
158 Tolypocladium|GCA_002916505|FUN_001311
171 Geranomyces|GCA_027602005|HDU86_006690
173 Geranomyces|GCA_027602005|HDU86_000536
181 Epichloe|GCA_002591845|FUN_006977
192 Valsa|GCA_003795315|VMCG_04865
198 Hyaloscypha|GCA_002865625|NA56DRAFT_655339
202 Scedosporium|GCA_000812075|FUN_001455
205 Scedosporium|GCA_000812075|FUN_007370
215 Physocladia|GCA_027596945|HK100_009844
218 Cryphonectria|GCA_003264845|FUN_003809
221 Cryphonectria|GCA_003264845|FUN_010165
225 Cryphonectria|GCA_003264845|FUN_006677
237 Ustulina|GCA_002081935|FUN_010271
240 Ustulina|GCA_002081935|FUN_003647
245 Ustulina|GCA_002081935|FUN_005354
248 Ustulina|GCA_002081935|FUN_001863
251 Gaertneriomyces|GCA_025558075|BC832DRAFT_594142
254 Colletotrichum|GCA_001563115|CNYM01_02119
260 Colletotrichum|GCA_001563115|CNYM01_00174
262 Colletotrichum|GCA_001563115|CNYM01_00860
272 Neofusicoccum|GCA_000385595|UCRNP2_3050
276 Neofusicoccum|GCA_000385595|UCRNP2_6612
283 Neofusicoccum|GCA_000385595|UCRNP2_9898
284 Neofusicoccum|GCA_000385595|UCRNP2_9904
288 Reticulascus|GCA_001557505|FUN_011468
291 Reticulascus|GCA_001557505|FUN_007654
318 Talaromyces|GCA_001270325|FUN_007086
323 Verticillium|GCA_000732205|FUN_005899
324 Verticillium|GCA_000732205|FUN_006156
327 Verticillium|GCA_000732205|FUN_009413
329 Verticillium|GCA_000732205|FUN_003789
337 Evernia|GCA_003184365|FUN_000693
338 Evernia|GCA_003184365|FUN_006578
340 Evernia|GCA_003184365|FUN_001679
341 Evernia|GCA_003184365|FUN_009016
350 Thermothielavioides|GCA_000226115|THITE_115563
354 Paecilomyces|GCA_003990805|FUN_004633
359 Paecilomyces|GCA_003990805|FUN_002450
377 Ophiognomonia|GCA_003671545|FUN_010449
381 Ophiognomonia|GCA_003671545|FUN_005559
