name	gca	clade	bgcome_size	genome_size	cazy_count	protein_count
Phlyctochytrium_GCA_027600675.1	GCA_027600675	Other	177364	30009547	229	10407
Phaeoacremonium_GCF_000392275.1	GCA_000392275	BGC_Enriched_Pezizomycotina	1469578	47302611	438	8834
Corynespora_GCA_003016335.1	GCA_003016335	BGC_Enriched_Pezizomycotina	4436637	44703665	714	17158
Paraphysoderma_GCA_025602915.1	GCA_025602915	Other	174597	27876074	188	10857
Erythrobasidium_GCA_001600175.1	GCA_001600175	Other	217595	20870985	236	7856
Chytriomyces_GCA_025201725.1	GCA_025201725	Other	207790	36029559	352	16049
Smittium_GCA_003086735.1	GCA_003086735	Other	88475	40310083	110	6518
Taphrina_GCA_000836135.1	GCA_000836135	Other	450313	13010491	180	5911
Obelidium_GCA_025765595.1	GCA_025765595	Other	512070	49458483	398	15460
Polychytrium_GCF_025602895.1	GCA_025602895	Other	4288817	64917104	267	10670
Monilinia_GCA_002162545.1	GCA_002162545	BGC_Enriched_Pezizomycotina	3179834	43338467	417	9693
Ustilago_GCF_000328475.2	GCA_000328475	Other	715389	19641656	214	6780
Chaetoscypha_GCA_003988945.1	GCA_003988945	BGC_Enriched_Pezizomycotina	1929239	40661501	401	10390
Gonapodya_GCA_001574975.1	GCA_001574975	Other	196268	48187626	278	13831
Ramichloridium_GCA_002368545.1	GCA_002368545	BGC_Enriched_Pezizomycotina	2207740	28121942	310	8854
Mitosporidium_GCF_000760515.2	GCA_000760515	Other	0	5473455	25	3221
Corinectria_GCA_003385255.1	GCA_003385255	BGC_Enriched_Pezizomycotina	2142944	38830354	434	10379
Xylona_GCF_001619985.1	GCA_001619985	BGC_Enriched_Pezizomycotina	1622670	24318220	201	8201
Bipolaris_GCF_000354255.1	GCA_000354255	BGC_Enriched_Pezizomycotina	3835495	32084566	544	12705
Emmonsia_GCA_002572855.1	GCA_002572855	BGC_Enriched_Pezizomycotina	1097976	33739611	204	8908
Syncephalastrum_GCA_002105135.1	GCA_002105135	Other	539213	30744882	279	11121
Glonium_GCA_001692915.1	GCA_001692915	BGC_Enriched_Pezizomycotina	1768264	40170011	498	14223
Alloascoidea_GCA_001600815.1	GCA_001600815	Other	275433	24423196	224	8121
Verruconis_GCA_000836295.1	GCA_000836295	BGC_Enriched_Pezizomycotina	1292979	31348514	283	9285
Mixia_GCF_000708205.1	GCA_000708205	Other	414063	13518494	193	6832
Podospora_GCA_900290415.1	GCA_900290415	BGC_Enriched_Pezizomycotina	2496526	34157309	467	12864
Homolaphlyctis_GCA_000235945.1	GCA_000235945	Other	120061	21725198	119	7691
Eutypa_GCA_000349385.1	GCA_000349385	BGC_Enriched_Pezizomycotina	3267375	53595975	614	11667
Hyaloraphidium_GCA_025558095.1	GCA_025558095	Other	243785	31925225	359	15175
Geranomyces_GCA_027600685.1	GCA_027600685	Other	724331	23609958	184	8803
Aureobasidium_GCF_000721755.1	GCA_000721755	BGC_Enriched_Pezizomycotina	1936074	25790867	448	10792
Phialocephala_GCA_900073065.1	GCA_900073065	BGC_Enriched_Pezizomycotina	5505573	66853248	835	20173
Ascochyta_GCA_004335205.1	GCA_004335205	BGC_Enriched_Pezizomycotina	2115583	44570443	530	10474
Lobulomyces_GCA_027604685.1	GCA_027604685	Other	209071	24917643	183	9112
Irineochytrium_GCA_027600665.1	GCA_027600665	Other	360067	36834433	390	11905
Fragosphaeria_GCA_002778095.1	GCA_002778095	BGC_Enriched_Pezizomycotina	1597277	34748420	344	9023
Ascoidea_GCF_001661345.1	GCA_001661345	Other	71698	17458255	152	6787
Gaertneriomyces_GCA_027603645.1	GCA_027603645	Other	336398	20551572	137	7636
Tolypocladium_GCA_002916505.1	GCA_002916505	BGC_Enriched_Pezizomycotina	1758394	27322323	268	8418
Geranomyces_GCA_027602005.1	GCA_027602005	Other	718009	23459521	165	8389
Capsaspora_GCA_000151315.2	GCA_000151315	Other	271015	27434513	131	8052
Epichloe_GCA_002591845.1	GCA_002591845	BGC_Enriched_Pezizomycotina	1647281	24477428	220	7217
Tuber_GCF_000151645.1	GCA_000151645	Other	451448	123533734	187	7420
Spizellomyces_GCA_000182565.2	GCA_000182565	Other	765324	23906001	161	7749
Valsa_GCA_003795315.1	GCA_003795315	BGC_Enriched_Pezizomycotina	3848048	38171725	465	10560
Gonapodya_GCA_027604505.1	GCA_027604505	Other	189514	35583160	177	10034
Oehlia_GCA_003833135.1	GCA_003833135	Other	305816	128979656	162	32546
Hyaloscypha_GCA_002865625.1	GCA_002865625	BGC_Enriched_Pezizomycotina	3280553	56764259	466	16783
Rhizopus_GCA_000149305.1	GCA_000149305	Other	669928	45324238	321	17459
Backusella_GCA_025399235.1	GCA_025399235	Other	488719	47082259	409	17030
Cephaloascus_GCA_003706495.1	GCA_003706495	Other	87212	16056720	153	6336
