group	genome	hi_prop
Agaricomycetes or BGC-rich Pezizomycotina	Laccaria_GCF_000143565.1	0.0007118996769070697
Agaricomycetes or BGC-rich Pezizomycotina	Phyllosticta_GCA_001604925.1	0.0036425969573601886
Agaricomycetes or BGC-rich Pezizomycotina	Neolentinus_GCA_001632425.1	0.0008360568518659269
Agaricomycetes or BGC-rich Pezizomycotina	Valsa_GCA_003795315.1	0.007291666666666667
Agaricomycetes or BGC-rich Pezizomycotina	Schizopora_GCA_001020605.1	0.0021651354672596406
Other fungi	Rhizophlyctis_GCA_027596075.1	0.002863733990931509
Agaricomycetes or BGC-rich Pezizomycotina	Cordyceps_GCF_001636725.1	0.002584236159427492
Agaricomycetes or BGC-rich Pezizomycotina	Neofusicoccum_GCA_000385595.1	0.003569705740472745
Agaricomycetes or BGC-rich Pezizomycotina	Exidia_GCA_001632375.1	0.0005994754589733983
Agaricomycetes or BGC-rich Pezizomycotina	Collybiopsis_GCA_000827265.1	0.005080286673319423
Agaricomycetes or BGC-rich Pezizomycotina	Porodaedalea_GCA_002794775.1	0.001755926251097454
Agaricomycetes or BGC-rich Pezizomycotina	Baudoinia_GCF_000338955.1	0.004190476190476191
Other fungi	Syncephalis_GCA_025786725.1	0.00011305822498586772
Agaricomycetes or BGC-rich Pezizomycotina	Ramalina_GCA_001956345.1	0.006541077969649398
Agaricomycetes or BGC-rich Pezizomycotina	Trichophyton_GCA_003118255.1	0.0007663814024779665
Agaricomycetes or BGC-rich Pezizomycotina	Podospora_GCA_900290415.1	0.011116293532338308
Agaricomycetes or BGC-rich Pezizomycotina	Hericium_GCA_003675405.1	0.0005510400881664141
Agaricomycetes or BGC-rich Pezizomycotina	Neurospora_GCA_000182925.2	0.00432744320230797
Other fungi	Stromatinia_GCA_002162485.1	0.00472918711519586
Other fungi	Erythrobasidium_GCA_001600175.1	0.00012729124236252545
Other fungi	Ascobolus_GCA_003788565.2	0.0015663459386887446
Agaricomycetes or BGC-rich Pezizomycotina	Aeminium_GCA_004216415.1	0.0004927322000492732
Agaricomycetes or BGC-rich Pezizomycotina	Uncinocarpus_GCA_000003515.2	0.0002577319587628866
Agaricomycetes or BGC-rich Pezizomycotina	Volvariella_GCA_000349905.1	0.007593334739506433
Agaricomycetes or BGC-rich Pezizomycotina	Sarcodon_GCA_003313825.1	0.01709638665557712
Other fungi	Cystobasidiopsis_GCA_001599975.1	0.0002486325211337643
Agaricomycetes or BGC-rich Pezizomycotina	Piloderma_GCA_000827315.1	0.0041349191600074334
Agaricomycetes or BGC-rich Pezizomycotina	Calocera_GCA_001630345.1	0.001455957291919437
Agaricomycetes or BGC-rich Pezizomycotina	Reticulascus_GCA_001557505.1	0.02295270104106894
Agaricomycetes or BGC-rich Pezizomycotina	Amorphotheca_GCF_003019875.1	0.0021779713752333543
Other fungi	Physocladia_GCA_027596945.1	0.0025015634771732333
Agaricomycetes or BGC-rich Pezizomycotina	Periconia_GCA_003073855.1	0.010461702695489725
Other fungi	Cryptococcus_GCA_001720245.1	0.00017158544955387783
Agaricomycetes or BGC-rich Pezizomycotina	Coprinopsis_GCF_000182895.1	0.001722072476789458
Other fungi	Phlyctochytrium_GCA_025602905.1	9.122422915526363e-05
Agaricomycetes or BGC-rich Pezizomycotina	Knoxdaviesia_GCA_001510565.1	0.0026677899466442012
Agaricomycetes or BGC-rich Pezizomycotina	Ramularia_GCA_004155245.1	0.0034640855832908813
Agaricomycetes or BGC-rich Pezizomycotina	Clohesyomyces_GCA_002105025.1	0.016191259249889317
Agaricomycetes or BGC-rich Pezizomycotina	Fragosphaeria_GCA_002778095.1	0.00277069710739222
Agaricomycetes or BGC-rich Pezizomycotina	Verruconis_GCA_000836295.1	0.010231556273559504
Agaricomycetes or BGC-rich Pezizomycotina	Cyanodermella_GCA_900618795.1	0.007601791106945746
Agaricomycetes or BGC-rich Pezizomycotina	Ganoderma_GCA_002760635.1	0.008592841452384028
Other fungi	Synchytrium_GCF_006535985.1	0.0011104060913705585
Agaricomycetes or BGC-rich Pezizomycotina	Tolypocladium_GCA_002916505.1	0.001900688999762414
Agaricomycetes or BGC-rich Pezizomycotina	Amanita_GCA_002554575.1	0.00038662284941040013
Agaricomycetes or BGC-rich Pezizomycotina	Stereum_GCF_000264905.1	0.001422070534698521
Agaricomycetes or BGC-rich Pezizomycotina	Tulasnella_GCA_000827465.1	0.002608162012887389
Agaricomycetes or BGC-rich Pezizomycotina	Lepidopterella_GCA_001692735.1	0.024529254743525
Agaricomycetes or BGC-rich Pezizomycotina	Steccherinum_GCA_004332605.1	0.0001631321370309951
Agaricomycetes or BGC-rich Pezizomycotina	Hebeloma_GCA_000827355.1	0.004292403746097815
Other fungi	Morchella_GCA_003790465.1	0.0019839558354179244
Agaricomycetes or BGC-rich Pezizomycotina	Thermothielavioides_GCF_000226115.1	0.0035706998571720058
Other fungi	Tuber_GCF_000151645.1	0.00013477088948787063
Other fungi	Terfezia_GCA_003788615.2	0.0013212221304706854
Agaricomycetes or BGC-rich Pezizomycotina	Elaphomyces_GCA_002240705.1	0.006837961044343141
Agaricomycetes or BGC-rich Pezizomycotina	Helminthosporium_GCA_000498615.1	0.0033945686900958465
Agaricomycetes or BGC-rich Pezizomycotina	Hyaloscypha_GCA_002865625.1	0.0372400643508312
Agaricomycetes or BGC-rich Pezizomycotina	Cyphellophora_GCA_000365145.2	0.006129439336578331
Other fungi	Polychytrium_GCF_025602895.1	0.00046860356138706655
Agaricomycetes or BGC-rich Pezizomycotina	Corinectria_GCA_003385255.1	0.004335677810964447
Agaricomycetes or BGC-rich Pezizomycotina	Ophiognomonia_GCA_003671545.1	0.004254048809612658
Agaricomycetes or BGC-rich Pezizomycotina	Glonium_GCA_001692915.1	0.02088167053364269
Other fungi	Dinochytrium_GCA_027604005.1	0.0001936108422071636
Other fungi	Mucor_GCA_000401635.1	8.178621084485155e-05
Other fungi	Coemansia_GCA_002705745.1	0.00013622122326658494
Agaricomycetes or BGC-rich Pezizomycotina	Leptoxyphium_GCA_001660795.1	0.0029955067398901645
Agaricomycetes or BGC-rich Pezizomycotina	Fibroporia_GCF_000313525.1	0.002613240418118467
Agaricomycetes or BGC-rich Pezizomycotina	Hygrophorus_GCA_003314125.1	0.0035745100456058177
Agaricomycetes or BGC-rich Pezizomycotina	Phialocephala_GCA_900073065.1	0.029445298170822386
Agaricomycetes or BGC-rich Pezizomycotina	Thielaviopsis_GCA_000968615.1	0.0007557150954090308
Other fungi	Nowakowskiella_GCA_027600645.1	0.004803073967339097
Agaricomycetes or BGC-rich Pezizomycotina	Xylona_GCF_001619985.1	0.0006096817461285209
Agaricomycetes or BGC-rich Pezizomycotina	Gymnopilus_GCA_002938385.1	0.005178153125385279
Other fungi	Phycomyces_GCA_001638985.2	6.044852807834129e-05
