sample	gene-cluster-id	aggregate-bitscore	aai-to-query	mean-sequence-to-query-ratio	proportion-query-genes-found	syntenic-correlation	number-background-genes	copy-counts	KEY-PROTEIN_AAC01711.1 - PID	KEY-PROTEIN_AAC01711.1 - SQR	KEY-PROTEIN_AAC01710.1 - PID	KEY-PROTEIN_AAC01710.1 - SQR	KEY-PROTEIN_AAC01714.1 - PID	KEY-PROTEIN_AAC01714.1 - SQR	KEY-PROTEIN_AAC01712.2 - PID	KEY-PROTEIN_AAC01712.2 - SQR	KEY-PROTEIN_AAC01713.1 - PID	KEY-PROTEIN_AAC01713.1 - SQR	AAS07760.1 - PID	AAS07760.1 - SQR	AAC01725.1 - PID	AAC01725.1 - SQR	AAG52989.1 - PID	AAG52989.1 - SQR	AAG52988.1 - PID	AAG52988.1 - SQR	AAS07743.1 - PID	AAS07743.1 - SQR	AAC01718.1 - PID	AAC01718.1 - SQR	AAC01730.1 - PID	AAC01730.1 - SQR	AAC01733.1 - PID	AAC01733.1 - SQR	AAC01733.1 - PID	AAC01733.1 - SQR	AAC01737.2 - PID	AAC01737.2 - SQR	AAS07748.1 - PID	AAS07748.1 - SQR	AAC01729.1 - PID	AAC01729.1 - SQR	AAS07758.1 - PID	AAS07758.1 - SQR	AAC01728.1 - PID	AAC01728.1 - SQR	AAG52990.1 - PID	AAG52990.1 - SQR	AAC01709.1 - PID	AAC01709.1 - SQR	AAS07746.1 - PID	AAS07746.1 - SQR	AAS07740.1 - PID	AAS07740.1 - SQR	AAS07747.1 - PID	AAS07747.1 - SQR	AAC01740.2 - PID	AAC01740.2 - SQR	AAC01720.1 - PID	AAC01720.1 - SQR	AAC01731.1 - PID	AAC01731.1 - SQR	AAS07754.1 - PID	AAS07754.1 - SQR	AAG52987.1 - PID	AAG52987.1 - SQR	KEY-PROTEIN_AAC01717.1 - PID	KEY-PROTEIN_AAC01717.1 - SQR	AAS07750.1 - PID	AAS07750.1 - SQR	AAS07744.1 - PID	AAS07744.1 - SQR	AAC01706.1 - PID	AAC01706.1 - SQR	AAC01706.1 - PID	AAC01706.1 - SQR	AAS07751.1 - PID	AAS07751.1 - SQR	AAC01734.1 - PID	AAC01734.1 - SQR	AAS07745.1 - PID	AAS07745.1 - SQR	AAC01735.3 - PID	AAC01735.3 - SQR	AAC01724.1 - PID	AAC01724.1 - SQR	AAC01739.2 - PID	AAC01739.2 - SQR	AAS07742.1 - PID	AAS07742.1 - SQR	AAC01738.1 - PID	AAC01738.1 - SQR	AAC01719.1 - PID	AAC01719.1 - SQR	AAC01715.1 - PID	AAC01715.1 - SQR	AAG52991.1 - PID	AAG52991.1 - SQR	AAC01707.1 - PID	AAC01707.1 - SQR	AAC01723.1 - PID	AAC01723.1 - SQR	AAS07741.1 - PID	AAS07741.1 - SQR	AAC01726.1 - PID	AAC01726.1 - SQR	AAC01722.2 - PID	AAC01722.2 - SQR	AAC01721.1 - PID	AAC01721.1 - SQR	AAS07757.1 - PID	AAS07757.1 - SQR	AAS07755.1 - PID	AAS07755.1 - SQR	AAS07755.1 - PID	AAS07755.1 - SQR	AAS07738.1 - PID	AAS07738.1 - SQR	AAS07749.1 - PID	AAS07749.1 - SQR	AAC01727.1 - PID	AAC01727.1 - SQR	AAS07762.1 - PID	AAS07762.1 - SQR	AAS07759.1 - PID	AAS07759.1 - SQR	AAS07739.1 - PID	AAS07739.1 - SQR	AAC01708.1 - PID	AAC01708.1 - SQR	AAS07753.1 - PID	AAS07753.1 - SQR	AAC01716.1 - PID	AAC01716.1 - SQR	AAS07761.1 - PID	AAS07761.1 - SQR
GCA_022747945.1_ASM2274794v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_022747945.1_ASM2274794v1_fai-gene-cluster-1.gbk	9842.3	45.78666666666667	0.8674870963879819	0.234375	0.9999482953719461	16	5,10,7,1,4,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	39.7	1.1130434782608696	44.9	0.4593453009503696	50.5	0.8159976560210959	52.8	0.07770845150311968	66.4	0.35300925925925924	0.0	0.0	0.0	0.0	0.0	0.0	49.4	0.9704016913319239	0.0	0.0	0.0	0.0	68.5	1.0045977011494254	35.9	1.0393518518518519	35.9	1.0393518518518519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.7	1.1111111111111112	0.0	0.0	31.8	0.8564102564102564	0.0	0.0	0.0	0.0	33.2	1.0489690721649485	28.9	1.1076115485564304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.1	1.0424242424242425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.1	0.972972972972973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_001884705.1_ASM188470v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_001884705.1_ASM188470v1_fai-gene-cluster-1.gbk	7616.0	45.36666666666667	1.0240975146723204	0.09375	0.9940214543706597	3	4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48.3	1.9124505928853754	54.2	0.3412882787750792	46.2	0.9334895985936127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.9	1.0437017994858613	36.3	0.9097938144329897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.3	1.0038610038610039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_000696115.1_SoWt_assembly	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_000696115.1_SoWt_assembly_fai-gene-cluster-1.gbk	6745.1	40.68571428571428	0.9452108226107657	0.109375	0.9758789053430373	7	2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36.7	0.9820158102766798	47.6	0.35163674762407604	41.1	1.074421330208028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.8	1.0126262626262625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4	1.1764705882352942	0.0	0.0	0.0	0.0	52.6	1.0193050193050193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_002703955.1_ASM270395v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_002703955.1_ASM270395v1_fai-gene-cluster-1.gbk	3408.4	35.18571428571428	0.7105675359295786	0.109375	0.9956837281894556	8	1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36.3	0.3612648221343874	30.1	0.14910242872228088	44.6	0.6170524465279813	40.1	1.1979580260918887	30.3	0.7476851851851852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.2	1.0496277915632755	0.0	0.0	0.0	0.0	35.7	0.8512820512820513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_002703955.1_ASM270395v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_002703955.1_ASM270395v1_fai-gene-cluster-2.gbk	1564.0	34.86666666666667	0.9597766796763786	0.140625	0.999456807749495	4	0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.0	0.0	28.1	0.10623020063357973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.3	0.909297052154195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.8	1.342042755344418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5	1.1446700507614214	0.0	0.0	32.8	0.9871794871794872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.9	1.0263157894736843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7	1.0914634146341464	0.0	0.0	0.0	0.0	0.0	0.0	47.6	1.0107913669064748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.1	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_023023025.1_ASM2302302v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_023023025.1_ASM2302302v1_fai-gene-cluster-2.gbk	2391.0	34.0	1.0409637750473233	0.109375	0.9525276428746605	2	2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27.8	1.4810276679841898	29.7	0.6333685322069694	37.9	0.2162320539115148	0.0	0.0	0.0	0.0	0.0	0.0	33.1	0.9406130268199234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.9596199524940617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.3	1.0404411764705883	0.0	0.0	0.0	0.0	33.2	2.0154440154440154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_023023025.1_ASM2302302v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_023023025.1_ASM2302302v1_fai-gene-cluster-1.gbk	9167.0	56.041666666666664	0.9482202790299317	0.1875	0.9301679725603178	5	2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0	46.9	1.0175889328063241	56.2	0.3453009503695882	52.7	0.5309112217990039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.3	1.0978043912175648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.9	1.0	0.0	0.0	57.1	1.0335195530726258	0.0	0.0	70.3	0.9715099715099715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.2	1.1520912547528517	34.1	1.0038461538461538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.7	1.3106382978723403	66.5	1.0258620689655173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.6	0.8895705521472392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_009811595.1_ASM981159v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_009811595.1_ASM981159v1_fai-gene-cluster-1.gbk	10385.4	44.775	0.9596916347259734	0.1875	0.9770813397045479	19	7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0	47.1	0.9845849802371541	48.5	0.5091869060190074	43.3	1.1658365074714327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.3	0.9957716701902748	0.0	0.0	0.0	0.0	64.6	0.9977011494252873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0252525252525253	0.0	0.0	26.7	0.6692307692307692	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0918635170603674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.3	1.093939393939394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.3	0.9922779922779923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.1	0.9953271028037384	46.1	0.9953271028037384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA_000220945.1_ASM22094v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_000220945.1_ASM22094v1_fai-gene-cluster-1.gbk	68108.0	99.79193548387097	1.401567949044854	0.96875	0.9999761280928409	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1	100.0	1.0001976284584981	100.0	1.0002111932418163	100.0	1.0002929973630237	100.0	1.0005672149744753	100.0	1.0005787037037037	99.9	1.0008568980291346	99.0	0.9636015325670498	100.0	1.001996007984032	100.0	1.0021141649048626	100.0	1.002267573696145	97.7	1.002267573696145	100.0	1.0022988505747126	100.0	1.0023148148148149	100.0	1.0023148148148149	99.8	1.0023696682464456	100.0	1.002375296912114	100.0	1.002375296912114	100.0	1.0024752475247525	100.0	1.0024813895781637	99.8	1.0024813895781637	100.0	1.0025252525252526	100.0	1.00253807106599	100.0	1.0025641025641026	100.0	1.0025641025641026	99.5	1.082262210796915	99.5	1.0025773195876289	99.7	1.0603674540682415	100.0	1.0027932960893855	99.7	1.002808988764045	99.7	1.002849002849003	100.0	1.0028985507246377	100.0	1.0029239766081872	100.0	1.0029239766081872	100.0	1.0029239766081872	99.7	1.2205882352941178	99.7	1.003030303030303	100.0	1.0030487804878048	100.0	0.9190031152647975	100.0	1.0032258064516129	99.7	1.0033003300330032	100.0	1.0035971223021583	99.6	1.0036764705882353	100.0	1.0038022813688212	99.6	0.9961538461538462	99.6	0.915057915057915	100.0	1.003921568627451	100.0	1.003921568627451	100.0	1.004	100.0	1.0041322314049588	100.0	1.2936170212765958	100.0	1.0043103448275863	100.0	1.0043478260869565	100.0	1.0046728971962617	100.0	1.0046728971962617	95.6	0.9685863874345549	100.0	1.0052356020942408	100.0	1.0060240963855422	99.3	0.9325153374233128	0.0	0.0	100.0	1.0078740157480315	100.0	0.8181818181818182	0.0	0.0	100.0	1.0161290322580645	100.0	25.568627450980394
GCA_016464295.1_ASM1646429v1	/home/salamzade/Multicellularity_and_BGC_Abundances/Actino/Search_for_MIBiG_BGCs/Coarse_Search_for_Rifamycin/fai_Results/GC_Segment_Processing/GeneCluster_Genbanks/GCA_016464295.1_ASM1646429v1_fai-gene-cluster-1.gbk	4687.4	40.825	0.7330572062274614	0.125	0.9533718955287951	5	1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48.6	0.3658102766798419	58.1	0.2198521647307286	40.6	0.6440082039261646	43.9	0.5950085082246171	0.0	0.0	0.0	0.0	0.0	0.0	31.6	0.998003992015968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.2	0.823076923076923	0.0	0.0	29.7	1.0719794344473008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.9	1.1467181467181466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
