DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	reducing_support
COLOR	#000000
DATA
GCA_002368545|scaffold_77.region001|T1PKS|FUN_008822_PKS_KS.1	4
GCA_000261425|scaffold_19.region001|T1PKS|FUN_006603_PKS_KS.1	3
GCA_002240705|scaffold_523.region001|T1PKS|FUN_004043_PKS_KS.1	1
GCA_000464535|NW_006916590.1.region002|T1PKS|EPUS_01146_PKS_KS.1	3
GCA_003868215|scaffold_3.region001|T1PKS|FUN_000835_PKS_KS.1	2
GCA_002927785|scaffold_133.region001|T1PKS|FUN_003264_PKS_KS.1	3
GCA_003184365|scaffold_11.region002|T1PKS|FUN_002005_PKS_KS.1	2
GCA_002105095|NW_024467970.1.region001|T1PKS|BCR38DRAFT_413069_PKS_KS.1	7
GCA_000498615|scaffold_105.region001|T1PKS|FUN_002628_PKS_KS.1	5
GCA_003574815|scaffold_11.region001|T1PKS|FUN_005446_PKS_KS.1	6
GCA_003574815|scaffold_16.region001|T1PKS|FUN_006622_PKS_KS.1	5
GCA_001600455|scaffold_8.region006|T1PKS|FUN_010433_PKS_KS.1	5
GCA_001447215|scaffold_92.region001|T1PKS|FUN_004687_PKS_KS.1	6
GCA_003012165|scaffold_257.region001|T1PKS|FUN_006830_PKS_KS.1	6
GCA_004155245|scaffold_12.region001|T1PKS|FUN_005669_PKS_KS.1	5
GCA_003073855|KZ805360.1.region001|T1PKS|DM02DRAFT_706095_PKS_KS.1	6
GCA_000836295|scaffold_28.region001|T1PKS|FUN_006830_PKS_KS.1	5
GCA_003016335|KZ678133.1.region001|T1PKS|BS50DRAFT_675070_PKS_KS.1	5
GCA_003988815|scaffold_94.region001|T1PKS|FUN_009477_PKS_KS.1	5
GCA_001481775|NW_020171349.1.region002|T1PKS|TGAM01_v204225_PKS_KS.1	5
GCA_003016335|KZ678148.1.region003|T1PKS|BS50DRAFT_655241_PKS_KS.1	5
GCA_000354255|NW_014024926.1.region002|T1PKS|COCC4DRAFT_139073_PKS_KS.1	4
GCA_001692915|KV750533.1.region001|T1PKS|AOQ84DRAFT_416453_PKS_KS.1	5
GCA_900536445|scaffold_34.region001|T1PKS|FUN_002306_PKS_KS.1	5
GCA_003016335|KZ678137.1.region004|T1PKS|BS50DRAFT_622687_PKS_KS.1	7
GCA_003016335|KZ678193.1.region001|T1PKS|BS50DRAFT_664736_PKS_KS.1	6
GCA_003073855|KZ805429.1.region001|T1PKS|DM02DRAFT_684379_PKS_KS.1	5
GCA_000963775|scaffold_92.region001|T1PKS|FUN_013643_PKS_KS.1	6
GCA_003795315|LKEA01000003.1.region003|T1PKS|VMCG_02039_PKS_KS.1	3
GCA_000464535|NW_006916663.1.region001|T1PKS|EPUS_08500_PKS_KS.1	3
GCA_000442125|scaffold_13.region001|T1PKS|FUN_007500_PKS_KS.1	3
GCA_001956345|scaffold_123.region001|T1PKS|FUN_003764_PKS_KS.1	3
GCA_000349385|KB706241.1.region001|T1PKS|UCREL1_4577_PKS_KS.1	3
GCA_000226115|NC_016459.1.region005|T1PKS|THITE_170170_PKS_KS.1	5
GCA_000963775|scaffold_228.region001|T1PKS|FUN_015932_PKS_KS.1	3
GCA_001956345|scaffold_331.region001|T1PKS|FUN_005379_PKS_KS.1	3
GCA_001642045|NW_017253365.1.region005|T1PKS|CC84DRAFT_1206707_PKS_KS.1	6
GCA_002162545|scaffold_7.region001|T1PKS|FUN_002767_PKS_KS.1	6
GCA_001557505|scaffold_1.region003|T1PKS|FUN_001370_PKS_KS.1	3
GCA_003012165|scaffold_68.region001|T1PKS|FUN_002783_PKS_KS.1	3
GCA_000349385|KB706815.1.region001|T1PKS|UCREL1_7377_PKS_KS.1	4
GCA_000812075|scaffold_2.region001|T1PKS|FUN_000112_PKS_KS.1	5
GCA_001956345|scaffold_465.region001|T1PKS|FUN_005972_PKS_KS.1	2
GCA_000442125|scaffold_13.region002|T1PKS|FUN_007625_PKS_KS.1	3
GCA_001956345|scaffold_69.region001|T1PKS|FUN_002856_PKS_KS.1	2
GCA_002162545|scaffold_32.region001|T1PKS|FUN_007921_PKS_KS.1	3
GCA_000812885|scaffold_695.region001|T1PKS|FUN_004246_PKS_KS.1	4
GCA_900073065|FJOG01000017.1.region002|T1PKS|PAC_10762_PKS_KS.1	6
GCA_001557505|scaffold_1.region001|T1PKS|FUN_000183_PKS_KS.1	6
GCA_002081935|scaffold_178.region001|T1PKS|FUN_006649_PKS_KS.1	5
GCA_900618795|scaffold_19.region001|T1PKS|FUN_009314_PKS_KS.1	6
GCA_000732205|scaffold_3.region001|T1PKS|FUN_005375_PKS_KS.1	5
GCA_000963775|scaffold_164.region001|T1PKS|FUN_015538_PKS_KS.1	6
GCA_001563115|JEMN01001065.1.region001|T1PKS|CNYM01_01551_PKS_KS.1	3
GCA_003795315|LKEA01000004.1.region001|T1PKS|VMCG_02438_PKS_KS.1	6
GCA_002591845|scaffold_103.region001|T1PKS|FUN_004791_PKS_KS.1	8
GCA_001600455|scaffold_9.region002|T1PKS|FUN_010874_PKS_KS.1	6
GCA_003019895|KZ678568.1.region001|T1PKS|BD289DRAFT_396046_PKS_KS.1	6
GCA_003264845|scaffold_32.region001|T1PKS|FUN_004206_PKS_KS.1	6
GCA_001270325|scaffold_13.region001|T1PKS|FUN_006036_PKS_KS.1	5
GCA_900073065|FJOG01000018.1.region003|T1PKS|PAC_11350_PKS_KS.1	6
GCA_001563115|JEMN01001364.1.region001|T1PKS|CNYM01_05976_PKS_KS.1	7
GCA_001599595|scaffold_26.region001|T1PKS|FUN_012848_PKS_KS.1	6
GCA_002105025|MCFA01000014.1.region001|T1PKS|BCR34DRAFT_597150_PKS_KS.1	8
GCA_001566295|KQ964268.1.region001|T1PKS|Micbo1qcDRAFT_209040_PKS_KS.1	6
GCA_002798055|scaffold_69.region001|T1PKS|FUN_002615_PKS_KS.1	6
GCA_003574815|scaffold_28.region002|T1PKS|FUN_008634_PKS_KS.1	7
GCA_001642045|NW_017253364.1.region005|T1PKS|CC84DRAFT_1259445_PKS_KS.1	5
GCA_003313425|scaffold_15.region001|T1PKS|FUN_007367_PKS_KS.1	4
GCA_900618795|scaffold_3.region002|T1PKS|FUN_002388_PKS_KS.1	3
GCA_001481775|NW_020171342.1.region002|T1PKS|TGAM01_v202065_PKS_KS.1	7
GCA_003264845|scaffold_80.region001|T1PKS|FUN_007180_PKS_KS.1	5
GCA_900073065|FJOG01000036.1.region003|T1PKS|PAC_16276_PKS_KS.1	8
GCA_003184365|scaffold_150.region001|T1PKS|FUN_010776_PKS_KS.1	6
GCA_003184365|scaffold_50.region001|T1PKS|FUN_006281_PKS_KS.1	7
GCA_002865625|KZ613506.1.region001|T1PKS|NA56DRAFT_673334_PKS_KS.1	7
GCA_002778095|scaffold_8.region001|T1PKS|FUN_008634_PKS_KS.1	7
GCA_004155245|scaffold_6.region003|T1PKS|FUN_003825_PKS_KS.1	7
GCA_000732205|scaffold_1.region004|T1PKS|FUN_001150_PKS_KS.1	7
GCA_001692915|KV750463.1.region001|T1PKS|AOQ84DRAFT_391394_PKS_KS.1	6
GCA_000721755|NW_013566969.1.region001|T1PKS|AUEXF2481DRAFT_101296_PKS_KS.1	9
GCA_003016335|KZ678129.1.region001|T1PKS|BS50DRAFT_541807_PKS_KS.1	7
GCA_000354255|NW_014024865.1.region001|T1PKS|COCC4DRAFT_45906_PKS_KS.1	7
GCA_000354255|NW_014024903.1.region001|T1PKS|COCC4DRAFT_151709_PKS_KS.1	6
GCA_003868215|scaffold_28.region001|T1PKS|FUN_005104_PKS_KS.1	7
GCA_001600455|scaffold_5.region005|T1PKS|FUN_007800_PKS_KS.1	6
GCA_003184365|scaffold_23.region002|T1PKS|FUN_003569_PKS_KS.1	9
GCA_003988815|scaffold_34.region002|T1PKS|FUN_006286_PKS_KS.1	9
GCA_003184365|scaffold_39.region001|T1PKS|FUN_005286_PKS_KS.1	7
GCA_000385595|KB915930.1.region002|T1PKS|UCRNP2_2488_PKS_KS.1	4
GCA_000354255|NW_014024856.1.region001|T1PKS|COCC4DRAFT_45941_PKS_KS.1	4
GCA_003016335|KZ678153.1.region001|T1PKS|BS50DRAFT_224535_PKS_KS.1	2
GCA_002105025|MCFA01000142.1.region001|T1PKS|BCR34DRAFT_605076_PKS_KS.1	7
GCA_002778095|scaffold_7.region001|T1PKS|FUN_007571_PKS_KS.1	7
GCA_001513895|scaffold_8.region001|T1PKS|FUN_003288_PKS_KS.1	7
GCA_001557505|scaffold_3.region001|T1PKS|FUN_003294_PKS_KS.1	7
