sample	phylum	genus	gc	prop_thermal_aa	thermal_temp_prediction
GCA_020248915.1_ASM2024891v1	Pseudomondota	Rubrivivax	0.725880649121505	0.3963510651776503	36.380948071458306
GCA_002368155.1_ASM236815v1	Cyanobacteriota	Aulosira	0.40715242529808016	0.39966702379824026	39.48800129895113
GCA_934133045.1_ERR7738278_bin.117	Bacillota	UMGS1663	0.2678111582015173	0.4158564426399202	54.65748675360527
GCA_019249245.1_ASM1924924v1	Pseudomondota	Alteromonas	0.4575795030160307	0.3820749141705813	23.00419457783471
GCA_928721405.1_min17_bin36	Bacillota	F23-B02	0.5303700520543804	0.39016710966519375	30.586581756286535
GCA_019414135.1_ASM1941413v1	Actinomycetota	Collinsella	0.6002519657943796	0.3838406294847106	24.65866982717381
GCA_900111125.1_IMG_taxon_2687453792_annotated_assembly	Pseudomondota	Sphingobium	0.6285733730743189	0.37927523055857004	20.380891033380124
GCA_016735695.1_ASM1673569v1	Pseudomondota	Microvirga	0.6265383468950192	0.39605461520606533	36.10317444808322
GCA_944376115.1_BRZ_PI_bin22	Bacillota	Eubacterium_R	0.3963548755644556	0.3876752201622021	28.251681291983402
GCA_018860365.1_ASM1886036v1	Bacteroidota	Arenibacter	0.39265077109559704	0.384523608425345	25.298621094548253
GCA_018336155.1_ASM1833615v1	Pseudomondota	Pseudomonas_E	0.5891024026870461	0.39378875309966366	33.980061654384826
GCA_019638485.1_ASM1963848v1	Bacteroidota	Ferruginibacter	0.373029935956283	0.37864873177436253	19.79386167257769
GCA_944326395.1_BRZ_S_bin32	Bacteroidota	Cryptobacteroides	0.5026651145832716	0.38963945076819184	30.092165369795737
GCA_022811645.1_ASM2281164v1	Bacteroidota	Hymenobacter	0.6190211223349724	0.3768394598620191	18.09857389071192
GCA_902376055.1_MGYG_HGUT_01546	Bacteroidota	Alistipes	0.5834505225751025	0.39870888066533294	38.590221183416986
GCA_018402255.1_ASM1840225v1	Pseudomondota	Marinobacter	0.5675860294502723	0.3996581209404206	39.4796593211741
GCA_001898575.1_ASM189857v1	Bacteroidota	Spirosoma	0.4825894405777633	0.3810746142667946	22.066913567986546
GCA_001421015.2_ASM142101v2	Bacillota	Paenibacillus_J	0.4721589705210923	0.4017348147521391	41.42552142275434
GCA_001465255.1_ASM146525v1	Bacillota	Paenibacillus_G	0.4968944099378882	0.4086423955979325	47.89792467526274
GCA_011801365.1_ASM1180136v1	Pseudomondota	Paracoccus	0.6568305008495268	0.3872262941174883	27.83103758808653
GCA_020403425.1_ASM2040342v1	Bacteroidota	Sediminibacterium	0.4772684836046525	0.3832401644451766	24.096034085130498
GCA_900105825.1_IMG_taxon_2667527228_annotated_assembly	Pseudomondota	Pseudomonas_E	0.6010605769357981	0.39350717034277444	33.71621861117967
GCA_016894445.1_ASM1689444v1	Bacteroidota	Dyadobacter	0.49122366919575916	0.38363283444412144	24.463965874141763
GCA_001747405.1_ASM174740v1	Bacteroidota	Chlorobaculum	0.5638807182416036	0.40237256974191893	42.023097848178054
GCA_021390755.1_ASM2139075v1	Bacteroidota	Tenacibaculum	0.30797073136349984	0.38081984068461994	21.82819072148891
GCA_002310335.1_ASM231033v1	Pseudomondota	Vibrio	0.4450008065026574	0.3926983100470797	32.958316514113676
GCA_006334925.1_ASM633492v1	Actinomycetota	Corynebacterium	0.6227409591777513	0.3911821924232687	31.537714300602772
GCA_002760655.1_ASM276065v1	Pseudomondota	Telluria	0.6395649516683934	0.37845654061856443	19.61377855959489
GCA_003075095.1_ASM307509v1	Actinomycetota	Blastococcus	0.7365649738689913	0.4043294510092158	43.85669559563519
GCA_017104565.1_ASM1710456v1	Pseudomondota	Paraburkholderia	0.625719831967425	0.38211729536696154	23.043905758842982
GCA_002836085.1_ASM283608v1	Bacteroidota	Olleya	0.3271359965636747	0.3769200807610638	18.174115673116773
GCA_023715865.1_ASM2371586v1	Bacillota	Paenibacillus	0.4430922854527364	0.4077202040115726	47.033831158843554
GCA_000682755.1_SOAPdenovo_v1.05	Pseudomondota	Hyphomonas	0.5838809833797163	0.3837882296657353	24.60957119679398
GCA_021299715.1_ASM2129971v1	Actinomycetota	UBA2093	0.530264010047537	0.38640021283024817	27.05699942194252
GCA_013149805.1_ASM1314980v1	Actinomycetota	Isoptericola	0.730200423901308	0.39953406737714026	39.36342113238044
GCA_016804005.1_ASM1680400v1	Actinomycetota	Streptomyces	0.7052925170495176	0.3893919884509216	29.86029317851353
GCA_000234135.1_Sele_noxi_F0398_V1	Bacillota	Centipeda	0.5568834232637235	0.4024785495205187	42.12240090072601
GCA_001705785.1_ASM170578v1	Actinomycetota	Streptomyces	0.7206469443860273	0.39289624506167076	33.143781622785525
GCA_015672735.1_ASM1567273v1	Pseudomondota	Citrobacter	0.5211038609966244	0.39290471532753146	33.151718261896974
GCA_003795145.1_ASM379514v1	Bacillota	Tetragenococcus	0.3691743782819051	0.39939294510095247	39.23118955959245
GCA_902363255.1_MGYG_HGUT_00102	Bacillota	Terrisporobacter	0.28368473042941855	0.4098976709593154	49.074117688878516
GCA_019722725.1_ASM1972272v1	Pseudomondota	Halomonas	0.5402691176147716	0.3996429381197199	39.46543301817758
GCA_002101965.1_ASM210196v1	Actinomycetota	Mycobacterium	0.6642463294841635	0.3900339913408983	30.461849886421703
GCA_018139565.1_ASM1813956v1	Pseudomondota	Undibacterium	0.49950375780930517	0.3790126134471427	20.13481879997272
GCA_004116995.1_ASM411699v1	Bacillota	Anoxybacillus	0.4194894007259112	0.41755576643563286	56.249753150187985
GCA_001054945.1_ASM105494v1	Actinomycetota	Corynebacterium	0.6119734351086309	0.38000846186391785	21.067928766491036
GCA_900168045.1_IMG_taxon_2595698246_annotated_assembly	Bacteroidota	Salegentibacter	0.36385184277817756	0.3939157220839651	34.09903159267526
