Chrom	Start	End	Stain	Arm
KN831944.1	0	2059785	background	1
KN831944.1	2059785	2150388	bgc	1
KN831944.1	2150388	2369842	background	1
KN831945.1	0	1246152	background	1
KN831945.1	1246152	1277441	bgc	1
KN831945.1	1277441	1682307	background	1
KN831946.1	0	993768	background	1
KN831946.1	993768	1025199	bgc	1
KN831946.1	1025199	1472543	background	1
KN831946.1	1472543	1540529	bgc	1
KN831946.1	1540529	1620955	background	1
KN831947.1	0	1612760	background	1
KN831948.1	0	1503609	background	1
KN831949.1	0	1440912	background	1
KN831950.1	0	1264677	background	1
KN831951.1	0	1161131	background	1
KN831952.1	0	1143909	background	1
KN831953.1	0	1128302	background	1
KN831954.1	0	1118432	background	1
KN831955.1	0	1093626	background	1
KN831956.1	0	1092450	background	1
KN831957.1	0	1055144	background	1
KN831958.1	0	1006093	background	1
KN831959.1	0	28463	background	1
KN831959.1	28463	58406	bgc	1
KN831959.1	58406	733061	background	1
KN831959.1	733061	765795	bgc	1
KN831959.1	765795	1009787	background	1
KN831960.1	0	848500	background	1
KN831960.1	848500	909845	bgc	1
KN831960.1	909845	1076538	background	1
