DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Key_Starship_Protein_Homologs
COLOR	#000000
DATA
Pecoramyces_ruminantium_GCA_000412615	2588
Piromyces_finnis_GCA_002104945	296
Pseudopyrenochaeta_lycopersici_GCA_003313425	533
Reticulascus_tulasneorum_GCA_001557505	447
Entophlyctis_luteolus_GCA_027604725	150
Chlorencoelia_torta_GCA_003988815	144
Entophlyctis_luteolus_GCA_027603655	141
Beverwykella_pulmonaria_GCA_001599595	404
Paramyrothecium_roridum_GCA_003012165	307
Synchytrium_microbalum_GCA_006535985	82
Entophlyctis_sp._JEL0112_GCA_027604545	150
Rhizoclosmatium_sp._JEL0117_GCA_027604365	213
Polychytrium_aggregatum_GCA_025602895	98
Phlyctochytrium_bullatum_GCA_027597005	599
Clonostachys_rosea_GCA_000963775	401
Talaromyces_purpureogenus_GCA_001270325	137
Pestalotiopsis_fici_W106-1_GCA_000516985	528
Endocarpon_pusillum_Z07020_GCA_000464535	327
Aspergillus_spinulosporus_GCA_003574815	98
Arthrobotrys_flagrans_GCA_004000055	138
Anaeromyces_robustus_GCA_002104895	571
Drosophila_melanogaster_GCA_000001215	93
Phialocephala_subalpina_GCA_900073065	945
Piromyces_sp._E2_GCA_002157105	747
Nowakowskiella_sp._JEL0407_GCA_027600645	188
Evernia_prunastri_GCA_003184365	320
Trichoderma_gamsii_GCA_001481775	257
Rhizoclosmatium_hyalinum_GCA_027596175	122
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	197
Elaphomyces_granulatus_GCA_002240705	517
Endocalyx_cinctus_GCA_001600455	276
Paraphysoderma_sedebokerense_GCA_025602915	79
Phlyctochytrium_planicorne_GCA_027600675	276
Orbilia_oligospora_ATCC_24927_GCA_000225545	230
Ustulina_deusta_GCA_002081935	329
Neocallimastix_californiae_GCA_002104975	619
Eutypa_lata_UCREL1_GCA_000349385	173
Cladochytrium_replicatum_GCA_025526935	178
Coprinopsis_cinerea_okayama7#130_GCA_000182895	139
Pseudomassariella_vexata_GCA_002105095	151
Gaertneriomyces_sp._JEL0708_GCA_027603645	61
Cladochytrium_tenue_GCA_026954515	203
Diaporthe_aspalathi_GCA_001447215	170
Physocladia_obscura_GCA_027596945	188
Quaeritorhiza_haematococci_GCA_027596845	165
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	201
Paecilomyces_variotii_GCA_003990805	77
Phyllosticta_capitalensis_GCA_001604925	105
Dinochytrium_kinnereticum_GCA_027604005	125
Fragosphaeria_purpurea_GCA_002778095	83
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	80
Hysterium_pulicare_CBS_123377_GCA_000467715	294
Lanzia_echinophila_GCA_000812885	217
Umbilicaria_muehlenbergii_GCA_000611775	137
Gorgonomyces_haynaldii_GCA_025526955	201
Leptoxyphium_fumago_GCA_001660795	92
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	143
Hymenoscyphus_occultus_GCA_900536445	248
Cryphonectria_radicalis_GCA_003264845	187
Valsa_malicola_GCA_003795315	167
Cladonia_uncialis_GCA_002927785	321
Uncinocarpus_reesii_1704_GCA_000003515	75
Rhizopus_delemar_RA_99-880_GCA_000149305	79
Siphonaria_sp._JEL0065_GCA_027596065	224
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	130
Ophioceras_dolichostomum_GCA_003049485	249
Coniochaeta_hoffmannii_GCA_002798055	135
Ramichloridium_luteum_GCA_002368545	191
Podospora_comata_GCA_900290415	272
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	114
Pseudogymnoascus_verrucosus_GCA_001662655	183
Blyttiomyces_sp._JEL0837_GCA_027604625	421
Rhizophlyctis_rosea_GCA_027596075	338
Podochytrium_sp._JEL0797_GCA_027596195	114
Verruconis_gallopava_GCA_000836295	160
Lepidopterella_palustris_CBS_459.81_GCA_001692735	561
Microdochium_bolleyi_GCA_001566295	275
Ramularia_coccinea_GCA_004155245	115
Rozella_allomycis_CSF55_GCA_000442015	89
Obelidium_mucronatum_GCA_025765595	231
Elsinoe_australis_GCA_003013795	85
Corinectria_fuckeliana_GCA_003385255	142
Zopfochytrium_polystomum_GCA_025765615	238
Scedosporium_aurantiacum_GCA_000812075	223
Rhizophlyctis_rosea_GCA_027596135	160
Rhizophlyctis_rosea_GCA_002214945	210
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	164
Helminthosporium_solani_B-AC-16A_GCA_000498615	127
Proliferodiscus_dingleyae_GCA_003988795	308
Nowakowskiella_sp._JEL0078_GCA_026955015	196
Saksenaea_vasiformis_B4078_GCA_000697055	74
Powellomyces_hirtus_GCA_025526995	75
Irineochytrium_annulatum_GCA_027600665	121
Ramalina_peruviana_GCA_001956345	129
Gonapodya_sp._JEL0774_GCA_027604505	211
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	169
Cyanodermella_asteris_GCA_900618795	150
Chytriomyces_hyalinus_GCA_027604165	142
Clydaea_vesicula_GCA_027604065	83
Lobulomyces_angularis_GCA_027604685	84
Chytriomyces_confervae_GCA_006535975	116
Chytriomyces_hyalinus_GCA_027604105	137
Chytridiales_sp._JEL_0842_GCA_027604305	130
Chytriomyces_hyalinus_GCA_027604745	134
Mucor_circinelloides_1006PhL_GCA_000401635	77
Globomyces_pollinis-pini_GCA_025399215	250
Mucor_ambiguus_GCA_000950595	74
Venturia_pyrina_ICMP_11032_GCA_000738655	138
Chytriomyces_hyalinus_GCA_027604085	119
Borealophlyctis_nickersoniae_GCA_027604605	267
Rhizoclosmatium_globosum_GCA_002104985	211
Chytriomyces_sp._MP71_GCA_025201725	144
Batrachochytrium_dendrobatidis_JEL423_GCA_000149865	61
Gaertneriomyces_semiglobifer_GCA_025558075	64
Geranomyces_variabilis_GCA_027601485	85
Monilinia_fructicola_GCA_002162545	117
Powellomyces_hirtus_GCA_006536005	57
Geranomyces_variabilis_GCA_027600685	84
Geranomyces_variabilis_GCA_027603065	97
Arthonia_radiata_GCA_002989075	125
Tolypocladium_paradoxum_GCA_002916505	75
Trichophyton_mentagrophytes_GCA_003118255	81
Colletotrichum_nymphaeae_SA-01_GCA_001563115	287
Thoreauomyces_humboldtii_GCA_027596035	72
Batrachochytrium_salamandrivorans_GCA_002006685	93
Pseudophaeomoniella_oleicola_GCA_003868215	147
Verticillium_tricorpus_MUCL_9792_GCA_000732205	139
Hesseltinella_vesiculosa_GCA_002104935	59
Thielaviopsis_punctulata_GCA_000968615	43
Emmonsia_crescens_GCA_002572855	120
Chaetoscypha_palmicola_GCA_003988945	189
Clohesyomyces_aquaticus_GCA_002105025	462
Basidiobolus_heterosporus_B8920_GCA_000697455	45
Neurospora_crassa_OR74A_GCA_000182925	103
Parastagonospora_nodorum_SN15_GCA_000146915	179
Monosiga_brevicollis_MX1_GCA_000002865	200
Geranomyces_variabilis_GCA_027602705	76
Corynespora_cassiicola_Philippines_GCA_003016335	356
Umbelopsis_isabellina_B7317_GCA_000697415	59
Morchella_conica_CCBAS932_GCA_003790465	327
Boothiomyces_sp._JEL0866_GCA_027604345	107
Neofusicoccum_parvum_UCRNP2_GCA_000385595	92
Terramyces_sp._JEL0728_GCA_027603945	111
Boothiomyces_macroporosus_GCA_027604185	113
Bifiguratus_adelaidae_GCA_002261195	49
Neolecta_irregularis_DAH-3_GCA_001929475	25
Paraphaeosphaeria_sporulosa_GCA_001642045	297
Entophlyctis_helioformis_GCA_025526915	93
Globomyces_sp._JEL0801_GCA_027595885	123
Periconia_macrospinosa_GCA_003073855	440
Chytridium_lagenaria_GCA_025449115	174
Cyphellophora_europaea_CBS_101466_GCA_000365145	158
Hyaloscypha_hepaticicola_GCA_002865625	850
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	175
Olpidium_bornovanus_GCA_017911155	55
Graphilbum_fragrans_GCA_001513895	81
Coniella_lustricola_GCA_003019895	101
Hyaloraphidium_curvatum_GCA_025558095	142
Polyrhizophydium_stewartii_GCA_027604665	257
Ascobolus_immersus_RN42_GCA_003788565	202
Hortaea_werneckii_EXF-2000_GCA_002127715	146
Bipolaris_maydis_ATCC_48331_GCA_000354255	230
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	213
Boothiomyces_sp._JEL0838_GCA_027604245	103
Knufia_petricola_GCA_002319055	106
Cladosporium_sphaerospermum_UM_843_GCA_000261425	82
Glonium_stellatum_GCA_001692915	552
Geranomyces_variabilis_GCA_025399175	83
Knoxdaviesia_proteae_GCA_001510565	67
Fimicolochytrium_jonesii_GCA_025526975	69
