DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	NRPS_or_PKS
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	2
Phaeoacremonium_GCF_000392275.1	14
Corynespora_GCA_003016335.1	45
Paraphysoderma_GCA_025602915.1	1
Erythrobasidium_GCA_001600175.1	2
Chytriomyces_GCA_025201725.1	2
Smittium_GCA_003086735.1	1
Taphrina_GCA_000836135.1	5
Obelidium_GCA_025765595.1	6
Polychytrium_GCF_025602895.1	58
Monilinia_GCA_002162545.1	33
Ustilago_GCF_000328475.2	11
Chaetoscypha_GCA_003988945.1	27
Gonapodya_GCA_001574975.1	1
Ramichloridium_GCA_002368545.1	22
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	35
Xylona_GCF_001619985.1	19
Bipolaris_GCF_000354255.1	38
Emmonsia_GCA_002572855.1	9
Syncephalastrum_GCA_002105135.1	5
Glonium_GCA_001692915.1	36
Alloascoidea_GCA_001600815.1	5
Verruconis_GCA_000836295.1	10
Mixia_GCF_000708205.1	4
Podospora_GCA_900290415.1	25
Homolaphlyctis_GCA_000235945.1	2
Eutypa_GCA_000349385.1	53
Hyaloraphidium_GCA_025558095.1	2
Geranomyces_GCA_027600685.1	10
Aureobasidium_GCF_000721755.1	20
Phialocephala_GCA_900073065.1	47
Ascochyta_GCA_004335205.1	27
Lobulomyces_GCA_027604685.1	4
Irineochytrium_GCA_027600665.1	10
Fragosphaeria_GCA_002778095.1	17
Ascoidea_GCF_001661345.1	1
Gaertneriomyces_GCA_027603645.1	3
Tolypocladium_GCA_002916505.1	26
Geranomyces_GCA_027602005.1	9
Capsaspora_GCA_000151315.2	2
Epichloe_GCA_002591845.1	24
Tuber_GCF_000151645.1	5
Spizellomyces_GCA_000182565.2	11
Valsa_GCA_003795315.1	44
Gonapodya_GCA_027604505.1	1
Oehlia_GCA_003833135.1	3
Hyaloscypha_GCA_002865625.1	22
Rhizopus_GCA_000149305.1	7
Backusella_GCA_025399235.1	6
Cephaloascus_GCA_003706495.1	1
Bifiguratus_GCA_002261195.1	5
Chytridiales_GCA_027604305.1	7
Scedosporium_GCA_000812075.1	24
Clydaea_GCA_027604065.1	3
Physocladia_GCA_027596945.1	11
Rhizoclosmatium_GCA_027604365.1	4
Cryphonectria_GCA_003264845.1	38
Rhizoclosmatium_GCA_002104985.1	7
Allomyces_GCA_027604705.1	1
Ascobolus_GCA_003788565.2	6
Batrachochytrium_GCA_000149865.1	3
Rhizopus_GCA_002083745.1	4
Ustulina_GCA_002081935.3	67
Polyrhizophydium_GCA_027604665.1	9
Gaertneriomyces_GCA_025558075.1	3
Colletotrichum_GCA_001563115.1	40
Blyttiomyces_GCA_027604625.1	2
Phlyctochytrium_GCA_025602905.1	4
Neofusicoccum_GCA_000385595.1	38
Reticulascus_GCA_001557505.1	32
Rhizophlyctis_GCA_002214945.1	4
Talaromyces_GCA_001270325.1	36
Orbilia_GCF_000225545.1	10
Verticillium_GCA_000732205.1	21
Boothiomyces_GCA_027604245.1	3
Metschnikowia_GCA_002374405.1	1
Baudoinia_GCF_000338955.1	10
Batrachochytrium_GCA_002006685.2	2
Evernia_GCA_003184365.1	60
Schizosaccharomyces_GCA_000002945.2	3
Martensiomyces_GCA_025201845.1	1
Chytriomyces_GCA_027604165.1	6
Yarrowia_GCA_000002525.1	1
Thermothielavioides_GCF_000226115.1	18
Linderina_GCF_002104995.1	1
Paecilomyces_GCA_003990805.1	22
Batrachochytrium_GCA_000203795.1	2
Neocallimastix_GCA_002104975.1	30
Microbotryum_GCA_900120095.1	2
Piromyces_GCA_002104945.1	9
Mucor_GCA_000950595.1	3
Ophiognomonia_GCA_003671545.1	62
Terramyces_GCA_027603945.1	7
Coemansia_GCA_002705745.1	1
Hanseniaspora_GCA_900119595.1	1
Fonticula_GCA_000388065.2	1
Kappamyces_GCA_027604465.1	2
Aspergillus_GCA_003574815.1	39
Pestalotiopsis_GCF_000516985.1	59
Geranomyces_GCA_027603065.1	10
Chytriomyces_GCA_027604085.1	7
Basidiobolus_GCA_002104905.1	25
Rozella_GCA_000442015.1	0
Geranomyces_GCA_027601485.1	10
Entophlyctis_GCA_027604545.1	2
Cystobasidiopsis_GCA_001599975.1	5
Chytridium_GCA_025449115.1	3
Thoreauomyces_GCA_027596035.1	13
Elaphomyces_GCA_002240705.1	24
Cladosporium_GCA_000261425.2	15
Umbelopsis_GCF_025399195.1	4
Endocalyx_GCA_001600455.1	59
Gorgonomyces_GCA_025526955.1	1
Clohesyomyces_GCA_002105025.1	39
Pseudomassariella_GCF_002105095.1	46
Globomyces_GCA_027595885.1	14
Allomyces_GCA_000151295.1	2
Uncinocarpus_GCA_000003515.2	15
Synchytrium_GCA_006535955.1	2
Neoconidiobolus_GCA_025603075.1	3
Powellomyces_GCA_006536005.1	7
Gyalolechia_GCA_000442125.1	29
