DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	HIP
COLOR	#000000
DATA
Parastagonospora_nodorum_SN15_GCA_000146915	96
Neurospora_crassa_OR74A_GCA_000182925	43
Orbilia_oligospora_ATCC_24927_GCA_000225545	30
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	46
Cladosporium_sphaerospermum_UM_843_GCA_000261425	14
Baudoinia_panamericana_UAMH_10762_GCA_000338955	57
Eutypa_lata_UCREL1_GCA_000349385	78
Bipolaris_maydis_ATCC_48331_GCA_000354255	119
Cyphellophora_europaea_CBS_101466_GCA_000365145	81
Neofusicoccum_parvum_UCRNP2_GCA_000385595	48
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	26
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	103
Endocarpon_pusillum_Z07020_GCA_000464535	177
Hysterium_pulicare_CBS_123377_GCA_000467715	186
Helminthosporium_solani_B-AC-16A_GCA_000498615	39
Pestalotiopsis_fici_W106-1_GCA_000516985	290
Neurospora_sublineolata_FGSC_5508_GCA_000604185	40
Umbilicaria_muehlenbergii_GCA_000611775	24
Saksenaea_vasiformis_B4078_GCA_000697055	2
Verticillium_tricorpus_MUCL_9792_GCA_000732205	54
Venturia_pyrina_ICMP_11032_GCA_000738655	90
Scedosporium_aurantiacum_GCA_000812075	106
Lanzia_echinophila_GCA_000812885	127
Verruconis_gallopava_GCA_000836295	105
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	101
Clonostachys_rosea_GCA_000963775	189
Diaporthe_aspalathi_GCA_001447215	86
Trichoderma_gamsii_GCA_001481775	129
Knoxdaviesia_proteae_GCA_001510565	27
Graphilbum_fragrans_GCA_001513895	30
Reticulascus_tulasneorum_GCA_001557505	283
Colletotrichum_nymphaeae_SA-01_GCA_001563115	135
Microdochium_bolleyi_GCA_001566295	148
Gonapodya_prolifera_JEL478_GCA_001574975	1
Beverwykella_pulmonaria_GCA_001599595	218
Endocalyx_cinctus_GCA_001600455	127
Phyllosticta_capitalensis_GCA_001604925	28
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	27
Paraphaeosphaeria_sporulosa_GCA_001642045	213
Leptoxyphium_fumago_GCA_001660795	21
Pseudogymnoascus_verrucosus_GCA_001662655	49
Lepidopterella_palustris_CBS_459.81_GCA_001692735	370
Glonium_stellatum_GCA_001692915	343
Ramalina_peruviana_GCA_001956345	65
Ustulina_deusta_GCA_002081935	185
Rhizoclosmatium_globosum_GCA_002104985	14
Linderina_pennispora_GCA_002104995	1
Clohesyomyces_aquaticus_GCA_002105025	292
Pseudomassariella_vexata_GCA_002105095	67
Hortaea_werneckii_EXF-2000_GCA_002127715	49
Monilinia_fructicola_GCA_002162545	58
Rhizophlyctis_rosea_GCA_002214945	12
Elaphomyces_granulatus_GCA_002240705	125
Bifiguratus_adelaidae_GCA_002261195	4
Knufia_petricola_GCA_002319055	45
Ramichloridium_luteum_GCA_002368545	109
Emmonsia_crescens_GCA_002572855	16
Coemansia_reversa_NRRL_1564_GCA_002705745	1
Fragosphaeria_purpurea_GCA_002778095	29
Coniochaeta_hoffmannii_GCA_002798055	57
Hyaloscypha_hepaticicola_GCA_002865625	707
Tolypocladium_paradoxum_GCA_002916505	19
Cladonia_uncialis_GCA_002927785	119
Paramyrothecium_roridum_GCA_003012165	179
Elsinoe_australis_GCA_003013795	9
Corynespora_cassiicola_Philippines_GCA_003016335	183
Amorphotheca_resinae_ATCC_22711_GCA_003019875	23
Coniella_lustricola_GCA_003019895	45
Ophioceras_dolichostomum_GCA_003049485	134
Periconia_macrospinosa_GCA_003073855	234
Trichophyton_mentagrophytes_GCA_003118255	9
Evernia_prunastri_GCA_003184365	107
Cryphonectria_radicalis_GCA_003264845	109
Pseudopyrenochaeta_lycopersici_GCA_003313425	353
Corinectria_fuckeliana_GCA_003385255	55
Aspergillus_spinulosporus_GCA_003574815	16
Erysiphe_neolycopersici_GCA_003610855	3
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	73
Ascobolus_immersus_RN42_GCA_003788565	12
Valsa_malicola_GCA_003795315	80
Pseudophaeomoniella_oleicola_GCA_003868215	68
Proliferodiscus_dingleyae_GCA_003988795	167
Chlorencoelia_torta_GCA_003988815	52
Chaetoscypha_palmicola_GCA_003988945	103
Arthrobotrys_flagrans_GCA_004000055	12
Ramularia_coccinea_GCA_004155245	36
Aeminium_ludgeri_GCA_004216415	9
Ascochyta_viciae-villosae_GCA_004335205	54
Cladochytrium_replicatum_GCA_025526935	23
Obelidium_mucronatum_GCA_025765595	14
Zopfochytrium_polystomum_GCA_025765615	25
Cladochytrium_tenue_GCA_026954515	22
Nowakowskiella_sp._JEL0078_GCA_026955015	52
Siphonaria_sp._JEL0065_GCA_027596065	15
Rhizophlyctis_rosea_GCA_027596075	31
Rhizophlyctis_rosea_GCA_027596135	12
Rhizoclosmatium_hyalinum_GCA_027596175	15
Physocladia_obscura_GCA_027596945	37
Nowakowskiella_sp._JEL0407_GCA_027600645	23
Phlyctochytrium_planicorne_GCA_027600675	1
Entophlyctis_luteolus_GCA_027603655	21
Chytridiales_sp._JEL_0842_GCA_027604305	1
Rhizoclosmatium_sp._JEL0117_GCA_027604365	12
Entophlyctis_sp._JEL0112_GCA_027604545	18
Borealophlyctis_nickersoniae_GCA_027604605	14
Entophlyctis_luteolus_GCA_027604725	23
Phialocephala_subalpina_GCA_900073065	606
Podospora_comata_GCA_900290415	211
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	51
Hymenoscyphus_occultus_GCA_900536445	138
Cyanodermella_asteris_GCA_900618795	89
Drosophila_melanogaster_GCA_000001215	1
Thielaviopsis_punctulata_GCA_000968615	6
Epichloe_elymi_GCA_002591845	10
Arthonia_radiata_GCA_002989075	33
Paecilomyces_variotii_GCA_003990805	4
Umbelopsis_ramanniana_AG_GCA_025399195	18
Podochytrium_sp._JEL0797_GCA_027596195	9
Quaeritorhiza_haematococci_GCA_027596845	2
Geranomyces_variabilis_GCA_027601485	4
Uncinocarpus_reesii_1704_GCA_000003515	7
Erythrobasidium_yunnanense_GCA_001600175	4
Xylona_heveae_TC161_GCA_001619985	5
Anaeromyces_robustus_GCA_002104895	1
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	39
Chytriomyces_sp._MP71_GCA_025201725	9
Chytridium_lagenaria_GCA_025449115	1
Polychytrium_aggregatum_GCA_025602895	1
Blyttiomyces_sp._JEL0837_GCA_027604625	12
Tuber_melanosporum_GCA_000151645	8
Talaromyces_purpureogenus_GCA_001270325	11
Morchella_conica_CCBAS932_GCA_003790465	17
Oehlia_diaphana_GCA_003833135	2
Gonapodya_sp._JEL0774_GCA_027604505	4
Yarrowia_lipolytica_CLIB122_GCA_000002525	2
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	2
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	2
Coprinopsis_cinerea_okayama7#130_GCA_000182895	3
Ustilago_maydis_521_GCA_000328475	1
Wallemia_ichthyophaga_EXF-994_GCA_000400465	2
Pseudozyma_flocculosa_PF-1_GCA_000417875	1
Mixia_osmundae_IAM_14324_GCA_000708205	1
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	6
Taphrina_wiesneri_JCM_22204_GCA_000836135	1
Baeospora_myosura_GCA_001179705	2
Phaeotremella_skinneri_GCA_001599695	2
Calocera_viscosa_TUFC12733_GCA_001630345	1
Ascosphaera_apis_ARSEF_7405_GCA_001636715	3
Neolecta_irregularis_DAH-3_GCA_001929475	2
Protomyces_lactucae-debilis_GCA_002105105	1
Pseudomicrostroma_glucosiphilum_GCA_003144135	1
Spizellomyces_sp._'palustris'_GCA_006535965	2
Powellomyces_hirtus_GCA_006536005	1
Olpidium_bornovanus_GCA_017911155	2
Geranomyces_variabilis_GCA_025399175	3
Fimicolochytrium_jonesii_GCA_025526975	2
Powellomyces_hirtus_GCA_025526995	1
Gaertneriomyces_semiglobifer_GCA_025558075	2
Phlyctochytrium_arcticum_GCA_025602905	1
Paraphysoderma_sedebokerense_GCA_025602915	5
Thoreauomyces_humboldtii_GCA_027596035	1
Geranomyces_variabilis_GCA_027600685	2
Geranomyces_michiganensis_GCA_027602005	2
Geranomyces_variabilis_GCA_027602705	2
Geranomyces_variabilis_GCA_027603065	3
Gaertneriomyces_sp._JEL0708_GCA_027603645	2
Clydaea_vesicula_GCA_027604065	1
Lobulomyces_angularis_GCA_027604685	1
Microbotryum_silenes-dioicae_GCA_900120095	1
