GCA	Phylum_or_Clade	Complete_BGC_Count	BGCome_Size	Strict_NRPS_or_PKSome_Size	Grid
GCA_000392275	clade_1	19.0	1.469578	0.649291	b
GCA_003016335	clade_1	56.0	4.436637	2.508726	b
GCA_001600175	clade_2	5.0	0.217595	0.0	b
GCA_002162545	clade_1	41.0	3.179834	1.930214	b
GCA_003988945	clade_1	7.0	1.929239	1.237315	b
GCA_002368545	clade_1	27.0	2.20774	1.274752	b
GCA_003385255	clade_1	15.0	2.142944	1.521628	b
GCA_001619985	clade_1	24.0	1.62267	0.996325	b
GCA_000354255	clade_1	40.0	3.835495	2.126181	b
GCA_002572855	clade_1	10.0	1.097976	0.30884	b
GCA_001692915	clade_1	3.0	1.768264	1.133382	b
GCA_000836295	clade_1	15.0	1.292979	0.449668	b
GCA_000708205	clade_2	9.0	0.414063	0.064279	b
GCA_900290415	clade_1	34.0	2.496526	1.77992	b
GCA_000349385	clade_1	19.0	3.267375	2.113989	b
GCA_000721755	clade_1	24.0	1.936074	0.807297	b
GCA_900073065	clade_1	68.0	5.505573	2.234234	b
GCA_004335205	clade_1	9.0	2.115583	1.243556	b
GCA_002778095	clade_1	23.0	1.597277	0.82556	b
GCA_002916505	clade_1	8.0	1.758394	1.154963	b
GCA_002591845	clade_1	13.0	1.647281	0.946949	b
GCA_003795315	clade_1	41.0	3.848048	2.198516	b
GCA_002865625	clade_1	39.0	3.280553	1.149796	b
GCA_000812075	clade_1	9.0	1.721282	1.174844	b
GCA_003264845	clade_1	35.0	3.706221	2.313885	b
GCA_002081935	clade_1	33.0	5.408965	3.081464	b
GCA_001563115	clade_1	25.0	3.904645	2.055539	b
GCA_000385595	clade_1	15.0	2.820706	1.688754	b
GCA_001557505	clade_1	43.0	3.957835	3.005175	b
GCA_001270325	clade_1	37.0	2.749749	1.88201	b
GCA_000732205	clade_1	30.0	2.088665	1.109042	b
GCA_000338955	clade_1	21.0	1.293462	0.279381	b
GCA_003184365	clade_1	47.0	5.089503	3.091722	b
GCA_000226115	clade_1	28.0	2.091629	1.232024	b
GCA_003990805	clade_1	34.0	2.187407	1.02029	b
GCA_900120095	clade_2	5.0	0.227782	0.064901	b
GCA_003671545	clade_1	33.0	5.31101	2.866342	b
GCA_003574815	clade_1	44.0	3.623676	2.573377	b
GCA_000516985	clade_1	91.0	6.120631	2.991406	b
GCA_001599975	clade_2	8.0	0.426531	0.125971	b
GCA_002240705	clade_1	0.0	0.584744	0.394884	b
GCA_000261425	clade_1	17.0	1.273538	0.507078	b
GCA_001600455	clade_1	80.0	6.754477	4.175582	b
GCA_002105025	clade_1	29.0	4.202908	1.984816	b
GCA_002105095	clade_1	63.0	4.469028	2.703443	b
GCA_000003515	clade_1	23.0	1.51477	0.962749	b
GCA_000442125	clade_1	40.0	3.087933	1.623739	b
GCA_001566295	clade_1	35.0	2.814412	1.529556	b
GCA_001692735	clade_1	8.0	1.663867	0.895854	b
GCA_003019895	clade_1	16.0	2.712082	1.385172	b
GCA_002927785	clade_1	3.0	2.654059	1.63451	b
GCA_001481775	clade_1	41.0	3.13776	1.800029	b
GCA_003049485	clade_1	11.0	1.716453	0.989202	b
GCA_000182925	clade_1	19.0	1.255064	0.724275	b
GCA_001447215	clade_1	18.0	4.50702	2.996801	b
GCA_001642045	clade_1	69.0	5.545732	1.892169	b
GCA_000498615	clade_1	0.0	1.699501	0.88667	b
GCA_001660795	clade_1	16.0	1.430559	0.933366	b
GCA_002989075	clade_1	30.0	2.021288	1.064695	b
GCA_002319055	clade_1	12.0	0.792444	0.261596	b
GCA_000365145	clade_1	18.0	1.491602	0.43601	b
GCA_001636725	clade_1	32.0	3.133737	1.577267	b
GCA_004216415	clade_1	8.0	0.673408	0.264168	b
GCA_000968615	clade_1	5.0	0.527486	0.302336	b
GCA_002127715	clade_1	19.0	1.828911	0.566362	b
GCA_003988795	clade_1	49.0	4.722183	2.683526	b
GCA_000182895	clade_2	18.0	0.901156	0.20048	b
GCA_000464535	clade_1	22.0	1.989075	1.409448	b
GCA_900618795	clade_1	57.0	4.326105	1.276017	b
GCA_001510565	clade_1	9.0	0.626701	0.34307	b
GCA_001179705	clade_2	1.0	0.481718	0.044918	b
GCA_002798055	clade_1	3.0	1.484337	0.881251	b
GCA_000963775	clade_1	41.0	4.203312	3.227797	b
GCA_000812885	clade_1	0.0	1.095262	0.426136	b
GCA_900536445	clade_1	19.0	4.001601	1.812186	b
GCA_003013795	clade_1	22.0	1.562526	0.64908	b
GCA_001956345	clade_1	9.0	1.929509	1.186457	b
GCA_004155245	clade_1	34.0	2.926567	2.400576	b
GCA_000400465	clade_2	5.0	0.376695	0.073584	b
GCA_000467715	clade_1	11.0	2.834001	1.594342	b
GCA_003073855	clade_1	45.0	6.700813	3.874896	b
GCA_003313425	clade_1	46.0	3.351049	2.239503	b
GCA_000738655	clade_1	28.0	2.340445	0.781842	b
GCA_000836435	clade_1	26.0	1.937094	0.551818	b
GCA_003118255	clade_1	17.0	2.131043	1.462723	b
GCA_003988815	clade_1	26.0	2.467271	1.334545	b
GCA_000146915	clade_1	43.0	3.566149	1.883216	b
GCA_000149925	clade_2	4.0	0.221016	0.065714	b
GCA_001636715	clade_1	10.0	0.7501	0.20594	b
GCA_001599695	clade_2	6.0	0.285896	0.061703	b
GCA_001599595	clade_1	53.0	4.416498	2.423817	b
GCA_003610855	clade_1	0.0	0.114874	0.059798	b
GCA_003868215	clade_1	25.0	1.845198	0.958021	b
GCA_000611775	clade_1	31.0	1.813591	1.203056	b
GCA_001630345	clade_2	13.0	0.851086	0.129253	b
GCA_001513895	clade_1	19.0	1.351256	0.823754	b
GCA_003019875	clade_1	20.0	1.390539	0.626554	b
GCA_003012165	clade_1	18.0	3.767193	2.618066	b
GCA_001662655	clade_1	26.0	2.232339	1.298561	b
GCA_001604925	clade_1	6.0	1.198186	0.476936	b
GCA_900465125	clade_1	21.0	1.912441	1.166435	b
