DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	BGC_Count
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	5
Phaeoacremonium_GCF_000392275.1	26
Corynespora_GCA_003016335.1	66
Paraphysoderma_GCA_025602915.1	5
Erythrobasidium_GCA_001600175.1	5
Chytriomyces_GCA_025201725.1	7
Smittium_GCA_003086735.1	4
Taphrina_GCA_000836135.1	9
Obelidium_GCA_025765595.1	9
Polychytrium_GCF_025602895.1	64
Monilinia_GCA_002162545.1	44
Ustilago_GCF_000328475.2	13
Chaetoscypha_GCA_003988945.1	45
Gonapodya_GCA_001574975.1	5
Ramichloridium_GCA_002368545.1	34
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	42
Xylona_GCF_001619985.1	27
Bipolaris_GCF_000354255.1	65
Emmonsia_GCA_002572855.1	17
Syncephalastrum_GCA_002105135.1	13
Glonium_GCA_001692915.1	56
Alloascoidea_GCA_001600815.1	6
Verruconis_GCA_000836295.1	19
Mixia_GCF_000708205.1	9
Podospora_GCA_900290415.1	35
Homolaphlyctis_GCA_000235945.1	4
Eutypa_GCA_000349385.1	66
Hyaloraphidium_GCA_025558095.1	6
Geranomyces_GCA_027600685.1	15
Aureobasidium_GCF_000721755.1	31
Phialocephala_GCA_900073065.1	79
Ascochyta_GCA_004335205.1	39
Lobulomyces_GCA_027604685.1	7
Irineochytrium_GCA_027600665.1	12
Fragosphaeria_GCA_002778095.1	24
Ascoidea_GCF_001661345.1	2
Gaertneriomyces_GCA_027603645.1	6
Tolypocladium_GCA_002916505.1	37
Geranomyces_GCA_027602005.1	14
Capsaspora_GCA_000151315.2	7
Epichloe_GCA_002591845.1	32
Tuber_GCF_000151645.1	8
Spizellomyces_GCA_000182565.2	13
Valsa_GCA_003795315.1	60
Gonapodya_GCA_027604505.1	5
Oehlia_GCA_003833135.1	9
Hyaloscypha_GCA_002865625.1	45
Rhizopus_GCA_000149305.1	15
Backusella_GCA_025399235.1	13
Cephaloascus_GCA_003706495.1	3
Bifiguratus_GCA_002261195.1	10
Chytridiales_GCA_027604305.1	8
Scedosporium_GCA_000812075.1	31
Clydaea_GCA_027604065.1	7
Physocladia_GCA_027596945.1	14
Rhizoclosmatium_GCA_027604365.1	6
Cryphonectria_GCA_003264845.1	59
Rhizoclosmatium_GCA_002104985.1	10
Allomyces_GCA_027604705.1	6
Ascobolus_GCA_003788565.2	14
Batrachochytrium_GCA_000149865.1	5
Rhizopus_GCA_002083745.1	13
Ustulina_GCA_002081935.3	105
Polyrhizophydium_GCA_027604665.1	13
Gaertneriomyces_GCA_025558075.1	6
Colletotrichum_GCA_001563115.1	70
Blyttiomyces_GCA_027604625.1	6
Phlyctochytrium_GCA_025602905.1	8
Neofusicoccum_GCA_000385595.1	55
Reticulascus_GCA_001557505.1	46
Rhizophlyctis_GCA_002214945.1	10
Talaromyces_GCA_001270325.1	46
Orbilia_GCF_000225545.1	21
Verticillium_GCA_000732205.1	31
Boothiomyces_GCA_027604245.1	6
Metschnikowia_GCA_002374405.1	3
Baudoinia_GCF_000338955.1	21
Batrachochytrium_GCA_002006685.2	4
Evernia_GCA_003184365.1	84
Schizosaccharomyces_GCA_000002945.2	4
Martensiomyces_GCA_025201845.1	6
Chytriomyces_GCA_027604165.1	11
Yarrowia_GCA_000002525.1	3
Thermothielavioides_GCF_000226115.1	29
Linderina_GCF_002104995.1	6
Paecilomyces_GCA_003990805.1	35
Batrachochytrium_GCA_000203795.1	4
Neocallimastix_GCA_002104975.1	33
Microbotryum_GCA_900120095.1	5
Piromyces_GCA_002104945.1	10
Mucor_GCA_000950595.1	11
Ophiognomonia_GCA_003671545.1	97
Terramyces_GCA_027603945.1	10
Coemansia_GCA_002705745.1	4
Hanseniaspora_GCA_900119595.1	3
Fonticula_GCA_000388065.2	3
Kappamyces_GCA_027604465.1	3
Aspergillus_GCA_003574815.1	53
Pestalotiopsis_GCF_000516985.1	92
Geranomyces_GCA_027603065.1	16
Chytriomyces_GCA_027604085.1	11
Basidiobolus_GCA_002104905.1	34
Rozella_GCA_000442015.1	1
Geranomyces_GCA_027601485.1	14
Entophlyctis_GCA_027604545.1	7
Cystobasidiopsis_GCA_001599975.1	8
Chytridium_GCA_025449115.1	6
Thoreauomyces_GCA_027596035.1	15
Elaphomyces_GCA_002240705.1	35
Cladosporium_GCA_000261425.2	21
Umbelopsis_GCF_025399195.1	11
Endocalyx_GCA_001600455.1	86
Gorgonomyces_GCA_025526955.1	4
Clohesyomyces_GCA_002105025.1	66
Pseudomassariella_GCF_002105095.1	65
Globomyces_GCA_027595885.1	16
Allomyces_GCA_000151295.1	10
Uncinocarpus_GCA_000003515.2	23
Synchytrium_GCA_006535955.1	4
Neoconidiobolus_GCA_025603075.1	6
Powellomyces_GCA_006536005.1	11
Gyalolechia_GCA_000442125.1	41
