DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	BGC_Sum
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	177364
Phaeoacremonium_GCF_000392275.1	1469578
Corynespora_GCA_003016335.1	4436637
Paraphysoderma_GCA_025602915.1	174597
Erythrobasidium_GCA_001600175.1	217595
Chytriomyces_GCA_025201725.1	207790
Smittium_GCA_003086735.1	88475
Taphrina_GCA_000836135.1	450313
Obelidium_GCA_025765595.1	512070
Polychytrium_GCF_025602895.1	4288817
Monilinia_GCA_002162545.1	3179834
Ustilago_GCF_000328475.2	715389
Chaetoscypha_GCA_003988945.1	1929239
Gonapodya_GCA_001574975.1	196268
Ramichloridium_GCA_002368545.1	2207740
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	2142944
Xylona_GCF_001619985.1	1622670
Bipolaris_GCF_000354255.1	3835495
Emmonsia_GCA_002572855.1	1097976
Syncephalastrum_GCA_002105135.1	539213
Glonium_GCA_001692915.1	1768264
Alloascoidea_GCA_001600815.1	275433
Verruconis_GCA_000836295.1	1292979
Mixia_GCF_000708205.1	414063
Podospora_GCA_900290415.1	2496526
Homolaphlyctis_GCA_000235945.1	120061
Eutypa_GCA_000349385.1	3267375
Hyaloraphidium_GCA_025558095.1	243785
Geranomyces_GCA_027600685.1	724331
Aureobasidium_GCF_000721755.1	1936074
Phialocephala_GCA_900073065.1	5505573
Ascochyta_GCA_004335205.1	2115583
Lobulomyces_GCA_027604685.1	209071
Irineochytrium_GCA_027600665.1	360067
Fragosphaeria_GCA_002778095.1	1597277
Ascoidea_GCF_001661345.1	71698
Gaertneriomyces_GCA_027603645.1	336398
Tolypocladium_GCA_002916505.1	1758394
Geranomyces_GCA_027602005.1	718009
Capsaspora_GCA_000151315.2	271015
Epichloe_GCA_002591845.1	1647281
Tuber_GCF_000151645.1	451448
Spizellomyces_GCA_000182565.2	765324
Valsa_GCA_003795315.1	3848048
Gonapodya_GCA_027604505.1	189514
Oehlia_GCA_003833135.1	305816
Hyaloscypha_GCA_002865625.1	3280553
Rhizopus_GCA_000149305.1	669928
Backusella_GCA_025399235.1	488719
Cephaloascus_GCA_003706495.1	87212
Bifiguratus_GCA_002261195.1	322691
Chytridiales_GCA_027604305.1	167986
Scedosporium_GCA_000812075.1	1721282
Clydaea_GCA_027604065.1	109388
Physocladia_GCA_027596945.1	217739
Rhizoclosmatium_GCA_027604365.1	193570
Cryphonectria_GCA_003264845.1	3706221
Rhizoclosmatium_GCA_002104985.1	542899
Allomyces_GCA_027604705.1	181548
Ascobolus_GCA_003788565.2	864709
Batrachochytrium_GCA_000149865.1	268079
Rhizopus_GCA_002083745.1	439570
Ustulina_GCA_002081935.3	5408965
Polyrhizophydium_GCA_027604665.1	113093
Gaertneriomyces_GCA_025558075.1	342256
Colletotrichum_GCA_001563115.1	3904645
Blyttiomyces_GCA_027604625.1	55247
Phlyctochytrium_GCA_025602905.1	402159
Neofusicoccum_GCA_000385595.1	2820706
Reticulascus_GCA_001557505.1	3957835
Rhizophlyctis_GCA_002214945.1	306334
Talaromyces_GCA_001270325.1	2749749
Orbilia_GCF_000225545.1	1103214
Verticillium_GCA_000732205.1	2088665
Boothiomyces_GCA_027604245.1	170454
Metschnikowia_GCA_002374405.1	126603
Baudoinia_GCF_000338955.1	1293462
Batrachochytrium_GCA_002006685.2	175193
Evernia_GCA_003184365.1	5089503
Schizosaccharomyces_GCA_000002945.2	233594
Martensiomyces_GCA_025201845.1	147067
Chytriomyces_GCA_027604165.1	369243
Yarrowia_GCA_000002525.1	186198
Thermothielavioides_GCF_000226115.1	2091629
Linderina_GCF_002104995.1	190944
Paecilomyces_GCA_003990805.1	2187407
Batrachochytrium_GCA_000203795.1	192889
Neocallimastix_GCA_002104975.1	2038726
Microbotryum_GCA_900120095.1	227782
Piromyces_GCA_002104945.1	626259
Mucor_GCA_000950595.1	423431
Ophiognomonia_GCA_003671545.1	5311010
Terramyces_GCA_027603945.1	293934
Coemansia_GCA_002705745.1	145583
Hanseniaspora_GCA_900119595.1	118542
Fonticula_GCA_000388065.2	113902
Kappamyces_GCA_027604465.1	115705
Aspergillus_GCA_003574815.1	3623676
Pestalotiopsis_GCF_000516985.1	6120631
Geranomyces_GCA_027603065.1	870820
Chytriomyces_GCA_027604085.1	378624
Basidiobolus_GCA_002104905.1	1584518
Rozella_GCA_000442015.1	9832
Geranomyces_GCA_027601485.1	757557
Entophlyctis_GCA_027604545.1	205570
Cystobasidiopsis_GCA_001599975.1	426531
Chytridium_GCA_025449115.1	312706
Thoreauomyces_GCA_027596035.1	414522
Elaphomyces_GCA_002240705.1	584744
Cladosporium_GCA_000261425.2	1273538
Umbelopsis_GCF_025399195.1	433491
Endocalyx_GCA_001600455.1	6754477
Gorgonomyces_GCA_025526955.1	157542
Clohesyomyces_GCA_002105025.1	4202908
