GCA	KO	KO_Count	KO_Category
GCA_900112715	K17763	63	Social
GCA_900112715	K06988	2	Social
GCA_900112715	K09983	3	Social
GCA_900112715	K01113	5	Social
GCA_900112715	K11177	2	Social
GCA_900112715	K11178	3	Social
GCA_900112715	K03745	1	Social
GCA_900112715	K09958	1	Social
GCA_900112715	K10947	1	Social
GCA_900112715	K19200	2	Social
GCA_900112715	K03892	2	Social
GCA_900112715	K20483	3	Social
GCA_900112715	K20484	1	Social
GCA_900112715	K01556	2	Social
GCA_900112715	K20628	2	Social
GCA_900112715	K03735	1	Social
GCA_900112715	K08281	1	Social
GCA_900112715	K23779	2	Social
GCA_900112715	K03576	1	Social
GCA_900112715	K08988	1	Social
GCA_900112715	K00588	1	Social
GCA_900112715	K00955	1	Social
GCA_900112715	K00956	1	Social
GCA_900112715	K00273	1	Social
GCA_900112715	K21744	2	Social
GCA_900112715	K07093	3	Social
GCA_900112715	K05375	3	Social
GCA_900112715	K00675	2	Social
GCA_900112715	K07032	2	Social
GCA_900112715	K00867	1	Social
GCA_900112715	K11904	8	Social
GCA_900112715	K06282	1	Social
GCA_900112715	K03605	1	Social
GCA_900112715	K04652	1	Social
GCA_900112715	K07504	1	Social
GCA_900112715	K23107	3	Social
GCA_900112715	K09959	1	Social
GCA_900112715	K00138	1	Social
GCA_900112715	K07448	1	Social
GCA_900112715	K06968	1	Social
GCA_900112715	K14445	1	Social
GCA_900112715	K15537	1	Social
GCA_900112715	K01847	1	Social
GCA_900112715	K13288	1	Social
GCA_900112715	K14379	1	Social
GCA_900112715	K19244	1	Social
GCA_900112715	K01641	2	Social
GCA_900112715	K03426	1	Social
GCA_900112715	K05337	2	Social
GCA_900112715	K11755	1	Social
GCA_900112715	K08602	1	Social
GCA_900112715	K06978	3	Social
GCA_900112715	K09930	3	Social
GCA_900112715	K09795	2	Social
GCA_900112715	K01055	1	Social
GCA_900112715	K01483	1	Social
GCA_900112715	K18476	5	Social
GCA_900112715	K10800	1	Social
GCA_900112715	K23139	4	Social
GCA_900112715	K05712	2	Social
GCA_900112715	K01061	4	Social
GCA_900112715	K06903	1	Social
GCA_900112715	K06907	1	Social
GCA_900112715	K09166	2	Social
GCA_900112715	K09781	1	Social
GCA_900112715	K00464	1	Social
GCA_900112715	K03743	1	Social
GCA_900112715	K22116	1	Social
GCA_900112715	K01932	1	Social
GCA_900112715	K05569	1	Social
GCA_900112715	K05566	1	Social
GCA_900112715	K05567	1	Social
GCA_900112715	K07116	1	Social
GCA_900112715	K22491	2	Social
GCA_900112715	K07095	2	Social
GCA_900112715	K00281	1	Social
GCA_900112715	K01174	2	Social
GCA_900112715	K01119	1	Social
GCA_900112715	K19802	1	Social
GCA_900112715	K08289	1	Social
GCA_900112715	K09844	1	Photosynthesis
GCA_900112715	K08641	1	Social
GCA_900112715	K00227	1	Social
GCA_900112715	K05770	3	Social
GCA_900112715	K13483	1	Social
GCA_900112715	K03719	1	Social
GCA_900112715	K05825	1	Social
GCA_900112715	K03325	1	Social
GCA_900112715	K00174	1	Social
GCA_900112715	K00175	1	Social
GCA_900112715	K00252	1	Social
GCA_900112715	K03600	1	Social
GCA_900112715	K03465	1	Social
GCA_900112715	K08994	1	Social
GCA_900112715	K17675	1	Social
GCA_900112715	K01256	1	Social
GCA_900112715	K03781	1	Social
GCA_900112715	K01259	2	Social
GCA_900112715	K02199	3	Social
GCA_900112715	K18911	1	Social
GCA_900112715	K03586	2	Social
GCA_900112715	K15510	1	Social
GCA_900112715	K18586	5	Social
GCA_900112715	K03182	1	Social
GCA_900112715	K13777	1	Social
GCA_900112715	K13778	1	Social
GCA_900112715	K01807	1	Social
GCA_900112715	K03761	1	Social
GCA_900112715	K00647	1	Social
GCA_900112715	K11785	1	Social
GCA_900112715	K22690	1	Social
GCA_900112715	K00055	1	Social
GCA_900112715	K18148	1	Social
GCA_900112715	K00612	1	Social
GCA_900112715	K07002	1	Social
GCA_900112715	K01484	1	Social
GCA_900112715	K03179	1	Social
GCA_900112715	K10027	1	Social
GCA_900112715	K02291	3	Photosynthesis
GCA_900112715	K11530	1	Social
GCA_900112715	K07148	1	Social
GCA_900112715	K11784	1	Social
GCA_900112715	K01254	1	Social
GCA_900112715	K01322	2	Social
GCA_900112715	K08177	1	Social
GCA_900112715	K18661	1	Social
GCA_900112715	K02636	1	Social
GCA_900112715	K01760	1	Social
GCA_900112715	K02303	1	Social
GCA_900112715	K01719	1	Social
GCA_900112715	K03495	1	Social
GCA_900112715	K11936	1	Social
GCA_900112715	K18285	1	Social
GCA_900112715	K03186	1	Social
GCA_900112715	K03386	1	Social
GCA_900112715	K11259	1	Social
GCA_900112715	K02502	1	Social
GCA_900112715	K13507	1	Social
GCA_900112715	K04127	1	Social
GCA_900112715	K09456	1	Social
GCA_900112715	K01400	1	Social
GCA_900112715	K08234	1	Social
GCA_900112715	K05555	1	Social
GCA_900112715	K03828	1	Social
GCA_900112715	K03929	1	Social
GCA_900112715	K00274	1	Social
GCA_900112715	K00851	1	Social
GCA_900112715	K00034	1	Social
GCA_900112715	K21395	1	Social
GCA_900112715	K13587	2	Social
GCA_900112715	K11354	1	Social
GCA_900112715	K02106	1	Social
GCA_900112715	K00477	2	Social
GCA_900112715	K10680	2	Social
GCA_900112715	K01305	1	Social
GCA_900112715	K13282	1	Social
GCA_900112715	K03802	1	Social
GCA_900112715	K11910	1	Social
GCA_900112715	K11900	2	Social
GCA_900112715	K11891	1	Social
GCA_900112715	K11892	1	Social
GCA_900112715	K11893	1	Social
GCA_900112715	K11906	1	Social
GCA_900112715	K11895	1	Social
GCA_900112715	K11896	1	Social
GCA_900112715	K11905	1	Social
GCA_900112715	K01011	1	Social
GCA_900112715	K07044	1	Social
GCA_900112715	K14376	1	Social
GCA_900112715	K07397	1	Social
GCA_900112715	K10187	1	Social
GCA_900112715	K22044	1	Social
GCA_900112715	K04749	1	Social
GCA_900112715	K00279	1	Social
GCA_900112715	K22027	1	Social
GCA_900112715	K11907	1	Social
GCA_900112715	K11901	1	Social
GCA_900112715	K06199	1	Social
GCA_900112715	K08967	1	Social
GCA_900112715	K23265	1	Social
GCA_900112715	K09822	1	Social
GCA_900112715	K00662	1	Social
GCA_900112715	K06001	1	Social
GCA_900112715	K19804	1	Social
GCA_900112715	K00700	1	Social
GCA_900112715	K01611	1	Social
GCA_900112715	K06346	1	Social
GCA_900112715	K21420	1	Social
GCA_900112715	K03976	1	Social
GCA_900112715	K04068	2	Social
GCA_900112715	K09697	1	Social
GCA_900112715	K09696	1	Social
GCA_900112715	K00113	1	Social
GCA_900112715	K03282	1	Social
GCA_900112715	K04759	1	Social
GCA_900112715	K07667	1	Social
GCA_900112715	K00965	1	Social
GCA_900112715	K00849	1	Social
GCA_019637155	K01256	1	Social
GCA_019637155	K14347	1	Social
GCA_019637155	K02651	2	Social
GCA_019637155	K01840	1	Social
GCA_019637155	K13587	5	Social
GCA_019637155	K18586	1	Social
GCA_019637155	K21420	1	Social
GCA_019637155	K00208	1	Social
GCA_019637155	K02106	1	Social
GCA_019637155	K21395	1	Social
GCA_019637155	K11690	1	Social
GCA_019637155	K05770	2	Social
GCA_019637155	K22348	2	Social
GCA_019637155	K15537	1	Social
GCA_019637155	K07226	1	Social
GCA_019637155	K17836	2	Social
GCA_019637155	K23269	1	Social
GCA_019637155	K23265	1	Social
GCA_019637155	K23107	1	Social
GCA_019637155	K06346	1	Social
GCA_019637155	K03809	1	Social
GCA_019637155	K23779	4	Social
GCA_019637155	K02303	1	Social
GCA_019637155	K05606	1	Social
GCA_019637155	K02502	1	Social
GCA_019637155	K00700	2	Social
GCA_019637155	K06988	2	Social
GCA_019637155	K00281	1	Social
GCA_019637155	K02199	3	Social
GCA_019637155	K20483	1	Social
GCA_019637155	K08994	2	Social
GCA_019637155	K19142	1	Social
GCA_019637155	K09000	1	Social
GCA_019637155	K19076	1	Social
GCA_019637155	K07061	1	Social
GCA_019637155	K07491	6	Social
GCA_019637155	K07148	1	Social
GCA_019637155	K01400	1	Social
GCA_019637155	K06950	1	Social
GCA_019637155	K06113	1	Social
GCA_019637155	K04068	1	Social
GCA_019637155	K02474	1	Social
GCA_019637155	K04749	1	Social
GCA_019637155	K20628	1	Social
GCA_019637155	K03761	1	Social
GCA_019637155	K03282	2	Social
GCA_019637155	K07341	1	Social
GCA_019637155	K07020	1	Social
GCA_019637155	K01173	1	Social
GCA_019637155	K11895	1	Social
GCA_019637155	K11896	1	Social
GCA_019637155	K11910	1	Social
GCA_019637155	K11901	1	Social
GCA_019637155	K11900	1	Social
GCA_019637155	K11907	1	Social
GCA_019637155	K11906	1	Social
GCA_019637155	K11893	1	Social
GCA_019637155	K11892	1	Social
GCA_019637155	K11891	1	Social
GCA_019637155	K11890	1	Social
GCA_019637155	K11904	3	Social
GCA_019637155	K05565	1	Social
GCA_019637155	K05566	1	Social
GCA_019637155	K01322	3	Social
GCA_019637155	K00990	1	Social
GCA_019637155	K19710	1	Social
GCA_019637155	K08139	1	Social
GCA_019637155	K03918	1	Social
GCA_019637155	K00252	1	Social
GCA_019637155	K01061	2	Social
GCA_019637155	K22373	1	Social
GCA_019637155	K07034	2	Social
GCA_019637155	K01113	4	Social
GCA_019637155	K03426	1	Social
GCA_019637155	K07032	1	Social
GCA_019637155	K07095	1	Social
GCA_019637155	K07044	1	Social
GCA_019637155	K07093	1	Social
GCA_019637155	K07722	1	Social
GCA_019637155	K08970	1	Social
GCA_019637155	K00477	1	Social
GCA_019637155	K07234	1	Social
GCA_019637155	K17763	2	Social
GCA_019637155	K22736	1	Social
GCA_019637155	K09822	2	Social
GCA_019637155	K18476	2	Social
GCA_019637155	K11414	1	Social
GCA_019637155	K01254	1	Social
GCA_019637155	K03578	1	Social
GCA_019637155	K03605	1	Social
GCA_019637155	K06282	1	Social
GCA_019637155	K04652	1	Social
GCA_019637155	K07448	2	Social
GCA_019637155	K02574	1	Social
GCA_019637155	K03781	1	Social
GCA_019637155	K01848	2	Social
GCA_019637155	K17675	1	Social
GCA_019637155	K01087	1	Social
GCA_019637155	K23139	1	Social
GCA_019637155	K04759	1	Social
GCA_019637155	K01849	1	Social
GCA_019637155	K01055	2	Social
GCA_019637155	K03586	1	Social
GCA_019637155	K09983	1	Social
GCA_019637155	K06978	1	Social
GCA_019637155	K03179	1	Social
GCA_019637155	K20810	1	Social
GCA_019637155	K11784	1	Social
GCA_019637155	K18285	1	Social
GCA_019637155	K03186	1	Social
GCA_019637155	K03182	1	Social
GCA_019637155	K03386	1	Social
GCA_019637155	K03892	1	Social
GCA_019637155	K03325	1	Social
GCA_019637155	K10947	1	Social
GCA_019637155	K00956	1	Social
GCA_019637155	K02116	1	Social
GCA_019637155	K01179	1	Social
GCA_019637155	K19200	1	Social
GCA_019637155	K02030	2	Social
GCA_019637155	K00612	2	Social
GCA_019637155	K09930	2	Social
GCA_019637155	K00113	1	Social
GCA_019637155	K02029	1	Social
GCA_019637155	K09166	1	Social
GCA_019637155	K10800	1	Social
GCA_019637155	K08988	1	Social
GCA_019637155	K18911	1	Social
GCA_019637155	K01218	1	Social
GCA_019637155	K03316	1	Social
GCA_019637155	K07667	1	Social
GCA_019637155	K17810	1	Social
GCA_019637155	K05712	1	Social
GCA_019637155	K16840	1	Social
GCA_019637155	K01095	1	Social
GCA_019637155	K14170	1	Social
GCA_019637155	K03976	1	Social
GCA_019637155	K01483	1	Social
GCA_019637155	K13020	1	Social
GCA_019637155	K14952	1	Social
GCA_019637155	K02032	1	Social
GCA_019637155	K09456	1	Social
GCA_019637155	K01259	1	Social
GCA_019637155	K02422	1	Social
GCA_019637155	K02407	1	Social
GCA_019637155	K02406	1	Social
GCA_019637155	K02404	1	Social
GCA_019637155	K02400	1	Social
GCA_019637155	K02419	1	Social
GCA_019637155	K02417	1	Social
GCA_019637155	K02390	1	Social
GCA_019637155	K02389	1	Social
GCA_019637155	K02410	1	Social
GCA_019637155	K02409	1	Social
GCA_019637155	K02408	1	Social
GCA_019637155	K02388	1	Social
GCA_019637155	K02387	1	Social
GCA_019637155	K02385	1	Social
GCA_019637155	K02556	1	Social
GCA_019637155	K02392	1	Social
GCA_019637155	K02391	1	Social
GCA_019637155	K02393	1	Social
GCA_019637155	K02394	1	Social
GCA_019637155	K02396	1	Social
GCA_019637155	K02397	1	Social
GCA_019637155	K09773	1	Photosynthesis
GCA_019637155	K01641	1	Social
GCA_019637155	K01807	1	Social
GCA_019637155	K00906	1	Social
GCA_019637155	K01719	1	Social
GCA_019637155	K22027	1	Social
GCA_019637155	K01760	1	Social
GCA_019637155	K05841	1	Social
GCA_019637155	K03744	1	Social
GCA_019637155	K07160	1	Social
GCA_019637155	K23264	1	Social
GCA_019637155	K02484	1	Social
GCA_019637155	K02200	1	Social
GCA_019637155	K11785	1	Social
GCA_019637155	K19342	1	Social
GCA_019637155	K00043	1	Social
GCA_019637155	K08303	1	Social
GCA_019637155	K11755	1	Social
GCA_020633075	K06346	1	Social
GCA_020633075	K01061	1	Social
GCA_020633075	K22757	1	Social
GCA_020633075	K13587	8	Social
GCA_020633075	K18586	2	Social
GCA_020633075	K01848	1	Social
GCA_020633075	K19342	1	Social
GCA_020633075	K07116	1	Social
GCA_020633075	K13777	1	Social
GCA_020633075	K00990	1	Social
GCA_020633075	K22736	1	Social
GCA_020633075	K02116	1	Social
GCA_020633075	K02303	1	Social
GCA_020633075	K01719	1	Social
GCA_020633075	K07044	3	Social
GCA_020633075	K07045	3	Social
GCA_020633075	K07322	3	Social
GCA_020633075	K02199	2	Social
GCA_020633075	K09165	1	Social
GCA_020633075	K02474	1	Social
GCA_020633075	K00274	3	Social
GCA_020633075	K00675	1	Social
GCA_020633075	K02502	1	Social
GCA_020633075	K09773	1	Photosynthesis
GCA_020633075	K00282	1	Social
GCA_020633075	K07093	2	Social
GCA_020633075	K22491	2	Social
GCA_020633075	K01849	1	Social
GCA_020633075	K09822	2	Social
GCA_020633075	K00647	1	Social
GCA_020633075	K01179	1	Social
GCA_020633075	K03892	3	Social
GCA_020633075	K07755	1	Social
GCA_020633075	K16862	2	Social
GCA_020633075	K10255	1	Social
GCA_020633075	K19355	1	Social
GCA_020633075	K06177	1	Social
GCA_020633075	K03929	1	Social
GCA_020633075	K01174	2	Social
GCA_020633075	K03586	1	Social
GCA_020633075	K21395	2	Social
GCA_020633075	K09166	1	Social
GCA_020633075	K19802	1	Social
GCA_020633075	K01040	1	Social
GCA_020633075	K01039	1	Social
GCA_020633075	K02574	1	Social
GCA_020633075	K23107	1	Social
GCA_020633075	K05776	1	Social
GCA_020633075	K01847	1	Social
GCA_020633075	K02567	1	Social
GCA_020633075	K11259	1	Social
GCA_020633075	K01641	1	Social
GCA_020633075	K05337	2	Social
GCA_020633075	K23778	1	Social
GCA_020633075	K13288	1	Social
GCA_020633075	K18588	1	Social
GCA_020633075	K08289	1	Social
GCA_020633075	K00955	2	Social
GCA_020633075	K00956	2	Social
GCA_020633075	K07452	1	Social
GCA_020633075	K03316	1	Social
GCA_020633075	K05569	1	Social
GCA_020633075	K05570	1	Social
GCA_020633075	K05566	1	Social
GCA_020633075	K05567	1	Social
GCA_020633075	K03583	1	Social
GCA_020633075	K03582	1	Social
GCA_020633075	K08994	1	Social
GCA_020633075	K01952	1	Social
GCA_020633075	K02029	1	Social
GCA_020633075	K02030	1	Social
GCA_020633075	K23779	1	Social
GCA_020633075	K06988	1	Social
GCA_020633075	K01840	1	Social
GCA_020633075	K03743	1	Social
GCA_020633075	K01011	1	Social
GCA_020633075	K18476	3	Social
GCA_020633075	K02411	1	Social
GCA_020633075	K09795	1	Social
GCA_020633075	K24180	1	Social
GCA_020633075	K02167	1	Social
GCA_020633075	K03976	1	Social
GCA_020633075	K01055	1	Social
GCA_020633075	K11690	1	Social
GCA_020633075	K11755	1	Social
GCA_020633075	K07336	1	Social
GCA_020633075	K01113	1	Social
GCA_020633075	K23139	1	Social
GCA_020633075	K09930	1	Social
GCA_020633075	K07448	1	Social
GCA_020633075	K00700	1	Social
GCA_020633075	K01322	1	Social
GCA_020633075	K07491	1	Social
GCA_020633075	K15537	1	Social
GCA_020633075	K03325	1	Social
GCA_020633075	K04712	1	Social
GCA_020633075	K04759	1	Social
GCA_020633075	K00283	1	Social
GCA_020633075	K01644	2	Social
GCA_020633075	K03282	1	Social
GCA_020633075	K01079	1	Social
GCA_020633075	K07234	1	Social
GCA_020633075	K06950	1	Social
GCA_020633075	K14170	1	Social
GCA_020633075	K02032	1	Social
GCA_002950945	K02303	1	Social
GCA_002950945	K01719	2	Social
GCA_002950945	K07093	3	Social
GCA_002950945	K03411	2	Social
GCA_002950945	K17763	88	Social
GCA_002950945	K01061	5	Social
GCA_002950945	K10543	2	Social
GCA_002950945	K10545	1	Social
GCA_002950945	K10544	1	Social
GCA_002950945	K19707	2	Social
GCA_002950945	K02529	3	Social
GCA_002950945	K07448	1	Social
GCA_002950945	K00662	2	Social
GCA_002950945	K23107	6	Social
GCA_002950945	K09930	5	Social
GCA_002950945	K03929	3	Social
GCA_002950945	K01218	2	Social
GCA_002950945	K07491	8	Social
GCA_002950945	K11904	30	Social
GCA_002950945	K00588	2	Social
GCA_002950945	K23779	4	Social
GCA_002950945	K01483	1	Social
GCA_002950945	K03744	1	Social
GCA_002950945	K11755	1	Social
GCA_002950945	K08677	2	Social
GCA_002950945	K22348	1	Social
GCA_002950945	K22491	2	Social
GCA_002950945	K10027	1	Social
GCA_002950945	K02291	1	Photosynthesis
GCA_002950945	K09844	1	Photosynthesis
GCA_002950945	K05606	1	Social
GCA_002950945	K13587	3	Social
GCA_002950945	K19620	1	Social
GCA_002950945	K09697	1	Social
GCA_002950945	K09696	1	Social
GCA_002950945	K01079	1	Social
GCA_002950945	K00886	1	Social
GCA_002950945	K05337	3	Social
GCA_002950945	K00867	1	Social
GCA_002950945	K02167	1	Social
GCA_002950945	K22349	2	Social
