GCA	Phylum_or_Clade	Complete_BGC_Count	BGCome_Size	Strict_NRPS_or_PKSome_Size	Grid
GCA_000392275	clade_1	19.0	1.469578	0.649291	a
GCA_003016335	clade_1	56.0	4.436637	2.508726	a
GCA_025602915	clade_2	4.0	0.174597	0.0	a
GCA_001600175	clade_2	5.0	0.217595	0.0	a
GCA_003086735	clade_2	0.0	0.088475	0.0	a
GCA_000836135	clade_2	9.0	0.450313	0.075543	a
GCA_025765595	clade_2	7.0	0.51207	0.288691	a
GCA_025602895	clade_2	61.0	4.288817	0.245708	a
GCA_002162545	clade_1	41.0	3.179834	1.930214	a
GCA_000328475	clade_2	9.0	0.715389	0.248757	a
GCA_003988945	clade_1	7.0	1.929239	1.237315	a
GCA_001574975	clade_2	5.0	0.196268	0.0	a
GCA_002368545	clade_1	27.0	2.20774	1.274752	a
GCA_000760515	clade_2	0.0	0.0	0.0	a
GCA_003385255	clade_1	15.0	2.142944	1.521628	a
GCA_001619985	clade_1	24.0	1.62267	0.996325	a
GCA_000354255	clade_1	40.0	3.835495	2.126181	a
GCA_002572855	clade_1	10.0	1.097976	0.30884	a
GCA_002105135	clade_2	12.0	0.539213	0.0	a
GCA_001692915	clade_1	3.0	1.768264	1.133382	a
GCA_026937265	clade_2	0.0	0.013589	0.0	a
GCA_001600815	clade_2	4.0	0.275433	0.0	a
GCA_000836295	clade_1	15.0	1.292979	0.449668	a
GCA_000708205	clade_2	9.0	0.414063	0.064279	a
GCA_900290415	clade_1	34.0	2.496526	1.77992	a
GCA_000235945	clade_2	2.0	0.120061	0.0	a
GCA_000349385	clade_1	19.0	3.267375	2.113989	a
GCA_025558095	clade_2	5.0	0.243785	0.0	a
GCA_000721755	clade_1	24.0	1.936074	0.807297	a
GCA_900073065	clade_1	68.0	5.505573	2.234234	a
GCA_004335205	clade_1	9.0	2.115583	1.243556	a
GCA_027604685	clade_2	0.0	0.209071	0.059559	a
GCA_027600665	clade_2	0.0	0.360067	0.245252	a
GCA_002778095	clade_1	23.0	1.597277	0.82556	a
GCA_001661345	clade_2	1.0	0.071698	0.0	a
GCA_002916505	clade_1	8.0	1.758394	1.154963	a
GCA_002591845	clade_1	13.0	1.647281	0.946949	a
GCA_000151645	clade_2	7.0	0.451448	0.228235	a
GCA_000182565	clade_2	8.0	0.765324	0.356434	a
GCA_003795315	clade_1	41.0	3.848048	2.198516	a
GCA_003833135	clade_2	5.0	0.305816	0.065011	a
GCA_002865625	clade_1	39.0	3.280553	1.149796	a
GCA_000149305	clade_2	15.0	0.669928	0.064296	a
GCA_025399235	clade_2	4.0	0.488719	0.040553	a
GCA_003706495	clade_2	1.0	0.087212	0.0	a
GCA_002261195	clade_2	4.0	0.322691	0.018996	a
GCA_027604305	clade_2	2.0	0.167986	0.065807	a
GCA_000812075	clade_1	9.0	1.721282	1.174844	a
GCA_027604065	clade_2	1.0	0.109388	0.037696	a
GCA_027596945	clade_2	0.0	0.217739	0.074538	a
GCA_003264845	clade_1	35.0	3.706221	2.313885	a
GCA_002104985	clade_2	9.0	0.542899	0.132529	a
GCA_003788565	clade_2	13.0	0.864709	0.373721	a
GCA_000149865	clade_2	5.0	0.268079	0.133003	a
GCA_002081935	clade_1	33.0	5.408965	3.081464	a
GCA_027604665	clade_2	0.0	0.113093	0.009594	a
GCA_025558075	clade_2	5.0	0.342256	0.183303	a
GCA_001563115	clade_1	25.0	3.904645	2.055539	a
GCA_027604625	clade_2	0.0	0.055247	0.01315	a
GCA_025602905	clade_2	6.0	0.402159	0.211256	a
GCA_000385595	clade_1	15.0	2.820706	1.688754	a
GCA_001557505	clade_1	43.0	3.957835	3.005175	a
GCA_001270325	clade_1	37.0	2.749749	1.88201	a
GCA_000225545	clade_2	18.0	1.103214	0.33565	a
GCA_000732205	clade_1	30.0	2.088665	1.109042	a
GCA_002374405	clade_2	3.0	0.126603	0.0	a
GCA_000338955	clade_1	21.0	1.293462	0.279381	a
GCA_003184365	clade_1	47.0	5.089503	3.091722	a
GCA_000002945	clade_2	4.0	0.233594	0.075005	a
GCA_025201845	clade_2	3.0	0.147067	0.0363	a
GCA_000002525	clade_2	3.0	0.186198	0.0	a
GCA_000226115	clade_1	28.0	2.091629	1.232024	a
GCA_002104995	clade_2	6.0	0.190944	0.064218	a
GCA_003990805	clade_1	34.0	2.187407	1.02029	a
GCA_002104975	clade_2	26.0	2.038726	1.539134	a
GCA_900120095	clade_2	5.0	0.227782	0.064901	a
GCA_003144135	clade_2	5.0	0.316999	0.072775	a
GCA_003671545	clade_1	33.0	5.31101	2.866342	a
GCA_027603945	clade_2	4.0	0.293934	0.197948	a
GCA_002705745	clade_2	3.0	0.145583	0.064152	a
GCA_900119595	clade_2	2.0	0.118542	0.0	a
GCA_027604465	clade_2	0.0	0.115705	0.084782	a
GCA_003574815	clade_1	44.0	3.623676	2.573377	a
GCA_000516985	clade_1	91.0	6.120631	2.991406	a
GCA_027603065	clade_2	13.0	0.87082	0.35025	a
GCA_002104905	clade_2	11.0	1.584518	0.972773	a
GCA_000442015	clade_2	0.0	0.009832	0.0	a
GCA_001599975	clade_2	8.0	0.426531	0.125971	a
GCA_025449115	clade_2	5.0	0.312706	0.151969	a
GCA_027596035	clade_2	0.0	0.414522	0.249117	a
GCA_002240705	clade_1	0.0	0.584744	0.394884	a
GCA_000261425	clade_1	17.0	1.273538	0.507078	a
GCA_001600455	clade_1	80.0	6.754477	4.175582	a
GCA_025526955	clade_2	4.0	0.157542	0.0	a
GCA_002105025	clade_1	29.0	4.202908	1.984816	a
GCA_017911155	clade_2	0.0	0.003481	0.0	a
GCA_002105095	clade_1	63.0	4.469028	2.703443	a
GCA_000151295	clade_2	10.0	0.329435	0.0	a
GCA_000003515	clade_1	23.0	1.51477	0.962749	a
GCA_025603075	clade_2	1.0	0.203739	0.0	a
GCA_000442125	clade_1	40.0	3.087933	1.623739	a
GCA_001566295	clade_1	35.0	2.814412	1.529556	a
GCA_001692735	clade_1	8.0	1.663867	0.895854	a
GCA_001661425	clade_2	2.0	0.127836	0.0	a
GCA_003019895	clade_1	16.0	2.712082	1.385172	a
GCA_002927785	clade_1	3.0	2.654059	1.63451	a
GCA_027600645	clade_2	4.0	0.295659	0.040354	a
GCA_001481775	clade_1	41.0	3.13776	1.800029	a
GCA_002104895	clade_2	13.0	2.189531	1.873127	a
GCA_003707925	clade_2	4.0	0.154971	0.064173	a
GCA_003049485	clade_1	11.0	1.716453	0.989202	a
GCA_002105105	clade_2	6.0	0.266007	0.07621	a
GCA_000182925	clade_1	19.0	1.255064	0.724275	a
GCA_003705835	clade_2	5.0	0.278149	0.087821	a
GCA_000417875	clade_2	9.0	0.595011	0.160854	a
GCA_001447215	clade_1	18.0	4.50702	2.996801	a
GCA_001642045	clade_1	69.0	5.545732	1.892169	a
GCA_001566745	clade_2	5.0	0.417335	0.14366	a
GCA_002104935	clade_2	10.0	0.403269	0.064441	a
GCA_000498615	clade_1	0.0	1.699501	0.88667	a
GCA_006535985	clade_2	5.0	0.213949	0.0	a
GCA_004000055	clade_2	12.0	0.642452	0.337581	a
GCA_001660795	clade_1	16.0	1.430559	0.933366	a
GCA_002989075	clade_1	30.0	2.021288	1.064695	a
GCA_000401635	clade_2	7.0	0.500038	0.050438	a
GCA_002319055	clade_1	12.0	0.792444	0.261596	a
GCA_002794465	clade_2	0.0	0.0	0.0	a
GCA_000365145	clade_1	18.0	1.491602	0.43601	a
GCA_001636725	clade_1	32.0	3.133737	1.577267	a
GCA_004216415	clade_1	8.0	0.673408	0.264168	a
GCA_027604725	clade_2	2.0	0.246603	0.0	a
GCA_000968615	clade_1	5.0	0.527486	0.302336	a
GCA_002127715	clade_1	19.0	1.828911	0.566362	a
GCA_027604185	clade_2	2.0	0.274584	0.104071	a
GCA_001929475	clade_2	2.0	0.193498	0.060372	a
GCA_004014935	clade_2	3.0	0.127608	0.0	a
GCA_003988795	clade_1	49.0	4.722183	2.683526	a
GCA_003790465	clade_2	11.0	0.676359	0.167393	a
GCA_000182895	clade_2	18.0	0.901156	0.20048	a
GCA_000464535	clade_1	22.0	1.989075	1.409448	a
GCA_003614675	clade_2	0.0	0.609786	0.466244	a
GCA_900618795	clade_1	57.0	4.326105	1.276017	a
GCA_001651415	clade_2	4.0	0.217495	0.0	a
GCA_001510565	clade_1	9.0	0.626701	0.34307	a
GCA_003706095	clade_2	3.0	0.145149	0.0	a
GCA_001179705	clade_2	1.0	0.481718	0.044918	a
GCA_002798055	clade_1	3.0	1.484337	0.881251	a
GCA_000963775	clade_1	41.0	4.203312	3.227797	a
GCA_025526995	clade_2	7.0	0.58605	0.340648	a
GCA_000812885	clade_1	0.0	1.095262	0.426136	a
GCA_003706805	clade_2	4.0	0.296322	0.078159	a
GCA_002102555	clade_2	5.0	0.202967	0.0	a
GCA_900536445	clade_1	19.0	4.001601	1.812186	a
GCA_003013795	clade_1	22.0	1.562526	0.64908	a
GCA_025201865	clade_2	1.0	0.111132	0.0	a
GCA_001956345	clade_1	9.0	1.929509	1.186457	a
GCA_025765615	clade_2	12.0	0.938506	0.452003	a
GCA_001638985	clade_2	10.0	0.385114	0.064436	a
GCA_000313485	clade_2	2.0	0.113671	0.0	a
GCA_027596075	clade_2	5.0	0.487318	0.201758	a
GCA_004155245	clade_1	34.0	2.926567	2.400576	a
GCA_025349905	clade_2	0.0	0.101913	0.0	a
GCA_000400465	clade_2	5.0	0.376695	0.073584	a
GCA_025435555	clade_2	8.0	0.597665	0.223936	a
GCA_000467715	clade_1	11.0	2.834001	1.594342	a
GCA_003073855	clade_1	45.0	6.700813	3.874896	a
GCA_003313425	clade_1	46.0	3.351049	2.239503	a
GCA_025786725	clade_2	6.0	0.237973	0.06477	a
GCA_000738655	clade_1	28.0	2.340445	0.781842	a
GCA_003788615	clade_2	8.0	0.43843	0.293089	a
GCA_025399215	clade_2	1.0	0.384909	0.313731	a
GCA_002818225	clade_2	5.0	0.300681	0.139974	a
GCA_000412615	clade_2	0.0	1.059714	0.95642	a
GCA_003614145	clade_2	0.0	0.020024	0.0	a
GCA_000836435	clade_1	26.0	1.937094	0.551818	a
GCA_003118255	clade_1	17.0	2.131043	1.462723	a
GCA_002157105	clade_2	9.0	1.56531	1.325022	a
GCA_003988815	clade_1	26.0	2.467271	1.334545	a
GCA_000146915	clade_1	43.0	3.566149	1.883216	a
GCA_027596065	clade_2	0.0	0.214745	0.091865	a
GCA_027596845	clade_2	0.0	0.196724	0.07154	a
GCA_000149925	clade_2	4.0	0.221016	0.065714	a
GCA_001636715	clade_1	10.0	0.7501	0.20594	a
GCA_001599695	clade_2	6.0	0.285896	0.061703	a
GCA_001599595	clade_1	53.0	4.416498	2.423817	a
GCA_003610855	clade_1	0.0	0.114874	0.059798	a
GCA_027596195	clade_2	1.0	0.139734	0.094003	a
GCA_025526975	clade_2	10.0	0.595746	0.372571	a
GCA_003868215	clade_1	25.0	1.845198	0.958021	a
GCA_000697415	clade_2	12.0	0.634469	0.071625	a
GCA_000611775	clade_1	31.0	1.813591	1.203056	a
GCA_001630345	clade_2	13.0	0.851086	0.129253	a
GCA_001513895	clade_1	19.0	1.351256	0.823754	a
GCA_003019875	clade_1	20.0	1.390539	0.626554	a
GCA_027604605	clade_2	0.0	0.120199	0.0	a
GCA_003615045	clade_2	2.0	0.153409	0.0	a
GCA_027604005	clade_2	0.0	0.216813	0.097284	a
GCA_000146045	clade_2	3.0	0.135159	0.0	a
GCA_002105155	clade_2	4.0	0.166881	0.064848	a
GCA_003012165	clade_1	18.0	3.767193	2.618066	a
GCA_000697055	clade_2	3.0	0.249608	0.055282	a
GCA_025526935	clade_2	10.0	0.618779	0.20332	a
GCA_001662655	clade_1	26.0	2.232339	1.298561	a
GCA_001604925	clade_1	6.0	1.198186	0.476936	a
GCA_003705295	clade_2	3.0	0.128135	0.0	a
GCA_003705335	clade_2	2.0	0.120171	0.0	a
GCA_000442885	clade_2	4.0	0.170328	0.0	a
GCA_003550325	clade_2	18.0	1.080977	0.394724	a
GCA_900465125	clade_1	21.0	1.912441	1.166435	a
GCA_000392275	clade_1	19.0	1.469578	0.649291	b
GCA_003016335	clade_1	56.0	4.436637	2.508726	b
GCA_001600175	clade_2	5.0	0.217595	0.0	b
GCA_002162545	clade_1	41.0	3.179834	1.930214	b
GCA_003988945	clade_1	7.0	1.929239	1.237315	b
GCA_002368545	clade_1	27.0	2.20774	1.274752	b
GCA_003385255	clade_1	15.0	2.142944	1.521628	b
GCA_001619985	clade_1	24.0	1.62267	0.996325	b
GCA_000354255	clade_1	40.0	3.835495	2.126181	b
GCA_002572855	clade_1	10.0	1.097976	0.30884	b
GCA_001692915	clade_1	3.0	1.768264	1.133382	b
GCA_000836295	clade_1	15.0	1.292979	0.449668	b
GCA_000708205	clade_2	9.0	0.414063	0.064279	b
GCA_900290415	clade_1	34.0	2.496526	1.77992	b
GCA_000349385	clade_1	19.0	3.267375	2.113989	b
GCA_000721755	clade_1	24.0	1.936074	0.807297	b
GCA_900073065	clade_1	68.0	5.505573	2.234234	b
GCA_004335205	clade_1	9.0	2.115583	1.243556	b
GCA_002778095	clade_1	23.0	1.597277	0.82556	b
GCA_002916505	clade_1	8.0	1.758394	1.154963	b
GCA_002591845	clade_1	13.0	1.647281	0.946949	b
GCA_003795315	clade_1	41.0	3.848048	2.198516	b
GCA_002865625	clade_1	39.0	3.280553	1.149796	b
GCA_000812075	clade_1	9.0	1.721282	1.174844	b
GCA_003264845	clade_1	35.0	3.706221	2.313885	b
GCA_002081935	clade_1	33.0	5.408965	3.081464	b
GCA_001563115	clade_1	25.0	3.904645	2.055539	b
GCA_000385595	clade_1	15.0	2.820706	1.688754	b
GCA_001557505	clade_1	43.0	3.957835	3.005175	b
GCA_001270325	clade_1	37.0	2.749749	1.88201	b
GCA_000732205	clade_1	30.0	2.088665	1.109042	b
GCA_000338955	clade_1	21.0	1.293462	0.279381	b
GCA_003184365	clade_1	47.0	5.089503	3.091722	b
GCA_000226115	clade_1	28.0	2.091629	1.232024	b
GCA_003990805	clade_1	34.0	2.187407	1.02029	b
GCA_900120095	clade_2	5.0	0.227782	0.064901	b
GCA_003671545	clade_1	33.0	5.31101	2.866342	b
GCA_003574815	clade_1	44.0	3.623676	2.573377	b
GCA_000516985	clade_1	91.0	6.120631	2.991406	b
GCA_001599975	clade_2	8.0	0.426531	0.125971	b
GCA_002240705	clade_1	0.0	0.584744	0.394884	b
GCA_000261425	clade_1	17.0	1.273538	0.507078	b
GCA_001600455	clade_1	80.0	6.754477	4.175582	b
GCA_002105025	clade_1	29.0	4.202908	1.984816	b
GCA_002105095	clade_1	63.0	4.469028	2.703443	b
GCA_000003515	clade_1	23.0	1.51477	0.962749	b
GCA_000442125	clade_1	40.0	3.087933	1.623739	b
GCA_001566295	clade_1	35.0	2.814412	1.529556	b
GCA_001692735	clade_1	8.0	1.663867	0.895854	b
GCA_003019895	clade_1	16.0	2.712082	1.385172	b
GCA_002927785	clade_1	3.0	2.654059	1.63451	b
GCA_001481775	clade_1	41.0	3.13776	1.800029	b
GCA_003049485	clade_1	11.0	1.716453	0.989202	b
GCA_000182925	clade_1	19.0	1.255064	0.724275	b
GCA_001447215	clade_1	18.0	4.50702	2.996801	b
GCA_001642045	clade_1	69.0	5.545732	1.892169	b
GCA_000498615	clade_1	0.0	1.699501	0.88667	b
GCA_001660795	clade_1	16.0	1.430559	0.933366	b
GCA_002989075	clade_1	30.0	2.021288	1.064695	b
GCA_002319055	clade_1	12.0	0.792444	0.261596	b
GCA_000365145	clade_1	18.0	1.491602	0.43601	b
GCA_001636725	clade_1	32.0	3.133737	1.577267	b
GCA_004216415	clade_1	8.0	0.673408	0.264168	b
GCA_000968615	clade_1	5.0	0.527486	0.302336	b
GCA_002127715	clade_1	19.0	1.828911	0.566362	b
GCA_003988795	clade_1	49.0	4.722183	2.683526	b
