gca	species	bgcome_size	genome_size	hi_count	cazy_count
GCA_002850765	NA	3202623	27117527	35	332
GCA_009193565	NA	2615807	30094142	22	336
GCA_003698115	NA	1065573	20467707	14	282
GCF_000002655	NA	2463522	28809941	21	456
GCA_014281905	NA	2137747	29562754	27	485
GCF_000011425	NA	3599641	29817824	26	474
GCF_002847465	NA	4024055	32440129	21	517
GCA_001990825	NA	4459187	33794207	43	451
GCA_009193595	NA	4564806	36987641	50	540
GCA_009193545	NA	5609187	39747037	67	612
GCA_003344505	NA	6286582	35747734	43	500
GCA_025688815	NA	4501350	39450594	44	631
GCF_001204775	NA	4812662	36050392	40	550
GCA_009193505	NA	5827298	39331078	74	598
GCA_003184635	NA	5620306	37594984	50	472
GCF_016861865	NA	4426951	34318862	24	597
GCA_003184645	NA	4413408	40366849	34	437
GCF_009193645	NA	5749221	37763833	47	565
GCF_009193585	NA	5634625	40004407	58	611
GCA_009193665	NA	5580114	39636825	51	605
GCA_012656285	NA	4596155	33267616	22	540
GCF_014117465	NA	5512318	36995182	50	579
GCF_009193445	NA	5754505	38221759	42	602
GCF_002847485	NA	3812334	28254160	38	342
GCA_003589665	NA	2111796	25799197	21	369
GCA_025688805	NA	2962765	28333993	26	380
GCF_000149615	NA	5044538	29230766	50	494
GCA_003184705	NA	5755311	35995858	20	490
GCA_001696595	NA	4751429	39571580	36	547
GCA_002234965	NA	2265115	32352651	20	468
GCA_009176345	NA	5822606	39394369	30	523
GCA_009193465	NA	3816026	33748253	43	491
GCA_009193525	NA	6283975	38321730	67	616
GCA_009176405	NA	5623376	40831141	69	616
GCA_001511075	NA	4540048	40563817	23	660
GCF_023601865	NA	6144677	37520616	26	530
GCF_000002715	NA	3052546	27850641	19	363
GCF_000149645	NA	3156472	31368615	24	508
GCF_000600275	NA	2171686	26075740	27	313
GCA_003184685	NA	6148065	38512898	18	499
GCF_002237265	NA	2709449	30945974	22	500
GCF_013340325	NA	5620729	35047219	42	480
GCF_016861625	NA	5607559	37287723	52	468
GCF_016861735	NA	2229184	29697343	24	315
GCF_001890705	NA	3703852	34349148	27	572
GCF_001890905	NA	5486243	34978027	17	487
GCF_018340605	NA	4688253	33269166	34	583
GCF_001889945	NA	5430599	35651645	49	507
GCF_001078395	NA	4632435	32035478	29	558
GCF_002847045	NA	3267456	27309638	40	342
GCF_003184535	NA	5118537	34789837	48	458
GCF_003184745	NA	5376605	35840536	21	483
GCF_003184825	NA	6436215	36500514	21	492
GCF_001890805	NA	2408184	27781411	19	328
GCF_003184545	NA	4048275	35606600	25	388
GCF_001792695	NA	5674922	37408885	48	557
GCF_003184585	NA	3804585	31063439	16	391
GCF_001890725	NA	4244143	31295010	68	462
GCF_003184755	NA	6202504	35269699	41	474
GCF_003184835	NA	6351286	36926566	44	477
GCF_003184525	NA	5082648	36719417	64	462
GCF_003369625	NA	4810201	44208281	22	512
GCF_003184865	NA	5146820	34020472	18	446
GCF_009176365	NA	6044351	40141194	45	514
GCF_003426965	NA	7035466	38719388	16	381
GCF_018404265	NA	3533009	34281941	21	480
GCF_003184695	NA	6146653	37451358	20	494
GCF_001890125	NA	4625885	33121003	32	595
GCF_002849105	NA	7251691	37847960	23	543
GCF_003344945	NA	5987013	37478041	48	517
GCF_003184625	NA	5624911	35398163	40	466
GCA_000986645	NA	1272197	25072554	12	328
GCF_003184765	NA	6406747	36442703	22	499
GCF_003184785	NA	5533601	36080550	20	498
GCF_003184925	NA	5614457	35658646	46	471
GCF_010724455	NA	3238314	30055828	24	520
GCF_003184845	NA	4259388	33425899	37	449
GCF_002846915	NA	1947854	27718211	11	327
