Chrom	Start	End	Stain	Arm
KN831944.1	0	2059785	background	1
KN831944.1	2059785	2150388	bgc	1
KN831944.1	2150388	2369842	background	1
KN831945.1	0	1246152	background	1
KN831945.1	1246152	1277441	bgc	1
KN831945.1	1277441	1682307	background	1
KN831946.1	0	993768	background	1
KN831946.1	993768	1025199	bgc	1
KN831946.1	1025199	1472543	background	1
KN831946.1	1472543	1540529	bgc	1
KN831946.1	1540529	1620955	background	1
KN831947.1	0	1612760	background	1
KN831948.1	0	1503609	background	1
KN831949.1	0	1440912	background	1
KN831950.1	0	1264677	background	1
KN831951.1	0	1161131	background	1
KN831952.1	0	1143909	background	1
KN831953.1	0	1128302	background	1
KN831954.1	0	1118432	background	1
KN831955.1	0	1093626	background	1
KN831956.1	0	1092450	background	1
KN831957.1	0	1055144	background	1
KN831958.1	0	1006093	background	1
KN831959.1	0	28463	background	1
KN831959.1	28463	58406	bgc	1
KN831959.1	58406	733061	background	1
KN831959.1	733061	765795	bgc	1
KN831959.1	765795	1009787	background	1
KN831960.1	0	848500	background	1
KN831960.1	848500	909845	bgc	1
KN831960.1	909845	1076538	background	1
KN831961.1	0	344082	background	1
KN831961.1	344082	375378	bgc	1
KN831961.1	375378	963244	background	1
KN831962.1	0	905284	background	1
KN831963.1	0	870715	background	1
KN831964.1	0	542961	background	1
KN831964.1	542961	574150	bgc	1
KN831964.1	574150	838707	background	1
KN831965.1	0	799672	background	1
KN831966.1	0	820005	background	1
KN831967.1	0	788512	background	1
KN831968.1	0	773452	background	1
KN831969.1	0	8696	background	1
KN831969.1	8696	70068	bgc	1
KN831969.1	70068	173265	background	1
KN831969.1	173265	236381	bgc	1
KN831969.1	236381	737458	background	1
KN831970.1	0	730327	background	1
KN831971.1	0	639908	background	1
KN831972.1	0	643617	background	1
KN831973.1	0	656110	background	1
KN831974.1	0	509988	background	1
KN831974.1	509988	541279	bgc	1
KN831974.1	541279	627922	background	1
KN831975.1	0	390224	background	1
KN831975.1	390224	454208	bgc	1
KN831975.1	454208	483993	background	1
KN831975.1	483993	515469	bgc	1
KN831975.1	515469	618359	background	1
KN831976.1	0	563756	background	1
KN831977.1	0	536160	background	1
KN831978.1	0	540215	background	1
KN831979.1	0	486018	background	1
KN831980.1	0	491489	background	1
KN831981.1	0	476199	background	1
KN831982.1	0	460790	background	1
KN831983.1	0	458108	background	1
KN831984.1	0	490568	background	1
KN831985.1	0	463187	background	1
KN831986.1	0	472221	background	1
KN831987.1	0	479136	background	1
KN831988.1	0	444620	background	1
KN831989.1	0	434163	background	1
KN831990.1	0	438008	background	1
KN831991.1	0	427344	background	1
KN831992.1	0	425706	background	1
KN831993.1	0	422210	background	1
KN831994.1	0	433573	background	1
KN831995.1	0	425740	background	1
KN831996.1	0	418714	background	1
KN831997.1	0	352282	background	1
KN831997.1	352282	383401	bgc	1
KN831997.1	383401	421496	background	1
KN831998.1	0	409619	background	1
KN831999.1	0	389048	background	1
KN832000.1	0	402670	background	1
KN832001.1	0	368253	background	1
