og	og_order	genbank	og_presence	copy_count
OG_99	1	GCA_004794975.1_ASM4	0	
OG_99	1	GCA_011765705.1_ASM1	0	
OG_99	1	GCA_013364075.1_ASM1	0	
OG_99	1	GCA_004364395.1_ASM4	0	
OG_99	1	GCA_022696125.1_ASM2	0	
OG_99	1	GCA_000282715.1_ASM2	0	
OG_99	1	GCA_011765725.1_ASM1	0	
OG_99	1	GCA_900090265.1_IMG_	0	
OG_99	1	GCA_020907265.1_ASM2	0	
OG_99	1	GCA_001746425.1_ASM1	0	
OG_99	1	GCA_000695625.1_ASM6	0	
OG_99	1	GCA_000220945.1_ASM2	0	
OG_99	1	GCA_021056305.1_ASM2	0	
OG_99	1	GCA_014203355.1_ASM1	0	
OG_99	1	GCA_020884795.1_ASM2	0	
OG_99	1	GCA_001514035.1_ASM1	0	
OG_99	1	GCA_000700945.1_ASM7	0	
OG_99	1	GCA_017308975.1_ASM1	0	
OG_99	1	GCA_000716785.1_ASM7	0	
OG_99	1	GCA_001013905.1_sleC	1	
OG_99	1	GCA_011765735.1_ASM1	0	
OG_99	1	GCA_000696405.1_ASM6	0	
OG_99	1	GCA_024611995.1_ASM2	0	
OG_99	1	GCA_001742805.1_ASM1	0	
OG_99	1	GCA_900105945.1_IMG_	0	
OG_99	1	GCA_017948485.1_ASM1	0	
OG_99	1	GCA_000384275.1_ASM3	0	
OG_99	1	GCA_001660045.1_ASM1	0	
OG_99	1	GCA_900105265.1_IMG_	0	
OG_99	1	GCA_014648855.1_ASM1	0	
OG_99	1	GCA_000454025.1_ASM4	0	
OG_99	1	GCA_000196835.1_ASM1	0	
OG_75	2	GCA_004794975.1_ASM4	0	
OG_75	2	GCA_011765705.1_ASM1	0	
OG_75	2	GCA_013364075.1_ASM1	0	
OG_75	2	GCA_004364395.1_ASM4	1	
OG_75	2	GCA_022696125.1_ASM2	0	
OG_75	2	GCA_000282715.1_ASM2	0	
OG_75	2	GCA_011765725.1_ASM1	0	
OG_75	2	GCA_900090265.1_IMG_	0	
OG_75	2	GCA_020907265.1_ASM2	0	
OG_75	2	GCA_001746425.1_ASM1	0	
OG_75	2	GCA_000695625.1_ASM6	0	
OG_75	2	GCA_000220945.1_ASM2	0	
OG_75	2	GCA_021056305.1_ASM2	0	
OG_75	2	GCA_014203355.1_ASM1	0	
OG_75	2	GCA_020884795.1_ASM2	0	
OG_75	2	GCA_001514035.1_ASM1	0	
OG_75	2	GCA_000700945.1_ASM7	0	
OG_75	2	GCA_017308975.1_ASM1	0	
OG_75	2	GCA_000716785.1_ASM7	0	
OG_75	2	GCA_001013905.1_sleC	0	
OG_75	2	GCA_011765735.1_ASM1	0	
OG_75	2	GCA_000696405.1_ASM6	0	
OG_75	2	GCA_024611995.1_ASM2	1	
OG_75	2	GCA_001742805.1_ASM1	0	
OG_75	2	GCA_900105945.1_IMG_	0	
OG_75	2	GCA_017948485.1_ASM1	0	
OG_75	2	GCA_000384275.1_ASM3	0	
OG_75	2	GCA_001660045.1_ASM1	0	
OG_75	2	GCA_900105265.1_IMG_	0	
OG_75	2	GCA_014648855.1_ASM1	0	
OG_75	2	GCA_000454025.1_ASM4	0	
OG_75	2	GCA_000196835.1_ASM1	0	
OG_36	3	GCA_004794975.1_ASM4	0	
OG_36	3	GCA_011765705.1_ASM1	0	
OG_36	3	GCA_013364075.1_ASM1	1	
OG_36	3	GCA_004364395.1_ASM4	0	
OG_36	3	GCA_022696125.1_ASM2	0	
OG_36	3	GCA_000282715.1_ASM2	1	
OG_36	3	GCA_011765725.1_ASM1	0	
OG_36	3	GCA_900090265.1_IMG_	0	
OG_36	3	GCA_020907265.1_ASM2	0	
OG_36	3	GCA_001746425.1_ASM1	0	
OG_36	3	GCA_000695625.1_ASM6	1	
OG_36	3	GCA_000220945.1_ASM2	1	
OG_36	3	GCA_021056305.1_ASM2	0	
