group	genome	hi_prop
Other fungi	Taphrina_GCA_000836135.1	0.0001691761123329386
Agaricomycetes or BGC-rich Pezizomycotina	Knoxdaviesia_GCA_001510565.1	0.0032294299354114014
Agaricomycetes or BGC-rich Pezizomycotina	Coniella_GCA_003019895.1	0.00309351246243592
Agaricomycetes or BGC-rich Pezizomycotina	Baudoinia_GCF_000338955.1	0.004666666666666667
Agaricomycetes or BGC-rich Pezizomycotina	Ascochyta_GCA_004335205.1	0.004009929348863853
Agaricomycetes or BGC-rich Pezizomycotina	Coniophora_GCF_000271625.1	0.007633032858389067
Other fungi	Syncephalastrum_GCA_002105135.1	0.0001798399424512184
Agaricomycetes or BGC-rich Pezizomycotina	Hericium_GCA_003675405.1	0.0006888001102080177
Agaricomycetes or BGC-rich Pezizomycotina	Verticillium_GCA_000732205.1	0.005098039215686275
Agaricomycetes or BGC-rich Pezizomycotina	Emmonsia_GCA_002572855.1	0.0021329142343960487
Agaricomycetes or BGC-rich Pezizomycotina	Botryobasidium_GCA_000697705.1	0.0038174877295037266
Other fungi	Conidiobolus_GCA_001566745.1	0.00037835792659856227
Other fungi	Acaromyces_GCF_003144295.1	0.000124595066035385
Other fungi	Alloascoidea_GCA_001600815.1	0.00024627508927471984
Other fungi	Cutaneotrichosporon_GCA_002335625.1	0.0003290014805066623
Other fungi	Synchytrium_GCF_006535985.1	0.0020621827411167514
Other fungi	Mitosporidium_GCF_000760515.2	0.0003104625892579944
Other fungi	Papiliotrema_GCA_000442785.1	0.0002602472348731295
Agaricomycetes or BGC-rich Pezizomycotina	Sphaerobolus_GCA_000827215.1	0.003979420710042352
Agaricomycetes or BGC-rich Pezizomycotina	Phyllosticta_GCA_001604925.1	0.004178272980501393
Agaricomycetes or BGC-rich Pezizomycotina	Graphilbum_GCA_001513895.1	0.0031488434055952524
Agaricomycetes or BGC-rich Pezizomycotina	Schizopora_GCA_001020605.1	0.003979167885774475
Other fungi	Kockovaella_GCF_002102565.1	0.00040584415584415587
Other fungi	Globomyces_GCA_025399215.1	0.0005202011444425178
Other fungi	Zygoascus_GCA_003707925.2	0.0003673769287288758
Other fungi	Pseudozyma_GCF_000417875.1	0.0002908244874218409
Agaricomycetes or BGC-rich Pezizomycotina	Aureobasidium_GCF_000721755.1	0.0004633061527057079
Agaricomycetes or BGC-rich Pezizomycotina	Cladosporium_GCA_000261425.2	0.0018926742373636162
Other fungi	Hyaloraphidium_GCA_025558095.1	0.00019769357495881383
Other fungi	Ceraceosorus_GCA_900000165.1	0.0001255020080321285
Other fungi	Wickerhamomyces_GCF_000313485.1	0.00014920919128618324
Other fungi	Leucosporidium_GCA_001600635.1	0.00010430791697089809
Agaricomycetes or BGC-rich Pezizomycotina	Pestalotiopsis_GCF_000516985.1	0.021215856744306753
Agaricomycetes or BGC-rich Pezizomycotina	Leptoxyphium_GCA_001660795.1	0.003369945082376435
Agaricomycetes or BGC-rich Pezizomycotina	Hyaloscypha_GCA_002865625.1	0.039027587439671094
Other fungi	Cystobasidiopsis_GCA_001599975.1	0.0002486325211337643
Other fungi	Violaceomyces_GCA_003144235.1	0.00012410027302060066
Other fungi	Syncephalis_GCA_025786725.1	0.0003391746749576032
Agaricomycetes or BGC-rich Pezizomycotina	Fonsecaea_GCF_000836435.1	0.009054895302773062
Other fungi	Kappamyces_GCA_027604465.1	0.000362844702467344
Other fungi	Irineochytrium_GCA_027600665.1	0.00041999160016799666
Other fungi	Rhizoclosmatium_GCA_002104985.1	0.001295184269398328
Agaricomycetes or BGC-rich Pezizomycotina	Coprinus_GCA_003316025.1	0.0021345916189192226
Other fungi	Cladochytrium_GCA_025526935.1	0.001962588163140141
Other fungi	Tilletiaria_GCF_000711695.1	0.00029390154298310065
Agaricomycetes or BGC-rich Pezizomycotina	Pseudophaeomoniella_GCA_003868215.1	0.007515423443634324
Agaricomycetes or BGC-rich Pezizomycotina	Pseudopyrenochaeta_GCA_003313425.1	0.023550337958022055
Agaricomycetes or BGC-rich Pezizomycotina	Scleroderma_GCA_000827425.1	0.010669206954036675
Agaricomycetes or BGC-rich Pezizomycotina	Armillaria_GCA_002307695.1	0.005682039307258221
Other fungi	Basidiobolus_GCA_002104905.1	0.0004345127250155183
Other fungi	Blyttiomyces_GCA_027604625.1	0.0006480414746543779
Other fungi	Ascoidea_GCF_001661345.1	0.0002946810078090467
Other fungi	Umbelopsis_GCA_000697415.1	0.00036760200955765227
Other fungi	Saccharomyces_GCF_000146045.2	0.0003322259136212625
Other fungi	Physocladia_GCA_027596945.1	0.0033614759224515323
Other fungi	Mixia_GCF_000708205.1	0.00014637002341920375
Other fungi	Yarrowia_GCA_000002525.1	0.00031017369727047146
Agaricomycetes or BGC-rich Pezizomycotina	Clohesyomyces_GCA_002105025.1	0.016697236101448357
Other fungi	Obelidium_GCA_025765595.1	0.0014877102199223804
Agaricomycetes or BGC-rich Pezizomycotina	Pisolithus_GCA_000827335.1	0.011698229815035537
Other fungi	Powellomyces_GCA_025526995.1	0.00021369804466289135
Agaricomycetes or BGC-rich Pezizomycotina	Sarcodon_GCA_003313825.1	0.018574993069032437
Other fungi	Erythrobasidium_GCA_001600175.1	0.0006364562118126273
Agaricomycetes or BGC-rich Pezizomycotina	Tolypocladium_GCA_002916505.1	0.0021382751247327157
Other fungi	Bifiguratus_GCA_002261195.1	0.000526592943654555
Other fungi	Meira_GCF_003144205.1	0.0005373455131649651
Other fungi	Tuber_GCF_000151645.1	0.0006738544474393531
Agaricomycetes or BGC-rich Pezizomycotina	Fragosphaeria_GCA_002778095.1	0.003214008644574975
Agaricomycetes or BGC-rich Pezizomycotina	Plicaturopsis_GCA_000827205.1	0.0006609385327164573
Agaricomycetes or BGC-rich Pezizomycotina	Neolentinus_GCA_001632425.1	0.0011400775252717185
Agaricomycetes or BGC-rich Pezizomycotina	Laccaria_GCF_000143565.1	0.0009309457313400142
Agaricomycetes or BGC-rich Pezizomycotina	Diaporthe_GCA_001447215.1	0.006154319563043311
Agaricomycetes or BGC-rich Pezizomycotina	Venturia_GCA_000738655.1	0.006758007776337715
Other fungi	Lobulomyces_GCA_027604685.1	0.0003292361720807726
Agaricomycetes or BGC-rich Pezizomycotina	Cordyceps_GCF_001636725.1	0.003081204651625087
Agaricomycetes or BGC-rich Pezizomycotina	Ramalina_GCA_001956345.1	0.007195185766614338
Agaricomycetes or BGC-rich Pezizomycotina	Ascosphaera_GCA_001636715.1	0.0001552312946289972
Agaricomycetes or BGC-rich Pezizomycotina	Trichophyton_GCA_003118255.1	0.0011495721037169497
Other fungi	Catenaria_GCA_002102555.1	0.00031340593904254484
Other fungi	Coemansia_GCA_002705745.1	0.0004086636697997548
Other fungi	Quambalaria_GCA_004016185.1	0.000299356383774884
Other fungi	Linnemannia_GCA_001651415.1	0.003475703495755631
Other fungi	Arthrobotrys_GCA_004000055.1	0.0019331142470520007
Other fungi	Polyrhizophydium_GCA_027604665.1	0.00024009603841536616
Other fungi	Podochytrium_GCA_027596195.1	0.0013285726147969775
