Sample	AAI	Prop_Genes_Found	Mean_Syntenic_Correlation
GCA_022747945.1_ASM2274794v1	45.78666666666667	0.234375	0.9999482953719461
GCA_001884705.1_ASM188470v1	45.36666666666667	0.09375	0.9940214543706597
GCA_000696115.1_SoWt_assembly	40.68571428571428	0.109375	0.9758789053430373
GCA_002703955.1_ASM270395v1	35.46666666666667	0.234375	0.9972659873597947
GCA_023023025.1_ASM2302302v1	50.94375	0.25	0.9381020491234716
GCA_009811595.1_ASM981159v1	44.775	0.1875	0.9770813397045479
GCA_000220945.1_ASM22094v1	99.79193548387097	0.96875	0.9999761280928409
GCA_016464295.1_ASM1646429v1	40.825	0.125	0.9533718955287951
GCA_008761755.1_ASM876175v1	35.53333333333333	0.234375	0.9973142417230122
GCA_018070205.1_ASM1807020v1	34.885714285714286	0.109375	0.9934213263952603
GCA_002155905.1_ASM215590v1	60.635714285714286	0.21875	0.9872981025074974
GCA_005768555.2_ASM576855v2	42.3	0.125	0.9962174116079079
GCA_004794975.1_ASM479497v1	70.56	0.3125	0.9689036043907555
GCA_000375065.1_ASM37506v1	72.34848484848484	0.515625	0.9448881584643157
GCA_014854025.1_ASM1485402v1	42.1	0.125	0.9325133970894007
GCA_003002095.1_ASM300209v1	42.07	0.15625	0.9994237573385945
GCA_001279925.1_ASM127992v1	35.25	0.125	0.9681735918433868
GCA_003634815.1_ASM363481v1	40.7875	0.125	0.9201060537761296
GCA_023865235.1_ASM2386523v1	35.18571428571428	0.109375	0.9957940169311394
GCA_003949905.1_ASM394990v1	42.0875	0.125	0.9325225425717554
GCA_001270565.1_ASM127056v1	34.95	0.125	0.959432223298545
GCA_001393875.1_6540_7_15	42.715384615384615	0.203125	0.9988756059046394
GCA_006379315.1_ASM637931v1	40.62307692307692	0.203125	0.9993909976587256
GCA_000375005.1_ASM37500v1	72.50625	0.5	0.9409753927576632
GCA_003136275.1_20111000_P1S	60.0	0.109375	0.993166294416747
GCA_023865215.1_ASM2386521v1	35.46666666666667	0.234375	0.9973708586922301
GCA_013364255.1_ASM1336425v1	56.016666666666666	0.1875	0.9415216406135083
GCA_005981965.1_ASM598196v1	53.52608695652174	0.359375	0.988047446919836
GCA_013167895.1_ASM1316789v1	39.9	0.125	0.9306305460965296
GCA_016755835.1_ASM1675583v1	36.5625	0.125	0.9812097883211484
GCA_000787755.1_ASM78775v1	38.081818181818186	0.171875	0.9577111694051796
GCA_000429025.1_ASM42902v1	49.27272727272727	0.171875	0.9998964220996658
GCA_013390665.1_ASM1339066v1	37.3125	0.125	0.9523635541720195
GCA_014648995.1_ASM1464899v1	39.65	0.125	0.8649725918377332
GCA_014650755.1_ASM1465075v1	52.126315789473686	0.296875	0.9890266620153727
GCA_900090245.1_IMG_taxon_2622736531_annotated_assembly	74.25135135135135	0.578125	0.9715149374298074
GCA_020907265.1_ASM2090726v1	68.49444444444444	0.28125	0.9730856564773893
