DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	PKS Counts
DATA
GCA_013085465|BPDQ_007628|K16016|hit	1
GCA_016860545|AYIK_005007|K16016|hit	1
GCA_015751905|AAIZ_007693|K16016|hit	1
GCA_016862835|AUCH_003613|K16016|hit	1
GCA_002891865|APPU_002071|K16016|hit	1
GCA_001983975|BSMA_002087|K16016|hit	1
GCA_002812405|AXAD_007161|K16016|hit	1
GCA_002591335|AACA_001367|K16016|hit	1
GCA_006974005|AVXE_007264|K16016|hit	1
GCA_011800555|BBEK_001929|K16016|hit	1
GCA_002021875|BELR_007768|K16016|hit	1
GCA_003595545|BMWP_001879|K16016|hit	1
GCA_003947485|BQFJ_003042|K16016|hit	1
GCA_003947415|BRJO_001043|K16016|hit	1
GCA_003751085|ABPN_002407|K16016|hit	1
GCA_000389965|APYT_005554|K16016|hit	1
GCA_020400585|ATFI_000207|K16016|hit	2
GCA_001931635|AEOG_006085|K16016|hit	1
GCA_000156695|ALYF_000589|K16016|hit	1
GCA_023716005|BUKM_006336|K16016|hit	1
GCA_013364255|BSUQ_006199|K16016|hit	1
GCA_014655295|ACQH_003544|K16016|hit	1
GCA_014645815|AOIN_008336|K16016|hit	1
GCA_020092675|AWIT_005415|K16016|hit	1
GCA_020092695|APMN_001672|K16016|hit	1
GCA_000196835|AKBF_000635|K16016|hit	4
GCA_000220945|BKXB_000636|K16016|hit	4
GCA_000282715|BUPY_000642|K16016|hit	4
GCA_000454025|BUZC_000643|K16016|hit	4
GCA_000696405|BBCP_003190|K16016|hit	4
GCA_000700945|BKWX_008083|K16016|hit	4
GCA_001742805|BGNP_000754|K16016|hit	4
GCA_000695625|ALMP_003667|K16016|hit	4
GCA_013364075|ARAK_004878|K16016|hit	2
GCA_000716785|AYSD_002827|K16016|hit	3
GCA_020884795|BTXO_004072|K16016|hit	4
GCA_014203355|ALPJ_004923|K16016|hit	4
GCA_900091585|BQGK_002175|K16016|hit	4
GCA_900090265|BMWF_000080|K16016|hit	4
GCA_001013905|BXKM_001025|K16016|hit	3
GCA_000384275|AXGX_005052|K16016|hit	4
GCA_002251155|BTJA_000960|K16016|hit	1
GCA_014203855|AHAX_005834|K16016|hit	1
GCA_001511815|ACOV_000079|K16016|hit	1
GCA_009862525|BGLS_000079|K16016|hit	1
GCA_021029465|AMEZ_001331|K16016|hit	1
GCA_017526105|AJCT_006724|K16016|hit	1
GCA_900105265|AQFB_001987|K16016|hit	1
GCA_004794975|BEET_003737|K16016|hit	4
GCA_001660045|ADXD_006509|K16016|hit	2
GCA_014648855|BSUN_005819|K16016|hit	2
GCA_020907265|AGUK_002606|K16016|hit	2
GCA_013177615|BKUX_002621|K16016|hit	2
GCA_004364395|AQPH_002161|K16016|hit	2
GCA_022698285|ASSZ_006864|K16016|hit	2
GCA_024611995|AFPQ_002504|K16016|hit	3
GCA_017948485|ASZH_000476|K16016|hit	3
GCA_008704795|BASS_006986|K16016|hit	2
GCA_014203475|AYLZ_004315|K16016|hit	2
GCA_022698305|BVVE_006885|K16016|hit	2
GCA_001746425|BRIK_005204|K16016|hit	1
GCA_022696125|BNTC_000187|K16016|hit	2
GCA_006088715|BIMM_006803|K16016|hit	1
