gca	bgcome_sum	genome_size	cazy_count	starship_count
GCA_000812075	1721282.0	39837208	608	223
GCA_900465125	1912441.0	34950111	701	114
GCA_900618795	4326105.0	28667544	554	150
GCA_004216415	673408.0	22585551	508	51
GCA_002105025	4202908.0	49677730	807	462
GCA_000836295	1292979.0	31780469	516	160
GCA_001557505	3957834.9999999995	42868360	826	447
GCA_001619985	1622670.0	24337763	419	57
GCA_000146915	3566149.0	37211658	737	179
GCA_002162545	3179834.0	44574078	634	117
GCA_002319055	792444.0	27759230	461	106
GCA_003610855	114874.0	41983253	324	30
GCA_003988795	4722183.0	34010436	706	308
GCA_000385595	2820706.0	42592847	706	92
GCA_002368545	2207740.0	28133606	505	191
GCA_001692735	1663867.0	45668136	560	561
GCA_002778095	1597277.0	34748420	551	83
GCA_003574815	3623676.0	31750423	776	98
GCA_002865625	3280553.0	57408471	668	850
GCA_001513895	1351256.0	34097434	570	81
GCA_000611775	1813591.0	34812353	376	137
GCA_001692915	1768264.0	40521621	702	552
GCA_004155245	2926567.0	32743821	610	115
GCA_000836435	1937094.0	33447075	555	201
GCA_001660795	1430559.0	24996787	440	92
GCA_003990805	2187407.0	30833540	514	77
GCA_000226115	2091629.0	36912256	662	98
GCA_003019895	2712082.0	36564510	630	101
GCA_000464535	1989075.0	37130611	373	327
GCA_003012165	3767193.0	45137459	888	307
GCA_003184365	5089503.000000001	40320071	437	320
GCA_000467715	2834001.0	38183232	698	294
GCA_000354255	3835495.0	32929167	768	230
GCA_003313425	3351049.0	62731430	823	533
GCA_000721755	1936074.0	25796716	653	57
GCA_001642045	5545732.0	38464024	866	297
GCA_000963775	4203312.0	55416396	895	401
GCA_003671545	5311010.0	51290110	794	164
GCA_001662655	2232339.0	30174856	779	183
GCA_000349385	3267375.0	54005819	751	173
GCA_003013795	1562526.0000000002	23337424	628	85
GCA_000516985	6120631.0	51910726	934	528
GCA_000812885	1095262.0	40231043	555	217
GCA_000442125	3087933.0	34468235	428	197
GCA_003073855	6700813.0	54992973	828	440
GCA_003264845	3706221.0	43399783	673	187
GCA_002591845	1647281.0	26267392	462	52
GCA_003016335	4436637.0	44846156	872	356
GCA_000003515	1514770.0	22349738	366	75
GCA_000604185	577560.0	35402301	438	82
GCA_001270325	2749749.0	38818708	737	137
GCA_900290415	2496526.0	34385490	724	272
GCA_003988945	1929239.0	44671123	585	189
GCA_000732205	2088665.0	36060394	799	139
GCA_000365145	1491602.0	28781303	596	158
GCA_002081935	5408965.0	46527006	697	329
GCA_003868215	1845197.9999999998	27350942	546	147
GCA_900073065	5505573.0	69693031	926	945
GCA_002798055	1484337.0	30794135	639	135
GCA_000182925	1255064.0	41102378	600	103
GCA_002105095	4469028.0	44711451	773	151
GCA_004335205	2115583.0	44965609	757	110
GCA_000338955	1293462.0	21875620	537	113
GCA_001481775	3137760.0	37908251	698	257
GCA_002989075	2021288.0	33501807	467	125
GCA_003988815	2467271.0	43500704	549	144
GCA_001563115	3904645.0	49956273	969	287
GCA_002916505	1758394.0	27531102	497	75
GCA_001604925	1198186.0	32429884	533	105
GCA_001600455	6754477.000000001	44773950	796	276
GCA_001956345	1929508.9999999998	26990446	300	129
GCA_000261425	1273538.0	26888685	657	82
GCA_002927785	2654059.0	32851544	419	321
GCA_003385255	2142944.0	39010245	671	142
GCA_003118255	2131043.0	24069386	381	81
GCA_003019875	1390539.0	28632918	506	85
GCA_002572855	1097976.0	33754519	427	120
GCA_900536445	4001601.0000000005	57387835	674	248
GCA_003795315	3848048.0	38261889	640	167
GCA_001510565	626701.0	35489142	435	67
GCA_002240705	584744.0	54153615	403	517
GCA_000392275	1469578.0	47465449	638	80
GCA_001447215	4507020.0	55024312	846	170
GCA_001636715	750100.0	20313079	340	31
GCA_000738655	2340445.0	40999967	650	138
GCA_003049485	1716452.9999999998	42983319	652	249
GCA_002127715	1828911.0000000002	49777326	860	146
GCA_001599595	4416498.0	45966240	794	404
GCA_001566295	2814412.0	38835037	738	275
GCA_000498615	1699501.0	33676611	669	127
GCA_001636725	3133737.0	33485962	596	143
GCA_000968615	527486.0	28117660	412	43
