DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	NRPS_or_PKS_Sum_Strict
COLOR	#FF0000
DATA
Phlyctochytrium_GCA_027600675.1	44514
Phaeoacremonium_GCF_000392275.1	649291
Corynespora_GCA_003016335.1	2508726
Paraphysoderma_GCA_025602915.1	0
Erythrobasidium_GCA_001600175.1	0
Chytriomyces_GCA_025201725.1	0
Smittium_GCA_003086735.1	0
Taphrina_GCA_000836135.1	75543
Obelidium_GCA_025765595.1	288691
Polychytrium_GCF_025602895.1	245708
Monilinia_GCA_002162545.1	1930214
Ustilago_GCF_000328475.2	248757
Chaetoscypha_GCA_003988945.1	1237315
Gonapodya_GCA_001574975.1	0
Ramichloridium_GCA_002368545.1	1274752
Mitosporidium_GCF_000760515.2	0
Corinectria_GCA_003385255.1	1521628
Xylona_GCF_001619985.1	996325
Bipolaris_GCF_000354255.1	2126181
Emmonsia_GCA_002572855.1	308840
Syncephalastrum_GCA_002105135.1	0
Glonium_GCA_001692915.1	1133382
Alloascoidea_GCA_001600815.1	0
Verruconis_GCA_000836295.1	449668
Mixia_GCF_000708205.1	64279
Podospora_GCA_900290415.1	1779920
Homolaphlyctis_GCA_000235945.1	0
Eutypa_GCA_000349385.1	2113989
Hyaloraphidium_GCA_025558095.1	0
Geranomyces_GCA_027600685.1	331372
Aureobasidium_GCF_000721755.1	807297
Phialocephala_GCA_900073065.1	2234234
Ascochyta_GCA_004335205.1	1243556
Lobulomyces_GCA_027604685.1	59559
Irineochytrium_GCA_027600665.1	245252
Fragosphaeria_GCA_002778095.1	825560
Ascoidea_GCF_001661345.1	0
Gaertneriomyces_GCA_027603645.1	177449
Tolypocladium_GCA_002916505.1	1154963
Geranomyces_GCA_027602005.1	344248
Capsaspora_GCA_000151315.2	64376
Epichloe_GCA_002591845.1	946949
Tuber_GCF_000151645.1	228235
Spizellomyces_GCA_000182565.2	356434
Valsa_GCA_003795315.1	2198516
Gonapodya_GCA_027604505.1	65307
Oehlia_GCA_003833135.1	65011
Hyaloscypha_GCA_002865625.1	1149796
Rhizopus_GCA_000149305.1	64296
Backusella_GCA_025399235.1	40553
Cephaloascus_GCA_003706495.1	0
Bifiguratus_GCA_002261195.1	18996
Chytridiales_GCA_027604305.1	65807
Scedosporium_GCA_000812075.1	1174844
Clydaea_GCA_027604065.1	37696
Physocladia_GCA_027596945.1	74538
Rhizoclosmatium_GCA_027604365.1	69518
Cryphonectria_GCA_003264845.1	2313885
Rhizoclosmatium_GCA_002104985.1	132529
Allomyces_GCA_027604705.1	0
Ascobolus_GCA_003788565.2	373721
Batrachochytrium_GCA_000149865.1	133003
Rhizopus_GCA_002083745.1	47792
Ustulina_GCA_002081935.3	3081464
Polyrhizophydium_GCA_027604665.1	9594
Gaertneriomyces_GCA_025558075.1	183303
Colletotrichum_GCA_001563115.1	2055539
Blyttiomyces_GCA_027604625.1	13150
Phlyctochytrium_GCA_025602905.1	211256
Neofusicoccum_GCA_000385595.1	1688754
Reticulascus_GCA_001557505.1	3005175
Rhizophlyctis_GCA_002214945.1	60545
Talaromyces_GCA_001270325.1	1882010
Orbilia_GCF_000225545.1	335650
Verticillium_GCA_000732205.1	1109042
Boothiomyces_GCA_027604245.1	90386
Metschnikowia_GCA_002374405.1	0
Baudoinia_GCF_000338955.1	279381
Batrachochytrium_GCA_002006685.2	66381
Evernia_GCA_003184365.1	3091722
Schizosaccharomyces_GCA_000002945.2	75005
Martensiomyces_GCA_025201845.1	36300
Chytriomyces_GCA_027604165.1	163938
Yarrowia_GCA_000002525.1	0
Thermothielavioides_GCF_000226115.1	1232024
Linderina_GCF_002104995.1	64218
Paecilomyces_GCA_003990805.1	1020290
Batrachochytrium_GCA_000203795.1	65626
Neocallimastix_GCA_002104975.1	1539134
Microbotryum_GCA_900120095.1	64901
Piromyces_GCA_002104945.1	529033
Mucor_GCA_000950595.1	64314
Ophiognomonia_GCA_003671545.1	2866342
Terramyces_GCA_027603945.1	197948
Coemansia_GCA_002705745.1	64152
Hanseniaspora_GCA_900119595.1	0
Fonticula_GCA_000388065.2	65349
Kappamyces_GCA_027604465.1	84782
Aspergillus_GCA_003574815.1	2573377
Pestalotiopsis_GCF_000516985.1	2991406
Geranomyces_GCA_027603065.1	350250
Chytriomyces_GCA_027604085.1	154853
Basidiobolus_GCA_002104905.1	972773
Rozella_GCA_000442015.1	0
Geranomyces_GCA_027601485.1	387621
Entophlyctis_GCA_027604545.1	0
Cystobasidiopsis_GCA_001599975.1	125971
Chytridium_GCA_025449115.1	151969
Thoreauomyces_GCA_027596035.1	249117
Elaphomyces_GCA_002240705.1	394884
Cladosporium_GCA_000261425.2	507078
Umbelopsis_GCF_025399195.1	49587
Endocalyx_GCA_001600455.1	4175582
Gorgonomyces_GCA_025526955.1	0
Clohesyomyces_GCA_002105025.1	1984816
Pseudomassariella_GCF_002105095.1	2703443
