variant	af	filter-pvalue	lrt-pvalue	beta	key BGC proportion	BGC found proportion	eggnog annotations	Annotation	Annotation Category	eggnog cogs	Notes
HOG0025450	5.23E-01	3.08E-13	4.00E-08	7.69E-01	0.00%	9.09%	Belongs to the glycosyl hydrolase 12 (cellulase H) family=133; Glycosyl hydrolase family 12=24; Catalyzes endohydrolysis of 1,4-beta-D-glucosidic linkages in xyloglucan with retention of the beta-configuration of the glycosyl residues. Specific for xyloglucan and does not hydrolyze other cell wall components (By similarity)=7; Catalyzes endohydrolysis of 1,4-beta-D-glucosidic linkages in xyloglucan with retention of the beta-configuration of the glycosyl residues. Specific for xyloglucan and does not hydrolyze other cell wall components=3; Multi-copper oxidase laccase-like protein=1	glycosyl hydrolase 12	Carbohydrate utilization	G=167; Q=1	
HOG0027759	3.79E-01	2.02E-07	1.48E-07	7.57E-01	0.00%	20.49%	UDP-glucoronosyl and UDP-glucosyl transferase=60; Belongs to the OSBP family=20; Udp-glucoronosyl and udp-glucosyl transferase family protein=8; -=4; short chain dehydrogenase=4; Udp-glucoronosyl and udp-glucosyl transferase=2; 6-phosphogluconate dehydrogenase family protein=2; Belongs to the cytochrome P450 family=1	UDP-glucoronosyl and UDP-glucosyl transferase	Carbohydrate utilization	H=34; G=32; T=16; C=15; I=10; Q=5; -=4	
HOG0026856	3.33E-01	7.86E-10	4.01E-07	7.24E-01	0.00%	8.05%	Glycosyl hydrolase family 65, N-terminal domain=34; Alpha-l-fucosidase=19; Glycoside hydrolase family 95 protein=17; alpha-L-fucosidase=3	Glycosyl hydrolase family 65	Carbohydrate utilization	G=60; O=12; S=1	
HOG0032800	3.18E-01	6.26E-12	4.54E-07	9.19E-01	0.00%	6.67%	Glycosyl hydrolase 36 superfamily, catalytic domain=19; Glycoside hydrolase family 94 protein=15; glycoside hydrolase family 94 protein=9	Glycosyl hydrolase 36 superfamily	Carbohydrate utilization	G=36; E=7	
HOG0015676	1.06E-01	2.42E-04	6.70E-07	9.46E-01	1.44%	2.16%	Pyridoxal-dependent decarboxylase conserved domain=9; decarboxylase=6; carboxy-lyase activity=3; Glutamate decarboxylase and related PLP-dependent proteins=1	Pyridoxal-dependent decarboxylase conserved domain	Carbohydrate utilization	E=19	
HOG0038060	1.21E-01	7.39E-05	8.33E-07	9.44E-01	0.00%	22.22%	ADP-ribosylglycohydrolase=17	ADP-ribosylglycohydrolase	Carbohydrate utilization	S=17	
HOG0036861	1.52E-01	4.61E-06	9.16E-07	1.01E+00	NA	NA	-=7	homology to chitinase	Carbohydrate utilization	-=7	CDD search
HOG0012222	9.09E-02	1.89E-05	2.60E-06	1.05E+00	NA	NA	Alpha galactosidase A=13	Alpha galactosidase A & GH27	Carbohydrate utilization	G=13	might be HGTed from or to proteobacteria and/or plants
HOG0032889	3.18E-01	2.92E-11	2.73E-06	8.32E-01	0.00%	4.55%	Glycoside hydrolase family 2 protein=13; Glycosyl hydrolases family 2, sugar binding domain=12; glycoside hydrolase family 2=8; Glycoside hydrolase=4; Glycosyl hydrolase=3; Glycosyl hydrolases family 2=2; Glycoside hydrolase family 2=1	Glycoside hydrolase family 2 protein	Carbohydrate utilization	G=43	
HOG0029393	3.41E-01	1.04E-11	3.23E-06	7.74E-01	0.00%	7.78%	Glycoside hydrolase family 2 protein=33; Beta-galactosidase=16; Domain of unknown function (DUF4982)=14; cytochrome P450=5; Glycosyl hydrolases family 2, sugar binding domain=1	Glycoside hydrolase family 2 protein	Carbohydrate utilization	G=64; Q=5	
HOG0031129	3.56E-01	2.24E-07	4.02E-06	6.80E-01	0.00%	6.15%	Adenylosuccinate lyase C-terminus=35; 3-carboxy-cis,cis-muconate cycloisomerase=21; Major royal jelly protein=1; Haloacid dehalogenase-like hydrolase=1	Adenylosuccinate lyase C-terminus	Carbohydrate utilization	F=57; G=1	
HOG0033403	1.67E-01	2.16E-08	4.17E-06	7.59E-01	0.00%	12.82%	saponin hydrolase=28; to saponin hydrolase precursor=8; Saponin hydrolase=2	saponin hydrolase	Carbohydrate utilization	S=29; G=9	
