genome	clade	large_clade	ploidy_status	morphology	bgcome_size
Phaeoacremonium_GCF_000392275.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1469578
Corynespora_GCA_003016335.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4436637
Erythrobasidium_GCA_001600175.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	217595
Smittium_GCA_003086735.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	88475
Taphrina_GCA_000836135.1	Taphrinomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	450313
Obelidium_GCA_025765595.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	512070
Monilinia_GCA_002162545.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3179834
Ustilago_GCF_000328475.2	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	715389
Chaetoscypha_GCA_003988945.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1929239
Ramichloridium_GCA_002368545.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2207740
Corinectria_GCA_003385255.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2142944
Xylona_GCF_001619985.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1622670
Bipolaris_GCF_000354255.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3835495
Emmonsia_GCA_002572855.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1097976
Syncephalastrum_GCA_002105135.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	539213
Glonium_GCA_001692915.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1768264
Alloascoidea_GCA_001600815.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	275433
Verruconis_GCA_000836295.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1292979
Mixia_GCF_000708205.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	414063
Podospora_GCA_900290415.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2496526
Homolaphlyctis_GCA_000235945.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	120061
Eutypa_GCA_000349385.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3267375
Aureobasidium_GCF_000721755.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1936074
Phialocephala_GCA_900073065.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5505573
Ascochyta_GCA_004335205.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2115583
Irineochytrium_GCA_027600665.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	360067
Fragosphaeria_GCA_002778095.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1597277
Ascoidea_GCF_001661345.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	71698
Tolypocladium_GCA_002916505.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1758394
Epichloe_GCA_002591845.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1647281
Tuber_GCF_000151645.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	451448
Spizellomyces_GCA_000182565.2	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	765324
Valsa_GCA_003795315.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3848048
Oehlia_GCA_003833135.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	305816
Hyaloscypha_GCA_002865625.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3280553
Rhizopus_GCA_000149305.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	669928
Backusella_GCA_025399235.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	488719
Cephaloascus_GCA_003706495.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	87212
Bifiguratus_GCA_002261195.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	322691
Chytridiales_GCA_027604305.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	167986
Scedosporium_GCA_000812075.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1721282
Physocladia_GCA_027596945.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	217739
Cryphonectria_GCA_003264845.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3706221
Rhizoclosmatium_GCA_002104985.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	542899
Ascobolus_GCA_003788565.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	864709
Batrachochytrium_GCA_000149865.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	268079
Ustulina_GCA_002081935.3	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5408965
Polyrhizophydium_GCA_027604665.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	113093
Gaertneriomyces_GCA_025558075.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	342256
Colletotrichum_GCA_001563115.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3904645
Neofusicoccum_GCA_000385595.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2820706
Reticulascus_GCA_001557505.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3957835
Talaromyces_GCA_001270325.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2749749
Orbilia_GCF_000225545.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1103214
Verticillium_GCA_000732205.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2088665
Metschnikowia_GCA_002374405.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	126603
Baudoinia_GCF_000338955.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1293462
Evernia_GCA_003184365.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5089503
Schizosaccharomyces_GCA_000002945.2	Taphrinomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	233594
Martensiomyces_GCA_025201845.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	147067
Yarrowia_GCA_000002525.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	186198
Thermothielavioides_GCF_000226115.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2091629
Linderina_GCF_002104995.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	190944
Paecilomyces_GCA_003990805.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2187407
Neocallimastix_GCA_002104975.1	Neocallimastigomycota	1. Chytridiomycota	Haploid dominant	Zoosporic	2038726
Microbotryum_GCA_900120095.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	227782
Ophiognomonia_GCA_003671545.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5311010
Terramyces_GCA_027603945.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	293934
Coemansia_GCA_002705745.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	145583
Hanseniaspora_GCA_900119595.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	118542
Kappamyces_GCA_027604465.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	115705
Aspergillus_GCA_003574815.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3623676
Pestalotiopsis_GCF_000516985.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	6120631
Geranomyces_GCA_027603065.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	870820
Basidiobolus_GCA_002104905.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	1584518
Cystobasidiopsis_GCA_001599975.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	426531
Chytridium_GCA_025449115.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	312706
Thoreauomyces_GCA_027596035.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	414522
Elaphomyces_GCA_002240705.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	584744
Cladosporium_GCA_000261425.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1273538
Endocalyx_GCA_001600455.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	6754477
Gorgonomyces_GCA_025526955.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	157542
Clohesyomyces_GCA_002105025.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4202908
Pseudomassariella_GCF_002105095.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4469028
Uncinocarpus_GCA_000003515.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1514770
Neoconidiobolus_GCA_025603075.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	203739
Gyalolechia_GCA_000442125.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3087933
Microdochium_GCA_001566295.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2814412
Lepidopterella_GCA_001692735.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1663867
Candida_GCA_001661425.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	127836
Coniella_GCA_003019895.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2712082
Cladonia_GCA_002927785.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2654059
Trichoderma_GCF_001481775.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3137760
Anaeromyces_GCA_002104895.1	Neocallimastigomycota	1. Chytridiomycota	Haploid dominant	Zoosporic	2189531
Zygoascus_GCA_003707925.2	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	154971
Ophioceras_GCA_003049485.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1716453
Protomyces_GCF_002105105.1	Taphrinomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	266007
Neurospora_GCA_000182925.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1255064
Kockiozyma_GCA_003705835.2	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	278149
Pseudozyma_GCF_000417875.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	595011
Diaporthe_GCA_001447215.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4507020
Paraphaeosphaeria_GCF_001642045.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	5545732
Conidiobolus_GCA_001566745.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	417335
Hesseltinella_GCA_002104935.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	403269
Helminthosporium_GCA_000498615.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1699501
Arthrobotrys_GCA_004000055.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	642452
Leptoxyphium_GCA_001660795.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1430559
Arthonia_GCA_002989075.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2021288
Mucor_GCA_000401635.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	500038
Knufia_GCA_002319055.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	792444
Cyphellophora_GCA_000365145.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1491602
Cordyceps_GCF_001636725.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3133737
Aeminium_GCA_004216415.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	673408
Entophlyctis_GCA_027604725.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	246603
Thielaviopsis_GCA_000968615.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	527486
Hortaea_GCA_002127715.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1828911
Boothiomyces_GCA_027604185.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	274584
Neolecta_GCA_001929475.1	Taphrinomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	193498
Saccharomycopsis_GCA_004014935.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	127608
Proliferodiscus_GCA_003988795.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4722183
Morchella_GCA_003790465.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	676359
Coprinopsis_GCF_000182895.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	901156
Endocarpon_GCF_000464535.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1989075
Dimargaris_GCA_003614675.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	609786
Cyanodermella_GCA_900618795.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4326105
Linnemannia_GCA_001651415.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	217495
Knoxdaviesia_GCA_001510565.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	626701
Ogataea_GCA_003706095.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	145149
Coniochaeta_GCA_002798055.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1484337
Clonostachys_GCA_000963775.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4203312
Powellomyces_GCA_025526995.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	586050
Trigonopsis_GCA_003706805.2	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	296322
Hymenoscyphus_GCA_900536445.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4001601
Elsinoe_GCA_003013795.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1562526
Ramicandelaber_GCA_025201865.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	111132
Ramalina_GCA_001956345.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1929509
Zopfochytrium_GCA_025765615.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	938506
Phycomyces_GCA_001638985.2	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	385114
Wickerhamomyces_GCF_000313485.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	113671
