GCA	Domain	Phylum_or_Clade	Complete_BGC_Count	BGC_Count_Corrected	BGCome_Size	Complete_NRPS_or_PKS_BGC_Count	Coloring
GCA_000392275	fungi	1. Pezizomycotina	19	22.5	1469578	11	Pezizomycotina
GCA_003016335	fungi	1. Pezizomycotina	56	61.0	4436637	37	Pezizomycotina
GCA_025602915	fungi	4. Zoosporic Fungi	4	4.5	174597	1	Zoosporic Fungi
GCA_001600175	fungi	2. Multicellular (non-Pez)	5	5.0	217595	2	Basidiomycota
GCA_003086735	fungi	2. Multicellular (non-Pez)	0	2.0	88475	0	Zygomycota
GCA_000836135	fungi	2. Multicellular (non-Pez)	9	9.0	450313	5	Ascomycota
GCA_025765595	fungi	4. Zoosporic Fungi	7	8.0	512070	4	Zoosporic Fungi
GCA_025602895	fungi	4. Zoosporic Fungi	61	62.5	4288817	56	Zoosporic Fungi
GCA_002162545	fungi	1. Pezizomycotina	41	42.5	3179834	30	Pezizomycotina
GCA_000328475	fungi	3. Dikaryotic Yeast	9	11.0	715389	7	Basidiomycota
GCA_003988945	fungi	1. Pezizomycotina	7	26.0	1929239	6	Pezizomycotina
GCA_001574975	fungi	4. Zoosporic Fungi	5	5.0	196268	1	Zoosporic Fungi
GCA_002368545	fungi	1. Pezizomycotina	27	30.5	2207740	17	Pezizomycotina
GCA_000760515	fungi	4. Zoosporic Fungi	0	0.0	0	0	Zoosporic Fungi
GCA_003385255	fungi	1. Pezizomycotina	15	28.5	2142944	11	Pezizomycotina
GCA_001619985	fungi	1. Pezizomycotina	24	25.5	1622670	17	Pezizomycotina
GCA_000354255	fungi	1. Pezizomycotina	40	52.5	3835495	24	Pezizomycotina
GCA_002572855	fungi	1. Pezizomycotina	10	13.5	1097976	4	Pezizomycotina
GCA_002105135	fungi	2. Multicellular (non-Pez)	12	12.5	539213	5	Zygomycota
GCA_001692915	fungi	1. Pezizomycotina	3	29.5	1768264	3	Pezizomycotina
GCA_026937265	fungi	4. Zoosporic Fungi	0	1.5	13589	0	Zoosporic Fungi
GCA_001600815	fungi	3. Dikaryotic Yeast	4	5.0	275433	3	Ascomycota
GCA_000836295	fungi	1. Pezizomycotina	15	17.0	1292979	7	Pezizomycotina
GCA_000708205	fungi	2. Multicellular (non-Pez)	9	9.0	414063	4	Basidiomycota
GCA_900290415	fungi	1. Pezizomycotina	34	34.5	2496526	24	Pezizomycotina
GCA_000235945	fungi	4. Zoosporic Fungi	2	3.0	120061	0	Zoosporic Fungi
GCA_000349385	fungi	1. Pezizomycotina	19	42.5	3267375	17	Pezizomycotina
GCA_025558095	fungi	4. Zoosporic Fungi	5	5.5	243785	1	Zoosporic Fungi
GCA_000721755	fungi	1. Pezizomycotina	24	27.5	1936074	14	Pezizomycotina
GCA_900073065	fungi	1. Pezizomycotina	68	73.5	5505573	39	Pezizomycotina
GCA_004335205	fungi	1. Pezizomycotina	9	24.0	2115583	6	Pezizomycotina
GCA_027604685	fungi	4. Zoosporic Fungi	0	3.5	209071	0	Zoosporic Fungi
GCA_027600665	fungi	4. Zoosporic Fungi	0	6.5	453462	0	Zoosporic Fungi
GCA_002778095	fungi	1. Pezizomycotina	23	23.5	1597277	17	Pezizomycotina
GCA_001661345	fungi	3. Dikaryotic Yeast	1	1.5	71698	0	Ascomycota
GCA_002916505	fungi	1. Pezizomycotina	8	22.5	1758394	6	Pezizomycotina
GCA_002591845	fungi	1. Pezizomycotina	13	22.5	1647281	9	Pezizomycotina
GCA_000151645	fungi	1. Pezizomycotina	7	7.5	451448	4	Pezizomycotina
GCA_000182565	fungi	4. Zoosporic Fungi	8	10.5	765324	6	Zoosporic Fungi
GCA_003795315	fungi	1. Pezizomycotina	41	50.5	3848048	30	Pezizomycotina
GCA_003833135	fungi	2. Multicellular (non-Pez)	5	7.0	305816	2	Zygomycota
GCA_002865625	fungi	1. Pezizomycotina	39	42.0	3280553	21	Pezizomycotina
GCA_000149305	fungi	2. Multicellular (non-Pez)	15	15.0	669928	7	Zygomycota
GCA_025399235	fungi	2. Multicellular (non-Pez)	4	8.5	488719	3	Zygomycota
GCA_003706495	fungi	3. Dikaryotic Yeast	1	2.0	87212	0	Ascomycota
GCA_002261195	fungi	2. Multicellular (non-Pez)	4	7.0	322691	2	Zygomycota
GCA_027604305	fungi	4. Zoosporic Fungi	2	5.0	167986	1	Zoosporic Fungi
GCA_000812075	fungi	1. Pezizomycotina	9	20.0	1721282	8	Pezizomycotina
GCA_027604065	fungi	4. Zoosporic Fungi	1	4.0	109388	0	Zoosporic Fungi
GCA_027596945	fungi	4. Zoosporic Fungi	0	7.0	217739	0	Zoosporic Fungi
